source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
ReS2_1232344,0.0000000000,read,real,scaling,value,N/A
ReS2_1232344,0.0000000000,read,real,scaling,value,N/A
ReS2_1232344,0.0000000000,read,real,scaling,value,N/A
ReS2_1232344,0.0000000000,read,real,scaling,value,N/A
ReS2_1232344,0.0000000000,read,real,scaling,value,N/A
ReS2_1232344,0.0000000000,read,real,scaling,value,N/A
ReS2_1232344,0.0000000000,read,real,scaling,value,N/A
ReS2_1232344,0.0000000000,read,real,scaling,value,N/A
ReS2_1232344,0.0000000000,read,real,scaling,value,N/A
ReS2_1232344,0.0000000000,read,real,scaling,value,N/A
ReS2_1232344,0.0000000000,read,real,scaling,value,N/A
ReS2_1232344,0.0000000000,read,real,scaling,value,N/A
ReS2_1232344,0.0000000000,read,real,scaling,value,N/A
ReS2_1232344,0.0000000000,read,real,scaling,value,N/A
ReS2_1232344,0.0000000000,read,real,scaling,value,N/A
ReS2_1232344,0.0000000000,read,real,scaling,value,N/A
ReS2_1232344,0.0000000000,read,real,scaling,value,N/A
ReS2_1232344,0.0000000000,read,real,scaling,value,N/A
ReS2_1232344,0.0000000000,read,real,scaling,value,N/A
ReS2_1232344,0.0000000000,read,real,scaling,value,N/A
ReS2_1232344,0.0000000000,read,real,scaling,value,N/A
ReS2_1232344,0.0000000000,read,real,scaling,value,N/A
ReS2_1232344,0.0000000000,read,real,scaling,value,N/A
ReS2_1232344,0.0000000000,read,real,scaling,value,N/A
ReS2_1232344,0.0000000000,read,real,scaling,value,N/A
ReS2_1232344,0.0000000000,read,real,scaling,value,N/A
ReS2_1232344,0.0000000000,read,real,scaling,value,N/A
ReS2_1232344,0.0000000000,read,real,scaling,value,N/A
ReS2_1232344,0.0000000000,read,real,scaling,value,N/A
ReS2_1232344,0.0000000000,read,real,scaling,value,N/A
ReS2_1232344,0.0000000000,read,real,scaling,value,N/A
ReS2_1232344,0.0000000000,read,real,scaling,value,N/A
ReS2_1232344,0.0000000000,read,real,scaling,value,N/A
ReS2_1232344,0.0000000000,read,real,scaling,value,N/A
ReS2_1232344,0.0000000000,read,real,scaling,value,N/A
ReS2_1232344_POSCAR,2.6259265080,10.9334,5.7060,332.1448,125.8109,-3.5979401412712E-02
ReS2_1232344_POSCAR,2.3341568960,14.3169,9.8447,332.1448,125.8109,-5.2661338196918E-02
ReS2_1232344_POSCAR,2.1882720900,17.1349,12.3779,332.1448,125.8109,-6.4670370856187E-02
ReS2_1232344_POSCAR,2.4800417020,12.2328,7.6562,332.1448,125.8109,-4.3406081348080E-02
ReS2_1232344_POSCAR,2.7718113140,9.9751,4.0038,332.1448,125.8109,-2.9962922410254E-02
ReS2_1232344_POSCAR,3.2094657320,6.3012,1.4775,332.1448,128.5468,-1.9610164084685E-02
ReS2_1232344_POSCAR,3.0635809260,7.6793,1.9587,332.1448,125.9332,-2.2051565009479E-02
ReS2_1232344_POSCAR,2.9176961200,8.9439,2.7494,332.1448,125.8111,-2.5384009318234E-02
ReS2_1232344_POSCAR,3.3553505380,4.9929,1.1510,561.4338,130.6899,-2.1596237221471E-02
ReS2_1232344_POSCAR,3.6471201500,2.7809,0.6532,561.4338,131.6630,-1.7455778860829E-02
ReS2_1232344_POSCAR,3.5012353440,3.8162,0.8866,561.4338,131.0849,-1.9283554873160E-02
ReS2_1232344_POSCAR,3.7930049560,1.9268,0.4570,561.4339,132.7363,-1.6171356113317E-02
