source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Ta10O9_685006,0.0000000000,read,real,scaling,value,N/A
Ta10O9_685006,0.0000000000,read,real,scaling,value,N/A
Ta10O9_685006,0.0000000000,read,real,scaling,value,N/A
Ta10O9_685006,0.0000000000,read,real,scaling,value,N/A
Ta10O9_685006,0.0000000000,read,real,scaling,value,N/A
Ta10O9_685006,0.0000000000,read,real,scaling,value,N/A
Ta10O9_685006,0.0000000000,read,real,scaling,value,N/A
Ta10O9_685006,0.0000000000,read,real,scaling,value,N/A
Ta10O9_685006,0.0000000000,read,real,scaling,value,N/A
Ta10O9_685006,0.0000000000,read,real,scaling,value,N/A
Ta10O9_685006,0.0000000000,read,real,scaling,value,N/A
Ta10O9_685006,0.0000000000,read,real,scaling,value,N/A
Ta10O9_685006,0.0000000000,read,real,scaling,value,N/A
Ta10O9_685006,0.0000000000,read,real,scaling,value,N/A
Ta10O9_685006,0.0000000000,read,real,scaling,value,N/A
Ta10O9_685006,0.0000000000,read,real,scaling,value,N/A
Ta10O9_685006,0.0000000000,read,real,scaling,value,N/A
Ta10O9_685006,0.0000000000,read,real,scaling,value,N/A
Ta10O9_685006,0.0000000000,read,real,scaling,value,N/A
Ta10O9_685006,0.0000000000,read,real,scaling,value,N/A
Ta10O9_685006,0.0000000000,read,real,scaling,value,N/A
Ta10O9_685006,0.0000000000,read,real,scaling,value,N/A
Ta10O9_685006,0.0000000000,read,real,scaling,value,N/A
Ta10O9_685006,0.0000000000,read,real,scaling,value,N/A
Ta10O9_685006,0.0000000000,read,real,scaling,value,N/A
Ta10O9_685006,0.0000000000,read,real,scaling,value,N/A
Ta10O9_685006,0.0000000000,read,real,scaling,value,N/A
Ta10O9_685006,0.0000000000,read,real,scaling,value,N/A
Ta10O9_685006,0.0000000000,read,real,scaling,value,N/A
Ta10O9_685006,0.0000000000,read,real,scaling,value,N/A
Ta10O9_685006,0.0000000000,read,real,scaling,value,N/A
Ta10O9_685006,0.0000000000,read,real,scaling,value,N/A
Ta10O9_685006,0.0000000000,read,real,scaling,value,N/A
Ta10O9_685006,0.0000000000,read,real,scaling,value,N/A
Ta10O9_685006,0.0000000000,read,real,scaling,value,N/A
Ta10O9_685006_POSCAR,12.9038794830,19.7205,5.9403,458.7677,10.3708,-4.5240990610445E-01
Ta10O9_685006_POSCAR,13.7103719507,16.8302,4.9431,458.7677,10.3708,-3.8201732422198E-01
Ta10O9_685006_POSCAR,12.0973870153,24.3945,7.8400,458.7677,10.3708,-5.4302931766871E-01
Ta10O9_685006_POSCAR,14.5168644184,14.6444,4.4569,458.7677,10.3708,-3.2362978568338E-01
Ta10O9_685006_POSCAR,15.3233568861,12.7231,4.1915,458.7677,10.3708,-2.7418947879843E-01
Ta10O9_685006_POSCAR,16.1298493538,11.0001,3.9785,458.7677,10.3708,-2.3151462458029E-01
Ta10O9_685006_POSCAR,16.9363418215,9.3877,3.7044,458.7677,10.3708,-1.9519672622870E-01
Ta10O9_685006_POSCAR,17.7428342892,7.7810,3.2895,458.7677,10.3708,-1.6586504982626E-01
Ta10O9_685006_POSCAR,18.5493267569,6.1681,2.7202,458.7677,10.3709,-1.4326505762156E-01
Ta10O9_685006_POSCAR,19.3558192245,4.6313,2.0735,458.7677,10.3923,-1.2773007820329E-01
Ta10O9_685006_POSCAR,20.9688041599,2.2331,0.9845,617.2746,12.8215,-1.2603279445280E-01
Ta10O9_685006_POSCAR,20.1623116922,3.2908,1.4678,459.0004,11.6594,-1.1577342812133E-01
Ta10O9_685006_POSCAR,21.7752966276,1.4717,0.6413,659.7680,13.4285,-1.3281048778825E-01
Ta10O9_685006_POSCAR,23.3882815630,0.6275,0.2693,1161.1337,15.1043,-1.9353274065326E-01
Ta10O9_685006_POSCAR,22.5817890953,0.9593,0.4143,918.4433,14.5455,-1.5345674571076E-01
Ta10O9_685006_POSCAR,24.1947740307,0.4159,0.1777,1163.7238,15.2957,-1.8767165630290E-01
Ta10O9_685006_POSCAR,25.0012664984,0.2806,0.1196,1163.8119,15.3695,-1.7911529229501E-01
