source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
V11S16_1100973,0.0000000000,read,real,scaling,value,N/A
V11S16_1100973,0.0000000000,read,real,scaling,value,N/A
V11S16_1100973,0.0000000000,read,real,scaling,value,N/A
V11S16_1100973,0.0000000000,read,real,scaling,value,N/A
V11S16_1100973,0.0000000000,read,real,scaling,value,N/A
V11S16_1100973,0.0000000000,read,real,scaling,value,N/A
V11S16_1100973,0.0000000000,read,real,scaling,value,N/A
V11S16_1100973,0.0000000000,read,real,scaling,value,N/A
V11S16_1100973,0.0000000000,read,real,scaling,value,N/A
V11S16_1100973,0.0000000000,read,real,scaling,value,N/A
V11S16_1100973,0.0000000000,read,real,scaling,value,N/A
V11S16_1100973,0.0000000000,read,real,scaling,value,N/A
V11S16_1100973,0.0000000000,read,real,scaling,value,N/A
V11S16_1100973,0.0000000000,read,real,scaling,value,N/A
V11S16_1100973,0.0000000000,read,real,scaling,value,N/A
V11S16_1100973,0.0000000000,read,real,scaling,value,N/A
V11S16_1100973,0.0000000000,read,real,scaling,value,N/A
V11S16_1100973,0.0000000000,read,real,scaling,value,N/A
V11S16_1100973,0.0000000000,read,real,scaling,value,N/A
V11S16_1100973,0.0000000000,read,real,scaling,value,N/A
V11S16_1100973,0.0000000000,read,real,scaling,value,N/A
V11S16_1100973,0.0000000000,read,real,scaling,value,N/A
V11S16_1100973,0.0000000000,read,real,scaling,value,N/A
V11S16_1100973,0.0000000000,read,real,scaling,value,N/A
V11S16_1100973,0.0000000000,read,real,scaling,value,N/A
V11S16_1100973,0.0000000000,read,real,scaling,value,N/A
V11S16_1100973,0.0000000000,read,real,scaling,value,N/A
V11S16_1100973,0.0000000000,read,real,scaling,value,N/A
V11S16_1100973,0.0000000000,read,real,scaling,value,N/A
V11S16_1100973,0.0000000000,read,real,scaling,value,N/A
V11S16_1100973,0.0000000000,read,real,scaling,value,N/A
V11S16_1100973,0.0000000000,read,real,scaling,value,N/A
V11S16_1100973,0.0000000000,read,real,scaling,value,N/A
V11S16_1100973,0.0000000000,read,real,scaling,value,N/A
V11S16_1100973,0.0000000000,read,real,scaling,value,N/A
V11S16_1100973_POSCAR,7.4748323222,13.6637,9.6070,269.3349,125.8109,-4.7980743453725E-01
V11S16_1100973_POSCAR,7.9731544770,10.4931,7.5708,269.3349,125.8109,-3.9554837037904E-01
V11S16_1100973_POSCAR,8.9697987867,7.1109,5.1405,269.3349,125.8109,-2.8174177024074E-01
V11S16_1100973_POSCAR,8.4714766318,8.4012,6.0915,269.3349,125.8109,-3.3180091346056E-01
