source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
WS2_1023925,0.0000000000,read,real,scaling,value,N/A
WS2_1023925,0.0000000000,read,real,scaling,value,N/A
WS2_1023925,0.0000000000,read,real,scaling,value,N/A
WS2_1023925,0.0000000000,read,real,scaling,value,N/A
WS2_1023925,0.0000000000,read,real,scaling,value,N/A
WS2_1023925,0.0000000000,read,real,scaling,value,N/A
WS2_1023925,0.0000000000,read,real,scaling,value,N/A
WS2_1023925,0.0000000000,read,real,scaling,value,N/A
WS2_1023925,0.0000000000,read,real,scaling,value,N/A
WS2_1023925,0.0000000000,read,real,scaling,value,N/A
WS2_1023925,0.0000000000,read,real,scaling,value,N/A
WS2_1023925,0.0000000000,read,real,scaling,value,N/A
WS2_1023925,0.0000000000,read,real,scaling,value,N/A
WS2_1023925,0.0000000000,read,real,scaling,value,N/A
WS2_1023925,0.0000000000,read,real,scaling,value,N/A
WS2_1023925,0.0000000000,read,real,scaling,value,N/A
WS2_1023925,0.0000000000,read,real,scaling,value,N/A
WS2_1023925,0.0000000000,read,real,scaling,value,N/A
WS2_1023925,0.0000000000,read,real,scaling,value,N/A
WS2_1023925,0.0000000000,read,real,scaling,value,N/A
WS2_1023925,0.0000000000,read,real,scaling,value,N/A
WS2_1023925,0.0000000000,read,real,scaling,value,N/A
WS2_1023925,0.0000000000,read,real,scaling,value,N/A
WS2_1023925,0.0000000000,read,real,scaling,value,N/A
WS2_1023925,0.0000000000,read,real,scaling,value,N/A
WS2_1023925,0.0000000000,read,real,scaling,value,N/A
WS2_1023925,0.0000000000,read,real,scaling,value,N/A
WS2_1023925,0.0000000000,read,real,scaling,value,N/A
WS2_1023925,0.0000000000,read,real,scaling,value,N/A
WS2_1023925,0.0000000000,read,real,scaling,value,N/A
WS2_1023925,0.0000000000,read,real,scaling,value,N/A
WS2_1023925,0.0000000000,read,real,scaling,value,N/A
WS2_1023925,0.0000000000,read,real,scaling,value,N/A
WS2_1023925,0.0000000000,read,real,scaling,value,N/A
WS2_1023925,0.0000000000,read,real,scaling,value,N/A
WS2_1023925_POSCAR,2.3874061275,15.7946,11.4104,398.0973,125.8109,-9.6842162233967E-02
WS2_1023925_POSCAR,2.8648873530,11.9556,5.4940,398.0973,125.8109,-5.7560037871586E-02
WS2_1023925_POSCAR,2.7057269445,12.8038,7.2653,398.0973,125.8109,-6.9358191994146E-02
WS2_1023925_POSCAR,2.5465665360,13.9529,9.3777,398.0973,125.8109,-8.2502820310827E-02
WS2_1023925_POSCAR,3.5015289870,7.0042,2.9051,398.0973,125.8110,-3.3324728493690E-02
WS2_1023925_POSCAR,3.1832081700,9.7496,3.6716,398.0973,125.8109,-4.2229154173570E-02
