source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Y2O3_1178770,0.0000000000,read,real,scaling,value,N/A
Y2O3_1178770,0.0000000000,read,real,scaling,value,N/A
Y2O3_1178770,0.0000000000,read,real,scaling,value,N/A
Y2O3_1178770,0.0000000000,read,real,scaling,value,N/A
Y2O3_1178770,0.0000000000,read,real,scaling,value,N/A
Y2O3_1178770,0.0000000000,read,real,scaling,value,N/A
Y2O3_1178770,0.0000000000,read,real,scaling,value,N/A
Y2O3_1178770,0.0000000000,read,real,scaling,value,N/A
Y2O3_1178770,0.0000000000,read,real,scaling,value,N/A
Y2O3_1178770,0.0000000000,read,real,scaling,value,N/A
Y2O3_1178770,0.0000000000,read,real,scaling,value,N/A
Y2O3_1178770,0.0000000000,read,real,scaling,value,N/A
Y2O3_1178770,0.0000000000,read,real,scaling,value,N/A
Y2O3_1178770,0.0000000000,read,real,scaling,value,N/A
Y2O3_1178770,0.0000000000,read,real,scaling,value,N/A
Y2O3_1178770,0.0000000000,read,real,scaling,value,N/A
Y2O3_1178770,0.0000000000,read,real,scaling,value,N/A
Y2O3_1178770,0.0000000000,read,real,scaling,value,N/A
Y2O3_1178770,0.0000000000,read,real,scaling,value,N/A
Y2O3_1178770,0.0000000000,read,real,scaling,value,N/A
Y2O3_1178770,0.0000000000,read,real,scaling,value,N/A
Y2O3_1178770,0.0000000000,read,real,scaling,value,N/A
Y2O3_1178770,0.0000000000,read,real,scaling,value,N/A
Y2O3_1178770,0.0000000000,read,real,scaling,value,N/A
Y2O3_1178770,0.0000000000,read,real,scaling,value,N/A
Y2O3_1178770,0.0000000000,read,real,scaling,value,N/A
Y2O3_1178770,0.0000000000,read,real,scaling,value,N/A
Y2O3_1178770,0.0000000000,read,real,scaling,value,N/A
Y2O3_1178770,0.0000000000,read,real,scaling,value,N/A
Y2O3_1178770,0.0000000000,read,real,scaling,value,N/A
Y2O3_1178770,0.0000000000,read,real,scaling,value,N/A
Y2O3_1178770,0.0000000000,read,real,scaling,value,N/A
Y2O3_1178770,0.0000000000,read,real,scaling,value,N/A
Y2O3_1178770,0.0000000000,read,real,scaling,value,N/A
Y2O3_1178770,0.0000000000,read,real,scaling,value,N/A
Y2O3_1178770_POSCAR,4.8238424000,24.8637,5.6556,451.0845,10.3708,-2.8587019314845E-01
Y2O3_1178770_POSCAR,4.5223522500,28.4163,6.4398,451.0845,10.3708,-3.4952839688399E-01
Y2O3_1178770_POSCAR,5.1253325500,22.0831,5.2831,451.0845,10.3708,-2.3283102785697E-01
Y2O3_1178770_POSCAR,5.4268227000,19.8231,5.0374,451.0845,10.3708,-1.9118141837727E-01
Y2O3_1178770_POSCAR,5.7283128500,17.8594,4.7594,451.0845,10.3708,-1.5932085430719E-01
Y2O3_1178770_POSCAR,6.0298030000,15.8340,4.3598,451.0845,10.3708,-1.3463421174724E-01
Y2O3_1178770_POSCAR,6.3312931500,13.4877,3.8346,451.0845,10.3708,-1.1531211180774E-01
Y2O3_1178770_POSCAR,6.6327833000,10.8396,3.2386,451.0845,10.3708,-1.0053563641534E-01
Y2O3_1178770_POSCAR,6.9342734500,8.1387,2.6146,451.0845,10.3711,-8.9721272989897E-02
Y2O3_1178770_POSCAR,7.2357636000,5.7109,1.9940,451.0845,10.4110,-8.2058809870189E-02
Y2O3_1178770_POSCAR,7.5372537500,3.7958,1.4284,451.0932,11.8482,-7.8740631233656E-02
Y2O3_1178770_POSCAR,7.8387439000,2.4435,0.9700,683.2978,12.8326,-9.5545310153077E-02
Y2O3_1178770_POSCAR,8.1402340500,1.5575,0.6372,1131.1604,13.4440,-1.4720775978761E-01
Y2O3_1178770_POSCAR,8.4417242000,0.9989,0.4136,1503.8409,14.5485,-1.6500998017595E-01
Y2O3_1178770_POSCAR,8.7432143500,0.6508,0.2696,2352.5768,15.1037,-2.3724633517101E-01
Y2O3_1178770_POSCAR,9.0447045000,0.4326,0.1780,2365.4168,15.2952,-2.1436432347039E-01
Y2O3_1178770_POSCAR,9.6476848000,0.2042,0.0822,2365.8781,15.4032,-1.6779823773324E-01
Y2O3_1178770_POSCAR,9.3461946500,0.2940,0.1197,2365.8357,15.3693,-1.9032850243128E-01
Y2O3_1178770_POSCAR,10.2506651000,0.1048,0.0412,2365.8894,15.4310,-1.2876305634384E-01
Y2O3_1178770_POSCAR,9.9491749500,0.1448,0.0576,2365.8867,15.4209,-1.4724656594570E-01
Y2O3_1178770_POSCAR,10.5521552500,0.0772,0.0300,2365.8904,15.4372,-1.1231707981401E-01
Y2O3_1178770_POSCAR,10.8536454000,0.0579,0.0222,2365.8910,15.4412,-9.7803079193013E-02
Y2O3_1178770_POSCAR,11.1551355500,0.0441,0.0168,2365.8913,15.4439,-8.5100259283855E-02
Y2O3_1178770_POSCAR,11.4566257000,0.0341,0.0128,2365.8914,15.4457,-7.4047746886921E-02
Y2O3_1178770_POSCAR,11.7581158500,0.0267,0.0100,2365.8916,15.4470,-6.4454198408030E-02
Y2O3_1178770_POSCAR,12.0596060000,0.0212,0.0079,2365.8916,15.4480,-5.6138015388980E-02
Y2O3_1178770_POSCAR,12.3610961500,0.0170,0.0063,2365.8917,15.4487,-4.8918843654468E-02
Y2O3_1178770_POSCAR,12.6625863000,0.0138,0.0051,2365.8917,15.4492,-4.2644810124330E-02
Y2O3_1178770_POSCAR,13.2655666000,0.0094,0.0034,2365.8918,15.4500,-3.2441574627104E-02
Y2O3_1178770_POSCAR,12.9640764500,0.0113,0.0041,2365.8918,15.4497,-3.7191295500768E-02
Y2O3_1178770_POSCAR,13.5670567500,0.0078,0.0028,2365.8918,15.4502,-2.8318663903137E-02
Y2O3_1178770_POSCAR,14.1700370500,0.0055,0.0020,2365.8918,15.4506,-2.1637878011125E-02
Y2O3_1178770_POSCAR,13.8685469000,0.0066,0.0024,2365.8918,15.4504,-2.4741699184469E-02
Y2O3_1178770_POSCAR,14.4715272000,0.0047,0.0017,2365.8918,15.4507,-1.8951438881709E-02
Y2O3_1178770_POSCAR,14.7730173500,0.0040,0.0015,2365.8918,15.4508,-1.6626677852638E-02
Y2O3_1216050,0.0000000000,read,real,scaling,value,N/A
Y2O3_1216050,0.0000000000,read,real,scaling,value,N/A
Y2O3_1216050,0.0000000000,read,real,scaling,value,N/A
Y2O3_1216050,0.0000000000,read,real,scaling,value,N/A
Y2O3_1216050,0.0000000000,read,real,scaling,value,N/A
Y2O3_1216050,0.0000000000,read,real,scaling,value,N/A
Y2O3_1216050,0.0000000000,read,real,scaling,value,N/A
Y2O3_1216050,0.0000000000,read,real,scaling,value,N/A
Y2O3_1216050,0.0000000000,read,real,scaling,value,N/A
Y2O3_1216050,0.0000000000,read,real,scaling,value,N/A
Y2O3_1216050,0.0000000000,read,real,scaling,value,N/A
Y2O3_1216050,0.0000000000,read,real,scaling,value,N/A
Y2O3_1216050,0.0000000000,read,real,scaling,value,N/A
Y2O3_1216050,0.0000000000,read,real,scaling,value,N/A
Y2O3_1216050,0.0000000000,read,real,scaling,value,N/A
Y2O3_1216050,0.0000000000,read,real,scaling,value,N/A
Y2O3_1216050,0.0000000000,read,real,scaling,value,N/A
Y2O3_1216050,0.0000000000,read,real,scaling,value,N/A
Y2O3_1216050,0.0000000000,read,real,scaling,value,N/A
Y2O3_1216050,0.0000000000,read,real,scaling,value,N/A
Y2O3_1216050,0.0000000000,read,real,scaling,value,N/A
Y2O3_1216050,0.0000000000,read,real,scaling,value,N/A
Y2O3_1216050,0.0000000000,read,real,scaling,value,N/A
Y2O3_1216050,0.0000000000,read,real,scaling,value,N/A
Y2O3_1216050,0.0000000000,read,real,scaling,value,N/A
Y2O3_1216050,0.0000000000,read,real,scaling,value,N/A
Y2O3_1216050,0.0000000000,read,real,scaling,value,N/A
Y2O3_1216050,0.0000000000,read,real,scaling,value,N/A
Y2O3_1216050,0.0000000000,read,real,scaling,value,N/A
Y2O3_1216050,0.0000000000,read,real,scaling,value,N/A
Y2O3_1216050,0.0000000000,read,real,scaling,value,N/A
Y2O3_1216050,0.0000000000,read,real,scaling,value,N/A
Y2O3_1216050,0.0000000000,read,real,scaling,value,N/A
Y2O3_1216050,0.0000000000,read,real,scaling,value,N/A
Y2O3_1216050,0.0000000000,read,real,scaling,value,N/A
Y2O3_1216050_POSCAR,3.0449152000,19.7307,4.5258,451.0845,10.3708,-5.7489696507915E-02
Y2O3_1216050_POSCAR,3.2352224000,18.1550,4.2597,451.0845,10.3708,-4.7334991014767E-02
Y2O3_1216050_POSCAR,3.4255296000,16.6169,4.1329,451.0845,10.3708,-3.8888973707394E-02
Y2O3_1216050_POSCAR,2.8546080000,22.1506,5.1453,451.0845,10.3708,-7.0510028405228E-02
Y2O3_1216050_POSCAR,3.6158368000,14.7943,4.0562,451.0845,10.3708,-3.1975003560281E-02
Y2O3_1216050_POSCAR,3.9964512000,10.4343,3.8560,451.0845,10.3708,-2.3442042994655E-02
Y2O3_1216050_POSCAR,3.8061440000,12.6930,3.9797,451.0845,10.3708,-2.6890863135676E-02
Y2O3_1216050_POSCAR,4.1867584000,8.2150,3.6271,451.0845,10.3708,-2.1087208306477E-02
Y2O3_1216050_POSCAR,4.5673728000,4.5420,2.6799,451.0845,10.3710,-1.8093143546610E-02
Y2O3_1216050_POSCAR,4.3770656000,6.2237,3.2373,451.0845,10.3708,-1.9386091057146E-02
Y2O3_1216050_POSCAR,4.7576800000,3.1809,2.0361,452.1397,10.3997,-1.6719086410844E-02
Y2O3_1216050_POSCAR,4.9479872000,2.1427,1.4341,1030.0937,11.8215,-3.0632228372945E-02
Y2O3_1216050_POSCAR,5.1382944000,1.4068,0.9600,1132.9239,12.8403,-3.0167473848739E-02
Y2O3_1216050_POSCAR,5.3286016000,0.9158,0.6272,1884.0603,13.4834,-4.1903442641847E-02
Y2O3_1216050_POSCAR,5.5189088000,0.5995,0.4082,2359.7891,14.5750,-4.5223078188619E-02
Y2O3_1216050_POSCAR,5.7092160000,0.3980,0.2680,2365.6127,15.1078,-3.9704308560862E-02
Y2O3_1216050_POSCAR,5.8995232000,0.2692,0.1787,2365.8536,15.2942,-3.4853027594883E-02
Y2O3_1216050_POSCAR,6.0898304000,0.1856,0.1214,2365.8817,15.3676,-3.0679989213138E-02
Y2O3_1216050_POSCAR,6.4704448000,0.0939,0.0594,2365.8898,15.4197,-2.3766422490465E-02
Y2O3_1216050_POSCAR,6.2801376000,0.1308,0.0841,2365.8878,15.4017,-2.7030234620851E-02
Y2O3_1216050_POSCAR,6.6607520000,0.0688,0.0428,2365.8907,15.4300,-2.0816940948993E-02
Y2O3_1216050_POSCAR,6.8510592000,0.0513,0.0313,2365.8911,15.4364,-1.8161111380895E-02
Y2O3_1216050_POSCAR,7.0413664000,0.0388,0.0233,2365.8914,15.4406,-1.5804965075980E-02
Y2O3_1216050_POSCAR,7.2316736000,0.0298,0.0177,2365.8915,15.4434,-1.3749211882034E-02
Y2O3_1216050_POSCAR,7.4219808000,0.0233,0.0136,2365.8916,15.4454,-1.1975460808032E-02
Y2O3_1216050_POSCAR,7.8025952000,0.0147,0.0083,2365.8917,15.4478,-9.1538691640981E-03
Y2O3_1216050_POSCAR,7.6122880000,0.0184,0.0105,2365.8917,15.4468,-1.0456784320688E-02
Y2O3_1216050_POSCAR,7.9929024000,0.0118,0.0066,2365.8917,15.4486,-8.0310584296397E-03
Y2O3_1216050_POSCAR,8.1832096000,0.0097,0.0054,2365.8918,15.4491,-7.0551378061153E-03
Y2O3_1216050_POSCAR,8.3735168000,0.0080,0.0044,2365.8918,15.4495,-6.2023198391755E-03
Y2O3_1216050_POSCAR,8.5638240000,0.0067,0.0036,2365.8918,15.4499,-5.4545311755187E-03
Y2O3_1216050_POSCAR,8.7541312000,0.0056,0.0030,2365.8918,15.4502,-4.7964459067653E-03
Y2O3_1216050_POSCAR,8.9444384000,0.0047,0.0025,2365.8918,15.4504,-4.2185986201892E-03
Y2O3_1216050_POSCAR,9.1347456000,0.0040,0.0021,2365.8918,15.4505,-3.7123364970978E-03
Y2O3_1216050_POSCAR,9.3250528000,0.0034,0.0018,2365.8918,15.4507,-3.2703350065627E-03
Y2O3_1244888,0.0000000000,read,real,scaling,value,N/A
Y2O3_1244888,0.0000000000,read,real,scaling,value,N/A
Y2O3_1244888,0.0000000000,read,real,scaling,value,N/A
Y2O3_1244888,0.0000000000,read,real,scaling,value,N/A
Y2O3_1244888,0.0000000000,read,real,scaling,value,N/A
Y2O3_1244888,0.0000000000,read,real,scaling,value,N/A
Y2O3_1244888,0.0000000000,read,real,scaling,value,N/A
Y2O3_1244888,0.0000000000,read,real,scaling,value,N/A
Y2O3_1244888,0.0000000000,read,real,scaling,value,N/A
Y2O3_1244888,0.0000000000,read,real,scaling,value,N/A
Y2O3_1244888,0.0000000000,read,real,scaling,value,N/A
Y2O3_1244888,0.0000000000,read,real,scaling,value,N/A
