"Synthesizable","Material ID","Formula","Crystal System","Space Group Symbol","Space Group Number","Sites","Energy Above Hull","Formation Energy","Predicted Stable","Volume","Density","Band Gap","Is Gap Direct","Is Metal","Magnetic Ordering","Total Magnetization","Structure"
"True","mp-675278","Cu11S16","Monoclinic","Cm","8","27","0.23726504296296302","0.010921368977623","False","488.98139810543796","4.116004701435043","0.0","False","True","NM","0.378535499999999","# generated using pymatgen
data_Cu11S16
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.94236571
_cell_length_b   5.94236571
_cell_length_c   23.34192003
_cell_angle_alpha   81.04027067
_cell_angle_beta   81.04027067
_cell_angle_gamma   36.97118070
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cu11S16
_chemical_formula_sum   'Cu11 S16'
_cell_volume   488.98139811
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cu  Cu0  1  0.07491100  0.07491100  0.07091500  1
  Cu  Cu1  1  0.79495400  0.79495400  0.26155700  1
  Cu  Cu2  1  0.56459400  0.56459400  0.20373200  1
  Cu  Cu3  1  0.03764500  0.03764500  0.34147500  1
  Cu  Cu4  1  0.57587300  0.57587300  0.44399500  1
  Cu  Cu5  1  0.29550300  0.29550300  0.63321400  1
  Cu  Cu6  1  0.06645800  0.06645800  0.57655700  1
  Cu  Cu7  1  0.53937700  0.53937700  0.71334000  1
  Cu  Cu8  1  0.30204800  0.30204800  0.89644200  1
  Cu  Cu9  1  0.06531800  0.06531800  0.82274300  1
  Cu  Cu10  1  0.53985100  0.53985100  0.96996100  1
  S  S11  1  0.94154800  0.94154800  0.00646400  1
  S  S12  1  0.51076300  0.51076300  0.11521600  1
  S  S13  1  0.26219100  0.26219100  0.10603400  1
  S  S14  1  0.99914300  0.99914300  0.24811200  1
  S  S15  1  0.76033100  0.76033100  0.15556900  1
  S  S16  1  0.44661400  0.44661400  0.37872100  1
  S  S17  1  0.23661500  0.23661500  0.30885000  1
  S  S18  1  0.01056200  0.01056200  0.48855200  1
  S  S19  1  0.76258900  0.76258900  0.47861700  1
  S  S20  1  0.49890100  0.49890100  0.62122600  1
  S  S21  1  0.26084000  0.26084000  0.52870500  1
  S  S22  1  0.94085800  0.94085800  0.75650100  1
  S  S23  1  0.73661000  0.73661000  0.67967000  1
  S  S24  1  0.51171700  0.51171700  0.87603500  1
  S  S25  1  0.26389600  0.26389600  0.80740600  1
  S  S26  1  0.74279500  0.74279500  0.94851200  1
"
"True","mp-684964","Cu11S20","Trigonal","R3m","160","31","0.28103046053763403","0.083892421905243","False","653.167532014538","3.407441988633388","0.0","False","True","NM","0.2306818","# generated using pymatgen
data_Cu11S20
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.70194799
_cell_length_b   3.70194800
_cell_length_c   69.68520424
_cell_angle_alpha   57.91081525
_cell_angle_beta   57.91081533
_cell_angle_gamma   60.00000516
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cu11S20
_chemical_formula_sum   'Cu11 S20'
_cell_volume   653.16753201
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cu  Cu0  1  0.73909700  0.73909700  0.08913500  1
  Cu  Cu1  1  0.77909000  0.77909000  0.48313600  1
  Cu  Cu2  1  0.83523800  0.83523800  0.57471400  1
  Cu  Cu3  1  0.79354900  0.79354900  0.63096800  1
  Cu  Cu4  1  0.76968400  0.76968400  0.68454700  1
  Cu  Cu5  1  0.75500100  0.75500100  0.73675000  1
  Cu  Cu6  1  0.74406800  0.74406800  0.78839000  1
  Cu  Cu7  1  0.73437900  0.73437900  0.83984300  1
  Cu  Cu8  1  0.72300400  0.72300400  0.89154900  1
  Cu  Cu9  1  0.70418700  0.70418700  0.94437200  1
  Cu  Cu10  1  0.67994300  0.67994300  0.99800900  1
  S  S11  1  0.89971700  0.89971700  0.01504200  1
  S  S12  1  0.99980000  0.99980000  0.05003000  1
  S  S13  1  0.98995600  0.98995600  0.10150700  1
  S  S14  1  0.87060000  0.87060000  0.16941000  1
  S  S15  1  0.86808400  0.86808400  0.26978700  1
  S  S16  1  0.11398100  0.11398100  0.18290300  1
  S  S17  1  0.80305500  0.80305500  0.37954200  1
  S  S18  1  0.10930500  0.10930500  0.28360400  1
  S  S19  1  0.98203000  0.98203000  0.40269500  1
  S  S20  1  0.03518700  0.03518700  0.49472200  1
  S  S21  1  0.15098700  0.15098700  0.42735200  1
  S  S22  1  0.09255900  0.09255900  0.53611600  1
  S  S23  1  0.02556000  0.02556000  0.69616600  1
  S  S24  1  0.06974100  0.06974100  0.58953900  1
  S  S25  1  0.04435400  0.04435400  0.64334700  1
  S  S26  1  0.01364900  0.01364900  0.74795300  1
  S  S27  1  0.00413300  0.00413300  0.79938000  1
  S  S28  1  0.99273700  0.99273700  0.85109000  1
  S  S29  1  0.97615900  0.97615900  0.90357600  1
  S  S30  1  0.95116400  0.95116400  0.95732500  1
"
"True","mp-684898","Cu18S11","Triclinic","P1","1","29","0.077957171427204","-0.158733556641521","False","450.9666061676641","5.510536883129754","0.0","False","True","NM","0.001192","# generated using pymatgen
data_Cu18S11
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.83947600
_cell_length_b   3.85277390
_cell_length_c   35.09439750
_cell_angle_alpha   92.75187463
_cell_angle_beta   88.84361584
_cell_angle_gamma   119.57706128
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cu18S11
_chemical_formula_sum   'Cu18 S11'
_cell_volume   450.96660617
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cu  Cu0  1  0.03229400  0.06084700  0.08075200  1
  Cu  Cu1  1  0.31877200  0.72419000  0.15252000  1
  Cu  Cu2  1  0.58310000  0.90763700  0.21707900  1
  Cu  Cu3  1  0.82924000  0.54616900  0.25649200  1
  Cu  Cu4  1  0.07807300  0.14179200  0.33594900  1
  Cu  Cu5  1  0.19265400  0.38005000  0.40237200  1
  Cu  Cu6  1  0.52020500  0.03995000  0.43903000  1
  Cu  Cu7  1  0.85055500  0.69658500  0.52441100  1
  Cu  Cu8  1  0.88118100  0.76699900  0.65274000  1
  Cu  Cu9  1  0.24240000  0.49117800  0.74513500  1
  Cu  Cu10  1  0.20693300  0.40731900  0.60432700  1
  Cu  Cu11  1  0.56717900  0.13118700  0.69665700  1
  Cu  Cu12  1  0.60931900  0.22507200  0.83726900  1
  Cu  Cu13  1  0.99516900  0.98603000  0.93133100  1
  Cu  Cu14  1  0.93777300  0.86852000  0.79111500  1
  Cu  Cu15  1  0.32272100  0.63113800  0.88565400  1
  Cu  Cu16  1  0.33529500  0.67298800  0.96598100  1
  Cu  Cu17  1  0.67756000  0.36688600  0.99951900  1
  S  S18  1  0.01244800  0.03530500  0.00390300  1
  S  S19  1  0.36538900  0.72941600  0.08993500  1
  S  S20  1  0.71109400  0.45479400  0.18391900  1
  S  S21  1  0.48330200  0.95866000  0.36841000  1
  S  S22  1  0.14022400  0.20591600  0.27392600  1
  S  S23  1  0.85203600  0.70471200  0.45816100  1
  S  S24  1  0.54744300  0.09415800  0.63056600  1
  S  S25  1  0.18589600  0.37158600  0.54127000  1
  S  S26  1  0.90885600  0.81975100  0.72270900  1
  S  S27  1  0.64922700  0.29721400  0.90242600  1
  S  S28  1  0.27384500  0.54832000  0.81298800  1
"
"True","mp-12087","Cu2S","Cubic","Fm-3m","225","3","0.094264217708333","-0.11781005802083101","False","42.80679427061594","6.173936187608224","0.0","False","True","NM","0.0","# generated using pymatgen
data_Cu2S
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.92653284
_cell_length_b   3.92653284
_cell_length_c   3.92653284
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cu2S
_chemical_formula_sum   'Cu2 S1'
_cell_volume   42.80679427
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cu  Cu0  1  0.25000000  0.25000000  0.25000000  1
  Cu  Cu1  1  0.75000000  0.75000000  0.75000000  1
  S  S2  1  0.00000000  0.00000000  0.00000000  1
"
"True","mp-1225811","Cu2S","Orthorhombic","Imm2","44","3","0.05582426770833301","-0.156250008020832","False","45.756707050710325","5.775905506704364","0.160499999999999","False","False","NM","0.00021459999999900003","# generated using pymatgen
data_Cu2S
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.10850068
_cell_length_b   4.10850068
_cell_length_c   4.10850068
_cell_angle_alpha   96.34705194
_cell_angle_beta   59.13588425
_cell_angle_gamma   126.69439995
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cu2S
_chemical_formula_sum   'Cu2 S1'
_cell_volume   45.75670705
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cu  Cu0  1  0.61339900  0.29068800  0.09591300  1
  Cu  Cu1  1  0.61339900  0.70931200  0.67728900  1
  S  S2  1  0.94160200  0.00000000  0.05839800  1
"
"True","mp-1225835","Cu2S","Monoclinic","C2/c","15","6","0.05689535312499801","-0.15517892260416702","False","97.13586027431336","5.441582860881794","0.0","False","True","NM","0.0","# generated using pymatgen
data_Cu2S
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.93325001
_cell_length_b   3.93325001
_cell_length_c   7.17376784
_cell_angle_alpha   88.85331854
_cell_angle_beta   88.85331854
_cell_angle_gamma   118.84570471
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cu2S
_chemical_formula_sum   'Cu4 S2'
_cell_volume   97.13586027
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cu  Cu0  1  0.00000000  0.50000000  0.50000000  1
  Cu  Cu1  1  0.50000000  -0.00000000  0.00000000  1
  Cu  Cu2  1  0.01769423  0.98230577  0.25000000  1
  Cu  Cu3  1  0.98230577  0.01769423  0.75000000  1
  S  S4  1  0.36670425  0.63329575  0.25000000  1
  S  S5  1  0.63329575  0.36670425  0.75000000  1
"
"True","mp-1225993","Cu2S","Monoclinic","C2/m","12","6","0.061917154375001004","-0.150157121354165","False","151.93759268382877","3.478881184761393","1.2158","True","False","NM","7.21e-05","# generated using pymatgen
data_Cu2S
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.43325953
_cell_length_b   5.43325953
_cell_length_c   5.62789457
_cell_angle_alpha   89.52229093
_cell_angle_beta   89.52229093
_cell_angle_gamma   66.14561015
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cu2S
_chemical_formula_sum   'Cu4 S2'
_cell_volume   151.93759268
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cu  Cu0  1  0.50000000  0.50000000  0.50000000  1
  Cu  Cu1  1  0.50000000  0.00000000  0.50000000  1
  Cu  Cu2  1  0.00000000  0.50000000  0.50000000  1
  Cu  Cu3  1  0.50000000  0.50000000  0.00000000  1
  S  S4  1  0.31754200  0.31754200  0.24485200  1
  S  S5  1  0.68245800  0.68245800  0.75514800  1
"
"True","mp-1394093","Cu2S","Tetragonal","I-42d","122","6","0.12767740937499902","-0.084396866354166","False","84.7657540427957","6.235688438267789","0.0","False","True","NM","0.00015989999999900002","# generated using pymatgen
data_Cu2S
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.04328917
_cell_length_b   5.04328917
_cell_length_c   5.04328917
_cell_angle_alpha   98.72587081
_cell_angle_beta   98.72587081
_cell_angle_gamma   134.15371364
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cu2S
_chemical_formula_sum   'Cu4 S2'
_cell_volume   84.76575404
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cu  Cu0  1  0.12500000  0.78871700  0.16371700  1
  Cu  Cu1  1  0.21128300  0.37500000  0.33628300  1
  Cu  Cu2  1  0.62500000  0.96128300  0.83628300  1
  Cu  Cu3  1  0.03871700  0.87500000  0.66371700  1
  S  S4  1  0.50000000  0.50000000  0.00000000  1
  S  S5  1  0.75000000  0.25000000  0.50000000  1
"
"True","mp-2014814","Cu2S","Monoclinic","C2/m","12","6","0.07254491645833201","-0.13952935927083301","False","119.23849208518529","4.432904368398873","0.9229","False","False","NM","0.0","# generated using pymatgen
data_Cu2S
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.92968283
_cell_length_b   4.92968283
_cell_length_c   4.91325329
_cell_angle_alpha   91.84526149
_cell_angle_beta   91.84526149
_cell_angle_gamma   88.48682968
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cu2S
_chemical_formula_sum   'Cu4 S2'
_cell_volume   119.23849209
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cu  Cu0  1  0.50000000  0.50000000  0.50000000  1
  Cu  Cu1  1  0.50000000  0.00000000  0.50000000  1
  Cu  Cu2  1  0.00000000  0.50000000  0.50000000  1
  Cu  Cu3  1  0.50000000  0.50000000  0.00000000  1
  S  S4  1  0.24142154  0.24142154  0.22762580  1
  S  S5  1  0.75857846  0.75857846  0.77237420  1
"
"True","mp-2831205","Cu2S","Tetragonal","I4_1/amd","141","6","0.095501641041666","-0.11657263468749901","False","93.40556019080854","5.658901154984195","0.0","False","True","NM","0.0","# generated using pymatgen
data_Cu2S
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.30702068
_cell_length_b   5.30702068
_cell_length_c   5.30702068
_cell_angle_alpha   97.38638676
_cell_angle_beta   97.38638676
_cell_angle_gamma   137.97733282
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cu2S
_chemical_formula_sum   'Cu4 S2'
_cell_volume   93.40556019
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cu  Cu0  1  0.12500000  0.87437311  0.24937311  1
  Cu  Cu1  1  0.12562689  0.37500000  0.25062689  1
  Cu  Cu2  1  0.62500000  0.87562689  0.75062689  1
  Cu  Cu3  1  0.12437311  0.87500000  0.74937311  1
  S  S4  1  0.50000000  0.50000000  0.00000000  1
  S  S5  1  0.75000000  0.25000000  0.50000000  1
"
