"Synthesizable","Material ID","Formula","Crystal System","Space Group Symbol","Space Group Number","Sites","Energy Above Hull","Formation Energy","Predicted Stable","Volume","Density","Band Gap","Is Gap Direct","Is Metal","Magnetic Ordering","Total Magnetization","Structure"
"True","mp-684731","Ti13S24","Triclinic","P-1","2","37","0.001580217567565","-1.6392080771171171","False","711.8512177402151","3.246731468609211","0.0","False","True","NM","2.7e-06","# generated using pymatgen
data_Ti13S24
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   8.99818397
_cell_length_b   9.01032488
_cell_length_c   10.27190074
_cell_angle_alpha   112.36207898
_cell_angle_beta   112.42319463
_cell_angle_gamma   82.47642767
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ti13S24
_chemical_formula_sum   'Ti13 S24'
_cell_volume   711.85121774
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  0.48996501  0.50503098  0.66681949  1
  Ti  Ti1  1  0.99516284  0.99836872  0.66011780  1
  Ti  Ti2  1  0.74673705  0.24915161  0.83179884  1
  Ti  Ti3  1  -0.00000000  0.50000000  -0.00000000  1
  Ti  Ti4  1  0.24632851  0.75954978  0.83267517  1
  Ti  Ti5  1  0.50000000  0.50000000  -0.00000000  1
  Ti  Ti6  1  -0.00000000  -0.00000000  -0.00000000  1
  Ti  Ti7  1  0.75367149  0.24045022  0.16732483  1
  Ti  Ti8  1  0.25326295  0.75084839  0.16820116  1
  Ti  Ti9  1  0.51003499  0.49496902  0.33318051  1
  Ti  Ti10  1  0.00483716  0.00163128  0.33988220  1
  Ti  Ti11  1  0.75020546  0.24393225  0.49604203  1
  Ti  Ti12  1  0.24979454  0.75606775  0.50395797  1
  S  S13  1  0.46279330  0.29670891  0.75309122  1
  S  S14  1  0.96194491  0.79885148  0.75348185  1
  S  S15  1  0.71262826  0.04502311  0.91858431  1
  S  S16  1  0.20788649  0.54180744  0.91596131  1
  S  S17  1  0.79144140  0.45831620  0.75000585  1
  S  S18  1  0.28617201  0.95729168  0.74713955  1
  S  S19  1  0.46643158  0.29669210  0.08644291  1
  S  S20  1  0.95788366  0.79154900  0.08344633  1
  S  S21  1  0.04211634  0.20845100  0.91655367  1
  S  S22  1  0.53356842  0.70330790  0.91355709  1
  S  S23  1  0.20855860  0.54168380  0.24999415  1
  S  S24  1  0.71382799  0.04270832  0.25286045  1
  S  S25  1  0.79211351  0.45819256  0.08403869  1
  S  S26  1  0.28737174  0.95497689  0.08141569  1
  S  S27  1  0.46668387  0.29829107  0.42275502  1
  S  S28  1  0.96154307  0.79560427  0.41869567  1
  S  S29  1  0.03805509  0.20114852  0.24651815  1
  S  S30  1  0.53720670  0.70329109  0.24690878  1
  S  S31  1  0.21001643  0.54944794  0.58698043  1
  S  S32  1  0.71054552  0.04521211  0.58553605  1
  S  S33  1  0.78998357  0.45055206  0.41301957  1
  S  S34  1  0.28945448  0.95478789  0.41446395  1
  S  S35  1  0.03845693  0.20439573  0.58130433  1
  S  S36  1  0.53331613  0.70170893  0.57724498  1
"
"True","mp-616559","Ti2S","Orthorhombic","Pnnm","58","36","0.0","-1.254497415555554","True","527.413887485313","4.828433316784582","0.0","False","True","NM","4e-07","# generated using pymatgen
data_Ti2S
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.31829333
_cell_length_b   11.35121262
_cell_length_c   14.00214364
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ti2S
_chemical_formula_sum   'Ti24 S12'
_cell_volume   527.41388749
_cell_formula_units_Z   12
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  0.50000000  0.41065187  0.75689138  1
  Ti  Ti1  1  0.50000000  0.38173000  0.07759981  1
  Ti  Ti2  1  -0.00000000  0.81123880  0.20831072  1
  Ti  Ti3  1  -0.00000000  0.47043329  0.38968790  1
  Ti  Ti4  1  0.00000000  0.08934813  0.25689138  1
  Ti  Ti5  1  0.50000000  0.61827000  0.92240019  1
  Ti  Ti6  1  -0.00000000  0.58969773  0.07905441  1
  Ti  Ti7  1  0.00000000  0.91065187  0.74310862  1
  Ti  Ti8  1  0.50000000  0.91030227  0.57905441  1
  Ti  Ti9  1  -0.00000000  0.84712825  0.97982699  1
  Ti  Ti10  1  0.50000000  0.31123880  0.29168928  1
  Ti  Ti11  1  0.50000000  0.08969773  0.42094559  1
  Ti  Ti12  1  0.50000000  0.02956671  0.88968790  1
  Ti  Ti13  1  0.50000000  0.97043329  0.11031210  1
  Ti  Ti14  1  0.00000000  0.18876120  0.79168928  1
  Ti  Ti15  1  0.50000000  0.65287175  0.47982699  1
  Ti  Ti16  1  0.50000000  0.68876120  0.70831072  1
  Ti  Ti17  1  0.50000000  0.34712825  0.52017301  1
  Ti  Ti18  1  -0.00000000  0.41030227  0.92094559  1
  Ti  Ti19  1  -0.00000000  0.52956671  0.61031210  1
  Ti  Ti20  1  0.50000000  0.58934813  0.24310862  1
  Ti  Ti21  1  -0.00000000  0.88173000  0.42240019  1
  Ti  Ti22  1  0.00000000  0.15287175  0.02017301  1
  Ti  Ti23  1  0.00000000  0.11827000  0.57759981  1
  S  S24  1  -0.00000000  0.56567423  0.79393508  1
  S  S25  1  0.50000000  0.06567423  0.70606492  1
  S  S26  1  -0.00000000  0.43432577  0.20606492  1
  S  S27  1  -0.00000000  0.75374632  0.58882291  1
  S  S28  1  0.50000000  0.81370875  0.85053182  1
  S  S29  1  0.50000000  0.93432577  0.29393508  1
  S  S30  1  0.50000000  0.18629125  0.14946818  1
  S  S31  1  0.50000000  0.74625368  0.08882291  1
  S  S32  1  -0.00000000  0.31370875  0.64946818  1
  S  S33  1  0.50000000  0.25374632  0.91117709  1
  S  S34  1  -0.00000000  0.68629125  0.35053182  1
  S  S35  1  0.00000000  0.24625368  0.41117709  1
"
"True","mp-1101099","Ti2S3","Monoclinic","C2/m","12","10","0.0","-1.706255212833332","True","174.70125582799304","3.6485782658284","0.0","False","True","NM","0.0017821999999990002","# generated using pymatgen
data_Ti2S3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.94525855
_cell_length_b   5.94525855
_cell_length_c   6.03741726
_cell_angle_alpha   80.53890807
_cell_angle_beta   80.53890807
_cell_angle_gamma   119.92062322
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ti2S3
_chemical_formula_sum   'Ti4 S6'
_cell_volume   174.70125583
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  0.67301183  0.32698817  -0.00000000  1
  Ti  Ti1  1  0.32698817  0.67301183  -0.00000000  1
  Ti  Ti2  1  0.00000000  0.00000000  -0.00000000  1
  Ti  Ti3  1  0.50000000  0.50000000  0.50000000  1
  S  S4  1  0.41772942  0.08291486  0.74419496  1
  S  S5  1  0.08291486  0.41772942  0.74419496  1
  S  S6  1  0.74883802  0.74883802  0.75383890  1
  S  S7  1  0.58227058  0.91708514  0.25580504  1
  S  S8  1  0.25116198  0.25116198  0.24616110  1
  S  S9  1  0.91708514  0.58227058  0.25580504  1
"
"True","mp-1217192","Ti2S3","Monoclinic","C2/c","15","20","0.025767256499999003","-1.680487956333333","False","348.86142214986495","3.654237267616948","0.0","False","True","FM","1.4337438","# generated using pymatgen
data_Ti2S3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.97890785
_cell_length_b   5.97893772
_cell_length_c   11.79272735
_cell_angle_alpha   75.46504470
_cell_angle_beta   75.46527863
_cell_angle_gamma   59.83529449
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ti2S3
_chemical_formula_sum   'Ti8 S12'
_cell_volume   348.86142215
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  0.54019903  0.70827718  0.37906344  1
  Ti  Ti1  1  0.87214585  0.03749605  0.38252906  1
  Ti  Ti2  1  0.12787171  0.96247220  0.61747989  1
  Ti  Ti3  1  0.45980493  0.29174300  0.62094607  1
  Ti  Ti4  1  0.70828929  0.54019692  0.87902514  1
  Ti  Ti5  1  0.03750838  0.87214673  0.88250231  1
  Ti  Ti6  1  0.29172034  0.45980087  0.12094906  1
  Ti  Ti7  1  0.96249296  0.12785028  0.11748631  1
  S  S8  1  0.75631684  0.91484209  0.74766395  1
  S  S9  1  0.41339721  0.58660113  0.74998959  1
  S  S10  1  0.08515845  0.24366931  0.75233160  1
  S  S11  1  0.58662405  0.41341559  0.25005747  1
  S  S12  1  0.24367736  0.08507710  0.25239011  1
  S  S13  1  0.91477468  0.75633255  0.24772541  1
  S  S14  1  0.50001209  -0.00002445  0.49997581  1
  S  S15  1  0.16457949  0.65947474  0.49907229  1
  S  S16  1  0.83539644  0.34060193  0.50088409  1
  S  S17  1  0.34060056  0.83541716  0.00088903  1
  S  S18  1  0.99997182  0.50003901  -0.00002298  1
  S  S19  1  0.65945853  0.16457159  0.99906236  1
"
"True","mp-1217073","Ti3S2","Trigonal","R32","155","5","0.29887206249999904","-1.141571572999999","False","82.55670513709327","4.178284977229527","0.0","False","True","NM","0.000177","# generated using pymatgen
data_Ti3S2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.50519936
_cell_length_b   4.50519936
_cell_length_c   4.50519983
_cell_angle_alpha   74.05788390
_cell_angle_beta   74.05788390
_cell_angle_gamma   74.05789084
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ti3S2
_chemical_formula_sum   'Ti3 S2'
_cell_volume   82.55670514
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  0.00000000  0.33565500  0.66434500  1
  Ti  Ti1  1  0.33565500  0.66434500  0.00000000  1
  Ti  Ti2  1  0.66434500  0.00000000  0.33565500  1
  S  S3  1  0.83216100  0.83216100  0.83216100  1
  S  S4  1  0.16783900  0.16783900  0.16783900  1
"
"True","mp-1101100","Ti3S4","Trigonal","P3m1","156","7","2.557748039285713","0.847747754285715","False","884.9823556669497","0.5101071318475341","0.2669","False","False","FiM","0.00046649999999900005","# generated using pymatgen
data_Ti3S4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   12.57709700
_cell_length_b   12.57709768
_cell_length_c   6.46015800
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000085
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ti3S4
_chemical_formula_sum   'Ti3 S4'
_cell_volume   884.98235567
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  0.33333300  0.66666700  0.72484100  1
  Ti  Ti1  1  0.66666700  0.33333300  0.52568200  1
  Ti  Ti2  1  0.66666700  0.33333300  0.22570000  1
  S  S3  1  0.00000000  0.00000000  0.72712300  1
  S  S4  1  0.00000000  0.00000000  0.02163800  1
  S  S5  1  0.33333300  0.66666700  0.39934100  1
  S  S6  1  0.66666700  0.33333300  0.87567600  1
"
"True","mp-1217101","Ti3S4","Trigonal","P3m1","156","7","0.10292915214285601","-1.607071132857142","False","121.36253896456145","3.7197294571825372","0.0","False","True","NM","0.0025555","# generated using pymatgen
data_Ti3S4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.44438396
_cell_length_b   3.44438396
_cell_length_c   11.81220300
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   119.99999926
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ti3S4
_chemical_formula_sum   'Ti3 S4'
_cell_volume   121.36253896
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  0.33333300  0.66666700  0.38489400  1
  Ti  Ti1  1  0.33333300  0.66666700  0.11136000  1
  Ti  Ti2  1  0.66666700  0.33333300  0.87719800  1
  S  S3  1  0.66666700  0.33333300  0.25090800  1
  S  S4  1  0.33333300  0.66666700  0.75884100  1
  S  S5  1  0.00000000  0.00000000  0.50145500  1
  S  S6  1  0.00000000  0.00000000  0.00034400  1
"
"True","mp-1217121","Ti3S4","Trigonal","P-3m1","164","7","0.22212820499999802","-1.487872079999999","False","121.45163269538448","3.717000761259412","0.0","False","True","NM","0.0010027","# generated using pymatgen
data_Ti3S4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.40642784
_cell_length_b   3.40642784
_cell_length_c   12.08577000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   119.99999690
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ti3S4
_chemical_formula_sum   'Ti3 S4'
_cell_volume   121.45163270
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  0.33333300  0.66666700  0.24448300  1
  Ti  Ti1  1  0.66666700  0.33333300  0.75551700  1
  Ti  Ti2  1  0.00000000  0.00000000  0.50000000  1
  S  S3  1  0.33333300  0.66666700  0.87255600  1
  S  S4  1  0.66666700  0.33333300  0.12744400  1
  S  S5  1  0.66666700  0.33333300  0.37634500  1
  S  S6  1  0.33333300  0.66666700  0.62365500  1
"
"True","mp-1208223","Ti5S8","Monoclinic","C2/m","12","13","0.0","-1.696053202820513","True","235.92243040526603","3.490073400204189","0.0","False","True","NM","0.0005145","# generated using pymatgen
data_Ti5S8
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.72296615
_cell_length_b   6.72196465
_cell_length_c   6.86279996
_cell_angle_alpha   105.32334008
_cell_angle_beta   104.39521155
_cell_angle_gamma   118.45925052
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ti5S8
_chemical_formula_sum   'Ti5 S8'
_cell_volume   235.92243041
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  0.26414244  0.76418868  0.49996527  1
  Ti  Ti1  1  0.73585756  0.23581132  0.50003473  1
  Ti  Ti2  1  0.25567657  0.75475374  0.01022168  1
  Ti  Ti3  1  0.74432343  0.24524626  0.98977832  1
  Ti  Ti4  1  0.00000000  -0.00000000  0.00000000  1
  S  S5  1  0.54101121  0.79175657  0.33272735  1
  S  S6  1  0.45898879  0.20824343  0.66727265  1
  S  S7  1  0.45759367  0.21099673  0.16946556  1
  S  S8  1  0.54240633  0.78900327  0.83053444  1
  S  S9  1  0.04155215  0.28812981  0.83054843  1
  S  S10  1  0.95844785  0.71187019  0.16945157  1
  S  S11  1  0.03600378  0.29492398  0.33103505  1
  S  S12  1  0.96399622  0.70507602  0.66896495  1
"
"True","mp-1217163","Ti5S8","Monoclinic","Pm","6","13","0.037241329230768005","-1.6588118735897441","False","242.38175781855261","3.397065052582594","0.0","False","True","FM","2.3448229","# generated using pymatgen
data_Ti5S8
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.44035618
_cell_length_b   5.97308518
_cell_length_c   11.94064255
_cell_angle_alpha   81.04190592
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ti5S8
_chemical_formula_sum   'Ti5 S8'
_cell_volume   242.38175782
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ti  Ti0  1  -0.00000000  0.01010061  0.00282903  1
  Ti  Ti1  1  0.50000000  0.49525263  0.99852494  1
  Ti  Ti2  1  0.00000000  0.49770317  0.49381173  1
  Ti  Ti3  1  0.50000000  0.99678067  0.50145964  1
  Ti  Ti4  1  0.50000000  0.41365425  0.26348227  1
  S  S5  1  0.50000000  0.29802685  0.61286814  1
  S  S6  1  -0.00000000  0.79407823  0.61620019  1
  S  S7  1  0.50000000  0.71390467  0.37314667  1
  S  S8  1  0.00000000  0.19571237  0.37259525  1
  S  S9  1  0.00000000  0.62471078  0.13063794  1
  S  S10  1  0.50000000  0.13224911  0.12790375  1
  S  S11  1  0.00000000  0.36901744  0.88208795  1
  S  S12  1  0.50000000  0.87022821  0.89019249  1
"
