source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Ag2PdO2_5495,0.0000000000,read,real,scaling,value,N/A
Ag2PdO2_5495,0.0000000000,read,real,scaling,value,N/A
Ag2PdO2_5495,0.0000000000,read,real,scaling,value,N/A
Ag2PdO2_5495,0.0000000000,read,real,scaling,value,N/A
Ag2PdO2_5495,0.0000000000,read,real,scaling,value,N/A
Ag2PdO2_5495,0.0000000000,read,real,scaling,value,N/A
Ag2PdO2_5495,0.0000000000,read,real,scaling,value,N/A
Ag2PdO2_5495,0.0000000000,read,real,scaling,value,N/A
Ag2PdO2_5495,0.0000000000,read,real,scaling,value,N/A
Ag2PdO2_5495,0.0000000000,read,real,scaling,value,N/A
Ag2PdO2_5495,0.0000000000,read,real,scaling,value,N/A
Ag2PdO2_5495,0.0000000000,read,real,scaling,value,N/A
Ag2PdO2_5495,0.0000000000,read,real,scaling,value,N/A
Ag2PdO2_5495,0.0000000000,read,real,scaling,value,N/A
Ag2PdO2_5495,0.0000000000,read,real,scaling,value,N/A
Ag2PdO2_5495,0.0000000000,read,real,scaling,value,N/A
Ag2PdO2_5495,0.0000000000,read,real,scaling,value,N/A
Ag2PdO2_5495,0.0000000000,read,real,scaling,value,N/A
Ag2PdO2_5495,0.0000000000,read,real,scaling,value,N/A
Ag2PdO2_5495,0.0000000000,read,real,scaling,value,N/A
Ag2PdO2_5495,0.0000000000,read,real,scaling,value,N/A
Ag2PdO2_5495,0.0000000000,read,real,scaling,value,N/A
Ag2PdO2_5495,0.0000000000,read,real,scaling,value,N/A
Ag2PdO2_5495,0.0000000000,read,real,scaling,value,N/A
Ag2PdO2_5495,0.0000000000,read,real,scaling,value,N/A
Ag2PdO2_5495,0.0000000000,read,real,scaling,value,N/A
Ag2PdO2_5495,0.0000000000,read,real,scaling,value,N/A
Ag2PdO2_5495,0.0000000000,read,real,scaling,value,N/A
Ag2PdO2_5495,0.0000000000,read,real,scaling,value,N/A
Ag2PdO2_5495,0.0000000000,read,real,scaling,value,N/A
Ag2PdO2_5495,0.0000000000,read,real,scaling,value,N/A
Ag2PdO2_5495,0.0000000000,read,real,scaling,value,N/A
Ag2PdO2_5495,0.0000000000,read,real,scaling,value,N/A
Ag2PdO2_5495,0.0000000000,read,real,scaling,value,N/A
Ag2PdO2_5495,0.0000000000,read,real,scaling,value,N/A
Ag2PdO2_5495_POSCAR,3.1653620948,17.3446,6.4556,268.6130,10.3708,-1.4370919075371E-01
Ag2PdO2_5495_POSCAR,3.7984345138,9.9458,4.5690,268.6130,10.3708,-7.6059058377070E-02
Ag2PdO2_5495_POSCAR,3.3763862345,15.0501,5.8506,268.6130,10.3708,-1.1496090995211E-01
Ag2PdO2_5495_POSCAR,3.5874103741,12.5755,5.2273,268.6130,10.3708,-9.2849585691448E-02
Ag2PdO2_5495_POSCAR,4.0094586535,7.3878,3.8986,268.6130,10.3708,-6.4327963993895E-02
Ag2PdO2_5495_POSCAR,4.4315069328,3.2810,2.3669,268.6130,10.3729,-5.1905759494852E-02
Ag2PdO2_5495_POSCAR,4.6425310724,2.0032,1.6237,268.6140,10.9643,-4.9880033433189E-02
Ag2PdO2_5495_POSCAR,4.2204827931,5.1021,3.1620,268.6130,10.3708,-5.6770345955978E-02
Ag2PdO2_5495_POSCAR,4.8535552121,1.1957,1.0395,269.1332,12.7792,-4.8029526691806E-02
Ag2PdO2_5495_POSCAR,5.2756034914,0.4372,0.3920,354.7997,14.6517,-6.0304388356734E-02
