source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
ScAgO2_1096798,0.0000000000,read,real,scaling,value,N/A
ScAgO2_1096798,0.0000000000,read,real,scaling,value,N/A
ScAgO2_1096798,0.0000000000,read,real,scaling,value,N/A
ScAgO2_1096798,0.0000000000,read,real,scaling,value,N/A
ScAgO2_1096798,0.0000000000,read,real,scaling,value,N/A
ScAgO2_1096798,0.0000000000,read,real,scaling,value,N/A
ScAgO2_1096798,0.0000000000,read,real,scaling,value,N/A
ScAgO2_1096798,0.0000000000,read,real,scaling,value,N/A
ScAgO2_1096798,0.0000000000,read,real,scaling,value,N/A
ScAgO2_1096798,0.0000000000,read,real,scaling,value,N/A
ScAgO2_1096798,0.0000000000,read,real,scaling,value,N/A
ScAgO2_1096798,0.0000000000,read,real,scaling,value,N/A
ScAgO2_1096798,0.0000000000,read,real,scaling,value,N/A
ScAgO2_1096798,0.0000000000,read,real,scaling,value,N/A
ScAgO2_1096798,0.0000000000,read,real,scaling,value,N/A
ScAgO2_1096798,0.0000000000,read,real,scaling,value,N/A
ScAgO2_1096798,0.0000000000,read,real,scaling,value,N/A
ScAgO2_1096798,0.0000000000,read,real,scaling,value,N/A
ScAgO2_1096798,0.0000000000,read,real,scaling,value,N/A
ScAgO2_1096798,0.0000000000,read,real,scaling,value,N/A
ScAgO2_1096798,0.0000000000,read,real,scaling,value,N/A
ScAgO2_1096798,0.0000000000,read,real,scaling,value,N/A
ScAgO2_1096798,0.0000000000,read,real,scaling,value,N/A
ScAgO2_1096798,0.0000000000,read,real,scaling,value,N/A
ScAgO2_1096798,0.0000000000,read,real,scaling,value,N/A
ScAgO2_1096798,0.0000000000,read,real,scaling,value,N/A
ScAgO2_1096798,0.0000000000,read,real,scaling,value,N/A
ScAgO2_1096798,0.0000000000,read,real,scaling,value,N/A
ScAgO2_1096798,0.0000000000,read,real,scaling,value,N/A
ScAgO2_1096798,0.0000000000,read,real,scaling,value,N/A
ScAgO2_1096798,0.0000000000,read,real,scaling,value,N/A
ScAgO2_1096798,0.0000000000,read,real,scaling,value,N/A
ScAgO2_1096798,0.0000000000,read,real,scaling,value,N/A
ScAgO2_1096798,0.0000000000,read,real,scaling,value,N/A
ScAgO2_1096798,0.0000000000,read,real,scaling,value,N/A
ScAgO2_1096798_POSCAR,2.6283337544,16.6434,4.2603,313.9846,10.3708,-7.3472030116521E-02
ScAgO2_1096798_POSCAR,2.7829416223,15.0884,4.1048,313.9846,10.3708,-6.1388963677098E-02
ScAgO2_1096798_POSCAR,2.3191180186,21.9841,5.1820,313.9846,10.3708,-1.0385514860626E-01
ScAgO2_1096798_POSCAR,2.4737258865,18.7655,4.5478,313.9846,10.3708,-8.7571253406305E-02
ScAgO2_1096798_POSCAR,2.9375494902,13.8146,3.9725,313.9846,10.3708,-5.1806629358593E-02
ScAgO2_1096798_POSCAR,3.0921573581,12.5630,3.7939,313.9846,10.3708,-4.4230960664509E-02
ScAgO2_1096798_POSCAR,3.2467652260,11.0498,3.5239,313.9846,10.3708,-3.8145313907859E-02
ScAgO2_1096798_POSCAR,3.4013730940,9.1903,3.1487,313.9846,10.3708,-3.3396254615921E-02
ScAgO2_1096798_POSCAR,3.5559809619,7.1663,2.6737,313.9846,10.3710,-2.9651306851579E-02
ScAgO2_1096798_POSCAR,3.7105888298,5.2430,2.1233,313.9846,10.3853,-2.6913496268642E-02
ScAgO2_1096798_POSCAR,4.0198045656,2.3991,1.0787,318.6366,12.7456,-2.5211786948702E-02
ScAgO2_1096798_POSCAR,3.8651966977,3.6227,1.5637,313.9849,11.2047,-2.6452595538037E-02
ScAgO2_1096798_POSCAR,4.1744124335,1.5537,0.7136,324.5580,13.1956,-2.2760543153260E-02
ScAgO2_1096798_POSCAR,4.3290203014,1.0024,0.4639,532.6415,14.2907,-2.3979627077418E-02
ScAgO2_1096798_POSCAR,4.4836281693,0.6526,0.3018,1495.9389,15.0081,-3.3636179669227E-02
ScAgO2_1096798_POSCAR,4.6382360372,0.4320,0.1986,1521.4578,15.2613,-2.9586088564282E-02
ScAgO2_1096798_POSCAR,4.7928439051,0.2916,0.1329,1522.3428,15.3551,-2.5770554144100E-02
ScAgO2_1096798_POSCAR,5.1020596409,0.1415,0.0632,1522.4543,15.4171,-1.9741943608123E-02
ScAgO2_1096798_POSCAR,4.9474517730,0.2010,0.0908,1522.4352,15.3963,-2.2511832932025E-02
ScAgO2_1096798_POSCAR,5.2566675088,0.1016,0.0449,1522.4603,15.4288,-1.7346425327327E-02
ScAgO2_1096798_POSCAR,5.4112753767,0.0743,0.0325,1522.4627,15.4358,-1.5226163278638E-02
ScAgO2_1096798_POSCAR,5.5658832446,0.0553,0.0240,1522.4639,15.4403,-1.3325267532232E-02
ScAgO2_1096798_POSCAR,5.7204911126,0.0418,0.0180,1522.4646,15.4433,-1.1626824339236E-02
ScAgO2_1096798_POSCAR,5.8750989805,0.0321,0.0137,1522.4650,15.4453,-1.0127997893628E-02
ScAgO2_1096798_POSCAR,6.0297068484,0.0250,0.0106,1522.4652,15.4468,-8.8244927246341E-03
ScAgO2_1096798_POSCAR,6.1843147163,0.0197,0.0083,1522.4654,15.4478,-7.7029309010539E-03
ScAgO2_1096798_POSCAR,6.3389225842,0.0158,0.0066,1522.4656,15.4486,-6.7425040438277E-03
ScAgO2_1096798_POSCAR,6.4935304521,0.0127,0.0053,1522.4656,15.4491,-5.9186499702806E-03
ScAgO2_1096798_POSCAR,6.6481383200,0.0104,0.0043,1522.4657,15.4496,-5.2074736550889E-03
ScAgO2_1096798_POSCAR,6.8027461879,0.0085,0.0035,1522.4658,15.4499,-4.5881726867817E-03
ScAgO2_1096798_POSCAR,6.9573540558,0.0071,0.0029,1522.4658,15.4502,-4.0463187609781E-03
ScAgO2_1096798_POSCAR,7.1119619237,0.0059,0.0024,1522.4658,15.4504,-3.5700128876260E-03
ScAgO2_1096798_POSCAR,7.4211776595,0.0043,0.0017,1522.4659,15.4507,-2.7816224474561E-03
ScAgO2_1096798_POSCAR,7.2665697916,0.0050,0.0021,1522.4659,15.4506,-3.1508163213292E-03
ScAgO2_1096798_POSCAR,7.5757855274,0.0037,0.0015,1522.4659,15.4508,-2.4575369146982E-03
ScAgO2_11022,0.0000000000,read,real,scaling,value,N/A
ScAgO2_11022,0.0000000000,read,real,scaling,value,N/A
ScAgO2_11022,0.0000000000,read,real,scaling,value,N/A
ScAgO2_11022,0.0000000000,read,real,scaling,value,N/A
ScAgO2_11022,0.0000000000,read,real,scaling,value,N/A
ScAgO2_11022,0.0000000000,read,real,scaling,value,N/A
ScAgO2_11022,0.0000000000,read,real,scaling,value,N/A
ScAgO2_11022,0.0000000000,read,real,scaling,value,N/A
ScAgO2_11022,0.0000000000,read,real,scaling,value,N/A
ScAgO2_11022,0.0000000000,read,real,scaling,value,N/A
ScAgO2_11022,0.0000000000,read,real,scaling,value,N/A
ScAgO2_11022,0.0000000000,read,real,scaling,value,N/A
ScAgO2_11022,0.0000000000,read,real,scaling,value,N/A
ScAgO2_11022,0.0000000000,read,real,scaling,value,N/A
ScAgO2_11022,0.0000000000,read,real,scaling,value,N/A
ScAgO2_11022,0.0000000000,read,real,scaling,value,N/A
ScAgO2_11022,0.0000000000,read,real,scaling,value,N/A
ScAgO2_11022,0.0000000000,read,real,scaling,value,N/A
ScAgO2_11022,0.0000000000,read,real,scaling,value,N/A
ScAgO2_11022,0.0000000000,read,real,scaling,value,N/A
ScAgO2_11022,0.0000000000,read,real,scaling,value,N/A
ScAgO2_11022,0.0000000000,read,real,scaling,value,N/A
ScAgO2_11022,0.0000000000,read,real,scaling,value,N/A
ScAgO2_11022,0.0000000000,read,real,scaling,value,N/A
ScAgO2_11022,0.0000000000,read,real,scaling,value,N/A
ScAgO2_11022,0.0000000000,read,real,scaling,value,N/A
ScAgO2_11022,0.0000000000,read,real,scaling,value,N/A
ScAgO2_11022,0.0000000000,read,real,scaling,value,N/A
ScAgO2_11022,0.0000000000,read,real,scaling,value,N/A
ScAgO2_11022,0.0000000000,read,real,scaling,value,N/A
ScAgO2_11022,0.0000000000,read,real,scaling,value,N/A
ScAgO2_11022,0.0000000000,read,real,scaling,value,N/A
ScAgO2_11022,0.0000000000,read,real,scaling,value,N/A
ScAgO2_11022,0.0000000000,read,real,scaling,value,N/A
ScAgO2_11022,0.0000000000,read,real,scaling,value,N/A
ScAgO2_11022_POSCAR,2.7297096180,17.3582,4.2676,313.9846,10.3708,-1.3798106341723E-01
ScAgO2_11022_POSCAR,2.4085673100,21.2538,5.1930,313.9846,10.3708,-2.0473135181852E-01
ScAgO2_11022_POSCAR,2.5691384640,19.0273,4.5516,313.9846,10.3708,-1.6734655078895E-01
ScAgO2_11022_POSCAR,2.8902807720,15.6329,4.1249,313.9846,10.3708,-1.1742527858766E-01
ScAgO2_11022_POSCAR,3.0508519260,13.9022,4.0212,313.9846,10.3708,-1.0346056035240E-01
ScAgO2_11022_POSCAR,3.2114230800,12.2689,3.8892,313.9846,10.3708,-9.1756119177544E-02
ScAgO2_11022_POSCAR,3.3719942340,10.5924,3.6654,313.9846,10.3708,-7.9909701493576E-02
ScAgO2_11022_POSCAR,3.5325653880,8.7720,3.2967,313.9846,10.3708,-6.8506463077632E-02
ScAgO2_11022_POSCAR,3.6931365420,6.8937,2.7734,313.9846,10.3709,-5.8557582411588E-02
ScAgO2_11022_POSCAR,4.0142788500,3.5744,1.5472,313.9851,11.2788,-4.6139544830008E-02
ScAgO2_11022_POSCAR,4.1748500040,2.3853,1.0457,318.9359,12.7742,-4.4883304632648E-02
ScAgO2_11022_POSCAR,3.8537076960,5.1116,2.1543,313.9846,10.3821,-5.0395850923775E-02
ScAgO2_11022_POSCAR,4.3354211580,1.5508,0.6827,324.5610,13.2851,-4.1132530496663E-02
ScAgO2_11022_POSCAR,4.8171346200,0.4317,0.1882,1521.4615,15.2791,-5.5544223950374E-02
ScAgO2_11022_POSCAR,4.4959923120,1.0020,0.4407,533.5836,14.4120,-4.4170928245334E-02
ScAgO2_11022_POSCAR,4.6565634660,0.6525,0.2859,1495.9642,15.0571,-6.3048238641673E-02
ScAgO2_11022_POSCAR,4.9777057740,0.2911,0.1262,1522.3437,15.3626,-4.8445939724006E-02
ScAgO2_11022_POSCAR,5.1382769280,0.2005,0.0863,1522.4355,15.3999,-4.2405389448365E-02
ScAgO2_11022_POSCAR,5.2988480820,0.1410,0.0603,1522.4544,15.4191,-3.7303818007570E-02
ScAgO2_11022_POSCAR,5.4594192360,0.1011,0.0430,1522.4603,15.4299,-3.2918567672808E-02
ScAgO2_11022_POSCAR,5.6199903900,0.0740,0.0312,1522.4627,15.4365,-2.9049009320635E-02
ScAgO2_11022_POSCAR,5.7805615440,0.0550,0.0231,1522.4639,15.4407,-2.5569779888963E-02
ScAgO2_11022_POSCAR,5.9411326980,0.0416,0.0173,1522.4646,15.4436,-2.2440569261229E-02
ScAgO2_11022_POSCAR,6.1017038520,0.0319,0.0132,1522.4650,15.4455,-1.9654294332891E-02
ScAgO2_11022_POSCAR,6.2622750060,0.0248,0.0102,1522.4653,15.4469,-1.7209822169490E-02
ScAgO2_11022_POSCAR,6.4228461600,0.0195,0.0080,1522.4654,15.4479,-1.5088113444710E-02
ScAgO2_11022_POSCAR,6.5834173140,0.0156,0.0064,1522.4656,15.4487,-1.3258552974495E-02
ScAgO2_11022_POSCAR,6.7439884680,0.0126,0.0051,1522.4656,15.4492,-1.1678215525061E-02
ScAgO2_11022_POSCAR,6.9045596220,0.0103,0.0042,1522.4657,15.4496,-1.0305779979147E-02
ScAgO2_11022_POSCAR,7.0651307760,0.0085,0.0034,1522.4658,15.4500,-9.1058525011801E-03
ScAgO2_11022_POSCAR,7.2257019300,0.0070,0.0028,1522.4658,15.4502,-8.0498513368947E-03
ScAgO2_11022_POSCAR,7.3862730840,0.0059,0.0024,1522.4658,15.4504,-7.1159987016889E-03
ScAgO2_11022_POSCAR,7.5468442380,0.0049,0.0020,1522.4659,15.4506,-6.2900466635547E-03
ScAgO2_11022_POSCAR,7.7074153920,0.0042,0.0017,1522.4659,15.4507,-5.5607859044426E-03
