source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
TiAg2O3_29160,0.0000000000,read,real,scaling,value,N/A
TiAg2O3_29160,0.0000000000,read,real,scaling,value,N/A
TiAg2O3_29160,0.0000000000,read,real,scaling,value,N/A
TiAg2O3_29160,0.0000000000,read,real,scaling,value,N/A
TiAg2O3_29160,0.0000000000,read,real,scaling,value,N/A
TiAg2O3_29160,0.0000000000,read,real,scaling,value,N/A
TiAg2O3_29160,0.0000000000,read,real,scaling,value,N/A
TiAg2O3_29160,0.0000000000,read,real,scaling,value,N/A
TiAg2O3_29160,0.0000000000,read,real,scaling,value,N/A
TiAg2O3_29160,0.0000000000,read,real,scaling,value,N/A
TiAg2O3_29160,0.0000000000,read,real,scaling,value,N/A
TiAg2O3_29160,0.0000000000,read,real,scaling,value,N/A
TiAg2O3_29160,0.0000000000,read,real,scaling,value,N/A
TiAg2O3_29160,0.0000000000,read,real,scaling,value,N/A
TiAg2O3_29160,0.0000000000,read,real,scaling,value,N/A
TiAg2O3_29160,0.0000000000,read,real,scaling,value,N/A
TiAg2O3_29160,0.0000000000,read,real,scaling,value,N/A
TiAg2O3_29160,0.0000000000,read,real,scaling,value,N/A
TiAg2O3_29160,0.0000000000,read,real,scaling,value,N/A
TiAg2O3_29160,0.0000000000,read,real,scaling,value,N/A
TiAg2O3_29160,0.0000000000,read,real,scaling,value,N/A
TiAg2O3_29160,0.0000000000,read,real,scaling,value,N/A
TiAg2O3_29160,0.0000000000,read,real,scaling,value,N/A
TiAg2O3_29160,0.0000000000,read,real,scaling,value,N/A
TiAg2O3_29160,0.0000000000,read,real,scaling,value,N/A
TiAg2O3_29160,0.0000000000,read,real,scaling,value,N/A
TiAg2O3_29160,0.0000000000,read,real,scaling,value,N/A
TiAg2O3_29160,0.0000000000,read,real,scaling,value,N/A
TiAg2O3_29160,0.0000000000,read,real,scaling,value,N/A
TiAg2O3_29160,0.0000000000,read,real,scaling,value,N/A
TiAg2O3_29160,0.0000000000,read,real,scaling,value,N/A
TiAg2O3_29160,0.0000000000,read,real,scaling,value,N/A
TiAg2O3_29160,0.0000000000,read,real,scaling,value,N/A
TiAg2O3_29160,0.0000000000,read,real,scaling,value,N/A
TiAg2O3_29160,0.0000000000,read,real,scaling,value,N/A
TiAg2O3_29160_POSCAR,8.2995354647,13.1817,3.4159,321.5890,10.3708,-3.5592700477992E-01
TiAg2O3_29160_POSCAR,7.8384501611,15.4249,3.8209,321.5890,10.3708,-4.0647349230485E-01
TiAg2O3_29160_POSCAR,6.9162795539,20.0812,5.5375,321.5890,10.3708,-6.0145475570685E-01
TiAg2O3_29160_POSCAR,7.3773648575,17.7497,4.4996,321.5890,10.3708,-4.8340368299910E-01
TiAg2O3_29160_POSCAR,9.6827913754,7.7050,2.7536,321.5890,10.3709,-2.5137625032623E-01
TiAg2O3_29160_POSCAR,9.2217060718,9.2951,2.9794,321.5890,10.3708,-2.8438251416871E-01
TiAg2O3_29160_POSCAR,10.1438766790,6.3718,2.4516,321.5890,10.3719,-2.2047669807241E-01
TiAg2O3_29160_POSCAR,8.7606207682,11.1343,3.1726,321.5890,10.3708,-3.1833256069783E-01
TiAg2O3_29160_POSCAR,10.6049619826,5.2099,2.0740,321.5890,10.3922,-1.9370615571316E-01
TiAg2O3_29160_POSCAR,11.0660472862,4.1281,1.6526,321.5890,10.8669,-1.7649371661143E-01
TiAg2O3_29160_POSCAR,11.9882178934,2.2366,0.8696,301.9997,12.9217,-1.6153512310764E-01
TiAg2O3_29160_POSCAR,11.5271325898,3.1175,1.2349,321.3337,12.5224,-1.7379802004624E-01
TiAg2O3_29160_POSCAR,12.4493031970,1.5382,0.5862,302.0664,13.6611,-1.4474609974033E-01
