source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Zn2Ag2O5_1337210,0.0000000000,read,real,scaling,value,N/A
Zn2Ag2O5_1337210,0.0000000000,read,real,scaling,value,N/A
Zn2Ag2O5_1337210,0.0000000000,read,real,scaling,value,N/A
Zn2Ag2O5_1337210,0.0000000000,read,real,scaling,value,N/A
Zn2Ag2O5_1337210,0.0000000000,read,real,scaling,value,N/A
Zn2Ag2O5_1337210,0.0000000000,read,real,scaling,value,N/A
Zn2Ag2O5_1337210,0.0000000000,read,real,scaling,value,N/A
Zn2Ag2O5_1337210,0.0000000000,read,real,scaling,value,N/A
Zn2Ag2O5_1337210,0.0000000000,read,real,scaling,value,N/A
Zn2Ag2O5_1337210,0.0000000000,read,real,scaling,value,N/A
Zn2Ag2O5_1337210,0.0000000000,read,real,scaling,value,N/A
Zn2Ag2O5_1337210,0.0000000000,read,real,scaling,value,N/A
Zn2Ag2O5_1337210,0.0000000000,read,real,scaling,value,N/A
Zn2Ag2O5_1337210,0.0000000000,read,real,scaling,value,N/A
Zn2Ag2O5_1337210,0.0000000000,read,real,scaling,value,N/A
Zn2Ag2O5_1337210,0.0000000000,read,real,scaling,value,N/A
Zn2Ag2O5_1337210,0.0000000000,read,real,scaling,value,N/A
Zn2Ag2O5_1337210,0.0000000000,read,real,scaling,value,N/A
Zn2Ag2O5_1337210,0.0000000000,read,real,scaling,value,N/A
Zn2Ag2O5_1337210,0.0000000000,read,real,scaling,value,N/A
Zn2Ag2O5_1337210,0.0000000000,read,real,scaling,value,N/A
Zn2Ag2O5_1337210,0.0000000000,read,real,scaling,value,N/A
Zn2Ag2O5_1337210,0.0000000000,read,real,scaling,value,N/A
Zn2Ag2O5_1337210,0.0000000000,read,real,scaling,value,N/A
Zn2Ag2O5_1337210,0.0000000000,read,real,scaling,value,N/A
Zn2Ag2O5_1337210,0.0000000000,read,real,scaling,value,N/A
Zn2Ag2O5_1337210,0.0000000000,read,real,scaling,value,N/A
Zn2Ag2O5_1337210,0.0000000000,read,real,scaling,value,N/A
Zn2Ag2O5_1337210,0.0000000000,read,real,scaling,value,N/A
Zn2Ag2O5_1337210,0.0000000000,read,real,scaling,value,N/A
Zn2Ag2O5_1337210,0.0000000000,read,real,scaling,value,N/A
Zn2Ag2O5_1337210,0.0000000000,read,real,scaling,value,N/A
Zn2Ag2O5_1337210,0.0000000000,read,real,scaling,value,N/A
Zn2Ag2O5_1337210,0.0000000000,read,real,scaling,value,N/A
Zn2Ag2O5_1337210,0.0000000000,read,real,scaling,value,N/A
Zn2Ag2O5_1337210_POSCAR,3.3097401000,7.8218,3.5047,153.4528,10.3708,-2.2042181495017E-01
Zn2Ag2O5_1337210_POSCAR,2.7581167500,14.5927,5.4908,153.4528,10.3708,-3.3506392707515E-01
Zn2Ag2O5_1337210_POSCAR,2.9419912000,12.0091,4.7672,153.4528,10.3708,-2.8073277099334E-01
Zn2Ag2O5_1337210_POSCAR,3.1258656500,9.6819,4.0953,153.4528,10.3708,-2.4477206457758E-01
Zn2Ag2O5_1337210_POSCAR,3.4936145500,6.3725,3.0030,153.4528,10.3708,-1.9936820835215E-01
Zn2Ag2O5_1337210_POSCAR,3.6774890000,5.1572,2.5261,153.4528,10.3714,-1.7657452696235E-01
Zn2Ag2O5_1337210_POSCAR,3.8613634500,4.0222,2.0355,153.4528,10.3998,-1.5187265581967E-01
Zn2Ag2O5_1337210_POSCAR,4.0452379000,2.9348,1.5360,153.4528,11.3303,-1.2860958665703E-01
