source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
CoAuO2_997158,0.0000000000,read,real,scaling,value,N/A
CoAuO2_997158,0.0000000000,read,real,scaling,value,N/A
CoAuO2_997158,0.0000000000,read,real,scaling,value,N/A
CoAuO2_997158,0.0000000000,read,real,scaling,value,N/A
CoAuO2_997158,0.0000000000,read,real,scaling,value,N/A
CoAuO2_997158,0.0000000000,read,real,scaling,value,N/A
CoAuO2_997158,0.0000000000,read,real,scaling,value,N/A
CoAuO2_997158,0.0000000000,read,real,scaling,value,N/A
CoAuO2_997158,0.0000000000,read,real,scaling,value,N/A
CoAuO2_997158,0.0000000000,read,real,scaling,value,N/A
CoAuO2_997158,0.0000000000,read,real,scaling,value,N/A
CoAuO2_997158,0.0000000000,read,real,scaling,value,N/A
CoAuO2_997158,0.0000000000,read,real,scaling,value,N/A
CoAuO2_997158,0.0000000000,read,real,scaling,value,N/A
CoAuO2_997158,0.0000000000,read,real,scaling,value,N/A
CoAuO2_997158,0.0000000000,read,real,scaling,value,N/A
CoAuO2_997158,0.0000000000,read,real,scaling,value,N/A
CoAuO2_997158,0.0000000000,read,real,scaling,value,N/A
CoAuO2_997158,0.0000000000,read,real,scaling,value,N/A
CoAuO2_997158,0.0000000000,read,real,scaling,value,N/A
CoAuO2_997158,0.0000000000,read,real,scaling,value,N/A
CoAuO2_997158,0.0000000000,read,real,scaling,value,N/A
CoAuO2_997158,0.0000000000,read,real,scaling,value,N/A
CoAuO2_997158,0.0000000000,read,real,scaling,value,N/A
CoAuO2_997158,0.0000000000,read,real,scaling,value,N/A
CoAuO2_997158,0.0000000000,read,real,scaling,value,N/A
CoAuO2_997158,0.0000000000,read,real,scaling,value,N/A
CoAuO2_997158,0.0000000000,read,real,scaling,value,N/A
CoAuO2_997158,0.0000000000,read,real,scaling,value,N/A
CoAuO2_997158,0.0000000000,read,real,scaling,value,N/A
CoAuO2_997158,0.0000000000,read,real,scaling,value,N/A
CoAuO2_997158,0.0000000000,read,real,scaling,value,N/A
CoAuO2_997158,0.0000000000,read,real,scaling,value,N/A
CoAuO2_997158,0.0000000000,read,real,scaling,value,N/A
CoAuO2_997158,0.0000000000,read,real,scaling,value,N/A
CoAuO2_997158_POSCAR,2.1634602150,17.8486,5.6298,118.2863,10.3708,-2.3529568106380E-01
CoAuO2_997158_POSCAR,2.5961522580,10.8415,4.1259,118.2863,10.3708,-1.3671439080792E-01
CoAuO2_997158_POSCAR,2.4519215770,13.1952,4.3438,118.2863,10.3708,-1.5950112214955E-01
CoAuO2_997158_POSCAR,2.3076908960,15.6130,4.7399,118.2863,10.3708,-1.9187565127115E-01
CoAuO2_997158_POSCAR,2.8846136200,7.1120,3.6223,118.2863,10.3708,-1.0188396800264E-01
CoAuO2_997158_POSCAR,3.0288443010,5.6643,3.1322,118.2865,10.3708,-8.6327614741898E-02
CoAuO2_997158_POSCAR,2.7403829390,8.7830,3.9247,118.2863,10.3708,-1.1867935737415E-01
CoAuO2_997158_POSCAR,3.1730749820,4.2703,2.4624,148.0657,10.3718,-7.8773979145357E-02
CoAuO2_997158_POSCAR,3.3173056630,2.9802,1.7488,148.1260,10.6293,-6.8721846369277E-02
CoAuO2_997158_POSCAR,3.6057670250,1.2260,0.7224,188.0682,13.1726,-6.0887445170125E-02
CoAuO2_997158_POSCAR,3.4615363440,1.9467,1.1481,185.4848,12.6698,-6.7259653719630E-02
CoAuO2_997158_POSCAR,3.7499977060,0.7657,0.4495,437.9186,14.3663,-7.3643569305204E-02
CoAuO2_997158_POSCAR,3.8942283870,0.4829,0.2821,530.1424,15.0683,-7.1210016856228E-02
CoAuO2_997158_POSCAR,4.1826897490,0.2046,0.1181,532.7211,15.3710,-5.4253557475523E-02
CoAuO2_997158_POSCAR,4.3269204300,0.1381,0.0792,532.7560,15.4055,-4.7091142937816E-02
CoAuO2_997158_POSCAR,4.0384590680,0.3106,0.1804,532.5298,15.2915,-6.2494529304376E-02
CoAuO2_997158_POSCAR,4.6153817920,0.0675,0.0382,532.7705,15.4326,-3.6115515498967E-02
CoAuO2_997158_POSCAR,4.4711511110,0.0955,0.0544,532.7663,15.4229,-4.1086716070502E-02
CoAuO2_997158_POSCAR,4.7596124730,0.0488,0.0275,532.7725,15.4385,-3.1979563551349E-02
CoAuO2_997158_POSCAR,4.9038431540,0.0360,0.0202,532.7736,15.4422,-2.8467198700652E-02
CoAuO2_997158_POSCAR,5.0480738350,0.0270,0.0151,532.7743,15.4447,-2.5393604961588E-02
CoAuO2_997158_POSCAR,5.4807658780,0.0126,0.0069,532.7752,15.4484,-1.7764194956515E-02
CoAuO2_997158_POSCAR,5.3365351970,0.0160,0.0088,532.7750,15.4476,-2.0083717074615E-02
CoAuO2_997158_POSCAR,5.1923045160,0.0206,0.0114,532.7747,15.4464,-2.2622369450767E-02
CoAuO2_997158_POSCAR,5.6249965590,0.0101,0.0055,532.7754,15.4490,-1.5674613166369E-02
CoAuO2_997158_POSCAR,5.7692272400,0.0081,0.0044,532.7755,15.4495,-1.3825935530253E-02
CoAuO2_997158_POSCAR,6.0576886020,0.0054,0.0030,532.7756,15.4502,-1.0824334248837E-02
CoAuO2_997158_POSCAR,5.9134579210,0.0066,0.0036,532.7755,15.4499,-1.2216182122573E-02
CoAuO2_997158_POSCAR,6.2019192830,0.0045,0.0025,532.7757,15.4504,-9.6192879211853E-03
CoAuO2_997158_POSCAR,6.4903806450,0.0032,0.0017,532.7757,15.4507,-7.6462406817468E-03
CoAuO2_997158_POSCAR,6.3461499640,0.0038,0.0021,532.7757,15.4505,-8.5701023746980E-03
CoAuO2_997158_POSCAR,6.6346113260,0.0028,0.0015,532.7757,15.4508,-6.8254318737084E-03
CoAuO2_997158_POSCAR,6.7788420070,0.0024,0.0013,532.7758,15.4509,-6.0909954236986E-03
CoAuO2_997158_POSCAR,6.9230726880,0.0020,0.0011,532.7758,15.4510,-5.4316918364669E-03
CoAuO2_997158_POSCAR,7.0673033690,0.0018,0.0010,532.7758,15.4510,-4.8398162361044E-03
