source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
FeAuO2_996994,0.0000000000,read,real,scaling,value,N/A
FeAuO2_996994,0.0000000000,read,real,scaling,value,N/A
FeAuO2_996994,0.0000000000,read,real,scaling,value,N/A
FeAuO2_996994,0.0000000000,read,real,scaling,value,N/A
FeAuO2_996994,0.0000000000,read,real,scaling,value,N/A
FeAuO2_996994,0.0000000000,read,real,scaling,value,N/A
FeAuO2_996994,0.0000000000,read,real,scaling,value,N/A
FeAuO2_996994,0.0000000000,read,real,scaling,value,N/A
FeAuO2_996994,0.0000000000,read,real,scaling,value,N/A
FeAuO2_996994,0.0000000000,read,real,scaling,value,N/A
FeAuO2_996994,0.0000000000,read,real,scaling,value,N/A
FeAuO2_996994,0.0000000000,read,real,scaling,value,N/A
FeAuO2_996994,0.0000000000,read,real,scaling,value,N/A
FeAuO2_996994,0.0000000000,read,real,scaling,value,N/A
FeAuO2_996994,0.0000000000,read,real,scaling,value,N/A
FeAuO2_996994,0.0000000000,read,real,scaling,value,N/A
FeAuO2_996994,0.0000000000,read,real,scaling,value,N/A
FeAuO2_996994,0.0000000000,read,real,scaling,value,N/A
FeAuO2_996994,0.0000000000,read,real,scaling,value,N/A
FeAuO2_996994,0.0000000000,read,real,scaling,value,N/A
FeAuO2_996994,0.0000000000,read,real,scaling,value,N/A
FeAuO2_996994,0.0000000000,read,real,scaling,value,N/A
FeAuO2_996994,0.0000000000,read,real,scaling,value,N/A
FeAuO2_996994,0.0000000000,read,real,scaling,value,N/A
FeAuO2_996994,0.0000000000,read,real,scaling,value,N/A
FeAuO2_996994,0.0000000000,read,real,scaling,value,N/A
FeAuO2_996994,0.0000000000,read,real,scaling,value,N/A
FeAuO2_996994,0.0000000000,read,real,scaling,value,N/A
FeAuO2_996994,0.0000000000,read,real,scaling,value,N/A
FeAuO2_996994,0.0000000000,read,real,scaling,value,N/A
FeAuO2_996994,0.0000000000,read,real,scaling,value,N/A
FeAuO2_996994,0.0000000000,read,real,scaling,value,N/A
FeAuO2_996994,0.0000000000,read,real,scaling,value,N/A
FeAuO2_996994,0.0000000000,read,real,scaling,value,N/A
FeAuO2_996994,0.0000000000,read,real,scaling,value,N/A
FeAuO2_996994_POSCAR,2.3672583818,15.2418,4.4446,109.5041,10.3708,-8.0959097225294E-02
FeAuO2_996994_POSCAR,2.2193047330,17.4560,4.9805,109.5041,10.3708,-9.9593038679083E-02
FeAuO2_996994_POSCAR,2.5152120307,12.7393,4.1925,109.5041,10.3708,-6.8041885245869E-02
FeAuO2_996994_POSCAR,2.6631656795,10.2916,4.0151,109.5041,10.3708,-5.8918051719253E-02
FeAuO2_996994_POSCAR,2.8111193284,8.1691,3.7845,109.5041,10.3708,-5.1328367342896E-02
FeAuO2_996994_POSCAR,3.1070266261,4.7735,2.8023,204.9925,10.3709,-4.6332210637828E-02
FeAuO2_996994_POSCAR,3.2549802750,3.3120,2.0880,204.9925,10.3900,-3.9910223661841E-02
FeAuO2_996994_POSCAR,2.9590729773,6.3860,3.3954,109.5041,10.3708,-4.4198249360754E-02
FeAuO2_996994_POSCAR,3.4029339239,2.1405,1.4180,204.9925,11.8963,-3.5720425885451E-02
FeAuO2_996994_POSCAR,3.8467948705,0.5048,0.3480,485.8536,14.8418,-3.3813362482340E-02
FeAuO2_996994_POSCAR,3.5508875727,1.3272,0.9050,205.2503,12.8863,-3.1865192168724E-02
FeAuO2_996994_POSCAR,3.6988412216,0.8143,0.5617,334.9824,13.7782,-3.3146859164471E-02
FeAuO2_996994_POSCAR,3.9947485193,0.3196,0.2186,490.8497,15.2235,-2.9456316265585E-02
FeAuO2_996994_POSCAR,4.2906558171,0.1385,0.0923,491.2903,15.3950,-2.1950751652801E-02
FeAuO2_996994_POSCAR,4.4386094659,0.0947,0.0622,491.3099,15.4178,-1.9165795934684E-02
FeAuO2_996994_POSCAR,4.1427021682,0.2076,0.1403,491.2240,15.3465,-2.5365158587501E-02
