source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Cd3FeS4_1226907,0.0000000000,read,real,scaling,value,N/A
Cd3FeS4_1226907,0.0000000000,read,real,scaling,value,N/A
Cd3FeS4_1226907,0.0000000000,read,real,scaling,value,N/A
Cd3FeS4_1226907,0.0000000000,read,real,scaling,value,N/A
Cd3FeS4_1226907,0.0000000000,read,real,scaling,value,N/A
Cd3FeS4_1226907,0.0000000000,read,real,scaling,value,N/A
Cd3FeS4_1226907,0.0000000000,read,real,scaling,value,N/A
Cd3FeS4_1226907,0.0000000000,read,real,scaling,value,N/A
Cd3FeS4_1226907,0.0000000000,read,real,scaling,value,N/A
Cd3FeS4_1226907,0.0000000000,read,real,scaling,value,N/A
Cd3FeS4_1226907,0.0000000000,read,real,scaling,value,N/A
Cd3FeS4_1226907,0.0000000000,read,real,scaling,value,N/A
Cd3FeS4_1226907,0.0000000000,read,real,scaling,value,N/A
Cd3FeS4_1226907,0.0000000000,read,real,scaling,value,N/A
Cd3FeS4_1226907,0.0000000000,read,real,scaling,value,N/A
Cd3FeS4_1226907,0.0000000000,read,real,scaling,value,N/A
Cd3FeS4_1226907,0.0000000000,read,real,scaling,value,N/A
Cd3FeS4_1226907,0.0000000000,read,real,scaling,value,N/A
Cd3FeS4_1226907,0.0000000000,read,real,scaling,value,N/A
Cd3FeS4_1226907,0.0000000000,read,real,scaling,value,N/A
Cd3FeS4_1226907,0.0000000000,read,real,scaling,value,N/A
Cd3FeS4_1226907,0.0000000000,read,real,scaling,value,N/A
Cd3FeS4_1226907,0.0000000000,read,real,scaling,value,N/A
Cd3FeS4_1226907,0.0000000000,read,real,scaling,value,N/A
Cd3FeS4_1226907,0.0000000000,read,real,scaling,value,N/A
Cd3FeS4_1226907,0.0000000000,read,real,scaling,value,N/A
Cd3FeS4_1226907,0.0000000000,read,real,scaling,value,N/A
Cd3FeS4_1226907,0.0000000000,read,real,scaling,value,N/A
Cd3FeS4_1226907,0.0000000000,read,real,scaling,value,N/A
Cd3FeS4_1226907,0.0000000000,read,real,scaling,value,N/A
Cd3FeS4_1226907,0.0000000000,read,real,scaling,value,N/A
Cd3FeS4_1226907,0.0000000000,read,real,scaling,value,N/A
Cd3FeS4_1226907,0.0000000000,read,real,scaling,value,N/A
Cd3FeS4_1226907,0.0000000000,read,real,scaling,value,N/A
Cd3FeS4_1226907,0.0000000000,read,real,scaling,value,N/A
Cd3FeS4_1226907_POSCAR,3.0725452500,12.8606,5.9480,263.4508,125.8109,-1.4827348611661E-01
Cd3FeS4_1226907_POSCAR,3.6870543000,5.3934,4.1964,263.4508,125.8109,-9.9841949518995E-02
