source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Mn4CdS5_1221706,0.0000000000,read,real,scaling,value,N/A
Mn4CdS5_1221706,0.0000000000,read,real,scaling,value,N/A
Mn4CdS5_1221706,0.0000000000,read,real,scaling,value,N/A
Mn4CdS5_1221706,0.0000000000,read,real,scaling,value,N/A
Mn4CdS5_1221706,0.0000000000,read,real,scaling,value,N/A
Mn4CdS5_1221706,0.0000000000,read,real,scaling,value,N/A
Mn4CdS5_1221706,0.0000000000,read,real,scaling,value,N/A
Mn4CdS5_1221706,0.0000000000,read,real,scaling,value,N/A
Mn4CdS5_1221706,0.0000000000,read,real,scaling,value,N/A
Mn4CdS5_1221706,0.0000000000,read,real,scaling,value,N/A
Mn4CdS5_1221706,0.0000000000,read,real,scaling,value,N/A
Mn4CdS5_1221706,0.0000000000,read,real,scaling,value,N/A
Mn4CdS5_1221706,0.0000000000,read,real,scaling,value,N/A
Mn4CdS5_1221706,0.0000000000,read,real,scaling,value,N/A
Mn4CdS5_1221706,0.0000000000,read,real,scaling,value,N/A
Mn4CdS5_1221706,0.0000000000,read,real,scaling,value,N/A
Mn4CdS5_1221706,0.0000000000,read,real,scaling,value,N/A
Mn4CdS5_1221706,0.0000000000,read,real,scaling,value,N/A
Mn4CdS5_1221706,0.0000000000,read,real,scaling,value,N/A
Mn4CdS5_1221706,0.0000000000,read,real,scaling,value,N/A
Mn4CdS5_1221706,0.0000000000,read,real,scaling,value,N/A
Mn4CdS5_1221706,0.0000000000,read,real,scaling,value,N/A
Mn4CdS5_1221706,0.0000000000,read,real,scaling,value,N/A
Mn4CdS5_1221706,0.0000000000,read,real,scaling,value,N/A
Mn4CdS5_1221706,0.0000000000,read,real,scaling,value,N/A
Mn4CdS5_1221706,0.0000000000,read,real,scaling,value,N/A
Mn4CdS5_1221706,0.0000000000,read,real,scaling,value,N/A
Mn4CdS5_1221706,0.0000000000,read,real,scaling,value,N/A
Mn4CdS5_1221706,0.0000000000,read,real,scaling,value,N/A
Mn4CdS5_1221706,0.0000000000,read,real,scaling,value,N/A
Mn4CdS5_1221706,0.0000000000,read,real,scaling,value,N/A
Mn4CdS5_1221706,0.0000000000,read,real,scaling,value,N/A
Mn4CdS5_1221706,0.0000000000,read,real,scaling,value,N/A
Mn4CdS5_1221706,0.0000000000,read,real,scaling,value,N/A
Mn4CdS5_1221706,0.0000000000,read,real,scaling,value,N/A
Mn4CdS5_1221706_POSCAR,3.2983923185,7.2792,6.5067,113.8463,125.8109,-9.7324577541099E-02
Mn4CdS5_1221706_POSCAR,3.1151483008,8.8708,7.3255,113.8463,125.8109,-1.1418971110375E-01
Mn4CdS5_1221706_POSCAR,2.9319042831,11.4304,8.8163,113.8463,125.8109,-1.3853885582685E-01
Mn4CdS5_1221706_POSCAR,2.7486602654,14.7810,11.5310,113.8463,125.8109,-1.7220805459105E-01
Mn4CdS5_1221706_POSCAR,3.4816363362,6.1884,5.8720,113.8463,125.8109,-8.5500706930591E-02
Mn4CdS5_1221706_POSCAR,3.8481243715,3.9403,4.0794,239.5554,125.8109,-9.3028093805381E-02
Mn4CdS5_1221706_POSCAR,3.6648803538,5.1363,5.1031,239.5554,125.8109,-1.0340425599877E-01
Mn4CdS5_1221706_POSCAR,4.0313683892,2.7368,2.9370,239.5554,125.8110,-8.2265647819481E-02
Mn4CdS5_1221706_POSCAR,4.2146124069,1.7555,1.9329,239.5571,125.9603,-7.1759160838040E-02
Mn4CdS5_1221706_POSCAR,4.3978564246,1.0807,1.2066,251.2496,130.5208,-6.6779916737211E-02
