source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Nb6CdS8_1220444,0.0000000000,read,real,scaling,value,N/A
Nb6CdS8_1220444,0.0000000000,read,real,scaling,value,N/A
Nb6CdS8_1220444,0.0000000000,read,real,scaling,value,N/A
Nb6CdS8_1220444,0.0000000000,read,real,scaling,value,N/A
Nb6CdS8_1220444,0.0000000000,read,real,scaling,value,N/A
Nb6CdS8_1220444,0.0000000000,read,real,scaling,value,N/A
Nb6CdS8_1220444,0.0000000000,read,real,scaling,value,N/A
Nb6CdS8_1220444,0.0000000000,read,real,scaling,value,N/A
Nb6CdS8_1220444,0.0000000000,read,real,scaling,value,N/A
Nb6CdS8_1220444,0.0000000000,read,real,scaling,value,N/A
Nb6CdS8_1220444,0.0000000000,read,real,scaling,value,N/A
Nb6CdS8_1220444,0.0000000000,read,real,scaling,value,N/A
Nb6CdS8_1220444,0.0000000000,read,real,scaling,value,N/A
Nb6CdS8_1220444,0.0000000000,read,real,scaling,value,N/A
Nb6CdS8_1220444,0.0000000000,read,real,scaling,value,N/A
Nb6CdS8_1220444,0.0000000000,read,real,scaling,value,N/A
Nb6CdS8_1220444,0.0000000000,read,real,scaling,value,N/A
Nb6CdS8_1220444,0.0000000000,read,real,scaling,value,N/A
Nb6CdS8_1220444,0.0000000000,read,real,scaling,value,N/A
Nb6CdS8_1220444,0.0000000000,read,real,scaling,value,N/A
Nb6CdS8_1220444,0.0000000000,read,real,scaling,value,N/A
Nb6CdS8_1220444,0.0000000000,read,real,scaling,value,N/A
Nb6CdS8_1220444,0.0000000000,read,real,scaling,value,N/A
Nb6CdS8_1220444,0.0000000000,read,real,scaling,value,N/A
Nb6CdS8_1220444,0.0000000000,read,real,scaling,value,N/A
Nb6CdS8_1220444,0.0000000000,read,real,scaling,value,N/A
Nb6CdS8_1220444,0.0000000000,read,real,scaling,value,N/A
Nb6CdS8_1220444,0.0000000000,read,real,scaling,value,N/A
Nb6CdS8_1220444,0.0000000000,read,real,scaling,value,N/A
Nb6CdS8_1220444,0.0000000000,read,real,scaling,value,N/A
Nb6CdS8_1220444,0.0000000000,read,real,scaling,value,N/A
Nb6CdS8_1220444,0.0000000000,read,real,scaling,value,N/A
Nb6CdS8_1220444,0.0000000000,read,real,scaling,value,N/A
Nb6CdS8_1220444,0.0000000000,read,real,scaling,value,N/A
Nb6CdS8_1220444,0.0000000000,read,real,scaling,value,N/A
Nb6CdS8_1220444_POSCAR,7.2835983075,20.4496,16.2680,428.8962,125.8109,-4.7401431308308E-01
Nb6CdS8_1220444_POSCAR,7.7691715280,16.5972,12.7589,428.8962,125.8109,-3.8751365167091E-01
Nb6CdS8_1220444_POSCAR,8.7403179690,12.8466,7.9698,428.8962,125.8109,-2.7091475221248E-01
Nb6CdS8_1220444_POSCAR,8.2547447485,14.2424,9.8178,428.8962,125.8109,-3.2157449491251E-01
Nb6CdS8_1220444_POSCAR,9.2258911895,11.7821,6.9516,428.8962,125.8109,-2.2841377320806E-01
Nb6CdS8_1220444_POSCAR,10.6826108510,8.0194,5.0747,428.8962,125.8109,-1.4704022767483E-01
Nb6CdS8_1220444_POSCAR,9.7114644100,10.6658,6.3278,428.8962,125.8109,-1.9214132053464E-01
Nb6CdS8_1220444_POSCAR,10.1970376305,9.4019,5.7734,428.8962,125.8109,-1.6281006764418E-01
Nb6CdS8_1220444_POSCAR,11.1681840715,6.5257,4.1536,428.8962,125.8109,-1.2960616075490E-01
Nb6CdS8_1220444_POSCAR,11.6537572920,4.9823,3.1129,428.8962,125.8109,-1.1467031560506E-01
Nb6CdS8_1220444_POSCAR,12.1393305125,3.5556,2.1550,428.9197,125.8370,-1.0320281217801E-01
Nb6CdS8_1220444_POSCAR,12.6249037330,2.4036,1.4159,510.6823,129.1611,-1.0421000833741E-01
Nb6CdS8_1220444_POSCAR,13.1104769535,1.5738,0.9090,580.4318,131.0565,-1.0407925035976E-01
Nb6CdS8_1220444_POSCAR,13.5960501740,1.0197,0.5829,829.9127,132.0015,-1.1962416709159E-01
Nb6CdS8_1220444_POSCAR,14.0816233945,0.6639,0.3781,1466.8467,133.1627,-1.6051934066506E-01
Nb6CdS8_1220444_POSCAR,14.5671966150,0.4383,0.2498,1475.0010,133.6364,-1.5077000958351E-01
Nb6CdS8_1220444_POSCAR,15.0527698355,0.2947,0.1685,1475.2236,133.8007,-1.3877064213951E-01
Nb6CdS8_1220444_POSCAR,15.5383430560,0.2022,0.1161,1475.2438,133.8676,-1.2536093697423E-01
Nb6CdS8_1220444_POSCAR,16.0239162765,0.1415,0.0817,1475.2476,133.8997,-1.1151910516627E-01
Nb6CdS8_1220444_POSCAR,16.5094894970,0.1011,0.0587,1475.2487,133.9171,-9.8279871340984E-02
Nb6CdS8_1220444_POSCAR,16.9950627175,0.0736,0.0430,1475.2492,133.9273,-8.6298123883529E-02
Nb6CdS8_1220444_POSCAR,17.4806359380,0.0545,0.0320,1475.2494,133.9338,-7.5779972523843E-02
Nb6CdS8_1220444_POSCAR,17.9662091585,0.0410,0.0242,1475.2495,133.9381,-6.6623248209551E-02
Nb6CdS8_1220444_POSCAR,18.4517823790,0.0314,0.0186,1475.2496,133.9410,-5.8611914789909E-02
Nb6CdS8_1220444_POSCAR,18.9373555995,0.0243,0.0145,1475.2496,133.9431,-5.1535913021689E-02
Nb6CdS8_1220444_POSCAR,19.9085020405,0.0152,0.0092,1475.2497,133.9457,-3.9634394711288E-02
Nb6CdS8_1220444_POSCAR,19.4229288200,0.0191,0.0115,1475.2496,133.9446,-4.5242002485294E-02
Nb6CdS8_1220444_POSCAR,20.3940752610,0.0122,0.0074,1475.2497,133.9465,-3.4652292388472E-02
Nb6CdS8_1220444_POSCAR,21.3652217020,0.0081,0.0050,1475.2497,133.9476,-2.6389573945207E-02
Nb6CdS8_1220444_POSCAR,20.8796484815,0.0099,0.0061,1475.2497,133.9471,-3.0250299822831E-02
Nb6CdS8_1220444_POSCAR,21.8507949225,0.0067,0.0042,1475.2497,133.9480,-2.3022272326760E-02
Nb6CdS8_1220444_POSCAR,22.3363681430,0.0056,0.0035,1475.2497,133.9483,-2.0093994859350E-02
Nb6CdS8_1220444_POSCAR,22.8219413635,0.0047,0.0029,1475.2497,133.9485,-1.7561758502092E-02
Nb6CdS8_1220444_POSCAR,23.3075145840,0.0040,0.0025,1475.2497,133.9487,-1.5373071268730E-02
Nb6CdS8_1220444_POSCAR,23.7930878045,0.0034,0.0022,1475.2497,133.9489,-1.3481386079234E-02
