source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Cd3_Pt3O4_10_759817,0.0000000000,read,real,scaling,value,N/A
Cd3_Pt3O4_10_759817,0.0000000000,read,real,scaling,value,N/A
Cd3_Pt3O4_10_759817,0.0000000000,read,real,scaling,value,N/A
Cd3_Pt3O4_10_759817,0.0000000000,read,real,scaling,value,N/A
Cd3_Pt3O4_10_759817,0.0000000000,read,real,scaling,value,N/A
Cd3_Pt3O4_10_759817,0.0000000000,read,real,scaling,value,N/A
Cd3_Pt3O4_10_759817,0.0000000000,read,real,scaling,value,N/A
Cd3_Pt3O4_10_759817,0.0000000000,read,real,scaling,value,N/A
Cd3_Pt3O4_10_759817,0.0000000000,read,real,scaling,value,N/A
Cd3_Pt3O4_10_759817,0.0000000000,read,real,scaling,value,N/A
Cd3_Pt3O4_10_759817,0.0000000000,read,real,scaling,value,N/A
Cd3_Pt3O4_10_759817,0.0000000000,read,real,scaling,value,N/A
Cd3_Pt3O4_10_759817,0.0000000000,read,real,scaling,value,N/A
Cd3_Pt3O4_10_759817,0.0000000000,read,real,scaling,value,N/A
Cd3_Pt3O4_10_759817,0.0000000000,read,real,scaling,value,N/A
Cd3_Pt3O4_10_759817,0.0000000000,read,real,scaling,value,N/A
Cd3_Pt3O4_10_759817,0.0000000000,read,real,scaling,value,N/A
Cd3_Pt3O4_10_759817,0.0000000000,read,real,scaling,value,N/A
Cd3_Pt3O4_10_759817,0.0000000000,read,real,scaling,value,N/A
Cd3_Pt3O4_10_759817,0.0000000000,read,real,scaling,value,N/A
Cd3_Pt3O4_10_759817,0.0000000000,read,real,scaling,value,N/A
Cd3_Pt3O4_10_759817,0.0000000000,read,real,scaling,value,N/A
Cd3_Pt3O4_10_759817,0.0000000000,read,real,scaling,value,N/A
Cd3_Pt3O4_10_759817,0.0000000000,read,real,scaling,value,N/A
Cd3_Pt3O4_10_759817,0.0000000000,read,real,scaling,value,N/A
Cd3_Pt3O4_10_759817,0.0000000000,read,real,scaling,value,N/A
Cd3_Pt3O4_10_759817,0.0000000000,read,real,scaling,value,N/A
Cd3_Pt3O4_10_759817,0.0000000000,read,real,scaling,value,N/A
Cd3_Pt3O4_10_759817,0.0000000000,read,real,scaling,value,N/A
Cd3_Pt3O4_10_759817,0.0000000000,read,real,scaling,value,N/A
Cd3_Pt3O4_10_759817,0.0000000000,read,real,scaling,value,N/A
Cd3_Pt3O4_10_759817,0.0000000000,read,real,scaling,value,N/A
Cd3_Pt3O4_10_759817,0.0000000000,read,real,scaling,value,N/A
Cd3_Pt3O4_10_759817,0.0000000000,read,real,scaling,value,N/A
Cd3_Pt3O4_10_759817,0.0000000000,read,real,scaling,value,N/A
Cd3_Pt3O4_10_759817_POSCAR,4.8580917000,18.7811,4.2029,263.4508,10.3708,-1.3005672030752E+00
Cd3_Pt3O4_10_759817_POSCAR,4.2865515000,20.7911,5.0939,263.4508,10.3708,-2.0605659925189E+00
Cd3_Pt3O4_10_759817_POSCAR,5.1438618000,16.6174,3.9997,263.4508,10.3708,-1.1024192695726E+00
Cd3_Pt3O4_10_759817_POSCAR,4.5723216000,19.9593,4.4916,263.4508,10.3708,-1.6053130888530E+00
Cd3_Pt3O4_10_759817_POSCAR,5.4296319000,13.2879,3.7505,263.4508,10.3708,-9.6713900154746E-01
Cd3_Pt3O4_10_759817_POSCAR,5.7154020000,9.4509,3.3737,263.4508,10.3708,-8.7416181831538E-01
Cd3_Pt3O4_10_759817_POSCAR,6.0011721000,6.0761,2.8458,263.4508,10.3708,-8.0197016232320E-01
Cd3_Pt3O4_10_759817_POSCAR,6.2869422000,3.6651,2.2096,263.4508,10.3781,-7.4179231773985E-01
Cd3_Pt3O4_10_759817_POSCAR,6.8584824000,1.2795,1.0351,264.8840,12.7827,-5.9717388834926E-01
Cd3_Pt3O4_10_759817_POSCAR,6.5727123000,2.1593,1.5690,263.4508,11.1819,-6.6458800996987E-01
Cd3_Pt3O4_10_759817_POSCAR,7.1442525000,0.7746,0.6545,458.2625,13.3797,-5.5944338459334E-01
Cd3_Pt3O4_10_759817_POSCAR,7.4300226000,0.4823,0.4085,468.0820,14.5736,-5.4156546511486E-01
Cd3_Pt3O4_10_759817_POSCAR,7.7157927000,0.3095,0.2568,468.1828,15.1373,-4.8563133721925E-01
Cd3_Pt3O4_10_759817_POSCAR,8.0015628000,0.2046,0.1643,468.1886,15.3155,-4.3409999652722E-01
Cd3_Pt3O4_10_759817_POSCAR,8.5731030000,0.0968,0.0721,468.1897,15.4108,-3.4889298738324E-01
Cd3_Pt3O4_10_759817_POSCAR,8.2873329000,0.1389,0.1075,468.1895,15.3814,-3.8880318755322E-01
Cd3_Pt3O4_10_759817_POSCAR,8.8588731000,0.0690,0.0495,468.1898,15.4260,-3.1254001197022E-01
Cd3_Pt3O4_10_759817_POSCAR,9.7161834000,0.0283,0.0183,468.1899,15.4431,-2.1518156199075E-01
Cd3_Pt3O4_10_759817_POSCAR,9.4304133000,0.0374,0.0250,468.1899,15.4398,-2.4554157862871E-01
Cd3_Pt3O4_10_759817_POSCAR,9.1446432000,0.0503,0.0348,468.1899,15.4346,-2.7820578701291E-01
Cd3_Pt3O4_10_759817_POSCAR,10.0019535000,0.0218,0.0137,468.1899,15.4453,-1.8792010662461E-01
Cd3_Pt3O4_10_759817_POSCAR,10.8592638000,0.0108,0.0063,468.1899,15.4487,-1.2615378546957E-01
Cd3_Pt3O4_10_759817_POSCAR,10.5734937000,0.0135,0.0080,468.1899,15.4479,-1.4369612830654E-01
Cd3_Pt3O4_10_759817_POSCAR,10.2877236000,0.0171,0.0104,468.1899,15.4469,-1.6413848893026E-01
Cd3_Pt3O4_10_759817_POSCAR,11.1450339000,0.0088,0.0050,468.1899,15.4493,-1.1094807721418E-01
Cd3_Pt3O4_10_759817_POSCAR,11.7165741000,0.0060,0.0032,468.1899,15.4500,-8.5814713808854E-02
Cd3_Pt3O4_10_759817_POSCAR,11.4308040000,0.0072,0.0040,468.1899,15.4497,-9.7613029503927E-02
Cd3_Pt3O4_10_759817_POSCAR,12.0023442000,0.0049,0.0027,468.1899,15.4503,-7.5336946984909E-02
Cd3_Pt3O4_10_759817_POSCAR,12.2881143000,0.0042,0.0022,468.1899,15.4505,-6.6040262869161E-02
Cd3_Pt3O4_10_759817_POSCAR,12.8596545000,0.0030,0.0016,468.1899,15.4508,-5.0630455710808E-02
Cd3_Pt3O4_10_759817_POSCAR,12.5738844000,0.0035,0.0019,468.1899,15.4506,-5.7836843728924E-02
Cd3_Pt3O4_10_759817_POSCAR,13.1454246000,0.0026,0.0013,468.1899,15.4509,-4.4327627365918E-02
Cd3_Pt3O4_10_759817_POSCAR,13.4311947000,0.0023,0.0011,468.1899,15.4509,-3.8845686720142E-02
Cd3_Pt3O4_10_759817_POSCAR,14.0027349000,0.0017,0.0009,468.1899,15.4511,-2.9946947324432E-02
Cd3_Pt3O4_10_759817_POSCAR,13.7169648000,0.0020,0.0010,468.1899,15.4510,-3.4079149481185E-02
CdPt3O4_1213850,0.0000000000,read,real,scaling,value,N/A
CdPt3O4_1213850,0.0000000000,read,real,scaling,value,N/A
CdPt3O4_1213850,0.0000000000,read,real,scaling,value,N/A
CdPt3O4_1213850,0.0000000000,read,real,scaling,value,N/A
CdPt3O4_1213850,0.0000000000,read,real,scaling,value,N/A
CdPt3O4_1213850,0.0000000000,read,real,scaling,value,N/A
CdPt3O4_1213850,0.0000000000,read,real,scaling,value,N/A
CdPt3O4_1213850,0.0000000000,read,real,scaling,value,N/A
CdPt3O4_1213850,0.0000000000,read,real,scaling,value,N/A
CdPt3O4_1213850,0.0000000000,read,real,scaling,value,N/A
CdPt3O4_1213850,0.0000000000,read,real,scaling,value,N/A
CdPt3O4_1213850,0.0000000000,read,real,scaling,value,N/A
CdPt3O4_1213850,0.0000000000,read,real,scaling,value,N/A
CdPt3O4_1213850,0.0000000000,read,real,scaling,value,N/A
CdPt3O4_1213850,0.0000000000,read,real,scaling,value,N/A
CdPt3O4_1213850,0.0000000000,read,real,scaling,value,N/A
CdPt3O4_1213850,0.0000000000,read,real,scaling,value,N/A
CdPt3O4_1213850,0.0000000000,read,real,scaling,value,N/A
CdPt3O4_1213850,0.0000000000,read,real,scaling,value,N/A
CdPt3O4_1213850,0.0000000000,read,real,scaling,value,N/A
CdPt3O4_1213850,0.0000000000,read,real,scaling,value,N/A
CdPt3O4_1213850,0.0000000000,read,real,scaling,value,N/A
CdPt3O4_1213850,0.0000000000,read,real,scaling,value,N/A
CdPt3O4_1213850,0.0000000000,read,real,scaling,value,N/A
CdPt3O4_1213850,0.0000000000,read,real,scaling,value,N/A
CdPt3O4_1213850,0.0000000000,read,real,scaling,value,N/A
CdPt3O4_1213850,0.0000000000,read,real,scaling,value,N/A
CdPt3O4_1213850,0.0000000000,read,real,scaling,value,N/A
CdPt3O4_1213850,0.0000000000,read,real,scaling,value,N/A
CdPt3O4_1213850,0.0000000000,read,real,scaling,value,N/A
CdPt3O4_1213850,0.0000000000,read,real,scaling,value,N/A
CdPt3O4_1213850,0.0000000000,read,real,scaling,value,N/A
CdPt3O4_1213850,0.0000000000,read,real,scaling,value,N/A
CdPt3O4_1213850,0.0000000000,read,real,scaling,value,N/A
CdPt3O4_1213850,0.0000000000,read,real,scaling,value,N/A
CdPt3O4_1213850_POSCAR,4.6998136000,19.9592,5.3342,263.4508,10.3708,-3.8781526141786E-01
CdPt3O4_1213850_POSCAR,4.9935519500,18.1899,5.0080,263.4508,10.3708,-3.1703617832852E-01
CdPt3O4_1213850_POSCAR,5.2872903000,15.2134,4.6347,263.4508,10.3708,-2.7201375984314E-01
CdPt3O4_1213850_POSCAR,4.4060752500,21.3101,5.8379,263.4508,10.3708,-4.9736127297926E-01
