source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Ti2CdO5_849246,0.0000000000,read,real,scaling,value,N/A
Ti2CdO5_849246,0.0000000000,read,real,scaling,value,N/A
Ti2CdO5_849246,0.0000000000,read,real,scaling,value,N/A
Ti2CdO5_849246,0.0000000000,read,real,scaling,value,N/A
Ti2CdO5_849246,0.0000000000,read,real,scaling,value,N/A
Ti2CdO5_849246,0.0000000000,read,real,scaling,value,N/A
Ti2CdO5_849246,0.0000000000,read,real,scaling,value,N/A
Ti2CdO5_849246,0.0000000000,read,real,scaling,value,N/A
Ti2CdO5_849246,0.0000000000,read,real,scaling,value,N/A
Ti2CdO5_849246,0.0000000000,read,real,scaling,value,N/A
Ti2CdO5_849246,0.0000000000,read,real,scaling,value,N/A
Ti2CdO5_849246,0.0000000000,read,real,scaling,value,N/A
Ti2CdO5_849246,0.0000000000,read,real,scaling,value,N/A
Ti2CdO5_849246,0.0000000000,read,real,scaling,value,N/A
Ti2CdO5_849246,0.0000000000,read,real,scaling,value,N/A
Ti2CdO5_849246,0.0000000000,read,real,scaling,value,N/A
Ti2CdO5_849246,0.0000000000,read,real,scaling,value,N/A
Ti2CdO5_849246,0.0000000000,read,real,scaling,value,N/A
Ti2CdO5_849246,0.0000000000,read,real,scaling,value,N/A
Ti2CdO5_849246,0.0000000000,read,real,scaling,value,N/A
Ti2CdO5_849246,0.0000000000,read,real,scaling,value,N/A
Ti2CdO5_849246,0.0000000000,read,real,scaling,value,N/A
Ti2CdO5_849246,0.0000000000,read,real,scaling,value,N/A
Ti2CdO5_849246,0.0000000000,read,real,scaling,value,N/A
Ti2CdO5_849246,0.0000000000,read,real,scaling,value,N/A
Ti2CdO5_849246,0.0000000000,read,real,scaling,value,N/A
Ti2CdO5_849246,0.0000000000,read,real,scaling,value,N/A
Ti2CdO5_849246,0.0000000000,read,real,scaling,value,N/A
Ti2CdO5_849246,0.0000000000,read,real,scaling,value,N/A
Ti2CdO5_849246,0.0000000000,read,real,scaling,value,N/A
Ti2CdO5_849246,0.0000000000,read,real,scaling,value,N/A
Ti2CdO5_849246,0.0000000000,read,real,scaling,value,N/A
Ti2CdO5_849246,0.0000000000,read,real,scaling,value,N/A
