source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
V2Cd2O7_18740,0.0000000000,read,real,scaling,value,N/A
V2Cd2O7_18740,0.0000000000,read,real,scaling,value,N/A
V2Cd2O7_18740,0.0000000000,read,real,scaling,value,N/A
V2Cd2O7_18740,0.0000000000,read,real,scaling,value,N/A
V2Cd2O7_18740,0.0000000000,read,real,scaling,value,N/A
V2Cd2O7_18740,0.0000000000,read,real,scaling,value,N/A
V2Cd2O7_18740,0.0000000000,read,real,scaling,value,N/A
V2Cd2O7_18740,0.0000000000,read,real,scaling,value,N/A
V2Cd2O7_18740,0.0000000000,read,real,scaling,value,N/A
V2Cd2O7_18740,0.0000000000,read,real,scaling,value,N/A
V2Cd2O7_18740,0.0000000000,read,real,scaling,value,N/A
V2Cd2O7_18740,0.0000000000,read,real,scaling,value,N/A
V2Cd2O7_18740,0.0000000000,read,real,scaling,value,N/A
V2Cd2O7_18740,0.0000000000,read,real,scaling,value,N/A
V2Cd2O7_18740,0.0000000000,read,real,scaling,value,N/A
V2Cd2O7_18740,0.0000000000,read,real,scaling,value,N/A
V2Cd2O7_18740,0.0000000000,read,real,scaling,value,N/A
V2Cd2O7_18740,0.0000000000,read,real,scaling,value,N/A
V2Cd2O7_18740,0.0000000000,read,real,scaling,value,N/A
V2Cd2O7_18740,0.0000000000,read,real,scaling,value,N/A
V2Cd2O7_18740,0.0000000000,read,real,scaling,value,N/A
V2Cd2O7_18740,0.0000000000,read,real,scaling,value,N/A
V2Cd2O7_18740,0.0000000000,read,real,scaling,value,N/A
V2Cd2O7_18740,0.0000000000,read,real,scaling,value,N/A
V2Cd2O7_18740,0.0000000000,read,real,scaling,value,N/A
V2Cd2O7_18740,0.0000000000,read,real,scaling,value,N/A
V2Cd2O7_18740,0.0000000000,read,real,scaling,value,N/A
V2Cd2O7_18740,0.0000000000,read,real,scaling,value,N/A
V2Cd2O7_18740,0.0000000000,read,real,scaling,value,N/A
V2Cd2O7_18740,0.0000000000,read,real,scaling,value,N/A
V2Cd2O7_18740,0.0000000000,read,real,scaling,value,N/A
V2Cd2O7_18740,0.0000000000,read,real,scaling,value,N/A
V2Cd2O7_18740,0.0000000000,read,real,scaling,value,N/A
V2Cd2O7_18740,0.0000000000,read,real,scaling,value,N/A
V2Cd2O7_18740,0.0000000000,read,real,scaling,value,N/A
V2Cd2O7_18740_POSCAR,3.9663267515,13.0054,3.3192,269.3349,10.3708,-1.1503732974091E-01
V2Cd2O7_18740_POSCAR,3.7184313295,15.1792,3.6993,269.3349,10.3708,-1.3953265594111E-01
V2Cd2O7_18740_POSCAR,4.2142221734,10.8828,3.1312,269.3349,10.3708,-9.5625297742407E-02
V2Cd2O7_18740_POSCAR,4.4621175954,8.6651,2.9879,269.3349,10.3708,-8.0242170214127E-02
V2Cd2O7_18740_POSCAR,4.7100130174,6.8034,2.8019,269.3349,10.3709,-6.8473437687924E-02
V2Cd2O7_18740_POSCAR,4.9579084393,5.5726,2.5253,269.3349,10.3714,-5.9818023123735E-02
V2Cd2O7_18740_POSCAR,5.2058038613,4.8631,2.1729,269.3349,10.3806,-5.3326949822687E-02
V2Cd2O7_18740_POSCAR,5.4536992833,4.4613,1.8141,269.3349,10.5312,-4.7981529078885E-02
V2Cd2O7_18740_POSCAR,5.7015947052,4.2043,1.5136,269.3349,11.4362,-4.3564813344956E-02
V2Cd2O7_18740_POSCAR,5.9494901272,3.9832,1.2891,269.3350,12.3860,-3.9568361197430E-02
V2Cd2O7_18740_POSCAR,6.4452809711,3.3570,0.9689,269.3455,12.8334,-3.8374827079551E-02
V2Cd2O7_18740_POSCAR,6.1973855492,3.7195,1.1186,269.3355,12.7053,-4.3121758366140E-02
V2Cd2O7_18740_POSCAR,6.6931763931,2.8775,0.8162,269.8101,12.9890,-3.4167084850009E-02
V2Cd2O7_18740_POSCAR,6.9410718151,2.3183,0.6554,283.2703,13.3764,-3.0778309342537E-02
V2Cd2O7_18740_POSCAR,7.4368626590,1.2681,0.3614,294.5328,14.7871,-2.4406777475549E-02
V2Cd2O7_18740_POSCAR,7.1889672370,1.7571,0.4983,290.0300,14.1070,-2.7548190216549E-02
V2Cd2O7_18740_POSCAR,7.6847580809,0.8866,0.2539,847.4083,15.1445,-2.8013039488309E-02
V2Cd2O7_18740_POSCAR,7.9326535029,0.6108,0.1756,1110.4626,15.2989,-2.6388196929800E-02
V2Cd2O7_18740_POSCAR,8.4284443468,0.2905,0.0841,1116.0563,15.4017,-2.0001241143641E-02
V2Cd2O7_18740_POSCAR,8.1805489249,0.4199,0.1212,1115.7934,15.3678,-2.2902862158029E-02
V2Cd2O7_18740_POSCAR,8.6763397688,0.2033,0.0591,1116.0873,15.4199,-1.7629053405129E-02
V2Cd2O7_18740_POSCAR,8.9242351908,0.1442,0.0421,1116.0939,15.4304,-1.5695161288702E-02
V2Cd2O7_18740_POSCAR,9.1721306127,0.1039,0.0304,1116.0960,15.4369,-1.4118481683916E-02
V2Cd2O7_18740_POSCAR,9.4200260347,0.0760,0.0223,1116.0968,15.4411,-1.2822934950460E-02
V2Cd2O7_18740_POSCAR,9.6679214567,0.0564,0.0166,1116.0972,15.4439,-1.1737365657943E-02
V2Cd2O7_18740_POSCAR,9.9158168786,0.0425,0.0126,1116.0975,15.4458,-1.0794164903969E-02
V2Cd2O7_18740_POSCAR,10.1637123006,0.0324,0.0097,1116.0976,15.4472,-9.9363898721498E-03
V2Cd2O7_18740_POSCAR,10.4116077226,0.0251,0.0075,1116.0977,15.4482,-9.1261149557952E-03
V2Cd2O7_18740_POSCAR,10.6595031445,0.0196,0.0059,1116.0977,15.4489,-8.3493032253751E-03
