source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Co11CuO16_757448,0.0000000000,read,real,scaling,value,N/A
Co11CuO16_757448,0.0000000000,read,real,scaling,value,N/A
Co11CuO16_757448,0.0000000000,read,real,scaling,value,N/A
Co11CuO16_757448,0.0000000000,read,real,scaling,value,N/A
Co11CuO16_757448,0.0000000000,read,real,scaling,value,N/A
Co11CuO16_757448,0.0000000000,read,real,scaling,value,N/A
Co11CuO16_757448,0.0000000000,read,real,scaling,value,N/A
Co11CuO16_757448,0.0000000000,read,real,scaling,value,N/A
Co11CuO16_757448,0.0000000000,read,real,scaling,value,N/A
Co11CuO16_757448,0.0000000000,read,real,scaling,value,N/A
Co11CuO16_757448,0.0000000000,read,real,scaling,value,N/A
Co11CuO16_757448,0.0000000000,read,real,scaling,value,N/A
Co11CuO16_757448,0.0000000000,read,real,scaling,value,N/A
Co11CuO16_757448,0.0000000000,read,real,scaling,value,N/A
Co11CuO16_757448,0.0000000000,read,real,scaling,value,N/A
Co11CuO16_757448,0.0000000000,read,real,scaling,value,N/A
Co11CuO16_757448,0.0000000000,read,real,scaling,value,N/A
Co11CuO16_757448,0.0000000000,read,real,scaling,value,N/A
Co11CuO16_757448,0.0000000000,read,real,scaling,value,N/A
Co11CuO16_757448,0.0000000000,read,real,scaling,value,N/A
Co11CuO16_757448,0.0000000000,read,real,scaling,value,N/A
Co11CuO16_757448,0.0000000000,read,real,scaling,value,N/A
Co11CuO16_757448,0.0000000000,read,real,scaling,value,N/A
Co11CuO16_757448,0.0000000000,read,real,scaling,value,N/A
Co11CuO16_757448,0.0000000000,read,real,scaling,value,N/A
Co11CuO16_757448,0.0000000000,read,real,scaling,value,N/A
Co11CuO16_757448,0.0000000000,read,real,scaling,value,N/A
Co11CuO16_757448,0.0000000000,read,real,scaling,value,N/A
Co11CuO16_757448,0.0000000000,read,real,scaling,value,N/A
Co11CuO16_757448,0.0000000000,read,real,scaling,value,N/A
Co11CuO16_757448,0.0000000000,read,real,scaling,value,N/A
Co11CuO16_757448,0.0000000000,read,real,scaling,value,N/A
Co11CuO16_757448,0.0000000000,read,real,scaling,value,N/A
Co11CuO16_757448,0.0000000000,read,real,scaling,value,N/A
Co11CuO16_757448,0.0000000000,read,real,scaling,value,N/A
Co11CuO16_757448_POSCAR,4.4365387500,14.0022,4.7443,118.2863,10.3708,-3.4978452519802E-01
Co11CuO16_757448_POSCAR,5.3238465000,5.3577,3.9537,131.0837,10.3708,-1.9279594609367E-01
Co11CuO16_757448_POSCAR,5.0280772500,6.8585,4.1313,118.2863,10.3708,-2.2608042147438E-01
Co11CuO16_757448_POSCAR,4.7323080000,9.6548,4.3376,118.2863,10.3708,-2.7876238931591E-01
Co11CuO16_757448_POSCAR,5.6196157500,4.5066,3.6830,148.0657,10.3708,-1.7357859236495E-01
Co11CuO16_757448_POSCAR,5.9153850000,3.8418,3.2196,148.0657,10.3708,-1.5384459855731E-01
Co11CuO16_757448_POSCAR,6.5069235000,2.3295,1.8138,165.8658,10.5316,-1.3780934812034E-01
Co11CuO16_757448_POSCAR,6.2111542500,3.1240,2.5522,148.0807,10.3713,-1.4837772114916E-01
Co11CuO16_757448_POSCAR,6.8026927500,1.5879,1.1807,186.5231,12.6229,-1.4365538044252E-01
Co11CuO16_757448_POSCAR,7.0984620000,1.0166,0.7319,211.9137,13.1493,-1.3653191879430E-01
Co11CuO16_757448_POSCAR,7.3942312500,0.6333,0.4474,513.0200,14.3775,-2.2381397559692E-01
Co11CuO16_757448_POSCAR,7.6900005000,0.3942,0.2758,531.9945,15.0864,-2.2735070978930E-01
Co11CuO16_757448_POSCAR,7.9857697500,0.2492,0.1735,532.6718,15.3021,-2.0355616540731E-01
Co11CuO16_757448_POSCAR,8.2815390000,0.1612,0.1119,532.7472,15.3772,-1.7861755547694E-01
Co11CuO16_757448_POSCAR,8.5773082500,0.1070,0.0741,532.7641,15.4093,-1.5611502541471E-01
Co11CuO16_757448_POSCAR,8.8730775000,0.0729,0.0504,532.7698,15.4254,-1.3705495687258E-01
Co11CuO16_757448_POSCAR,9.1688467500,0.0509,0.0351,532.7723,15.4344,-1.2144513315056E-01
Co11CuO16_757448_POSCAR,9.4646160000,0.0364,0.0250,532.7736,15.4397,-1.0866574436929E-01
Co11CuO16_757448_POSCAR,10.0561545000,0.0198,0.0136,532.7748,15.4454,-8.8149820498115E-02
Co11CuO16_757448_POSCAR,9.7603852500,0.0266,0.0182,532.7743,15.4431,-9.7828007010533E-02
Co11CuO16_757448_POSCAR,10.3519237500,0.0151,0.0103,532.7751,15.4469,-7.9131519525571E-02
Co11CuO16_757448_POSCAR,10.6476930000,0.0116,0.0079,532.7753,15.4480,-7.0624989861690E-02
Co11CuO16_757448_POSCAR,11.2392315000,0.0073,0.0049,532.7755,15.4493,-5.5586568075387E-02
Co11CuO16_757448_POSCAR,10.9434622500,0.0091,0.0062,532.7754,15.4488,-6.2729286178281E-02
Co11CuO16_757448_POSCAR,11.5350007500,0.0059,0.0039,532.7756,15.4497,-4.9285769164732E-02
Co11CuO16_757448_POSCAR,12.1265392500,0.0039,0.0026,532.7757,15.4503,-3.9102098499216E-02
Co11CuO16_757448_POSCAR,11.8307700000,0.0047,0.0032,532.7756,15.4501,-4.3823225276581E-02
Co11CuO16_757448_POSCAR,12.4223085000,0.0033,0.0022,532.7757,15.4505,-3.4993140684466E-02
Co11CuO16_757448_POSCAR,12.7180777500,0.0028,0.0018,532.7757,15.4506,-3.1368908150041E-02
Co11CuO16_757448_POSCAR,13.0138470000,0.0023,0.0016,532.7758,15.4508,-2.8126147323387E-02
Co11CuO16_757448_POSCAR,13.3096162500,0.0020,0.0013,532.7758,15.4509,-2.5193660262663E-02
Co11CuO16_757448_POSCAR,13.6053855000,0.0017,0.0011,532.7758,15.4509,-2.2529913524983E-02
Co11CuO16_757448_POSCAR,13.9011547500,0.0015,0.0010,532.7758,15.4510,-2.0108117977937E-02
Co11CuO16_757448_POSCAR,14.1969240000,0.0013,0.0009,532.7758,15.4511,-1.7919816324263E-02
Co11CuO16_757448_POSCAR,14.4926932500,0.0011,0.0008,532.7758,15.4511,-1.5949571737571E-02
Co21Cu3O32_757299,0.0000000000,read,real,scaling,value,N/A
Co21Cu3O32_757299,0.0000000000,read,real,scaling,value,N/A
Co21Cu3O32_757299,0.0000000000,read,real,scaling,value,N/A
Co21Cu3O32_757299,0.0000000000,read,real,scaling,value,N/A
Co21Cu3O32_757299,0.0000000000,read,real,scaling,value,N/A
Co21Cu3O32_757299,0.0000000000,read,real,scaling,value,N/A
Co21Cu3O32_757299,0.0000000000,read,real,scaling,value,N/A
Co21Cu3O32_757299,0.0000000000,read,real,scaling,value,N/A
Co21Cu3O32_757299,0.0000000000,read,real,scaling,value,N/A
Co21Cu3O32_757299,0.0000000000,read,real,scaling,value,N/A
Co21Cu3O32_757299,0.0000000000,read,real,scaling,value,N/A
Co21Cu3O32_757299,0.0000000000,read,real,scaling,value,N/A
Co21Cu3O32_757299,0.0000000000,read,real,scaling,value,N/A
Co21Cu3O32_757299,0.0000000000,read,real,scaling,value,N/A
Co21Cu3O32_757299,0.0000000000,read,real,scaling,value,N/A
Co21Cu3O32_757299,0.0000000000,read,real,scaling,value,N/A
Co21Cu3O32_757299,0.0000000000,read,real,scaling,value,N/A
Co21Cu3O32_757299,0.0000000000,read,real,scaling,value,N/A
Co21Cu3O32_757299,0.0000000000,read,real,scaling,value,N/A
Co21Cu3O32_757299,0.0000000000,read,real,scaling,value,N/A
Co21Cu3O32_757299,0.0000000000,read,real,scaling,value,N/A
Co21Cu3O32_757299,0.0000000000,read,real,scaling,value,N/A
Co21Cu3O32_757299,0.0000000000,read,real,scaling,value,N/A
Co21Cu3O32_757299,0.0000000000,read,real,scaling,value,N/A
Co21Cu3O32_757299,0.0000000000,read,real,scaling,value,N/A
Co21Cu3O32_757299,0.0000000000,read,real,scaling,value,N/A
Co21Cu3O32_757299,0.0000000000,read,real,scaling,value,N/A
Co21Cu3O32_757299,0.0000000000,read,real,scaling,value,N/A
Co21Cu3O32_757299,0.0000000000,read,real,scaling,value,N/A
Co21Cu3O32_757299,0.0000000000,read,real,scaling,value,N/A
Co21Cu3O32_757299,0.0000000000,read,real,scaling,value,N/A
Co21Cu3O32_757299,0.0000000000,read,real,scaling,value,N/A
Co21Cu3O32_757299,0.0000000000,read,real,scaling,value,N/A
Co21Cu3O32_757299,0.0000000000,read,real,scaling,value,N/A
Co21Cu3O32_757299,0.0000000000,read,real,scaling,value,N/A
Co21Cu3O32_757299_POSCAR,4.8970024645,12.5226,4.2360,118.2863,10.3708,-4.9583775621786E-01
Co21Cu3O32_757299_POSCAR,5.1850614330,10.4578,4.0648,118.2863,10.3708,-4.1439944673253E-01
Co21Cu3O32_757299_POSCAR,4.3208845275,16.9133,5.1254,118.2863,10.3708,-7.6270070284520E-01
Co21Cu3O32_757299_POSCAR,4.6089434960,14.6940,4.5144,118.2863,10.3708,-6.1300737268758E-01
Co21Cu3O32_757299_POSCAR,5.4731204015,8.5668,3.8743,118.2863,10.3708,-3.6950395407027E-01
Co21Cu3O32_757299_POSCAR,5.7611793700,6.9485,3.5590,118.2863,10.3708,-3.2766147298390E-01
Co21Cu3O32_757299_POSCAR,6.0492383385,5.4920,3.0437,118.4075,10.3708,-2.9373595968299E-01
Co21Cu3O32_757299_POSCAR,6.3372973070,4.0826,2.3567,148.0657,10.3731,-2.9123579296143E-01
Co21Cu3O32_757299_POSCAR,6.9134152440,1.8125,1.0706,186.2516,12.7529,-2.8170572573365E-01
Co21Cu3O32_757299_POSCAR,6.6253562755,2.8067,1.6489,148.3873,10.8788,-2.7144101905479E-01
Co21Cu3O32_757299_POSCAR,7.2014742125,1.1340,0.6695,191.8796,13.3278,-3.0833837517441E-01
Co21Cu3O32_757299_POSCAR,7.4895331810,0.7062,0.4155,483.5925,14.5396,-4.5296526040898E-01
Co21Cu3O32_757299_POSCAR,7.7775921495,0.4453,0.2606,531.2007,15.1274,-4.3155799387645E-01
Co21Cu3O32_757299_POSCAR,8.0656511180,0.2868,0.1668,532.5994,15.3119,-3.8344370998801E-01
Co21Cu3O32_757299_POSCAR,8.3537100865,0.1892,0.1093,532.7322,15.3797,-3.3686315987381E-01
Co21Cu3O32_757299_POSCAR,8.6417690550,0.1280,0.0734,532.7590,15.4098,-2.9553651169834E-01
Co21Cu3O32_757299_POSCAR,9.2178869920,0.0629,0.0356,532.7711,15.4341,-2.3265083421859E-01
Co21Cu3O32_757299_POSCAR,8.9298280235,0.0886,0.0506,532.7675,15.4253,-2.6087618749670E-01
Co21Cu3O32_757299_POSCAR,9.7940049290,0.0337,0.0188,532.7738,15.4428,-1.8975559502329E-01
