source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Co2CuS4_3925,0.0000000000,read,real,scaling,value,N/A
Co2CuS4_3925,0.0000000000,read,real,scaling,value,N/A
Co2CuS4_3925,0.0000000000,read,real,scaling,value,N/A
Co2CuS4_3925,0.0000000000,read,real,scaling,value,N/A
Co2CuS4_3925,0.0000000000,read,real,scaling,value,N/A
Co2CuS4_3925,0.0000000000,read,real,scaling,value,N/A
Co2CuS4_3925,0.0000000000,read,real,scaling,value,N/A
Co2CuS4_3925,0.0000000000,read,real,scaling,value,N/A
Co2CuS4_3925,0.0000000000,read,real,scaling,value,N/A
Co2CuS4_3925,0.0000000000,read,real,scaling,value,N/A
Co2CuS4_3925,0.0000000000,read,real,scaling,value,N/A
Co2CuS4_3925,0.0000000000,read,real,scaling,value,N/A
Co2CuS4_3925,0.0000000000,read,real,scaling,value,N/A
Co2CuS4_3925,0.0000000000,read,real,scaling,value,N/A
Co2CuS4_3925,0.0000000000,read,real,scaling,value,N/A
Co2CuS4_3925,0.0000000000,read,real,scaling,value,N/A
Co2CuS4_3925,0.0000000000,read,real,scaling,value,N/A
Co2CuS4_3925,0.0000000000,read,real,scaling,value,N/A
Co2CuS4_3925,0.0000000000,read,real,scaling,value,N/A
Co2CuS4_3925,0.0000000000,read,real,scaling,value,N/A
Co2CuS4_3925,0.0000000000,read,real,scaling,value,N/A
Co2CuS4_3925,0.0000000000,read,real,scaling,value,N/A
Co2CuS4_3925,0.0000000000,read,real,scaling,value,N/A
Co2CuS4_3925,0.0000000000,read,real,scaling,value,N/A
Co2CuS4_3925,0.0000000000,read,real,scaling,value,N/A
Co2CuS4_3925,0.0000000000,read,real,scaling,value,N/A
Co2CuS4_3925,0.0000000000,read,real,scaling,value,N/A
Co2CuS4_3925,0.0000000000,read,real,scaling,value,N/A
Co2CuS4_3925,0.0000000000,read,real,scaling,value,N/A
Co2CuS4_3925,0.0000000000,read,real,scaling,value,N/A
Co2CuS4_3925,0.0000000000,read,real,scaling,value,N/A
Co2CuS4_3925,0.0000000000,read,real,scaling,value,N/A
Co2CuS4_3925,0.0000000000,read,real,scaling,value,N/A
Co2CuS4_3925,0.0000000000,read,real,scaling,value,N/A
Co2CuS4_3925,0.0000000000,read,real,scaling,value,N/A
Co2CuS4_3925_POSCAR,5.1923990179,7.1388,6.9798,118.2863,125.8109,-2.0214397609418E-01
Co2CuS4_3925_POSCAR,4.9039324058,8.2552,8.9553,118.2863,125.8109,-2.3430638955510E-01
Co2CuS4_3925_POSCAR,4.6154657936,10.1852,11.5737,118.2863,125.8109,-2.7534976312170E-01
Co2CuS4_3925_POSCAR,4.3269991815,13.0059,14.6496,118.2863,125.8109,-3.3695639982218E-01
Co2CuS4_3925_POSCAR,5.7693322421,6.0920,4.7851,118.2863,125.8109,-1.4658310754513E-01
Co2CuS4_3925_POSCAR,5.4808656300,6.5207,5.6434,118.2863,125.8109,-1.7280567380399E-01
Co2CuS4_3925_POSCAR,6.0577988542,5.6243,4.1604,118.2870,125.8109,-1.2495780887824E-01
Co2CuS4_3925_POSCAR,6.3462654663,4.9569,3.5551,148.0657,125.8109,-1.1484164222156E-01
Co2CuS4_3925_POSCAR,7.2116653026,2.0754,1.4701,183.0867,128.6229,-8.1618753077962E-02
Co2CuS4_3925_POSCAR,6.6347320784,4.0452,2.8651,148.0657,125.8110,-9.9638130626168E-02
Co2CuS4_3925_POSCAR,6.9231986905,3.0146,2.1304,148.1089,125.8426,-8.6595205508889E-02
Co2CuS4_3925_POSCAR,7.5001319147,1.3580,0.9656,186.7923,130.9900,-7.3326330809766E-02
Co2CuS4_3925_POSCAR,7.7885985268,0.8696,0.6209,318.8299,131.8085,-8.0866572622892E-02
Co2CuS4_3925_POSCAR,8.0770651389,0.5568,0.3991,525.6039,133.0573,-9.4387171055316E-02
Co2CuS4_3925_POSCAR,8.3655317510,0.3609,0.2598,532.2819,133.6096,-9.1006928386429E-02
Co2CuS4_3925_POSCAR,8.6539983631,0.2383,0.1723,532.6868,133.7947,-8.7299510982165E-02
Co2CuS4_3925_POSCAR,8.9424649752,0.1608,0.1168,532.7474,133.8669,-8.3315414843525E-02
Co2CuS4_3925_POSCAR,9.2309315873,0.1108,0.0809,532.7633,133.9004,-7.8352655223055E-02
Co2CuS4_3925_POSCAR,9.5193981994,0.0780,0.0572,532.7691,133.9181,-7.2211320210636E-02
Co2CuS4_3925_POSCAR,9.8078648115,0.0560,0.0414,532.7718,133.9283,-6.5298615198975E-02
Co2CuS4_3925_POSCAR,10.6732646478,0.0231,0.0174,532.7746,133.9416,-4.5896247385222E-02
Co2CuS4_3925_POSCAR,10.3847980357,0.0306,0.0228,532.7740,133.9388,-5.1728532553344E-02
Co2CuS4_3925_POSCAR,10.0963314236,0.0410,0.0305,532.7732,133.9347,-5.8285282007114E-02
Co2CuS4_3925_POSCAR,10.9617312599,0.0178,0.0135,532.7749,133.9436,-4.0821527875669E-02
