source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
CoPtO2_1277413,0.0000000000,read,real,scaling,value,N/A
CoPtO2_1277413,0.0000000000,read,real,scaling,value,N/A
CoPtO2_1277413,0.0000000000,read,real,scaling,value,N/A
CoPtO2_1277413,0.0000000000,read,real,scaling,value,N/A
CoPtO2_1277413,0.0000000000,read,real,scaling,value,N/A
CoPtO2_1277413,0.0000000000,read,real,scaling,value,N/A
CoPtO2_1277413,0.0000000000,read,real,scaling,value,N/A
CoPtO2_1277413,0.0000000000,read,real,scaling,value,N/A
CoPtO2_1277413,0.0000000000,read,real,scaling,value,N/A
CoPtO2_1277413,0.0000000000,read,real,scaling,value,N/A
CoPtO2_1277413,0.0000000000,read,real,scaling,value,N/A
CoPtO2_1277413,0.0000000000,read,real,scaling,value,N/A
CoPtO2_1277413,0.0000000000,read,real,scaling,value,N/A
CoPtO2_1277413,0.0000000000,read,real,scaling,value,N/A
CoPtO2_1277413,0.0000000000,read,real,scaling,value,N/A
CoPtO2_1277413,0.0000000000,read,real,scaling,value,N/A
CoPtO2_1277413,0.0000000000,read,real,scaling,value,N/A
CoPtO2_1277413,0.0000000000,read,real,scaling,value,N/A
CoPtO2_1277413,0.0000000000,read,real,scaling,value,N/A
CoPtO2_1277413,0.0000000000,read,real,scaling,value,N/A
CoPtO2_1277413,0.0000000000,read,real,scaling,value,N/A
CoPtO2_1277413,0.0000000000,read,real,scaling,value,N/A
CoPtO2_1277413,0.0000000000,read,real,scaling,value,N/A
CoPtO2_1277413,0.0000000000,read,real,scaling,value,N/A
CoPtO2_1277413,0.0000000000,read,real,scaling,value,N/A
CoPtO2_1277413,0.0000000000,read,real,scaling,value,N/A
CoPtO2_1277413,0.0000000000,read,real,scaling,value,N/A
CoPtO2_1277413,0.0000000000,read,real,scaling,value,N/A
CoPtO2_1277413,0.0000000000,read,real,scaling,value,N/A
CoPtO2_1277413,0.0000000000,read,real,scaling,value,N/A
CoPtO2_1277413,0.0000000000,read,real,scaling,value,N/A
CoPtO2_1277413,0.0000000000,read,real,scaling,value,N/A
CoPtO2_1277413,0.0000000000,read,real,scaling,value,N/A
CoPtO2_1277413,0.0000000000,read,real,scaling,value,N/A
CoPtO2_1277413,0.0000000000,read,real,scaling,value,N/A
CoPtO2_1277413_POSCAR,1.8963457631,17.3373,5.2936,118.2863,10.3708,-4.2769208089455E-01
CoPtO2_1277413_POSCAR,2.1491918649,12.5867,4.2546,118.2863,10.3708,-2.8811398222950E-01
CoPtO2_1277413_POSCAR,2.2756149158,10.2095,4.0368,118.2863,10.3708,-2.4601780872408E-01
CoPtO2_1277413_POSCAR,2.0227688140,15.0406,4.5847,118.2863,10.3708,-3.4813187342224E-01
CoPtO2_1277413_POSCAR,2.5284610175,6.2526,3.3702,118.2863,10.3708,-1.8575080464325E-01
CoPtO2_1277413_POSCAR,2.4020379667,8.0892,3.7782,118.2863,10.3708,-2.1416591712572E-01
CoPtO2_1277413_POSCAR,2.6548840684,4.5888,2.7803,148.0657,10.3709,-1.7082956160201E-01
CoPtO2_1277413_POSCAR,2.7813071193,3.1244,2.0952,148.0806,10.3889,-1.4767465975760E-01
CoPtO2_1277413_POSCAR,3.0341532210,1.2258,0.9534,188.0712,12.8455,-1.2750909571632E-01
CoPtO2_1277413_POSCAR,2.9077301702,1.9918,1.4560,184.9275,11.7164,-1.4071132644203E-01
CoPtO2_1277413_POSCAR,3.1605762719,0.7502,0.6034,451.9550,13.5837,-1.6164054504762E-01
CoPtO2_1277413_POSCAR,3.2869993228,0.4653,0.3780,530.7069,14.7155,-1.5908886478871E-01
CoPtO2_1277413_POSCAR,3.4134223737,0.2951,0.2385,532.5775,15.1811,-1.4129507753197E-01
CoPtO2_1277413_POSCAR,3.5398454245,0.1923,0.1531,532.7302,15.3306,-1.2336417720320E-01
CoPtO2_1277413_POSCAR,3.6662684754,0.1287,0.1005,532.7588,15.3878,-1.0722030407283E-01
CoPtO2_1277413_POSCAR,3.7926915263,0.0883,0.0676,532.7676,15.4140,-9.3685552193098E-02
CoPtO2_1277413_POSCAR,3.9191145772,0.0621,0.0466,532.7711,15.4278,-8.2643363475008E-02
