source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Co2RuO4_34586,0.0000000000,read,real,scaling,value,N/A
Co2RuO4_34586,0.0000000000,read,real,scaling,value,N/A
Co2RuO4_34586,0.0000000000,read,real,scaling,value,N/A
Co2RuO4_34586,0.0000000000,read,real,scaling,value,N/A
Co2RuO4_34586,0.0000000000,read,real,scaling,value,N/A
Co2RuO4_34586,0.0000000000,read,real,scaling,value,N/A
Co2RuO4_34586,0.0000000000,read,real,scaling,value,N/A
Co2RuO4_34586,0.0000000000,read,real,scaling,value,N/A
Co2RuO4_34586,0.0000000000,read,real,scaling,value,N/A
Co2RuO4_34586,0.0000000000,read,real,scaling,value,N/A
Co2RuO4_34586,0.0000000000,read,real,scaling,value,N/A
Co2RuO4_34586,0.0000000000,read,real,scaling,value,N/A
Co2RuO4_34586,0.0000000000,read,real,scaling,value,N/A
Co2RuO4_34586,0.0000000000,read,real,scaling,value,N/A
Co2RuO4_34586,0.0000000000,read,real,scaling,value,N/A
Co2RuO4_34586,0.0000000000,read,real,scaling,value,N/A
Co2RuO4_34586,0.0000000000,read,real,scaling,value,N/A
Co2RuO4_34586,0.0000000000,read,real,scaling,value,N/A
Co2RuO4_34586,0.0000000000,read,real,scaling,value,N/A
Co2RuO4_34586,0.0000000000,read,real,scaling,value,N/A
Co2RuO4_34586,0.0000000000,read,real,scaling,value,N/A
Co2RuO4_34586,0.0000000000,read,real,scaling,value,N/A
Co2RuO4_34586,0.0000000000,read,real,scaling,value,N/A
Co2RuO4_34586,0.0000000000,read,real,scaling,value,N/A
Co2RuO4_34586,0.0000000000,read,real,scaling,value,N/A
Co2RuO4_34586,0.0000000000,read,real,scaling,value,N/A
Co2RuO4_34586,0.0000000000,read,real,scaling,value,N/A
Co2RuO4_34586,0.0000000000,read,real,scaling,value,N/A
Co2RuO4_34586,0.0000000000,read,real,scaling,value,N/A
Co2RuO4_34586,0.0000000000,read,real,scaling,value,N/A
Co2RuO4_34586,0.0000000000,read,real,scaling,value,N/A
Co2RuO4_34586,0.0000000000,read,real,scaling,value,N/A
Co2RuO4_34586,0.0000000000,read,real,scaling,value,N/A
Co2RuO4_34586,0.0000000000,read,real,scaling,value,N/A
Co2RuO4_34586,0.0000000000,read,real,scaling,value,N/A
Co2RuO4_34586_POSCAR,4.6646667891,5.8680,4.0285,118.2863,10.3708,-1.3602856635893E-01
Co2RuO4_34586_POSCAR,4.1463704792,10.9744,4.3843,118.2863,10.3708,-1.8892153536485E-01
Co2RuO4_34586_POSCAR,4.4055186342,7.7955,4.1731,118.2863,10.3708,-1.5660486972191E-01
Co2RuO4_34586_POSCAR,3.8872223243,15.2086,4.8329,118.2863,10.3708,-2.3774269417702E-01
Co2RuO4_34586_POSCAR,4.9238149441,4.7285,3.8446,148.0657,10.3708,-1.2772485509050E-01
Co2RuO4_34586_POSCAR,5.1829630990,3.8754,3.5256,148.0657,10.3708,-1.1489790272105E-01
Co2RuO4_34586_POSCAR,5.4421112540,3.0312,3.0068,148.1025,10.3708,-1.0673124125727E-01
Co2RuO4_34586_POSCAR,5.7012594089,2.1772,2.3258,178.4848,10.3737,-1.1634389344265E-01
Co2RuO4_34586_POSCAR,5.9604075639,1.4401,1.6302,186.6191,10.9413,-1.0626567280357E-01
Co2RuO4_34586_POSCAR,6.2195557189,0.9051,1.0617,281.0510,12.7607,-1.0959486545041E-01
Co2RuO4_34586_POSCAR,6.4787038738,0.5593,0.6656,525.3588,13.3410,-1.1696213987173E-01
Co2RuO4_34586_POSCAR,6.7378520288,0.3479,0.4136,532.3632,14.5489,-1.3897535091547E-01
Co2RuO4_34586_POSCAR,6.9970001837,0.2207,0.2595,532.7067,15.1302,-1.2675945000251E-01
Co2RuO4_34586_POSCAR,7.5152964936,0.0959,0.1088,532.7663,15.3802,-9.4860897634288E-02
Co2RuO4_34586_POSCAR,7.7744446486,0.0658,0.0730,532.7707,15.4102,-8.2762104148871E-02
Co2RuO4_34586_POSCAR,7.2561483387,0.1436,0.1660,532.7541,15.3130,-1.0941791894112E-01
Co2RuO4_34586_POSCAR,8.0335928035,0.0463,0.0502,532.7728,15.4255,-7.2668945264365E-02
Co2RuO4_34586_POSCAR,8.5518891134,0.0245,0.0254,532.7745,15.4395,-5.6777126593092E-02
Co2RuO4_34586_POSCAR,8.8110372684,0.0184,0.0187,532.7749,15.4429,-5.0300326172465E-02
Co2RuO4_34586_POSCAR,8.2927409585,0.0333,0.0353,532.7738,15.4343,-6.4136178600765E-02
Co2RuO4_34586_POSCAR,9.0701854233,0.0140,0.0139,532.7751,15.4452,-4.4515639513234E-02
Co2RuO4_34586_POSCAR,9.3293335783,0.0109,0.0106,532.7753,15.4467,-3.9327701497382E-02
Co2RuO4_34586_POSCAR,9.8476298882,0.0069,0.0064,532.7755,15.4486,-3.0618873992418E-02
Co2RuO4_34586_POSCAR,9.5884817332,0.0086,0.0082,532.7754,15.4478,-3.4700106042100E-02
Co2RuO4_34586_POSCAR,10.1067780431,0.0056,0.0051,532.7756,15.4492,-2.7058422069848E-02
Co2RuO4_34586_POSCAR,10.3659261981,0.0046,0.0041,532.7757,15.4497,-2.3970656642464E-02
Co2RuO4_34586_POSCAR,10.8842225080,0.0032,0.0028,532.7757,15.4502,-1.8947226191710E-02
Co2RuO4_34586_POSCAR,11.1433706629,0.0027,0.0023,532.7757,15.4505,-1.6881904923583E-02
Co2RuO4_34586_POSCAR,10.6250743530,0.0038,0.0034,532.7757,15.4500,-2.1289323335343E-02
