source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Co8RuS8_1181796,0.0000000000,read,real,scaling,value,N/A
Co8RuS8_1181796,0.0000000000,read,real,scaling,value,N/A
Co8RuS8_1181796,0.0000000000,read,real,scaling,value,N/A
Co8RuS8_1181796,0.0000000000,read,real,scaling,value,N/A
Co8RuS8_1181796,0.0000000000,read,real,scaling,value,N/A
Co8RuS8_1181796,0.0000000000,read,real,scaling,value,N/A
Co8RuS8_1181796,0.0000000000,read,real,scaling,value,N/A
Co8RuS8_1181796,0.0000000000,read,real,scaling,value,N/A
Co8RuS8_1181796,0.0000000000,read,real,scaling,value,N/A
Co8RuS8_1181796,0.0000000000,read,real,scaling,value,N/A
Co8RuS8_1181796,0.0000000000,read,real,scaling,value,N/A
Co8RuS8_1181796,0.0000000000,read,real,scaling,value,N/A
Co8RuS8_1181796,0.0000000000,read,real,scaling,value,N/A
Co8RuS8_1181796,0.0000000000,read,real,scaling,value,N/A
Co8RuS8_1181796,0.0000000000,read,real,scaling,value,N/A
Co8RuS8_1181796,0.0000000000,read,real,scaling,value,N/A
Co8RuS8_1181796,0.0000000000,read,real,scaling,value,N/A
Co8RuS8_1181796,0.0000000000,read,real,scaling,value,N/A
Co8RuS8_1181796,0.0000000000,read,real,scaling,value,N/A
Co8RuS8_1181796,0.0000000000,read,real,scaling,value,N/A
Co8RuS8_1181796,0.0000000000,read,real,scaling,value,N/A
Co8RuS8_1181796,0.0000000000,read,real,scaling,value,N/A
Co8RuS8_1181796,0.0000000000,read,real,scaling,value,N/A
Co8RuS8_1181796,0.0000000000,read,real,scaling,value,N/A
Co8RuS8_1181796,0.0000000000,read,real,scaling,value,N/A
Co8RuS8_1181796,0.0000000000,read,real,scaling,value,N/A
Co8RuS8_1181796,0.0000000000,read,real,scaling,value,N/A
Co8RuS8_1181796,0.0000000000,read,real,scaling,value,N/A
Co8RuS8_1181796,0.0000000000,read,real,scaling,value,N/A
Co8RuS8_1181796,0.0000000000,read,real,scaling,value,N/A
Co8RuS8_1181796,0.0000000000,read,real,scaling,value,N/A
Co8RuS8_1181796,0.0000000000,read,real,scaling,value,N/A
Co8RuS8_1181796,0.0000000000,read,real,scaling,value,N/A
Co8RuS8_1181796,0.0000000000,read,real,scaling,value,N/A
Co8RuS8_1181796,0.0000000000,read,real,scaling,value,N/A
Co8RuS8_1181796_POSCAR,4.5286402112,13.1098,14.2141,118.2863,125.8109,-4.4278751888555E-01
Co8RuS8_1181796_POSCAR,5.4343682534,7.6658,5.5404,118.2863,125.8109,-2.8228577745949E-01
Co8RuS8_1181796_POSCAR,4.8305495586,10.1947,9.8930,118.2863,125.8109,-3.7658285969936E-01
Co8RuS8_1181796_POSCAR,5.1324589060,8.5538,7.0578,118.2863,125.8109,-3.2893460824508E-01
Co8RuS8_1181796_POSCAR,5.7362776009,7.0596,4.7850,118.2863,125.8109,-2.3609464272852E-01
Co8RuS8_1181796_POSCAR,6.3400962957,5.6789,4.1194,118.2864,125.8109,-1.6660855473434E-01
Co8RuS8_1181796_POSCAR,6.6420056431,4.8107,3.8479,148.0657,125.8109,-1.6459736951622E-01
Co8RuS8_1181796_POSCAR,6.0381869483,6.4376,4.3863,118.2863,125.8109,-1.9713868897148E-01
Co8RuS8_1181796_POSCAR,6.9439149905,3.8980,3.4752,148.0657,125.8109,-1.3851231639236E-01
Co8RuS8_1181796_POSCAR,7.2458243379,2.9888,2.9535,148.1211,125.8109,-1.1631252638737E-01
Co8RuS8_1181796_POSCAR,7.8496430327,1.4700,1.6867,186.5892,126.7139,-9.6622319862361E-02
Co8RuS8_1181796_POSCAR,7.5477336853,2.1536,2.3204,179.8476,125.8179,-1.0849570527722E-01
Co8RuS8_1181796_POSCAR,8.1515523802,0.9695,1.1563,232.3123,130.6762,-9.8338550789169E-02
Co8RuS8_1181796_POSCAR,8.4534617276,0.6310,0.7671,513.5897,131.2945,-1.4544798356029E-01
Co8RuS8_1181796_POSCAR,8.7553710750,0.4118,0.5035,531.7815,132.4592,-1.4105509273531E-01
Co8RuS8_1181796_POSCAR,9.0572804224,0.2721,0.3320,532.6322,133.3670,-1.3582744343009E-01
Co8RuS8_1181796_POSCAR,10.2649178121,0.0629,0.0738,532.7711,133.9060,-1.0742531053989E-01
Co8RuS8_1181796_POSCAR,9.3591897698,0.1831,0.2218,532.7360,133.7029,-1.3079751888404E-01
Co8RuS8_1181796_POSCAR,9.9630084646,0.0881,0.1045,532.7676,133.8794,-1.1676938818372E-01
Co8RuS8_1181796_POSCAR,9.6610991172,0.1257,0.1508,532.7597,133.8261,-1.2464268690841E-01
Co8RuS8_1181796_POSCAR,10.5668271595,0.0458,0.0531,532.7728,133.9209,-9.7354172930776E-02
Co8RuS8_1181796_POSCAR,10.8687365069,0.0339,0.0390,532.7738,133.9298,-8.7386814545665E-02
