source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
ScCoO3_1186980,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1186980,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1186980,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1186980,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1186980,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1186980,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1186980,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1186980,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1186980,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1186980,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1186980,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1186980,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1186980,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1186980,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1186980,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1186980,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1186980,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1186980,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1186980,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1186980,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1186980,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1186980,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1186980,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1186980,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1186980,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1186980,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1186980,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1186980,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1186980,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1186980,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1186980,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1186980,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1186980,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1186980,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1186980,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1186980_POSCAR,2.7464010000,29.3497,7.1660,313.9846,10.3708,-7.5518271359485E-02
ScCoO3_1186980_POSCAR,2.9294944000,27.0497,6.4859,313.9846,10.3708,-6.2123548888525E-02
ScCoO3_1186980_POSCAR,3.2956812000,21.9923,5.6334,313.9846,10.3708,-4.1577585324428E-02
ScCoO3_1186980_POSCAR,3.1125878000,25.0172,6.0792,313.9846,10.3708,-5.1106382977145E-02
ScCoO3_1186980_POSCAR,3.4787746000,17.4537,4.9714,313.9846,10.3708,-3.4177555444643E-02
ScCoO3_1186980_POSCAR,3.6618680000,12.2047,4.1046,313.9846,10.3708,-2.9015645620360E-02
ScCoO3_1186980_POSCAR,4.0280548000,4.5481,2.4262,313.9846,10.3721,-2.2833272933090E-02
ScCoO3_1186980_POSCAR,3.8449614000,7.6734,3.2116,313.9846,10.3708,-2.5445135675995E-02
ScCoO3_1186980_POSCAR,4.2111482000,2.6554,1.7626,314.8906,10.6048,-2.2479759200770E-02
ScCoO3_1186980_POSCAR,4.5773350000,0.9516,0.8015,705.2577,13.0115,-3.0470334471653E-02
ScCoO3_1186980_POSCAR,4.3942416000,1.5696,1.2168,324.5430,12.5595,-2.2122999461649E-02
ScCoO3_1186980_POSCAR,4.7604284000,0.5948,0.5139,1511.1239,14.0240,-4.2408408983643E-02
ScCoO3_1186980_POSCAR,4.9435218000,0.3834,0.3276,1521.9779,14.9194,-4.5811692340580E-02
ScCoO3_1186980_POSCAR,5.1266152000,0.2546,0.2108,1522.3957,15.2388,-4.8054823219264E-02
ScCoO3_1186980_POSCAR,5.3097086000,0.1737,0.1381,1522.4461,15.3491,-4.2355708690108E-02
ScCoO3_1186980_POSCAR,5.4928020000,0.1216,0.0925,1522.4577,15.3948,-3.6985846891035E-02
ScCoO3_1186980_POSCAR,5.6758954000,0.0872,0.0634,1522.4617,15.4170,-3.2296101768443E-02
ScCoO3_1186980_POSCAR,6.0420822000,0.0478,0.0318,1522.4643,15.4362,-2.4878596673452E-02
ScCoO3_1186980_POSCAR,5.8589888000,0.0639,0.0444,1522.4634,15.4291,-2.8288218500522E-02
ScCoO3_1186980_POSCAR,6.2251756000,0.0363,0.0233,1522.4648,15.4406,-2.1966083361803E-02
ScCoO3_1186980_POSCAR,6.4082690000,0.0280,0.0173,1522.4651,15.4436,-1.9451582194453E-02
ScCoO3_1186980_POSCAR,6.7744558000,0.0174,0.0101,1522.4655,15.4470,-1.5290844088284E-02
ScCoO3_1186980_POSCAR,6.5913624000,0.0219,0.0131,1522.4654,15.4456,-1.7251409584999E-02
ScCoO3_1186980_POSCAR,6.9575492000,0.0141,0.0079,1522.4656,15.4480,-1.3523934290236E-02
ScCoO3_1186980_POSCAR,7.1406426000,0.0114,0.0063,1522.4657,15.4487,-1.1926997733748E-02
ScCoO3_1186980_POSCAR,7.3237360000,0.0093,0.0051,1522.4657,15.4492,-1.0496442401325E-02
ScCoO3_1186980_POSCAR,7.5068294000,0.0077,0.0041,1522.4658,15.4497,-9.2294276436663E-03
ScCoO3_1186980_POSCAR,7.6899228000,0.0065,0.0034,1522.4658,15.4500,-8.1254532600735E-03
ScCoO3_1186980_POSCAR,7.8730162000,0.0055,0.0028,1522.4658,15.4502,-7.1700466066140E-03
ScCoO3_1186980_POSCAR,8.2392030000,0.0040,0.0020,1522.4659,15.4506,-5.6412373022450E-03
ScCoO3_1186980_POSCAR,8.0561096000,0.0047,0.0023,1522.4659,15.4504,-6.3491672209383E-03
ScCoO3_1186980_POSCAR,8.4222964000,0.0035,0.0017,1522.4659,15.4507,-5.0255735855177E-03
ScCoO3_1186980_POSCAR,8.6053898000,0.0030,0.0014,1522.4659,15.4508,-4.4864256415345E-03
ScCoO3_1186980_POSCAR,8.7884832000,0.0026,0.0012,1522.4659,15.4509,-4.0102897609402E-03
ScCoO3_1186980_POSCAR,8.9715766000,0.0023,0.0011,1522.4659,15.4510,-3.5852303999733E-03
ScCoO3_1643785,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1643785,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1643785,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1643785,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1643785,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1643785,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1643785,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1643785,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1643785,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1643785,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1643785,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1643785,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1643785,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1643785,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1643785,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1643785,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1643785,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1643785,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1643785,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1643785,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1643785,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1643785,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1643785,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1643785,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1643785,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1643785,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1643785,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1643785,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1643785,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1643785,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1643785,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1643785,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1643785,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1643785,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1643785,0.0000000000,read,real,scaling,value,N/A
ScCoO3_1643785_POSCAR,4.0084532931,23.9095,5.2132,313.9846,10.3708,-2.3632913514871E-01
ScCoO3_1643785_POSCAR,4.2589816239,20.9741,4.6496,313.9846,10.3708,-1.9436977789812E-01
ScCoO3_1643785_POSCAR,3.7579249623,27.4568,6.0905,313.9846,10.3708,-2.9186942431421E-01
ScCoO3_1643785_POSCAR,4.5095099547,18.0588,4.2691,313.9846,10.3708,-1.6322373855055E-01
ScCoO3_1643785_POSCAR,4.7600382855,15.0334,3.9550,313.9846,10.3708,-1.3930129368679E-01
ScCoO3_1643785_POSCAR,5.0105666163,12.0854,3.6043,313.9846,10.3708,-1.2042794138177E-01
ScCoO3_1643785_POSCAR,5.2610949472,9.4522,3.1746,313.9846,10.3708,-1.0535049365886E-01
ScCoO3_1643785_POSCAR,5.5116232780,7.2394,2.6800,313.9846,10.3710,-9.9375073094779E-02
ScCoO3_1643785_POSCAR,5.7621516088,5.4112,2.1538,313.9846,10.3822,-8.8717540545737E-02
ScCoO3_1643785_POSCAR,6.0126799396,3.9024,1.6338,313.9846,10.9288,-8.8547622559133E-02
ScCoO3_1643785_POSCAR,6.2632082704,2.6952,1.1661,314.6518,12.6450,-8.3023499878770E-02
ScCoO3_1643785_POSCAR,6.5137366013,1.7936,0.7905,324.4222,13.0297,-1.0705021474376E-01
ScCoO3_1643785_POSCAR,6.7642649321,1.1691,0.5192,343.8193,13.9960,-1.0423275307817E-01
ScCoO3_1643785_POSCAR,7.0147932629,0.7595,0.3372,1401.6612,14.8836,-1.6895832563376E-01
ScCoO3_1643785_POSCAR,7.2653215937,0.4979,0.2200,1519.7730,15.2207,-1.5627293750373E-01
ScCoO3_1643785_POSCAR,7.5158499245,0.3319,0.1455,1522.2401,15.3402,-1.3831195652702E-01
ScCoO3_1643785_POSCAR,8.0169065862,0.1569,0.0674,1522.4508,15.4142,-1.0880021375796E-01
ScCoO3_1643785_POSCAR,7.7663782553,0.2258,0.0980,1522.4208,15.3900,-1.2243881623166E-01
ScCoO3_1643785_POSCAR,8.2674349170,0.1113,0.0473,1522.4591,15.4273,-9.7006676838706E-02
ScCoO3_1643785_POSCAR,8.5179632478,0.0806,0.0339,1522.4622,15.4350,-8.6565776929986E-02
ScCoO3_1643785_POSCAR,9.2695482402,0.0341,0.0139,1522.4649,15.4452,-6.0522401697763E-02
ScCoO3_1643785_POSCAR,9.0190199094,0.0446,0.0184,1522.4645,15.4431,-6.8434599314989E-02
ScCoO3_1643785_POSCAR,8.7684915786,0.0594,0.0248,1522.4637,15.4399,-7.7103108650659E-02
ScCoO3_1643785_POSCAR,9.5200765711,0.0264,0.0107,1522.4652,15.4467,-5.3393932103489E-02
ScCoO3_1643785_POSCAR,9.7706049019,0.0207,0.0084,1522.4654,15.4478,-4.7074682825865E-02
ScCoO3_1643785_POSCAR,10.0211332327,0.0165,0.0066,1522.4655,15.4486,-4.1541895075081E-02
ScCoO3_1643785_POSCAR,10.2716615635,0.0133,0.0053,1522.4656,15.4491,-3.6723768805437E-02
ScCoO3_1643785_POSCAR,10.5221898943,0.0108,0.0043,1522.4657,15.4496,-3.2528545777029E-02
ScCoO3_1643785_POSCAR,10.7727182251,0.0089,0.0035,1522.4658,15.4499,-2.8857950603369E-02
ScCoO3_1643785_POSCAR,11.0232465560,0.0074,0.0029,1522.4658,15.4502,-2.5626518709786E-02
ScCoO3_1643785_POSCAR,11.2737748868,0.0062,0.0024,1522.4658,15.4504,-2.2762085951702E-02
ScCoO3_1643785_POSCAR,11.5243032176,0.0052,0.0020,1522.4659,15.4506,-2.0214121596453E-02
ScCoO3_1643785_POSCAR,11.7748315484,0.0045,0.0017,1522.4659,15.4507,-1.7943978163952E-02
ScCoO3_1643785_POSCAR,12.0253598792,0.0038,0.0015,1522.4659,15.4508,-1.5921944200119E-02
ScCoO3_1643785_POSCAR,12.2758882100,0.0033,0.0013,1522.4659,15.4509,-1.4126491608425E-02
ScCoO3_754124,0.0000000000,read,real,scaling,value,N/A
ScCoO3_754124,0.0000000000,read,real,scaling,value,N/A
ScCoO3_754124,0.0000000000,read,real,scaling,value,N/A
ScCoO3_754124,0.0000000000,read,real,scaling,value,N/A
