source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
V2CoS4_1077935,0.0000000000,read,real,scaling,value,N/A
V2CoS4_1077935,0.0000000000,read,real,scaling,value,N/A
V2CoS4_1077935,0.0000000000,read,real,scaling,value,N/A
V2CoS4_1077935,0.0000000000,read,real,scaling,value,N/A
V2CoS4_1077935,0.0000000000,read,real,scaling,value,N/A
V2CoS4_1077935,0.0000000000,read,real,scaling,value,N/A
V2CoS4_1077935,0.0000000000,read,real,scaling,value,N/A
V2CoS4_1077935,0.0000000000,read,real,scaling,value,N/A
V2CoS4_1077935,0.0000000000,read,real,scaling,value,N/A
V2CoS4_1077935,0.0000000000,read,real,scaling,value,N/A
V2CoS4_1077935,0.0000000000,read,real,scaling,value,N/A
V2CoS4_1077935,0.0000000000,read,real,scaling,value,N/A
V2CoS4_1077935,0.0000000000,read,real,scaling,value,N/A
V2CoS4_1077935,0.0000000000,read,real,scaling,value,N/A
V2CoS4_1077935,0.0000000000,read,real,scaling,value,N/A
V2CoS4_1077935,0.0000000000,read,real,scaling,value,N/A
V2CoS4_1077935,0.0000000000,read,real,scaling,value,N/A
V2CoS4_1077935,0.0000000000,read,real,scaling,value,N/A
V2CoS4_1077935,0.0000000000,read,real,scaling,value,N/A
V2CoS4_1077935,0.0000000000,read,real,scaling,value,N/A
V2CoS4_1077935,0.0000000000,read,real,scaling,value,N/A
V2CoS4_1077935,0.0000000000,read,real,scaling,value,N/A
V2CoS4_1077935,0.0000000000,read,real,scaling,value,N/A
V2CoS4_1077935,0.0000000000,read,real,scaling,value,N/A
V2CoS4_1077935,0.0000000000,read,real,scaling,value,N/A
V2CoS4_1077935,0.0000000000,read,real,scaling,value,N/A
V2CoS4_1077935,0.0000000000,read,real,scaling,value,N/A
V2CoS4_1077935,0.0000000000,read,real,scaling,value,N/A
V2CoS4_1077935,0.0000000000,read,real,scaling,value,N/A
V2CoS4_1077935,0.0000000000,read,real,scaling,value,N/A
V2CoS4_1077935,0.0000000000,read,real,scaling,value,N/A
V2CoS4_1077935,0.0000000000,read,real,scaling,value,N/A
V2CoS4_1077935,0.0000000000,read,real,scaling,value,N/A
V2CoS4_1077935,0.0000000000,read,real,scaling,value,N/A
V2CoS4_1077935,0.0000000000,read,real,scaling,value,N/A
V2CoS4_1077935_POSCAR,4.2810643600,18.0169,17.0303,269.3349,125.8109,-1.6904984947016E-01
V2CoS4_1077935_POSCAR,4.8518729414,12.9780,10.1842,269.3349,125.8109,-1.1466804502187E-01
V2CoS4_1077935_POSCAR,5.1372772321,11.6696,7.8262,269.3349,125.8109,-9.6644330848251E-02
V2CoS4_1077935_POSCAR,4.5664686507,14.9373,13.4843,269.3349,125.8109,-1.3807306332896E-01
V2CoS4_1077935_POSCAR,5.4226815227,10.6125,6.3899,269.3349,125.8109,-8.2331279858779E-02
V2CoS4_1077935_POSCAR,5.7080858134,9.5782,5.4749,269.3349,125.8109,-7.0762568179929E-02
V2CoS4_1077935_POSCAR,5.9934901041,8.5012,4.7117,269.3349,125.8109,-6.1355741508037E-02
V2CoS4_1077935_POSCAR,6.2788943947,7.3432,3.8968,269.3349,125.8109,-5.5339504776229E-02
V2CoS4_1077935_POSCAR,6.5642986854,6.0860,3.0128,269.3349,125.8109,-4.8276413895471E-02
V2CoS4_1077935_POSCAR,6.8497029761,4.7899,2.1645,269.3349,125.8351,-4.3718855694141E-02
V2CoS4_1077935_POSCAR,7.1351072667,3.5673,1.4630,269.3369,128.6952,-3.9005463814276E-02
V2CoS4_1077935_POSCAR,7.4205115574,2.5221,0.9518,275.2655,131.0058,-4.0426950350671E-02
V2CoS4_1077935_POSCAR,7.7059158481,1.7117,0.6104,290.0677,131.8593,-4.0976313462070E-02
V2CoS4_1077935_POSCAR,7.9913201387,1.1343,0.3928,323.3807,133.0899,-3.9482424018616E-02
V2CoS4_1077935_POSCAR,8.2767244294,0.7465,0.2564,1073.0059,133.6189,-5.7296775805649E-02
V2CoS4_1077935_POSCAR,8.5621287201,0.4940,0.1707,1115.1498,133.7973,-5.4151577804420E-02
