source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Mn13Cr3O32_775873,0.0000000000,read,real,scaling,value,N/A
Mn13Cr3O32_775873,0.0000000000,read,real,scaling,value,N/A
Mn13Cr3O32_775873,0.0000000000,read,real,scaling,value,N/A
Mn13Cr3O32_775873,0.0000000000,read,real,scaling,value,N/A
Mn13Cr3O32_775873,0.0000000000,read,real,scaling,value,N/A
Mn13Cr3O32_775873,0.0000000000,read,real,scaling,value,N/A
Mn13Cr3O32_775873,0.0000000000,read,real,scaling,value,N/A
Mn13Cr3O32_775873,0.0000000000,read,real,scaling,value,N/A
Mn13Cr3O32_775873,0.0000000000,read,real,scaling,value,N/A
Mn13Cr3O32_775873,0.0000000000,read,real,scaling,value,N/A
Mn13Cr3O32_775873,0.0000000000,read,real,scaling,value,N/A
Mn13Cr3O32_775873,0.0000000000,read,real,scaling,value,N/A
Mn13Cr3O32_775873,0.0000000000,read,real,scaling,value,N/A
Mn13Cr3O32_775873,0.0000000000,read,real,scaling,value,N/A
Mn13Cr3O32_775873,0.0000000000,read,real,scaling,value,N/A
Mn13Cr3O32_775873,0.0000000000,read,real,scaling,value,N/A
Mn13Cr3O32_775873,0.0000000000,read,real,scaling,value,N/A
Mn13Cr3O32_775873,0.0000000000,read,real,scaling,value,N/A
Mn13Cr3O32_775873,0.0000000000,read,real,scaling,value,N/A
Mn13Cr3O32_775873,0.0000000000,read,real,scaling,value,N/A
Mn13Cr3O32_775873,0.0000000000,read,real,scaling,value,N/A
Mn13Cr3O32_775873,0.0000000000,read,real,scaling,value,N/A
Mn13Cr3O32_775873,0.0000000000,read,real,scaling,value,N/A
Mn13Cr3O32_775873,0.0000000000,read,real,scaling,value,N/A
Mn13Cr3O32_775873,0.0000000000,read,real,scaling,value,N/A
Mn13Cr3O32_775873,0.0000000000,read,real,scaling,value,N/A
Mn13Cr3O32_775873,0.0000000000,read,real,scaling,value,N/A
Mn13Cr3O32_775873,0.0000000000,read,real,scaling,value,N/A
Mn13Cr3O32_775873,0.0000000000,read,real,scaling,value,N/A
Mn13Cr3O32_775873,0.0000000000,read,real,scaling,value,N/A
Mn13Cr3O32_775873,0.0000000000,read,real,scaling,value,N/A
Mn13Cr3O32_775873,0.0000000000,read,real,scaling,value,N/A
Mn13Cr3O32_775873,0.0000000000,read,real,scaling,value,N/A
