source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Cr2NiO4_1271107,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271107,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271107,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271107,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271107,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271107,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271107,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271107,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271107,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271107,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271107,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271107,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271107,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271107,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271107,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271107,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271107,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271107,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271107,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271107,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271107,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271107,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271107,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271107,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271107,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271107,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271107,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271107,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271107,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271107,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271107,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271107,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271107,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271107,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271107,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271107_POSCAR,4.0715322501,15.7027,4.4605,153.3435,10.3708,-1.9404388179725E-01
Cr2NiO4_1271107_POSCAR,3.8170614844,17.8779,4.9997,153.3435,10.3708,-2.3653667016706E-01
Cr2NiO4_1271107_POSCAR,4.3260030157,13.7749,4.2154,153.3435,10.3708,-1.6689890651951E-01
Cr2NiO4_1271107_POSCAR,4.5804737813,12.1195,4.0682,153.3435,10.3708,-1.5146697633563E-01
Cr2NiO4_1271107_POSCAR,4.8349445470,10.4606,3.9114,153.3435,10.3708,-1.3786044946205E-01
Cr2NiO4_1271107_POSCAR,5.0894153126,8.6949,3.6569,153.3435,10.3708,-1.3044027705805E-01
Cr2NiO4_1271107_POSCAR,5.5983568438,5.2842,2.6363,285.6905,10.3710,-1.2309792980918E-01
Cr2NiO4_1271107_POSCAR,5.3438860782,6.9450,3.2338,153.3435,10.3708,-1.1118304073826E-01
Cr2NiO4_1271107_POSCAR,5.8528276095,3.7684,1.9576,285.6905,10.4243,-1.0457064874078E-01
Cr2NiO4_1271107_POSCAR,6.1072983751,2.5192,1.3372,285.6905,12.2303,-1.1467827270188E-01
Cr2NiO4_1271107_POSCAR,6.3617691407,1.6124,0.8641,285.7011,12.9278,-1.1760435112630E-01
Cr2NiO4_1271107_POSCAR,6.6162399064,1.0149,0.5449,343.1594,13.8626,-1.1122964325599E-01
Cr2NiO4_1271107_POSCAR,6.8707106720,0.6412,0.3433,681.2205,14.8603,-1.4264949784323E-01
Cr2NiO4_1271107_POSCAR,7.1251814376,0.4115,0.2191,690.4033,15.2224,-1.2572956623327E-01
Cr2NiO4_1271107_POSCAR,7.3796522032,0.2698,0.1427,690.6997,15.3436,-1.1007345604641E-01
Cr2NiO4_1271107_POSCAR,7.6341229689,0.1811,0.0951,690.7308,15.3926,-9.7185751655177E-02
Cr2NiO4_1271107_POSCAR,7.8885937345,0.1245,0.0648,690.7374,15.4160,-8.6555331328781E-02
Cr2NiO4_1271107_POSCAR,8.1430645001,0.0876,0.0453,690.7395,15.4285,-7.7370312853141E-02
Cr2NiO4_1271107_POSCAR,8.6520060314,0.0461,0.0235,690.7409,15.4405,-6.1200331312490E-02
Cr2NiO4_1271107_POSCAR,8.3975352658,0.0629,0.0323,690.7404,15.4359,-6.9000751964305E-02
Cr2NiO4_1271107_POSCAR,8.9064767970,0.0344,0.0174,690.7411,15.4435,-5.3991897684026E-02
Cr2NiO4_1271107_POSCAR,9.4154183283,0.0202,0.0101,690.7414,15.4470,-4.1752370718005E-02
Cr2NiO4_1271107_POSCAR,9.1609475627,0.0261,0.0131,690.7413,15.4456,-4.7484696051412E-02
Cr2NiO4_1271107_POSCAR,9.6698890939,0.0158,0.0078,690.7415,15.4480,-3.6773180662832E-02
Cr2NiO4_1271107_POSCAR,9.9243598595,0.0125,0.0062,690.7415,15.4487,-3.2463342163339E-02
Cr2NiO4_1271107_POSCAR,10.1788306252,0.0101,0.0050,690.7415,15.4493,-2.8716369566128E-02
Cr2NiO4_1271107_POSCAR,10.6877721564,0.0067,0.0033,690.7416,15.4500,-2.2507660503785E-02
Cr2NiO4_1271107_POSCAR,10.4333013908,0.0081,0.0040,690.7416,15.4497,-2.5424657341544E-02
Cr2NiO4_1271107_POSCAR,10.9422429221,0.0055,0.0027,690.7416,15.4503,-1.9909137175777E-02
Cr2NiO4_1271107_POSCAR,11.1967136877,0.0046,0.0023,690.7416,15.4505,-1.7591440167456E-02
Cr2NiO4_1271107_POSCAR,11.4511844533,0.0039,0.0019,690.7416,15.4506,-1.5527164614167E-02
Cr2NiO4_1271107_POSCAR,11.7056552189,0.0033,0.0016,690.7416,15.4507,-1.3695406456079E-02
Cr2NiO4_1271107_POSCAR,11.9601259846,0.0029,0.0014,690.7416,15.4508,-1.2074446246484E-02
Cr2NiO4_1271107_POSCAR,12.2145967502,0.0025,0.0012,690.7416,15.4509,-1.0648271301996E-02
Cr2NiO4_1271107_POSCAR,12.4690675158,0.0021,0.0010,690.7416,15.4510,-9.3957764255396E-03
Cr2NiO4_1271164,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271164,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271164,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271164,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271164,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271164,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271164,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271164,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271164,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271164,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271164,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271164,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271164,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271164,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271164,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271164,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271164,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271164,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271164,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271164,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271164,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271164,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271164,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271164,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271164,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271164,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271164,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271164,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271164,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271164,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271164,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271164,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271164,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271164,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271164,0.0000000000,read,real,scaling,value,N/A
Cr2NiO4_1271164_POSCAR,4.9703669218,13.7200,4.2093,153.3435,10.3708,-1.6685886800678E-01
Cr2NiO4_1271164_POSCAR,4.6779923970,15.6134,4.4479,153.3435,10.3708,-1.9398300839124E-01
Cr2NiO4_1271164_POSCAR,5.2627414467,12.1264,4.0639,153.3435,10.3708,-1.5145015990253E-01
Cr2NiO4_1271164_POSCAR,4.3856178722,17.8090,4.9716,153.3435,10.3708,-2.3645365654737E-01
Cr2NiO4_1271164_POSCAR,5.8474904963,8.7963,3.6424,153.3435,10.3708,-1.3043365890438E-01
Cr2NiO4_1271164_POSCAR,5.5551159715,10.5263,3.9051,153.3435,10.3708,-1.3784995106964E-01
Cr2NiO4_1271164_POSCAR,6.1398650211,7.0593,3.2016,153.3435,10.3708,-1.1115201525756E-01
Cr2NiO4_1271164_POSCAR,6.4322395459,5.3997,2.5811,285.6905,10.3712,-1.2305081842430E-01
Cr2NiO4_1271164_POSCAR,6.7246140707,3.8733,1.8890,285.6905,10.4618,-1.0453059644745E-01
Cr2NiO4_1271164_POSCAR,7.0169885955,2.6021,1.2730,285.6905,12.4306,-1.1480415650221E-01
Cr2NiO4_1271164_POSCAR,7.3093631203,1.6706,0.8150,285.6950,12.9909,-1.1756414111017E-01
Cr2NiO4_1271164_POSCAR,7.6017376452,1.0530,0.5114,320.5011,14.0373,-1.1125078505744E-01
Cr2NiO4_1271164_POSCAR,7.8941121700,0.6654,0.3216,677.3004,14.9409,-1.4259133101605E-01
Cr2NiO4_1271164_POSCAR,8.1864866948,0.4269,0.2053,690.3180,15.2491,-1.2567422645341E-01
Cr2NiO4_1271164_POSCAR,8.4788612196,0.2797,0.1339,690.6931,15.3540,-1.1002309202843E-01
Cr2NiO4_1271164_POSCAR,8.7712357444,0.1875,0.0894,690.7296,15.3974,-9.7142145636516E-02
Cr2NiO4_1271164_POSCAR,9.0636102692,0.1288,0.0611,690.7371,15.4185,-8.6518539911560E-02
Cr2NiO4_1271164_POSCAR,9.3559847940,0.0904,0.0427,690.7394,15.4300,-7.7339589540526E-02
Cr2NiO4_1271164_POSCAR,9.6483593189,0.0649,0.0305,690.7404,15.4369,-6.8974264625466E-02
Cr2NiO4_1271164_POSCAR,9.9407338437,0.0475,0.0223,690.7408,15.4412,-6.1177676427642E-02
Cr2NiO4_1271164_POSCAR,10.2331083685,0.0355,0.0165,690.7411,15.4440,-5.3971875993383E-02
Cr2NiO4_1271164_POSCAR,10.8178574181,0.0207,0.0096,690.7414,15.4472,-4.1736629182567E-02
Cr2NiO4_1271164_POSCAR,10.5254828933,0.0269,0.0125,690.7413,15.4459,-4.7466857512875E-02
Cr2NiO4_1271164_POSCAR,11.1102319429,0.0162,0.0075,690.7414,15.4482,-3.6759404636239E-02
Cr2NiO4_1271164_POSCAR,11.4026064677,0.0129,0.0059,690.7415,15.4489,-3.2451295941428E-02
Cr2NiO4_1271164_POSCAR,11.9873555174,0.0083,0.0039,690.7416,15.4498,-2.5415683462324E-02
Cr2NiO4_1271164_POSCAR,11.6949809926,0.0103,0.0048,690.7415,15.4494,-2.8705853097969E-02
Cr2NiO4_1271164_POSCAR,12.2797300422,0.0069,0.0032,690.7416,15.4501,-2.2499818020316E-02
Cr2NiO4_1271164_POSCAR,12.5721045670,0.0057,0.0026,690.7416,15.4503,-1.9902166521165E-02
Cr2NiO4_1271164_POSCAR,12.8644790918,0.0047,0.0022,690.7416,15.4505,-1.7585348888844E-02
Cr2NiO4_1271164_POSCAR,13.1568536166,0.0040,0.0018,690.7416,15.4506,-1.5521658633238E-02
Cr2NiO4_1271164_POSCAR,13.4492281414,0.0034,0.0016,690.7416,15.4508,-1.3690602946662E-02
Cr2NiO4_1271164_POSCAR,13.7416026663,0.0029,0.0013,690.7416,15.4509,-1.2070106612724E-02
Cr2NiO4_1271164_POSCAR,14.0339771911,0.0025,0.0012,690.7416,15.4509,-1.0644458320773E-02
Cr2NiO4_1271164_POSCAR,14.3263517159,0.0022,0.0010,690.7416,15.4510,-9.3924129086373E-03
Cr2NiO4_1283235,0.0000000000,read,real,scaling,value,N/A
