source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Cr11NiS16_1226263,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226263,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226263,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226263,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226263,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226263,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226263,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226263,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226263,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226263,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226263,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226263,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226263,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226263,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226263,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226263,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226263,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226263,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226263,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226263,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226263,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226263,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226263,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226263,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226263,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226263,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226263,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226263,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226263,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226263,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226263,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226263,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226263,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226263,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226263,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226263_POSCAR,5.2056121297,14.4108,13.5976,153.3435,125.8109,-6.3297873035000E-01
Cr11NiS16_1226263_POSCAR,6.2467345556,8.8535,5.6100,153.3435,125.8109,-3.6003305294200E-01
Cr11NiS16_1226263_POSCAR,5.5526529383,12.2259,9.9121,153.3435,125.8109,-5.2264729374948E-01
Cr11NiS16_1226263_POSCAR,5.8996937470,10.3913,7.1929,153.3435,125.8109,-4.3378603415513E-01
Cr11NiS16_1226263_POSCAR,6.5937753643,7.6491,4.7553,153.3435,125.8109,-3.0164618735924E-01
Cr11NiS16_1226263_POSCAR,7.2878569815,5.7352,3.7405,285.6905,125.8109,-2.9800902622281E-01
Cr11NiS16_1226263_POSCAR,6.9408161729,6.6696,4.2186,153.3435,125.8109,-2.5833499673985E-01
Cr11NiS16_1226263_POSCAR,7.6348977902,4.7119,3.1890,285.6905,125.8109,-2.6391146583463E-01
Cr11NiS16_1226263_POSCAR,7.9819385988,3.6076,2.5445,285.6905,125.8121,-2.3111640985905E-01
Cr11NiS16_1226263_POSCAR,8.3289794075,2.5602,1.8777,285.6905,126.0392,-2.0370624380812E-01
Cr11NiS16_1226263_POSCAR,8.6760202161,1.7093,1.2917,285.6931,130.1233,-1.9328260907381E-01
Cr11NiS16_1226263_POSCAR,9.0230610248,1.1014,0.8479,303.5225,131.1398,-1.9307467100040E-01
Cr11NiS16_1226263_POSCAR,9.3701018334,0.7019,0.5454,668.3245,132.2108,-2.5678132616205E-01
Cr11NiS16_1226263_POSCAR,9.7171426421,0.4500,0.3508,690.1471,133.2880,-2.4249041921562E-01
Cr11NiS16_1226263_POSCAR,10.0641834507,0.2931,0.2285,690.6823,133.6879,-2.2630322285817E-01
Cr11NiS16_1226263_POSCAR,10.4112242593,0.1949,0.1516,690.7282,133.8250,-2.0937051346057E-01
Cr11NiS16_1226263_POSCAR,11.1053058766,0.0921,0.0713,690.7393,133.9080,-1.7099178621823E-01
Cr11NiS16_1226263_POSCAR,10.7582650680,0.1325,0.1028,690.7368,133.8810,-1.9076426652633E-01
Cr11NiS16_1226263_POSCAR,11.7993874939,0.0474,0.0365,690.7408,133.9312,-1.3312157564220E-01
Cr11NiS16_1226263_POSCAR,11.4523466853,0.0654,0.0505,690.7403,133.9226,-1.5136850407171E-01
Cr11NiS16_1226263_POSCAR,12.1464283026,0.0350,0.0269,690.7411,133.9366,-1.1691653367515E-01
Cr11NiS16_1226263_POSCAR,12.4934691112,0.0263,0.0202,690.7413,133.9402,-1.0283382838360E-01
Cr11NiS16_1226263_POSCAR,12.8405099199,0.0200,0.0154,690.7414,133.9426,-9.0614353197209E-02
Cr11NiS16_1226263_POSCAR,13.1875507285,0.0155,0.0119,690.7415,133.9443,-7.9902275354189E-02
Cr11NiS16_1226263_POSCAR,13.5345915371,0.0122,0.0093,690.7415,133.9456,-7.0396822424271E-02
Cr11NiS16_1226263_POSCAR,13.8816323458,0.0097,0.0074,690.7415,133.9465,-6.1896616396267E-02
Cr11NiS16_1226263_POSCAR,14.2286731544,0.0078,0.0060,690.7416,133.9472,-5.4294703541856E-02
Cr11NiS16_1226263_POSCAR,14.5757139631,0.0064,0.0049,690.7416,133.9477,-4.7521490979316E-02
Cr11NiS16_1226263_POSCAR,14.9227547717,0.0052,0.0040,690.7416,133.9481,-4.1526936695531E-02
Cr11NiS16_1226263_POSCAR,15.2697955804,0.0043,0.0033,690.7416,133.9484,-3.6260431027242E-02
Cr11NiS16_1226263_POSCAR,15.6168363890,0.0036,0.0028,690.7416,133.9486,-3.1661784744626E-02
Cr11NiS16_1226263_POSCAR,15.9638771977,0.0031,0.0024,690.7416,133.9488,-2.7665281101667E-02
Cr11NiS16_1226263_POSCAR,16.3109180063,0.0026,0.0020,690.7416,133.9490,-2.4201566542325E-02
Cr11NiS16_1226263_POSCAR,17.0049996236,0.0019,0.0015,690.7416,133.9492,-1.8614595018455E-02
Cr11NiS16_1226263_POSCAR,16.6579588149,0.0022,0.0017,690.7416,133.9491,-2.1206423921596E-02
Cr11NiS16_1226505,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226505,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226505,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226505,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226505,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226505,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226505,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226505,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226505,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226505,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226505,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226505,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226505,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226505,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226505,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226505,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226505,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226505,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226505,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226505,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226505,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226505,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226505,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226505,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226505,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226505,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226505,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226505,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226505,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226505,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226505,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226505,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226505,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226505,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226505,0.0000000000,read,real,scaling,value,N/A
Cr11NiS16_1226505_POSCAR,5.8534020590,8.6526,5.5831,153.3435,125.8109,-3.5601040836826E-01
Cr11NiS16_1226505_POSCAR,4.8778350492,14.1749,13.3286,153.3435,125.8109,-6.2800861138729E-01
Cr11NiS16_1226505_POSCAR,5.5282130558,10.1379,7.1341,153.3435,125.8109,-4.3035935742804E-01
Cr11NiS16_1226505_POSCAR,5.2030240525,11.9502,9.7823,153.3435,125.8109,-5.1907693007530E-01
Cr11NiS16_1226505_POSCAR,6.5037800656,6.5052,4.2147,153.3435,125.8109,-2.5427967578822E-01
Cr11NiS16_1226505_POSCAR,6.8289690689,5.5507,3.7389,285.6905,125.8109,-2.9338533969813E-01
Cr11NiS16_1226505_POSCAR,6.1785910623,7.4841,4.7435,153.3435,125.8109,-2.9732205493584E-01
Cr11NiS16_1226505_POSCAR,7.1541580722,4.5255,3.1831,285.6905,125.8109,-2.6003972546443E-01
Cr11NiS16_1226505_POSCAR,8.1297250820,1.6662,1.2794,285.6953,130.1930,-1.8979820115323E-01
Cr11NiS16_1226505_POSCAR,7.4793470755,3.4611,2.5318,285.6905,125.8122,-2.2811337160853E-01
Cr11NiS16_1226505_POSCAR,7.8045360787,2.4722,1.8627,285.6905,126.0667,-2.0149228526058E-01
Cr11NiS16_1226505_POSCAR,8.4549140853,1.0823,0.8396,308.9865,131.1529,-1.9531045684766E-01
Cr11NiS16_1226505_POSCAR,9.4304810951,0.2904,0.2264,690.6846,133.6926,-2.2490290390728E-01
Cr11NiS16_1226505_POSCAR,9.7556700984,0.1930,0.1503,690.7286,133.8268,-2.0801244715463E-01
Cr11NiS16_1226505_POSCAR,9.1052920919,0.4455,0.3476,690.1849,133.3022,-2.4082390615239E-01
Cr11NiS16_1226505_POSCAR,8.7801030886,0.6932,0.5402,670.8787,132.2413,-2.5551997961928E-01
Cr11NiS16_1226505_POSCAR,10.0808591017,0.1311,0.1019,690.7369,133.8819,-1.8934746044269E-01
Cr11NiS16_1226505_POSCAR,10.7312371083,0.0646,0.0500,690.7404,133.9229,-1.4996891829688E-01
Cr11NiS16_1226505_POSCAR,10.4060481050,0.0911,0.0706,690.7394,133.9085,-1.6954228577915E-01
Cr11NiS16_1226505_POSCAR,11.0564261115,0.0468,0.0362,690.7409,133.9314,-1.3184114971350E-01
Cr11NiS16_1226505_POSCAR,11.3816151148,0.0345,0.0267,690.7411,133.9368,-1.1578086479980E-01
Cr11NiS16_1226505_POSCAR,12.3571821247,0.0153,0.0118,690.7415,133.9444,-7.9094529769824E-02
Cr11NiS16_1226505_POSCAR,12.0319931214,0.0197,0.0152,690.7414,133.9427,-8.9723004071358E-02
Cr11NiS16_1226505_POSCAR,11.7068041181,0.0259,0.0200,690.7413,133.9403,-1.0183296531321E-01
Cr11NiS16_1226505_POSCAR,13.0075601312,0.0095,0.0074,690.7415,133.9465,-6.1212086575073E-02
Cr11NiS16_1226505_POSCAR,13.3327491345,0.0077,0.0059,690.7416,133.9472,-5.3665218463628E-02
Cr11NiS16_1226505_POSCAR,12.6823711279,0.0120,0.0092,690.7415,133.9456,-6.9654508452502E-02
Cr11NiS16_1226505_POSCAR,13.6579381378,0.0063,0.0048,690.7416,133.9477,-4.6947378106044E-02
Cr11NiS16_1226505_POSCAR,13.9831271411,0.0052,0.0040,690.7416,133.9481,-4.1007602431446E-02
Cr11NiS16_1226505_POSCAR,14.6335051476,0.0036,0.0028,690.7416,133.9486,-3.1246298085133E-02
Cr11NiS16_1226505_POSCAR,14.3083161443,0.0043,0.0033,690.7416,133.9484,-3.5794428460931E-02
Cr11NiS16_1226505_POSCAR,14.9586941509,0.0030,0.0023,690.7416,133.9488,-2.7296528524973E-02
Cr11NiS16_1226505_POSCAR,15.2838831542,0.0026,0.0020,690.7416,133.9490,-2.3875851194348E-02
Cr11NiS16_1226505_POSCAR,15.9342611607,0.0019,0.0015,690.7416,133.9492,-1.8360692452937E-02
