source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
ScCrO3_18961,0.0000000000,read,real,scaling,value,N/A
ScCrO3_18961,0.0000000000,read,real,scaling,value,N/A
ScCrO3_18961,0.0000000000,read,real,scaling,value,N/A
ScCrO3_18961,0.0000000000,read,real,scaling,value,N/A
ScCrO3_18961,0.0000000000,read,real,scaling,value,N/A
ScCrO3_18961,0.0000000000,read,real,scaling,value,N/A
ScCrO3_18961,0.0000000000,read,real,scaling,value,N/A
ScCrO3_18961,0.0000000000,read,real,scaling,value,N/A
ScCrO3_18961,0.0000000000,read,real,scaling,value,N/A
ScCrO3_18961,0.0000000000,read,real,scaling,value,N/A
ScCrO3_18961,0.0000000000,read,real,scaling,value,N/A
ScCrO3_18961,0.0000000000,read,real,scaling,value,N/A
ScCrO3_18961,0.0000000000,read,real,scaling,value,N/A
ScCrO3_18961,0.0000000000,read,real,scaling,value,N/A
ScCrO3_18961,0.0000000000,read,real,scaling,value,N/A
ScCrO3_18961,0.0000000000,read,real,scaling,value,N/A
ScCrO3_18961,0.0000000000,read,real,scaling,value,N/A
ScCrO3_18961,0.0000000000,read,real,scaling,value,N/A
ScCrO3_18961,0.0000000000,read,real,scaling,value,N/A
ScCrO3_18961,0.0000000000,read,real,scaling,value,N/A
ScCrO3_18961,0.0000000000,read,real,scaling,value,N/A
ScCrO3_18961,0.0000000000,read,real,scaling,value,N/A
ScCrO3_18961,0.0000000000,read,real,scaling,value,N/A
ScCrO3_18961,0.0000000000,read,real,scaling,value,N/A
ScCrO3_18961,0.0000000000,read,real,scaling,value,N/A
ScCrO3_18961,0.0000000000,read,real,scaling,value,N/A
ScCrO3_18961,0.0000000000,read,real,scaling,value,N/A
ScCrO3_18961,0.0000000000,read,real,scaling,value,N/A
ScCrO3_18961,0.0000000000,read,real,scaling,value,N/A
ScCrO3_18961,0.0000000000,read,real,scaling,value,N/A
ScCrO3_18961,0.0000000000,read,real,scaling,value,N/A
ScCrO3_18961,0.0000000000,read,real,scaling,value,N/A
ScCrO3_18961,0.0000000000,read,real,scaling,value,N/A
ScCrO3_18961,0.0000000000,read,real,scaling,value,N/A
ScCrO3_18961,0.0000000000,read,real,scaling,value,N/A
ScCrO3_18961_POSCAR,3.8166630000,27.1871,6.1639,313.9846,10.3708,-3.5862549959761E-01
ScCrO3_18961_POSCAR,4.5799956000,18.4639,4.3109,313.9846,10.3708,-2.0631376054583E-01
ScCrO3_18961_POSCAR,4.3255514000,21.3121,4.6541,313.9846,10.3708,-2.4006384603703E-01
ScCrO3_18961_POSCAR,4.0711072000,23.9800,5.2286,313.9846,10.3708,-2.8906214863068E-01
ScCrO3_18961_POSCAR,4.8344398000,15.3984,4.0723,313.9846,10.3708,-1.8362042733420E-01
ScCrO3_18961_POSCAR,5.0888840000,12.3977,3.8182,313.9846,10.3708,-1.6799323235483E-01
ScCrO3_18961_POSCAR,5.3433282000,9.6855,3.4559,313.9846,10.3708,-1.5561424634579E-01
ScCrO3_18961_POSCAR,5.5977724000,7.3757,2.9532,313.9846,10.3708,-1.8381169783650E-01
ScCrO3_18961_POSCAR,5.8522166000,5.4832,2.3576,313.9846,10.3731,-1.6786305801213E-01
ScCrO3_18961_POSCAR,6.1066608000,3.9520,1.7582,313.9846,10.6124,-1.5103448492148E-01
ScCrO3_18961_POSCAR,6.3611050000,2.7388,1.2332,314.4584,12.5260,-1.3600506418140E-01
ScCrO3_18961_POSCAR,6.6155492000,1.8304,0.8255,324.3910,12.9758,-1.2277827005781E-01
ScCrO3_18961_POSCAR,6.8699934000,1.1969,0.5380,337.3053,13.8976,-1.4945154641897E-01
ScCrO3_18961_POSCAR,7.1244376000,0.7789,0.3482,1365.9377,14.8410,-2.3683707342353E-01
ScCrO3_18961_POSCAR,7.6333260000,0.3406,0.1500,1522.2085,15.3346,-1.8639627293457E-01
ScCrO3_18961_POSCAR,7.3788818000,0.5110,0.2268,1519.1933,15.2066,-2.1480852019787E-01
ScCrO3_18961_POSCAR,7.8877702000,0.2317,0.1011,1522.4165,15.3873,-1.6214961221982E-01
ScCrO3_18961_POSCAR,8.1422144000,0.1609,0.0696,1522.4498,15.4126,-1.4110632842673E-01
ScCrO3_18961_POSCAR,8.3966586000,0.1141,0.0489,1522.4587,15.4263,-1.2259568013236E-01
ScCrO3_18961_POSCAR,8.6511028000,0.0825,0.0351,1522.4621,15.4344,-1.0630382808091E-01
