source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
CrTcO3_1183695,0.0000000000,read,real,scaling,value,N/A
CrTcO3_1183695,0.0000000000,read,real,scaling,value,N/A
CrTcO3_1183695,0.0000000000,read,real,scaling,value,N/A
CrTcO3_1183695,0.0000000000,read,real,scaling,value,N/A
CrTcO3_1183695,0.0000000000,read,real,scaling,value,N/A
CrTcO3_1183695,0.0000000000,read,real,scaling,value,N/A
CrTcO3_1183695,0.0000000000,read,real,scaling,value,N/A
CrTcO3_1183695,0.0000000000,read,real,scaling,value,N/A
CrTcO3_1183695,0.0000000000,read,real,scaling,value,N/A
CrTcO3_1183695,0.0000000000,read,real,scaling,value,N/A
CrTcO3_1183695,0.0000000000,read,real,scaling,value,N/A
CrTcO3_1183695,0.0000000000,read,real,scaling,value,N/A
CrTcO3_1183695,0.0000000000,read,real,scaling,value,N/A
CrTcO3_1183695,0.0000000000,read,real,scaling,value,N/A
CrTcO3_1183695,0.0000000000,read,real,scaling,value,N/A
CrTcO3_1183695,0.0000000000,read,real,scaling,value,N/A
CrTcO3_1183695,0.0000000000,read,real,scaling,value,N/A
CrTcO3_1183695,0.0000000000,read,real,scaling,value,N/A
CrTcO3_1183695,0.0000000000,read,real,scaling,value,N/A
CrTcO3_1183695,0.0000000000,read,real,scaling,value,N/A
CrTcO3_1183695,0.0000000000,read,real,scaling,value,N/A
CrTcO3_1183695,0.0000000000,read,real,scaling,value,N/A
CrTcO3_1183695,0.0000000000,read,real,scaling,value,N/A
CrTcO3_1183695,0.0000000000,read,real,scaling,value,N/A
CrTcO3_1183695,0.0000000000,read,real,scaling,value,N/A
CrTcO3_1183695,0.0000000000,read,real,scaling,value,N/A
CrTcO3_1183695,0.0000000000,read,real,scaling,value,N/A
CrTcO3_1183695,0.0000000000,read,real,scaling,value,N/A
CrTcO3_1183695,0.0000000000,read,real,scaling,value,N/A
CrTcO3_1183695,0.0000000000,read,real,scaling,value,N/A
CrTcO3_1183695,0.0000000000,read,real,scaling,value,N/A
CrTcO3_1183695,0.0000000000,read,real,scaling,value,N/A
CrTcO3_1183695,0.0000000000,read,real,scaling,value,N/A
CrTcO3_1183695,0.0000000000,read,real,scaling,value,N/A
CrTcO3_1183695,0.0000000000,read,real,scaling,value,N/A
CrTcO3_1183695_POSCAR,3.3087253000,11.6979,3.9090,153.3435,10.3708,-4.9671874057667E-02
CrTcO3_1183695_POSCAR,2.9194635000,21.4433,6.0176,153.3435,10.3708,-7.8883962399699E-02
CrTcO3_1183695_POSCAR,3.5033562000,7.1080,3.0667,153.3435,10.3708,-4.1207007975753E-02
CrTcO3_1183695_POSCAR,3.1140944000,16.9042,4.9862,153.3435,10.3708,-6.2333634963581E-02
CrTcO3_1183695_POSCAR,3.6979871000,3.9638,2.5512,285.6905,10.3713,-4.3481660440888E-02
CrTcO3_1183695_POSCAR,4.0872489000,1.1821,2.0308,291.3193,10.4009,-3.7115437943232E-02
CrTcO3_1183695_POSCAR,3.8926180000,2.1499,2.2497,285.6905,10.3761,-3.9641019287143E-02
CrTcO3_1183695_POSCAR,4.2818798000,0.6722,1.8006,675.9518,10.5481,-6.6739774742646E-02
CrTcO3_1183695_POSCAR,4.4765107000,0.3978,1.5096,690.4649,11.4554,-6.3864004391551E-02
CrTcO3_1183695_POSCAR,4.6711416000,0.2451,1.1677,690.7127,12.6427,-5.8436538608814E-02
CrTcO3_1183695_POSCAR,4.8657725000,0.1568,0.8325,690.7343,12.9662,-5.1145966261514E-02
CrTcO3_1183695_POSCAR,5.0604034000,0.1039,0.5588,690.7387,13.7923,-4.4379284088842E-02
CrTcO3_1183695_POSCAR,5.2550343000,0.0711,0.3634,690.7402,14.7784,-3.8743644106014E-02
CrTcO3_1183695_POSCAR,5.4496652000,0.0499,0.2345,690.7408,15.1900,-3.9297123512232E-02
CrTcO3_1183695_POSCAR,5.6442961000,0.0360,0.1525,690.7411,15.3314,-3.5072658632183E-02
CrTcO3_1183695_POSCAR,5.8389270000,0.0266,0.1008,690.7413,15.3876,-3.0628676519539E-02
CrTcO3_1183695_POSCAR,6.0335579000,0.0201,0.0679,690.7414,15.4138,-2.6865569670451E-02
CrTcO3_1183695_POSCAR,6.4228197000,0.0120,0.0329,690.7415,15.4356,-2.0934371212580E-02
CrTcO3_1183695_POSCAR,6.2281888000,0.0153,0.0468,690.7415,15.4277,-2.3677213888865E-02
CrTcO3_1183695_POSCAR,6.8120815000,0.0076,0.0173,690.7416,15.4436,-1.6318307186883E-02
CrTcO3_1183695_POSCAR,6.6174506000,0.0095,0.0236,690.7415,15.4405,-1.8511279776270E-02
CrTcO3_1183695_POSCAR,7.2013433000,0.0051,0.0098,690.7416,15.4471,-1.2536569764812E-02
CrTcO3_1183695_POSCAR,7.0067124000,0.0062,0.0129,690.7416,15.4457,-1.4323968517410E-02
CrTcO3_1183695_POSCAR,7.3959742000,0.0042,0.0076,690.7416,15.4481,-1.0965896437333E-02
CrTcO3_1183695_POSCAR,7.5906051000,0.0035,0.0059,690.7416,15.4489,-9.6135282246145E-03
CrTcO3_1183695_POSCAR,7.7852360000,0.0030,0.0047,690.7416,15.4494,-8.4595602043232E-03
CrTcO3_1183695_POSCAR,7.9798669000,0.0026,0.0038,690.7416,15.4498,-7.4762546006876E-03
CrTcO3_1183695_POSCAR,8.1744978000,0.0022,0.0031,690.7416,15.4501,-6.6299480859621E-03
CrTcO3_1183695_POSCAR,8.3691287000,0.0019,0.0025,690.7416,15.4504,-5.8904240043148E-03
CrTcO3_1183695_POSCAR,8.5637596000,0.0016,0.0021,690.7417,15.4505,-5.2368357850689E-03
CrTcO3_1183695_POSCAR,8.7583905000,0.0014,0.0017,690.7417,15.4507,-4.6544118842167E-03
CrTcO3_1183695_POSCAR,8.9530214000,0.0013,0.0015,690.7417,15.4508,-4.1319682742806E-03
CrTcO3_1183695_POSCAR,9.1476523000,0.0011,0.0013,690.7417,15.4509,-3.6654824263305E-03
CrTcO3_1183695_POSCAR,9.3422832000,0.0010,0.0011,690.7417,15.4510,-3.2494581288134E-03
CrTcO3_1183695_POSCAR,9.5369141000,0.0009,0.0009,690.7417,15.4510,-2.8796881709280E-03
