source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
V16CrO41_849774,0.0000000000,read,real,scaling,value,N/A
V16CrO41_849774,0.0000000000,read,real,scaling,value,N/A
V16CrO41_849774,0.0000000000,read,real,scaling,value,N/A
V16CrO41_849774,0.0000000000,read,real,scaling,value,N/A
V16CrO41_849774,0.0000000000,read,real,scaling,value,N/A
V16CrO41_849774,0.0000000000,read,real,scaling,value,N/A
V16CrO41_849774,0.0000000000,read,real,scaling,value,N/A
V16CrO41_849774,0.0000000000,read,real,scaling,value,N/A
V16CrO41_849774,0.0000000000,read,real,scaling,value,N/A
V16CrO41_849774,0.0000000000,read,real,scaling,value,N/A
V16CrO41_849774,0.0000000000,read,real,scaling,value,N/A
V16CrO41_849774,0.0000000000,read,real,scaling,value,N/A
V16CrO41_849774,0.0000000000,read,real,scaling,value,N/A
V16CrO41_849774,0.0000000000,read,real,scaling,value,N/A
V16CrO41_849774,0.0000000000,read,real,scaling,value,N/A
V16CrO41_849774,0.0000000000,read,real,scaling,value,N/A
V16CrO41_849774,0.0000000000,read,real,scaling,value,N/A
V16CrO41_849774,0.0000000000,read,real,scaling,value,N/A
V16CrO41_849774,0.0000000000,read,real,scaling,value,N/A
V16CrO41_849774,0.0000000000,read,real,scaling,value,N/A
V16CrO41_849774,0.0000000000,read,real,scaling,value,N/A
V16CrO41_849774,0.0000000000,read,real,scaling,value,N/A
V16CrO41_849774,0.0000000000,read,real,scaling,value,N/A
V16CrO41_849774,0.0000000000,read,real,scaling,value,N/A
V16CrO41_849774,0.0000000000,read,real,scaling,value,N/A
V16CrO41_849774,0.0000000000,read,real,scaling,value,N/A
V16CrO41_849774,0.0000000000,read,real,scaling,value,N/A
V16CrO41_849774,0.0000000000,read,real,scaling,value,N/A
V16CrO41_849774,0.0000000000,read,real,scaling,value,N/A
V16CrO41_849774,0.0000000000,read,real,scaling,value,N/A
V16CrO41_849774,0.0000000000,read,real,scaling,value,N/A
V16CrO41_849774,0.0000000000,read,real,scaling,value,N/A
V16CrO41_849774,0.0000000000,read,real,scaling,value,N/A
V16CrO41_849774,0.0000000000,read,real,scaling,value,N/A
V16CrO41_849774,0.0000000000,read,real,scaling,value,N/A
V16CrO41_849774_POSCAR,8.7373657500,13.0810,3.6590,269.3349,10.3708,-5.5643146222998E-01
V16CrO41_849774_POSCAR,10.4848389000,8.7943,3.0808,269.3349,10.3708,-3.4298439111505E-01
V16CrO41_849774_POSCAR,9.9023478500,9.9802,3.1559,269.3349,10.3708,-3.9450422375773E-01
V16CrO41_849774_POSCAR,9.3198568000,11.3181,3.3100,269.3349,10.3708,-4.6218565495093E-01
V16CrO41_849774_POSCAR,11.0673299500,7.7494,3.0336,269.3349,10.3708,-2.9390193856280E-01
V16CrO41_849774_POSCAR,11.6498210000,6.8487,2.9836,269.3349,10.3708,-2.5124968525404E-01
V16CrO41_849774_POSCAR,12.2323120500,6.0786,2.8994,269.3349,10.3708,-2.1660246943278E-01
V16CrO41_849774_POSCAR,12.8148031000,5.4154,2.7402,269.3349,10.3709,-1.9456151824279E-01
V16CrO41_849774_POSCAR,13.9797852000,4.1568,2.0614,269.3349,10.3945,-1.5052922380333E-01
V16CrO41_849774_POSCAR,13.3972941500,4.7957,2.4642,269.3349,10.3718,-1.7104715573675E-01
V16CrO41_849774_POSCAR,14.5622762500,3.4892,1.5846,269.3386,11.1157,-1.3355249900653E-01
V16CrO41_849774_POSCAR,15.1447673000,2.8334,1.1277,270.0044,12.6949,-1.1911445854527E-01
V16CrO41_849774_POSCAR,15.7272583500,2.2394,0.7605,285.8134,13.0858,-1.0673398609479E-01
V16CrO41_849774_POSCAR,16.3097494000,1.7335,0.4991,290.0510,14.1029,-9.4413253789877E-02
V16CrO41_849774_POSCAR,16.8922404500,1.3161,0.3255,292.2481,14.9272,-8.8371520907177E-02
V16CrO41_849774_POSCAR,17.4747315000,0.9775,0.2138,563.0589,15.2331,-1.2753280122999E-01
V16CrO41_849774_POSCAR,18.0572225500,0.7095,0.1425,1091.1112,15.3439,-1.5347817028551E-01
V16CrO41_849774_POSCAR,18.6397136000,0.5053,0.0967,1114.9712,15.3912,-1.3780845062687E-01
V16CrO41_849774_POSCAR,19.2222046500,0.3561,0.0669,1115.9836,15.4145,-1.2363686556755E-01
V16CrO41_849774_POSCAR,19.8046957000,0.2504,0.0472,1116.0756,15.4274,-1.1190088191273E-01
V16CrO41_849774_POSCAR,20.3871867500,0.1769,0.0339,1116.0910,15.4350,-1.0202132593567E-01
V16CrO41_849774_POSCAR,20.9696778000,0.1262,0.0248,1116.0950,15.4399,-9.3454954454217E-02
V16CrO41_849774_POSCAR,21.5521688500,0.0912,0.0185,1116.0964,15.4430,-8.5797987562584E-02
V16CrO41_849774_POSCAR,22.1346599000,0.0668,0.0140,1116.0970,15.4452,-7.8811290850345E-02
V16CrO41_849774_POSCAR,22.7171509500,0.0496,0.0107,1116.0973,15.4467,-7.2387373893078E-02
V16CrO41_849774_POSCAR,23.2996420000,0.0374,0.0083,1116.0975,15.4478,-6.6500403293847E-02
V16CrO41_849774_POSCAR,23.8821330500,0.0285,0.0066,1116.0976,15.4486,-6.1144169888865E-02
