source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Zn2Cr2O5_1376393,0.0000000000,read,real,scaling,value,N/A
Zn2Cr2O5_1376393,0.0000000000,read,real,scaling,value,N/A
Zn2Cr2O5_1376393,0.0000000000,read,real,scaling,value,N/A
Zn2Cr2O5_1376393,0.0000000000,read,real,scaling,value,N/A
Zn2Cr2O5_1376393,0.0000000000,read,real,scaling,value,N/A
Zn2Cr2O5_1376393,0.0000000000,read,real,scaling,value,N/A
Zn2Cr2O5_1376393,0.0000000000,read,real,scaling,value,N/A
Zn2Cr2O5_1376393,0.0000000000,read,real,scaling,value,N/A
Zn2Cr2O5_1376393,0.0000000000,read,real,scaling,value,N/A
Zn2Cr2O5_1376393,0.0000000000,read,real,scaling,value,N/A
Zn2Cr2O5_1376393,0.0000000000,read,real,scaling,value,N/A
Zn2Cr2O5_1376393,0.0000000000,read,real,scaling,value,N/A
Zn2Cr2O5_1376393,0.0000000000,read,real,scaling,value,N/A
Zn2Cr2O5_1376393,0.0000000000,read,real,scaling,value,N/A
Zn2Cr2O5_1376393,0.0000000000,read,real,scaling,value,N/A
Zn2Cr2O5_1376393,0.0000000000,read,real,scaling,value,N/A
Zn2Cr2O5_1376393,0.0000000000,read,real,scaling,value,N/A
Zn2Cr2O5_1376393,0.0000000000,read,real,scaling,value,N/A
Zn2Cr2O5_1376393,0.0000000000,read,real,scaling,value,N/A
Zn2Cr2O5_1376393,0.0000000000,read,real,scaling,value,N/A
Zn2Cr2O5_1376393,0.0000000000,read,real,scaling,value,N/A
Zn2Cr2O5_1376393,0.0000000000,read,real,scaling,value,N/A
Zn2Cr2O5_1376393,0.0000000000,read,real,scaling,value,N/A
Zn2Cr2O5_1376393,0.0000000000,read,real,scaling,value,N/A
Zn2Cr2O5_1376393,0.0000000000,read,real,scaling,value,N/A
Zn2Cr2O5_1376393,0.0000000000,read,real,scaling,value,N/A
Zn2Cr2O5_1376393,0.0000000000,read,real,scaling,value,N/A
Zn2Cr2O5_1376393,0.0000000000,read,real,scaling,value,N/A
Zn2Cr2O5_1376393,0.0000000000,read,real,scaling,value,N/A
Zn2Cr2O5_1376393,0.0000000000,read,real,scaling,value,N/A
Zn2Cr2O5_1376393,0.0000000000,read,real,scaling,value,N/A
Zn2Cr2O5_1376393,0.0000000000,read,real,scaling,value,N/A
Zn2Cr2O5_1376393,0.0000000000,read,real,scaling,value,N/A
Zn2Cr2O5_1376393,0.0000000000,read,real,scaling,value,N/A
Zn2Cr2O5_1376393,0.0000000000,read,real,scaling,value,N/A
Zn2Cr2O5_1376393_POSCAR,3.3843087000,10.0391,3.6970,153.4528,10.3708,-1.8881613149376E-01
Zn2Cr2O5_1376393_POSCAR,2.8202572500,18.4201,6.3237,153.4528,10.3708,-3.0966220238021E-01
Zn2Cr2O5_1376393_POSCAR,3.0082744000,15.6749,5.5854,153.4528,10.3708,-2.5126353794339E-01
Zn2Cr2O5_1376393_POSCAR,3.1962915500,12.8521,4.6700,153.4528,10.3708,-2.1215153184394E-01
Zn2Cr2O5_1376393_POSCAR,3.5723258500,7.5088,2.9351,153.4528,10.3708,-1.7434269839843E-01
Zn2Cr2O5_1376393_POSCAR,3.7603430000,5.4309,2.4253,153.4528,10.3721,-1.6167091490199E-01
Zn2Cr2O5_1376393_POSCAR,3.9483601500,3.7835,2.0460,153.4528,10.3975,-1.8834932864034E-01
Zn2Cr2O5_1376393_POSCAR,4.1363773000,2.5117,1.6812,153.4528,10.7827,-1.6700448191022E-01
