source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Fe2CuS3_1224687,0.0000000000,read,real,scaling,value,N/A
Fe2CuS3_1224687,0.0000000000,read,real,scaling,value,N/A
Fe2CuS3_1224687,0.0000000000,read,real,scaling,value,N/A
Fe2CuS3_1224687,0.0000000000,read,real,scaling,value,N/A
Fe2CuS3_1224687,0.0000000000,read,real,scaling,value,N/A
Fe2CuS3_1224687,0.0000000000,read,real,scaling,value,N/A
Fe2CuS3_1224687,0.0000000000,read,real,scaling,value,N/A
Fe2CuS3_1224687,0.0000000000,read,real,scaling,value,N/A
Fe2CuS3_1224687,0.0000000000,read,real,scaling,value,N/A
Fe2CuS3_1224687,0.0000000000,read,real,scaling,value,N/A
Fe2CuS3_1224687,0.0000000000,read,real,scaling,value,N/A
Fe2CuS3_1224687,0.0000000000,read,real,scaling,value,N/A
Fe2CuS3_1224687,0.0000000000,read,real,scaling,value,N/A
Fe2CuS3_1224687,0.0000000000,read,real,scaling,value,N/A
Fe2CuS3_1224687,0.0000000000,read,real,scaling,value,N/A
Fe2CuS3_1224687,0.0000000000,read,real,scaling,value,N/A
Fe2CuS3_1224687,0.0000000000,read,real,scaling,value,N/A
Fe2CuS3_1224687,0.0000000000,read,real,scaling,value,N/A
Fe2CuS3_1224687,0.0000000000,read,real,scaling,value,N/A
Fe2CuS3_1224687,0.0000000000,read,real,scaling,value,N/A
Fe2CuS3_1224687,0.0000000000,read,real,scaling,value,N/A
Fe2CuS3_1224687,0.0000000000,read,real,scaling,value,N/A
Fe2CuS3_1224687,0.0000000000,read,real,scaling,value,N/A
Fe2CuS3_1224687,0.0000000000,read,real,scaling,value,N/A
Fe2CuS3_1224687,0.0000000000,read,real,scaling,value,N/A
Fe2CuS3_1224687,0.0000000000,read,real,scaling,value,N/A
Fe2CuS3_1224687,0.0000000000,read,real,scaling,value,N/A
Fe2CuS3_1224687,0.0000000000,read,real,scaling,value,N/A
Fe2CuS3_1224687,0.0000000000,read,real,scaling,value,N/A
Fe2CuS3_1224687,0.0000000000,read,real,scaling,value,N/A
Fe2CuS3_1224687,0.0000000000,read,real,scaling,value,N/A
Fe2CuS3_1224687,0.0000000000,read,real,scaling,value,N/A
Fe2CuS3_1224687,0.0000000000,read,real,scaling,value,N/A
Fe2CuS3_1224687,0.0000000000,read,real,scaling,value,N/A
Fe2CuS3_1224687,0.0000000000,read,real,scaling,value,N/A
Fe2CuS3_1224687_POSCAR,3.1902218615,5.5878,5.3353,109.5048,125.8109,-7.8213286053914E-02
Fe2CuS3_1224687_POSCAR,3.0025617520,7.2458,6.7754,109.5041,125.8109,-8.2766617279425E-02
Fe2CuS3_1224687_POSCAR,3.3778819710,4.7739,4.6532,204.9925,125.8109,-7.6700708820225E-02
Fe2CuS3_1224687_POSCAR,2.8149016425,10.2668,9.6102,109.5041,125.8109,-9.9819317113087E-02
Fe2CuS3_1224687_POSCAR,3.7532021900,4.0506,4.0568,204.9925,125.8109,-6.1697026688098E-02
