source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
CuHgO2_772856,0.0000000000,read,real,scaling,value,N/A
CuHgO2_772856,0.0000000000,read,real,scaling,value,N/A
CuHgO2_772856,0.0000000000,read,real,scaling,value,N/A
CuHgO2_772856,0.0000000000,read,real,scaling,value,N/A
CuHgO2_772856,0.0000000000,read,real,scaling,value,N/A
CuHgO2_772856,0.0000000000,read,real,scaling,value,N/A
CuHgO2_772856,0.0000000000,read,real,scaling,value,N/A
CuHgO2_772856,0.0000000000,read,real,scaling,value,N/A
CuHgO2_772856,0.0000000000,read,real,scaling,value,N/A
CuHgO2_772856,0.0000000000,read,real,scaling,value,N/A
CuHgO2_772856,0.0000000000,read,real,scaling,value,N/A
CuHgO2_772856,0.0000000000,read,real,scaling,value,N/A
CuHgO2_772856,0.0000000000,read,real,scaling,value,N/A
CuHgO2_772856,0.0000000000,read,real,scaling,value,N/A
CuHgO2_772856,0.0000000000,read,real,scaling,value,N/A
CuHgO2_772856,0.0000000000,read,real,scaling,value,N/A
CuHgO2_772856,0.0000000000,read,real,scaling,value,N/A
CuHgO2_772856,0.0000000000,read,real,scaling,value,N/A
CuHgO2_772856,0.0000000000,read,real,scaling,value,N/A
CuHgO2_772856,0.0000000000,read,real,scaling,value,N/A
CuHgO2_772856,0.0000000000,read,real,scaling,value,N/A
CuHgO2_772856,0.0000000000,read,real,scaling,value,N/A
CuHgO2_772856,0.0000000000,read,real,scaling,value,N/A
CuHgO2_772856,0.0000000000,read,real,scaling,value,N/A
CuHgO2_772856,0.0000000000,read,real,scaling,value,N/A
CuHgO2_772856,0.0000000000,read,real,scaling,value,N/A
CuHgO2_772856,0.0000000000,read,real,scaling,value,N/A
CuHgO2_772856,0.0000000000,read,real,scaling,value,N/A
CuHgO2_772856,0.0000000000,read,real,scaling,value,N/A
CuHgO2_772856,0.0000000000,read,real,scaling,value,N/A
CuHgO2_772856,0.0000000000,read,real,scaling,value,N/A
CuHgO2_772856,0.0000000000,read,real,scaling,value,N/A
CuHgO2_772856,0.0000000000,read,real,scaling,value,N/A
CuHgO2_772856,0.0000000000,read,real,scaling,value,N/A
CuHgO2_772856,0.0000000000,read,real,scaling,value,N/A
CuHgO2_772856_POSCAR,2.6577407981,13.9614,5.9385,174.9969,10.3708,-7.5876466088394E-02
CuHgO2_772856_POSCAR,3.0121062378,10.1512,4.4180,174.9969,10.3708,-5.0441584416444E-02
CuHgO2_772856_POSCAR,3.1892889577,8.2048,3.8194,174.9969,10.3708,-4.3146610668587E-02
CuHgO2_772856_POSCAR,2.8349235180,12.0137,5.1129,174.9969,10.3708,-6.1130180276044E-02
CuHgO2_772856_POSCAR,3.5436543974,4.9678,2.9666,174.9969,10.3708,-3.4943032154950E-02
CuHgO2_772856_POSCAR,3.8980198372,2.6927,2.0765,174.9969,10.3918,-2.8356246780465E-02
CuHgO2_772856_POSCAR,3.7208371173,3.7612,2.5507,174.9969,10.3713,-3.1716332426791E-02
CuHgO2_772856_POSCAR,3.3664716776,6.4179,3.3566,174.9969,10.3708,-3.8397416331145E-02
CuHgO2_772856_POSCAR,4.2523852769,1.1410,1.1509,175.7841,12.6660,-2.2634306236813E-02
CuHgO2_772856_POSCAR,4.0752025571,1.7984,1.5899,175.0020,11.0940,-2.5273534075313E-02
CuHgO2_772856_POSCAR,4.6067507167,0.4410,0.5260,258.9406,13.9601,-1.9716028641635E-02
CuHgO2_772856_POSCAR,4.4295679968,0.7085,0.7930,194.3089,13.0254,-2.0368215352008E-02
CuHgO2_772856_POSCAR,4.7839334366,0.2792,0.3417,303.0401,14.8664,-1.9780909805530E-02
CuHgO2_772856_POSCAR,5.1382988763,0.1202,0.1445,325.3775,15.3414,-1.5410882897848E-02
CuHgO2_772856_POSCAR,4.9611161564,0.1808,0.2212,319.1476,15.2183,-1.7552034939760E-02
CuHgO2_772856_POSCAR,5.3154815962,0.0819,0.0960,328.2138,15.3918,-1.3540366931340E-02
CuHgO2_772856_POSCAR,5.6698470359,0.0409,0.0450,330.5363,15.4287,-1.0516758955944E-02
CuHgO2_772856_POSCAR,5.8470297558,0.0299,0.0318,331.0552,15.4362,-9.2824862989755E-03
CuHgO2_772856_POSCAR,5.4926643160,0.0572,0.0651,329.6906,15.4158,-1.1923504986127E-02
CuHgO2_772856_POSCAR,6.0242124757,0.0222,0.0230,331.3911,15.4408,-8.1885784317610E-03
CuHgO2_772856_POSCAR,6.2013951955,0.0168,0.0169,331.6176,15.4438,-7.2129812471100E-03
CuHgO2_772856_POSCAR,6.3785779154,0.0130,0.0126,331.7743,15.4458,-6.3434816556410E-03
CuHgO2_772856_POSCAR,6.7329433552,0.0081,0.0074,331.9680,15.4482,-4.9012470513662E-03
CuHgO2_772856_POSCAR,6.5557606353,0.0102,0.0096,331.8858,15.4472,-5.5743094537724E-03
CuHgO2_772856_POSCAR,7.0873087949,0.0053,0.0046,332.0752,15.4494,-3.8119081771665E-03
CuHgO2_772856_POSCAR,6.9101260750,0.0065,0.0058,332.0285,15.4489,-4.3171962569827E-03
CuHgO2_772856_POSCAR,7.2644915148,0.0043,0.0037,332.1109,15.4498,-3.3735285844487E-03
CuHgO2_772856_POSCAR,7.4416742346,0.0036,0.0030,332.1385,15.4501,-2.9905623382066E-03
CuHgO2_772856_POSCAR,7.6188569545,0.0030,0.0025,332.1604,15.4504,-2.6530753247693E-03
CuHgO2_772856_POSCAR,7.7960396744,0.0025,0.0021,332.1780,15.4505,-2.3535410092171E-03
CuHgO2_772856_POSCAR,7.9732223943,0.0022,0.0017,332.1918,15.4507,-2.0864449635842E-03
CuHgO2_772856_POSCAR,8.1504051141,0.0019,0.0015,332.2033,15.4508,-1.8481548599264E-03
CuHgO2_772856_POSCAR,8.3275878340,0.0016,0.0013,332.2128,15.4509,-1.6360041941349E-03
CuHgO2_772856_POSCAR,8.5047705539,0.0014,0.0011,332.2210,15.4510,-1.4478104282492E-03
CuHgO2_772856_POSCAR,8.6819532737,0.0012,0.0009,332.2272,15.4510,-1.2813446605202E-03
CuHgO2_996973,0.0000000000,read,real,scaling,value,N/A
CuHgO2_996973,0.0000000000,read,real,scaling,value,N/A
CuHgO2_996973,0.0000000000,read,real,scaling,value,N/A
CuHgO2_996973,0.0000000000,read,real,scaling,value,N/A
