source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Cu3Mo2O9_1193763,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_1193763,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_1193763,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_1193763,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_1193763,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_1193763,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_1193763,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_1193763,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_1193763,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_1193763,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_1193763,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_1193763,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_1193763,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_1193763,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_1193763,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_1193763,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_1193763,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_1193763,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_1193763,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_1193763,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_1193763,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_1193763,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_1193763,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_1193763,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_1193763,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_1193763,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_1193763,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_1193763,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_1193763,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_1193763,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_1193763,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_1193763,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_1193763,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_1193763,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_1193763,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_1193763_POSCAR,6.6862685730,6.4559,3.9910,174.9969,10.3708,-2.8570468681446E-01
Cu3Mo2O9_1193763_POSCAR,5.5718904775,12.7125,4.6192,174.9969,10.3708,-3.7703745729870E-01
Cu3Mo2O9_1193763_POSCAR,6.3148092079,8.2149,4.1190,174.9969,10.3708,-2.7747012159509E-01
Cu3Mo2O9_1193763_POSCAR,5.9433498427,10.3844,4.2829,174.9969,10.3708,-3.1819112426924E-01
Cu3Mo2O9_1193763_POSCAR,7.0577279382,5.1986,3.8033,174.9969,10.3708,-2.5605410603418E-01
Cu3Mo2O9_1193763_POSCAR,8.1721060337,2.5746,2.1921,174.9969,10.3792,-1.6277612959965E-01
Cu3Mo2O9_1193763_POSCAR,7.8006466686,3.4290,2.9034,174.9969,10.3708,-1.9268506559501E-01
Cu3Mo2O9_1193763_POSCAR,7.4291873034,4.2704,3.4605,174.9969,10.3708,-2.2509640068387E-01
Cu3Mo2O9_1193763_POSCAR,8.5435653989,1.7807,1.4973,175.0028,11.5153,-1.3797585326582E-01
Cu3Mo2O9_1193763_POSCAR,9.6579434944,0.4522,0.3655,255.4229,14.7698,-9.5603483816730E-02
Cu3Mo2O9_1193763_POSCAR,8.9150247641,1.1548,0.9555,175.7054,12.8438,-1.1691559645043E-01
Cu3Mo2O9_1193763_POSCAR,9.2864841292,0.7247,0.5916,192.2838,13.6364,-1.0183773803352E-01
Cu3Mo2O9_1193763_POSCAR,11.1437809551,0.0823,0.0647,328.1923,15.4161,-6.3471127214394E-02
Cu3Mo2O9_1193763_POSCAR,10.0294028596,0.2855,0.2290,301.6980,15.2020,-8.6163479175210E-02
Cu3Mo2O9_1193763_POSCAR,10.7723215899,0.1215,0.0962,325.2631,15.3916,-6.5588887035388E-02
Cu3Mo2O9_1193763_POSCAR,10.4008622247,0.1840,0.1466,318.7519,15.3389,-7.5242942128522E-02
Cu3Mo2O9_1193763_POSCAR,11.8866996854,0.0405,0.0315,330.5556,15.4364,-5.3087884578065E-02
Cu3Mo2O9_1193763_POSCAR,12.6296184158,0.0217,0.0167,331.4122,15.4439,-4.5095032125590E-02
Cu3Mo2O9_1193763_POSCAR,12.2581590506,0.0294,0.0227,331.0773,15.4409,-4.8655363624571E-02
Cu3Mo2O9_1193763_POSCAR,11.5152403202,0.0571,0.0446,329.6995,15.4289,-5.8850672761618E-02
Cu3Mo2O9_1193763_POSCAR,13.0010777809,0.0164,0.0125,331.6364,15.4459,-4.1995754129737E-02
Cu3Mo2O9_1193763_POSCAR,13.7439965113,0.0098,0.0073,331.9012,15.4482,-3.6187675875060E-02
Cu3Mo2O9_1193763_POSCAR,13.3725371461,0.0126,0.0095,331.7913,15.4473,-3.9075382302218E-02
Cu3Mo2O9_1193763_POSCAR,14.1154558764,0.0077,0.0058,331.9808,15.4489,-3.3298866815185E-02
Cu3Mo2O9_1193763_POSCAR,14.4869152416,0.0062,0.0046,332.0402,15.4495,-3.0450866721551E-02
Cu3Mo2O9_1193763_POSCAR,15.6012933371,0.0034,0.0025,332.1458,15.4504,-2.2846735594087E-02
Cu3Mo2O9_1193763_POSCAR,14.8583746068,0.0050,0.0037,332.0847,15.4498,-2.7720171293240E-02
Cu3Mo2O9_1193763_POSCAR,15.2298339719,0.0041,0.0030,332.1193,15.4501,-2.5173220736693E-02
Cu3Mo2O9_1193763_POSCAR,16.7156714326,0.0020,0.0015,332.1970,15.4508,-1.7119554084622E-02
Cu3Mo2O9_1193763_POSCAR,15.9727527023,0.0028,0.0020,332.1668,15.4506,-2.0743836376310E-02
Cu3Mo2O9_1193763_POSCAR,17.0871307978,0.0017,0.0012,332.2078,15.4509,-1.5541169890210E-02
Cu3Mo2O9_1193763_POSCAR,16.3442120674,0.0024,0.0017,332.1834,15.4507,-1.8844529384476E-02
Cu3Mo2O9_1193763_POSCAR,17.8300495281,0.0013,0.0009,332.2244,15.4510,-1.2743141150714E-02
Cu3Mo2O9_1193763_POSCAR,17.4585901630,0.0015,0.0011,332.2168,15.4510,-1.4087269009218E-02
Cu3Mo2O9_1193763_POSCAR,18.2015088933,0.0011,0.0008,332.2304,15.4511,-1.1501162492875E-02
Cu3Mo2O9_639719,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_639719,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_639719,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_639719,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_639719,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_639719,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_639719,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_639719,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_639719,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_639719,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_639719,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_639719,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_639719,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_639719,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_639719,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_639719,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_639719,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_639719,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_639719,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_639719,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_639719,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_639719,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_639719,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_639719,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_639719,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_639719,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_639719,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_639719,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_639719,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_639719,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_639719,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_639719,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_639719,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_639719,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_639719,0.0000000000,read,real,scaling,value,N/A
Cu3Mo2O9_639719_POSCAR,6.2233011000,6.8479,2.9608,174.9969,10.3708,-5.6471859180480E-01
Cu3Mo2O9_639719_POSCAR,5.1860842500,12.7998,3.5825,174.9969,10.3708,-7.4057293020764E-01
Cu3Mo2O9_639719_POSCAR,5.8775621500,8.7293,3.1002,174.9969,10.3708,-5.4608358087210E-01
Cu3Mo2O9_639719_POSCAR,5.5318232000,10.8442,3.2646,174.9969,10.3708,-6.2490005263738E-01
Cu3Mo2O9_639719_POSCAR,6.5690400500,5.3895,2.7649,174.9969,10.3709,-5.0410741899964E-01
Cu3Mo2O9_639719_POSCAR,6.9147790000,4.2430,2.4699,174.9969,10.3717,-4.3785840231259E-01
Cu3Mo2O9_639719_POSCAR,7.6062569000,2.2739,1.7334,174.9970,10.6590,-3.1121473445094E-01
Cu3Mo2O9_639719_POSCAR,7.2605179500,3.2188,2.1006,174.9969,10.3882,-3.7062960222517E-01
Cu3Mo2O9_639719_POSCAR,7.9519958500,1.4944,1.4263,175.0497,11.8578,-2.6379157794979E-01
Cu3Mo2O9_639719_POSCAR,8.9892127000,0.3598,0.7755,283.3500,13.0565,-1.8578055242854E-01
Cu3Mo2O9_639719_POSCAR,8.2977348000,0.9375,1.1828,178.6780,12.6196,-2.2443164608131E-01
Cu3Mo2O9_639719_POSCAR,8.6434737500,0.5789,0.9738,218.6587,12.8297,-1.9769942608414E-01
Cu3Mo2O9_639719_POSCAR,9.3349516500,0.2278,0.5866,312.4906,13.6591,-1.6805982827748E-01
Cu3Mo2O9_639719_POSCAR,9.6806906000,0.1479,0.4213,322.8276,14.5107,-1.4788600675182E-01
Cu3Mo2O9_639719_POSCAR,10.0264295500,0.0985,0.2912,327.0746,15.0412,-1.3016259014320E-01
Cu3Mo2O9_639719_POSCAR,10.3721685000,0.0673,0.1974,329.1178,15.2634,-1.2792688110514E-01
