source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
CuReO4_1041019,0.0000000000,read,real,scaling,value,N/A
CuReO4_1041019,0.0000000000,read,real,scaling,value,N/A
CuReO4_1041019,0.0000000000,read,real,scaling,value,N/A
CuReO4_1041019,0.0000000000,read,real,scaling,value,N/A
CuReO4_1041019,0.0000000000,read,real,scaling,value,N/A
CuReO4_1041019,0.0000000000,read,real,scaling,value,N/A
CuReO4_1041019,0.0000000000,read,real,scaling,value,N/A
CuReO4_1041019,0.0000000000,read,real,scaling,value,N/A
CuReO4_1041019,0.0000000000,read,real,scaling,value,N/A
CuReO4_1041019,0.0000000000,read,real,scaling,value,N/A
CuReO4_1041019,0.0000000000,read,real,scaling,value,N/A
CuReO4_1041019,0.0000000000,read,real,scaling,value,N/A
CuReO4_1041019,0.0000000000,read,real,scaling,value,N/A
CuReO4_1041019,0.0000000000,read,real,scaling,value,N/A
CuReO4_1041019,0.0000000000,read,real,scaling,value,N/A
CuReO4_1041019,0.0000000000,read,real,scaling,value,N/A
CuReO4_1041019,0.0000000000,read,real,scaling,value,N/A
CuReO4_1041019,0.0000000000,read,real,scaling,value,N/A
CuReO4_1041019,0.0000000000,read,real,scaling,value,N/A
CuReO4_1041019,0.0000000000,read,real,scaling,value,N/A
CuReO4_1041019,0.0000000000,read,real,scaling,value,N/A
CuReO4_1041019,0.0000000000,read,real,scaling,value,N/A
CuReO4_1041019,0.0000000000,read,real,scaling,value,N/A
CuReO4_1041019,0.0000000000,read,real,scaling,value,N/A
CuReO4_1041019,0.0000000000,read,real,scaling,value,N/A
CuReO4_1041019,0.0000000000,read,real,scaling,value,N/A
CuReO4_1041019,0.0000000000,read,real,scaling,value,N/A
CuReO4_1041019,0.0000000000,read,real,scaling,value,N/A
CuReO4_1041019,0.0000000000,read,real,scaling,value,N/A
CuReO4_1041019,0.0000000000,read,real,scaling,value,N/A
CuReO4_1041019,0.0000000000,read,real,scaling,value,N/A
CuReO4_1041019,0.0000000000,read,real,scaling,value,N/A
CuReO4_1041019,0.0000000000,read,real,scaling,value,N/A
CuReO4_1041019,0.0000000000,read,real,scaling,value,N/A
CuReO4_1041019,0.0000000000,read,real,scaling,value,N/A
CuReO4_1041019_POSCAR,7.2372712000,7.1741,2.1404,174.9969,10.3835,-3.7816992055336E-01
CuReO4_1041019_POSCAR,6.7849417500,8.5638,2.2891,174.9969,10.3747,-4.5602102507796E-01
CuReO4_1041019_POSCAR,8.1419301000,4.9773,2.0275,174.9969,10.4017,-3.2510530856350E-01
