source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Cu2_ReS2_3_1199685,0.0000000000,read,real,scaling,value,N/A
Cu2_ReS2_3_1199685,0.0000000000,read,real,scaling,value,N/A
Cu2_ReS2_3_1199685,0.0000000000,read,real,scaling,value,N/A
Cu2_ReS2_3_1199685,0.0000000000,read,real,scaling,value,N/A
Cu2_ReS2_3_1199685,0.0000000000,read,real,scaling,value,N/A
Cu2_ReS2_3_1199685,0.0000000000,read,real,scaling,value,N/A
Cu2_ReS2_3_1199685,0.0000000000,read,real,scaling,value,N/A
Cu2_ReS2_3_1199685,0.0000000000,read,real,scaling,value,N/A
Cu2_ReS2_3_1199685,0.0000000000,read,real,scaling,value,N/A
Cu2_ReS2_3_1199685,0.0000000000,read,real,scaling,value,N/A
Cu2_ReS2_3_1199685,0.0000000000,read,real,scaling,value,N/A
Cu2_ReS2_3_1199685,0.0000000000,read,real,scaling,value,N/A
Cu2_ReS2_3_1199685,0.0000000000,read,real,scaling,value,N/A
Cu2_ReS2_3_1199685,0.0000000000,read,real,scaling,value,N/A
Cu2_ReS2_3_1199685,0.0000000000,read,real,scaling,value,N/A
Cu2_ReS2_3_1199685,0.0000000000,read,real,scaling,value,N/A
Cu2_ReS2_3_1199685,0.0000000000,read,real,scaling,value,N/A
Cu2_ReS2_3_1199685,0.0000000000,read,real,scaling,value,N/A
Cu2_ReS2_3_1199685,0.0000000000,read,real,scaling,value,N/A
Cu2_ReS2_3_1199685,0.0000000000,read,real,scaling,value,N/A
Cu2_ReS2_3_1199685,0.0000000000,read,real,scaling,value,N/A
Cu2_ReS2_3_1199685,0.0000000000,read,real,scaling,value,N/A
Cu2_ReS2_3_1199685,0.0000000000,read,real,scaling,value,N/A
Cu2_ReS2_3_1199685,0.0000000000,read,real,scaling,value,N/A
Cu2_ReS2_3_1199685,0.0000000000,read,real,scaling,value,N/A
Cu2_ReS2_3_1199685,0.0000000000,read,real,scaling,value,N/A
Cu2_ReS2_3_1199685,0.0000000000,read,real,scaling,value,N/A
Cu2_ReS2_3_1199685,0.0000000000,read,real,scaling,value,N/A
Cu2_ReS2_3_1199685,0.0000000000,read,real,scaling,value,N/A
Cu2_ReS2_3_1199685,0.0000000000,read,real,scaling,value,N/A
