source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Cu2W2O7_756162,0.0000000000,read,real,scaling,value,N/A
Cu2W2O7_756162,0.0000000000,read,real,scaling,value,N/A
Cu2W2O7_756162,0.0000000000,read,real,scaling,value,N/A
Cu2W2O7_756162,0.0000000000,read,real,scaling,value,N/A
Cu2W2O7_756162,0.0000000000,read,real,scaling,value,N/A
Cu2W2O7_756162,0.0000000000,read,real,scaling,value,N/A
Cu2W2O7_756162,0.0000000000,read,real,scaling,value,N/A
Cu2W2O7_756162,0.0000000000,read,real,scaling,value,N/A
Cu2W2O7_756162,0.0000000000,read,real,scaling,value,N/A
Cu2W2O7_756162,0.0000000000,read,real,scaling,value,N/A
Cu2W2O7_756162,0.0000000000,read,real,scaling,value,N/A
Cu2W2O7_756162,0.0000000000,read,real,scaling,value,N/A
Cu2W2O7_756162,0.0000000000,read,real,scaling,value,N/A
Cu2W2O7_756162,0.0000000000,read,real,scaling,value,N/A
Cu2W2O7_756162,0.0000000000,read,real,scaling,value,N/A
Cu2W2O7_756162,0.0000000000,read,real,scaling,value,N/A
Cu2W2O7_756162,0.0000000000,read,real,scaling,value,N/A
Cu2W2O7_756162,0.0000000000,read,real,scaling,value,N/A
Cu2W2O7_756162,0.0000000000,read,real,scaling,value,N/A
Cu2W2O7_756162,0.0000000000,read,real,scaling,value,N/A
Cu2W2O7_756162,0.0000000000,read,real,scaling,value,N/A
Cu2W2O7_756162,0.0000000000,read,real,scaling,value,N/A
Cu2W2O7_756162,0.0000000000,read,real,scaling,value,N/A
Cu2W2O7_756162,0.0000000000,read,real,scaling,value,N/A
Cu2W2O7_756162,0.0000000000,read,real,scaling,value,N/A
Cu2W2O7_756162,0.0000000000,read,real,scaling,value,N/A
Cu2W2O7_756162,0.0000000000,read,real,scaling,value,N/A
Cu2W2O7_756162,0.0000000000,read,real,scaling,value,N/A
Cu2W2O7_756162,0.0000000000,read,real,scaling,value,N/A
Cu2W2O7_756162,0.0000000000,read,real,scaling,value,N/A
Cu2W2O7_756162,0.0000000000,read,real,scaling,value,N/A
Cu2W2O7_756162,0.0000000000,read,real,scaling,value,N/A
Cu2W2O7_756162,0.0000000000,read,real,scaling,value,N/A
Cu2W2O7_756162,0.0000000000,read,real,scaling,value,N/A
Cu2W2O7_756162,0.0000000000,read,real,scaling,value,N/A
Cu2W2O7_756162_POSCAR,5.6645118527,4.9619,2.1309,174.9969,10.3845,-1.6609279247359E-01
Cu2W2O7_756162_POSCAR,5.0351216468,8.7936,2.5097,174.9969,10.3715,-2.3235378291050E-01
Cu2W2O7_756162_POSCAR,5.3498167498,6.5765,2.2507,174.9969,10.3761,-1.9433256437059E-01
Cu2W2O7_756162_POSCAR,4.7204265439,11.5363,3.0987,174.9969,10.3708,-2.8289795790724E-01
Cu2W2O7_756162_POSCAR,5.9792069556,3.9088,2.0683,174.9969,10.3932,-1.4470290398781E-01
Cu2W2O7_756162_POSCAR,6.2939020585,3.1709,2.0248,174.9969,10.4024,-1.2743137437439E-01
Cu2W2O7_756162_POSCAR,6.6085971615,2.5270,1.9750,174.9969,10.4175,-1.2691929450003E-01
Cu2W2O7_756162_POSCAR,6.9232922644,1.9016,1.8935,174.9992,10.4587,-1.1365993683802E-01
Cu2W2O7_756162_POSCAR,7.5526824702,0.8820,1.5320,180.5639,11.3488,-9.3004293540114E-02
Cu2W2O7_756162_POSCAR,7.2379873673,1.3341,1.7521,175.1769,10.6232,-1.0183407130988E-01
Cu2W2O7_756162_POSCAR,7.8673775732,0.5626,1.2445,222.7873,12.5009,-8.8026119238836E-02
Cu2W2O7_756162_POSCAR,8.1820726761,0.3549,0.9358,284.6883,12.8596,-8.1746912448441E-02
Cu2W2O7_756162_POSCAR,8.4967677790,0.2255,0.6597,312.8642,13.3612,-7.2820949418604E-02
Cu2W2O7_756162_POSCAR,8.8114628820,0.1459,0.4458,323.0267,14.3856,-6.4117569746973E-02
Cu2W2O7_756162_POSCAR,9.1261579849,0.0965,0.2954,327.2157,15.0282,-6.3777783649409E-02
Cu2W2O7_756162_POSCAR,9.4408530878,0.0655,0.1953,329.2251,15.2670,-5.8585154721595E-02
Cu2W2O7_756162_POSCAR,9.7555481907,0.0455,0.1302,330.3073,15.3581,-5.1920568476404E-02
Cu2W2O7_756162_POSCAR,10.0702432937,0.0324,0.0881,330.9407,15.3984,-4.6434863586943E-02
Cu2W2O7_756162_POSCAR,10.6996334995,0.0175,0.0426,331.5914,15.4301,-3.8041644069101E-02
Cu2W2O7_756162_POSCAR,10.3849383966,0.0236,0.0607,331.3342,15.4188,-4.1895077606446E-02
Cu2W2O7_756162_POSCAR,11.0143286024,0.0132,0.0304,331.7652,15.4369,-3.4676191858557E-02
Cu2W2O7_756162_POSCAR,11.3290237054,0.0102,0.0221,331.8859,15.4412,-3.1665814243379E-02
Cu2W2O7_756162_POSCAR,11.6437188083,0.0080,0.0164,331.9726,15.4440,-2.8933751488176E-02
Cu2W2O7_756162_POSCAR,11.9584139112,0.0063,0.0123,332.0359,15.4460,-2.6434237606581E-02
Cu2W2O7_756162_POSCAR,12.2731090142,0.0051,0.0094,332.0830,15.4473,-2.4134818448072E-02
Cu2W2O7_756162_POSCAR,12.5878041171,0.0041,0.0073,332.1186,15.4483,-2.2010563382124E-02
Cu2W2O7_756162_POSCAR,13.2171943229,0.0028,0.0045,332.1674,15.4495,-1.8212525513248E-02
Cu2W2O7_756162_POSCAR,12.9024992200,0.0034,0.0057,332.1461,15.4490,-2.0040546111899E-02
Cu2W2O7_756162_POSCAR,13.5318894259,0.0024,0.0037,332.1842,15.4499,-1.6520103852902E-02
Cu2W2O7_756162_POSCAR,13.8465845288,0.0020,0.0030,332.1980,15.4502,-1.4960330806237E-02
Cu2W2O7_756162_POSCAR,14.1612796317,0.0017,0.0024,332.2089,15.4504,-1.3531404789697E-02
Cu2W2O7_756162_POSCAR,14.4759747346,0.0015,0.0020,332.2178,15.4506,-1.2228769119439E-02
Cu2W2O7_756162_POSCAR,15.1053649405,0.0011,0.0014,332.2312,15.4508,-9.9707295765084E-03
Cu2W2O7_756162_POSCAR,14.7906698376,0.0013,0.0017,332.2252,15.4507,-1.1045015242939E-02
Cu2W2O7_756162_POSCAR,15.4200600434,0.0010,0.0012,332.2362,15.4509,-8.9966876289025E-03
Cu2WO4_1181706,0.0000000000,read,real,scaling,value,N/A
Cu2WO4_1181706,0.0000000000,read,real,scaling,value,N/A
Cu2WO4_1181706,0.0000000000,read,real,scaling,value,N/A
Cu2WO4_1181706,0.0000000000,read,real,scaling,value,N/A
Cu2WO4_1181706,0.0000000000,read,real,scaling,value,N/A
Cu2WO4_1181706,0.0000000000,read,real,scaling,value,N/A
Cu2WO4_1181706,0.0000000000,read,real,scaling,value,N/A
Cu2WO4_1181706,0.0000000000,read,real,scaling,value,N/A
Cu2WO4_1181706,0.0000000000,read,real,scaling,value,N/A
Cu2WO4_1181706,0.0000000000,read,real,scaling,value,N/A
Cu2WO4_1181706,0.0000000000,read,real,scaling,value,N/A
Cu2WO4_1181706,0.0000000000,read,real,scaling,value,N/A
Cu2WO4_1181706,0.0000000000,read,real,scaling,value,N/A
Cu2WO4_1181706,0.0000000000,read,real,scaling,value,N/A
Cu2WO4_1181706,0.0000000000,read,real,scaling,value,N/A
Cu2WO4_1181706,0.0000000000,read,real,scaling,value,N/A
Cu2WO4_1181706,0.0000000000,read,real,scaling,value,N/A
Cu2WO4_1181706,0.0000000000,read,real,scaling,value,N/A
Cu2WO4_1181706,0.0000000000,read,real,scaling,value,N/A
Cu2WO4_1181706,0.0000000000,read,real,scaling,value,N/A
Cu2WO4_1181706,0.0000000000,read,real,scaling,value,N/A
Cu2WO4_1181706,0.0000000000,read,real,scaling,value,N/A
Cu2WO4_1181706,0.0000000000,read,real,scaling,value,N/A
Cu2WO4_1181706,0.0000000000,read,real,scaling,value,N/A
Cu2WO4_1181706,0.0000000000,read,real,scaling,value,N/A
Cu2WO4_1181706,0.0000000000,read,real,scaling,value,N/A
Cu2WO4_1181706,0.0000000000,read,real,scaling,value,N/A
Cu2WO4_1181706,0.0000000000,read,real,scaling,value,N/A
Cu2WO4_1181706,0.0000000000,read,real,scaling,value,N/A
Cu2WO4_1181706,0.0000000000,read,real,scaling,value,N/A
Cu2WO4_1181706,0.0000000000,read,real,scaling,value,N/A
Cu2WO4_1181706,0.0000000000,read,real,scaling,value,N/A
Cu2WO4_1181706,0.0000000000,read,real,scaling,value,N/A
Cu2WO4_1181706,0.0000000000,read,real,scaling,value,N/A
