source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Cu2WS4_557373,0.0000000000,read,real,scaling,value,N/A
Cu2WS4_557373,0.0000000000,read,real,scaling,value,N/A
Cu2WS4_557373,0.0000000000,read,real,scaling,value,N/A
Cu2WS4_557373,0.0000000000,read,real,scaling,value,N/A
Cu2WS4_557373,0.0000000000,read,real,scaling,value,N/A
Cu2WS4_557373,0.0000000000,read,real,scaling,value,N/A
Cu2WS4_557373,0.0000000000,read,real,scaling,value,N/A
Cu2WS4_557373,0.0000000000,read,real,scaling,value,N/A
Cu2WS4_557373,0.0000000000,read,real,scaling,value,N/A
Cu2WS4_557373,0.0000000000,read,real,scaling,value,N/A
Cu2WS4_557373,0.0000000000,read,real,scaling,value,N/A
Cu2WS4_557373,0.0000000000,read,real,scaling,value,N/A
Cu2WS4_557373,0.0000000000,read,real,scaling,value,N/A
Cu2WS4_557373,0.0000000000,read,real,scaling,value,N/A
Cu2WS4_557373,0.0000000000,read,real,scaling,value,N/A
Cu2WS4_557373,0.0000000000,read,real,scaling,value,N/A
Cu2WS4_557373,0.0000000000,read,real,scaling,value,N/A
Cu2WS4_557373,0.0000000000,read,real,scaling,value,N/A
Cu2WS4_557373,0.0000000000,read,real,scaling,value,N/A
Cu2WS4_557373,0.0000000000,read,real,scaling,value,N/A
Cu2WS4_557373,0.0000000000,read,real,scaling,value,N/A
Cu2WS4_557373,0.0000000000,read,real,scaling,value,N/A
Cu2WS4_557373,0.0000000000,read,real,scaling,value,N/A
Cu2WS4_557373,0.0000000000,read,real,scaling,value,N/A
Cu2WS4_557373,0.0000000000,read,real,scaling,value,N/A
Cu2WS4_557373,0.0000000000,read,real,scaling,value,N/A
Cu2WS4_557373,0.0000000000,read,real,scaling,value,N/A
Cu2WS4_557373,0.0000000000,read,real,scaling,value,N/A
Cu2WS4_557373,0.0000000000,read,real,scaling,value,N/A
Cu2WS4_557373,0.0000000000,read,real,scaling,value,N/A
Cu2WS4_557373,0.0000000000,read,real,scaling,value,N/A
Cu2WS4_557373,0.0000000000,read,real,scaling,value,N/A
Cu2WS4_557373,0.0000000000,read,real,scaling,value,N/A
Cu2WS4_557373,0.0000000000,read,real,scaling,value,N/A
Cu2WS4_557373,0.0000000000,read,real,scaling,value,N/A
Cu2WS4_557373_POSCAR,4.1910246090,6.3756,4.1394,174.9969,125.8109,-9.6771409077080E-02
Cu2WS4_557373_POSCAR,3.9444937497,6.8159,5.3738,174.9969,125.8109,-1.1677408010176E-01
Cu2WS4_557373_POSCAR,3.6979628903,7.7488,7.8560,174.9969,125.8109,-1.4200554021588E-01
Cu2WS4_557373_POSCAR,4.4375554684,6.1239,3.5570,174.9969,125.8109,-8.1228006527718E-02
Cu2WS4_557373_POSCAR,4.6840863277,5.8786,3.2563,174.9969,125.8109,-6.8631306495761E-02
Cu2WS4_557373_POSCAR,4.9306171871,5.4983,3.0469,174.9969,125.8109,-5.7384022714528E-02
Cu2WS4_557373_POSCAR,5.1771480464,4.8744,2.8202,174.9969,125.8110,-4.7315363084711E-02
Cu2WS4_557373_POSCAR,5.4236789058,3.9961,2.5148,174.9969,125.8124,-4.1010400375499E-02
Cu2WS4_557373_POSCAR,5.9167406245,2.0647,1.7132,174.9976,126.5670,-2.9491298286106E-02
Cu2WS4_557373_POSCAR,5.6702097651,2.9935,2.1283,174.9969,125.8431,-3.4303554905701E-02
Cu2WS4_557373_POSCAR,6.1632714839,1.3442,1.3245,175.1634,129.9144,-2.6375070627368E-02
Cu2WS4_557373_POSCAR,6.4098023432,0.8513,0.9863,181.9852,130.9658,-2.4366113788522E-02
Cu2WS4_557373_POSCAR,6.6563332026,0.5371,0.7063,229.7366,131.4647,-2.4672824701834E-02
Cu2WS4_557373_POSCAR,6.9028640619,0.3426,0.4884,287.9992,132.5495,-2.5834737724661E-02
Cu2WS4_557373_POSCAR,7.1493949213,0.2227,0.3303,313.2996,133.3739,-2.6664732652077E-02
Cu2WS4_557373_POSCAR,7.3959257806,0.1481,0.2216,322.8089,133.7033,-2.7721188104919E-02
