source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Fe2Mo3O8_504974,0.0000000000,read,real,scaling,value,N/A
Fe2Mo3O8_504974,0.0000000000,read,real,scaling,value,N/A
Fe2Mo3O8_504974,0.0000000000,read,real,scaling,value,N/A
Fe2Mo3O8_504974,0.0000000000,read,real,scaling,value,N/A
Fe2Mo3O8_504974,0.0000000000,read,real,scaling,value,N/A
Fe2Mo3O8_504974,0.0000000000,read,real,scaling,value,N/A
Fe2Mo3O8_504974,0.0000000000,read,real,scaling,value,N/A
Fe2Mo3O8_504974,0.0000000000,read,real,scaling,value,N/A
Fe2Mo3O8_504974,0.0000000000,read,real,scaling,value,N/A
Fe2Mo3O8_504974,0.0000000000,read,real,scaling,value,N/A
Fe2Mo3O8_504974,0.0000000000,read,real,scaling,value,N/A
Fe2Mo3O8_504974,0.0000000000,read,real,scaling,value,N/A
Fe2Mo3O8_504974,0.0000000000,read,real,scaling,value,N/A
Fe2Mo3O8_504974,0.0000000000,read,real,scaling,value,N/A
Fe2Mo3O8_504974,0.0000000000,read,real,scaling,value,N/A
Fe2Mo3O8_504974,0.0000000000,read,real,scaling,value,N/A
Fe2Mo3O8_504974,0.0000000000,read,real,scaling,value,N/A
Fe2Mo3O8_504974,0.0000000000,read,real,scaling,value,N/A
Fe2Mo3O8_504974,0.0000000000,read,real,scaling,value,N/A
Fe2Mo3O8_504974,0.0000000000,read,real,scaling,value,N/A
Fe2Mo3O8_504974,0.0000000000,read,real,scaling,value,N/A
Fe2Mo3O8_504974,0.0000000000,read,real,scaling,value,N/A
Fe2Mo3O8_504974,0.0000000000,read,real,scaling,value,N/A
Fe2Mo3O8_504974,0.0000000000,read,real,scaling,value,N/A
Fe2Mo3O8_504974,0.0000000000,read,real,scaling,value,N/A
Fe2Mo3O8_504974,0.0000000000,read,real,scaling,value,N/A
Fe2Mo3O8_504974,0.0000000000,read,real,scaling,value,N/A
