source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Fe5Ni7S16_675307,0.0000000000,read,real,scaling,value,N/A
Fe5Ni7S16_675307,0.0000000000,read,real,scaling,value,N/A
Fe5Ni7S16_675307,0.0000000000,read,real,scaling,value,N/A
Fe5Ni7S16_675307,0.0000000000,read,real,scaling,value,N/A
Fe5Ni7S16_675307,0.0000000000,read,real,scaling,value,N/A
Fe5Ni7S16_675307,0.0000000000,read,real,scaling,value,N/A
Fe5Ni7S16_675307,0.0000000000,read,real,scaling,value,N/A
Fe5Ni7S16_675307,0.0000000000,read,real,scaling,value,N/A
Fe5Ni7S16_675307,0.0000000000,read,real,scaling,value,N/A
Fe5Ni7S16_675307,0.0000000000,read,real,scaling,value,N/A
Fe5Ni7S16_675307,0.0000000000,read,real,scaling,value,N/A
Fe5Ni7S16_675307,0.0000000000,read,real,scaling,value,N/A
Fe5Ni7S16_675307,0.0000000000,read,real,scaling,value,N/A
Fe5Ni7S16_675307,0.0000000000,read,real,scaling,value,N/A
Fe5Ni7S16_675307,0.0000000000,read,real,scaling,value,N/A
Fe5Ni7S16_675307,0.0000000000,read,real,scaling,value,N/A
Fe5Ni7S16_675307,0.0000000000,read,real,scaling,value,N/A
Fe5Ni7S16_675307,0.0000000000,read,real,scaling,value,N/A
Fe5Ni7S16_675307,0.0000000000,read,real,scaling,value,N/A
Fe5Ni7S16_675307,0.0000000000,read,real,scaling,value,N/A
Fe5Ni7S16_675307,0.0000000000,read,real,scaling,value,N/A
Fe5Ni7S16_675307,0.0000000000,read,real,scaling,value,N/A
Fe5Ni7S16_675307,0.0000000000,read,real,scaling,value,N/A
Fe5Ni7S16_675307,0.0000000000,read,real,scaling,value,N/A
Fe5Ni7S16_675307,0.0000000000,read,real,scaling,value,N/A
Fe5Ni7S16_675307,0.0000000000,read,real,scaling,value,N/A
Fe5Ni7S16_675307,0.0000000000,read,real,scaling,value,N/A
Fe5Ni7S16_675307,0.0000000000,read,real,scaling,value,N/A
Fe5Ni7S16_675307,0.0000000000,read,real,scaling,value,N/A
Fe5Ni7S16_675307,0.0000000000,read,real,scaling,value,N/A
Fe5Ni7S16_675307,0.0000000000,read,real,scaling,value,N/A
Fe5Ni7S16_675307,0.0000000000,read,real,scaling,value,N/A
Fe5Ni7S16_675307,0.0000000000,read,real,scaling,value,N/A
Fe5Ni7S16_675307,0.0000000000,read,real,scaling,value,N/A
Fe5Ni7S16_675307,0.0000000000,read,real,scaling,value,N/A
Fe5Ni7S16_675307_POSCAR,4.9325485029,10.5000,14.9631,109.5041,125.8109,-1.1755921533635E+00
Fe5Ni7S16_675307_POSCAR,5.5902216366,5.4334,8.4131,115.9265,125.8109,-8.1638678303160E-01
Fe5Ni7S16_675307_POSCAR,5.2613850698,7.0177,11.4635,109.5041,125.8109,-9.6416735849337E-01
Fe5Ni7S16_675307_POSCAR,5.9190582035,4.7188,6.3564,204.9925,125.8109,-7.1268435897968E-01
Fe5Ni7S16_675307_POSCAR,6.2478947703,4.3757,5.1605,204.9925,125.8109,-6.2093411804430E-01
Fe5Ni7S16_675307_POSCAR,7.2344044709,3.8562,3.2233,204.9925,125.8109,-4.7184261296707E-01
Fe5Ni7S16_675307_POSCAR,6.5767313372,4.1850,4.4285,204.9925,125.8109,-5.4465435701340E-01
Fe5Ni7S16_675307_POSCAR,6.9055679041,4.0370,3.8394,204.9925,125.8109,-4.9050711081576E-01
Fe5Ni7S16_675307_POSCAR,7.5632410378,3.5740,2.5649,204.9925,125.8119,-4.2384347216365E-01
Fe5Ni7S16_675307_POSCAR,7.8920776046,3.1409,1.9399,204.9925,125.9525,-3.6655413389009E-01
Fe5Ni7S16_675307_POSCAR,8.2209141715,2.5668,1.4097,204.9925,129.2193,-3.2030696782181E-01
Fe5Ni7S16_675307_POSCAR,8.5497507383,1.9389,0.9899,204.9926,130.9616,-3.0329912529524E-01
Fe5Ni7S16_675307_POSCAR,9.2074238721,0.9268,0.4506,249.0778,132.7735,-3.8387984861112E-01
Fe5Ni7S16_675307_POSCAR,8.8785873052,1.3701,0.6745,205.1390,131.5776,-3.6526090853426E-01
Fe5Ni7S16_675307_POSCAR,9.5362604389,0.6143,0.2991,469.3765,133.4891,-3.5609737060365E-01
Fe5Ni7S16_675307_POSCAR,9.8650970058,0.4062,0.1995,489.8203,133.7479,-3.2837947294427E-01
Fe5Ni7S16_675307_POSCAR,10.5227701395,0.1834,0.0927,491.2543,133.8903,-2.7997543852697E-01
Fe5Ni7S16_675307_POSCAR,10.1939335726,0.2709,0.1349,491.0794,133.8464,-3.0364874421493E-01
Fe5Ni7S16_675307_POSCAR,11.1804432732,0.0887,0.0465,491.3118,133.9251,-2.3317432306069E-01
Fe5Ni7S16_675307_POSCAR,10.8516067064,0.1264,0.0650,491.2969,133.9126,-2.5647305039243E-01
Fe5Ni7S16_675307_POSCAR,11.5092798401,0.0634,0.0339,491.3183,133.9327,-2.1056723353388E-01
Fe5Ni7S16_675307_POSCAR,11.8381164069,0.0461,0.0251,491.3217,133.9376,-1.8917794365323E-01
Fe5Ni7S16_675307_POSCAR,12.1669529738,0.0341,0.0190,491.3236,133.9408,-1.6939580118208E-01
Fe5Ni7S16_675307_POSCAR,12.4957895407,0.0257,0.0145,491.3248,133.9431,-1.5142754193142E-01
Fe5Ni7S16_675307_POSCAR,12.8246261075,0.0196,0.0113,491.3256,133.9446,-1.3528888557854E-01
Fe5Ni7S16_675307_POSCAR,13.4822992412,0.0119,0.0072,491.3265,133.9466,-1.0795730929777E-01
Fe5Ni7S16_675307_POSCAR,13.8111358081,0.0095,0.0058,491.3268,133.9472,-9.6388455452973E-02
Fe5Ni7S16_675307_POSCAR,13.1534626744,0.0152,0.0090,491.3261,133.9458,-1.2085966869611E-01
Fe5Ni7S16_675307_POSCAR,14.1399723750,0.0076,0.0047,491.3270,133.9477,-8.5991997217023E-02
Fe5Ni7S16_675307_POSCAR,14.4688089418,0.0062,0.0039,491.3271,133.9481,-7.6628051421332E-02
Fe5Ni7S16_675307_POSCAR,15.1264820755,0.0042,0.0027,491.3273,133.9486,-6.0605985670673E-02
Fe5Ni7S16_675307_POSCAR,15.4553186424,0.0035,0.0023,491.3274,133.9488,-5.3802321826814E-02
Fe5Ni7S16_675307_POSCAR,14.7976455087,0.0051,0.0032,491.3272,133.9484,-6.8196765580744E-02
Fe5Ni7S16_675307_POSCAR,15.7841552093,0.0029,0.0020,491.3274,133.9490,-4.7724648457426E-02
Fe5Ni7S16_675307_POSCAR,16.1129917761,0.0025,0.0017,491.3275,133.9491,-4.2317641082134E-02
Fe6Ni9S20_1333995,0.0000000000,read,real,scaling,value,N/A
Fe6Ni9S20_1333995,0.0000000000,read,real,scaling,value,N/A
Fe6Ni9S20_1333995,0.0000000000,read,real,scaling,value,N/A
Fe6Ni9S20_1333995,0.0000000000,read,real,scaling,value,N/A
Fe6Ni9S20_1333995,0.0000000000,read,real,scaling,value,N/A
Fe6Ni9S20_1333995,0.0000000000,read,real,scaling,value,N/A
Fe6Ni9S20_1333995,0.0000000000,read,real,scaling,value,N/A
Fe6Ni9S20_1333995,0.0000000000,read,real,scaling,value,N/A
Fe6Ni9S20_1333995,0.0000000000,read,real,scaling,value,N/A
Fe6Ni9S20_1333995,0.0000000000,read,real,scaling,value,N/A
Fe6Ni9S20_1333995,0.0000000000,read,real,scaling,value,N/A
Fe6Ni9S20_1333995,0.0000000000,read,real,scaling,value,N/A
Fe6Ni9S20_1333995,0.0000000000,read,real,scaling,value,N/A
Fe6Ni9S20_1333995,0.0000000000,read,real,scaling,value,N/A
Fe6Ni9S20_1333995,0.0000000000,read,real,scaling,value,N/A
Fe6Ni9S20_1333995,0.0000000000,read,real,scaling,value,N/A
Fe6Ni9S20_1333995,0.0000000000,read,real,scaling,value,N/A
Fe6Ni9S20_1333995,0.0000000000,read,real,scaling,value,N/A
Fe6Ni9S20_1333995,0.0000000000,read,real,scaling,value,N/A
Fe6Ni9S20_1333995,0.0000000000,read,real,scaling,value,N/A
Fe6Ni9S20_1333995,0.0000000000,read,real,scaling,value,N/A
Fe6Ni9S20_1333995,0.0000000000,read,real,scaling,value,N/A
Fe6Ni9S20_1333995,0.0000000000,read,real,scaling,value,N/A
Fe6Ni9S20_1333995,0.0000000000,read,real,scaling,value,N/A
Fe6Ni9S20_1333995,0.0000000000,read,real,scaling,value,N/A
Fe6Ni9S20_1333995,0.0000000000,read,real,scaling,value,N/A
Fe6Ni9S20_1333995,0.0000000000,read,real,scaling,value,N/A
Fe6Ni9S20_1333995,0.0000000000,read,real,scaling,value,N/A
Fe6Ni9S20_1333995,0.0000000000,read,real,scaling,value,N/A
Fe6Ni9S20_1333995,0.0000000000,read,real,scaling,value,N/A
Fe6Ni9S20_1333995,0.0000000000,read,real,scaling,value,N/A
Fe6Ni9S20_1333995,0.0000000000,read,real,scaling,value,N/A
Fe6Ni9S20_1333995,0.0000000000,read,real,scaling,value,N/A
Fe6Ni9S20_1333995,0.0000000000,read,real,scaling,value,N/A
Fe6Ni9S20_1333995,0.0000000000,read,real,scaling,value,N/A
Fe6Ni9S20_1333995_POSCAR,5.2633454976,8.1115,11.5629,109.5041,125.8109,-1.2379851361767E+00
Fe6Ni9S20_1333995_POSCAR,4.9343864040,11.8625,14.7221,109.5041,125.8109,-1.5125470454269E+00
Fe6Ni9S20_1333995_POSCAR,5.9212636848,5.0290,6.9068,204.9925,125.8109,-9.0551426122090E-01
Fe6Ni9S20_1333995_POSCAR,5.5923045912,6.0505,8.9310,109.5041,125.8109,-1.0468753242386E+00
Fe6Ni9S20_1333995_POSCAR,6.5791818720,4.2511,4.6245,204.9925,125.8109,-6.8928047439588E-01
Fe6Ni9S20_1333995_POSCAR,6.2502227784,4.5265,5.5282,204.9925,125.8109,-7.8563193319899E-01
Fe6Ni9S20_1333995_POSCAR,6.9081409656,4.0473,3.9402,204.9925,125.8109,-6.4306298297154E-01
Fe6Ni9S20_1333995_POSCAR,7.2371000592,3.8183,3.3075,204.9925,125.8109,-6.0592911017324E-01
