source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Fe_ReO3_2_1224752,0.0000000000,read,real,scaling,value,N/A
Fe_ReO3_2_1224752,0.0000000000,read,real,scaling,value,N/A
Fe_ReO3_2_1224752,0.0000000000,read,real,scaling,value,N/A
Fe_ReO3_2_1224752,0.0000000000,read,real,scaling,value,N/A
Fe_ReO3_2_1224752,0.0000000000,read,real,scaling,value,N/A
Fe_ReO3_2_1224752,0.0000000000,read,real,scaling,value,N/A
Fe_ReO3_2_1224752,0.0000000000,read,real,scaling,value,N/A
Fe_ReO3_2_1224752,0.0000000000,read,real,scaling,value,N/A
Fe_ReO3_2_1224752,0.0000000000,read,real,scaling,value,N/A
Fe_ReO3_2_1224752,0.0000000000,read,real,scaling,value,N/A
Fe_ReO3_2_1224752,0.0000000000,read,real,scaling,value,N/A
Fe_ReO3_2_1224752,0.0000000000,read,real,scaling,value,N/A
Fe_ReO3_2_1224752,0.0000000000,read,real,scaling,value,N/A
Fe_ReO3_2_1224752,0.0000000000,read,real,scaling,value,N/A
Fe_ReO3_2_1224752,0.0000000000,read,real,scaling,value,N/A
Fe_ReO3_2_1224752,0.0000000000,read,real,scaling,value,N/A
Fe_ReO3_2_1224752,0.0000000000,read,real,scaling,value,N/A
Fe_ReO3_2_1224752,0.0000000000,read,real,scaling,value,N/A
Fe_ReO3_2_1224752,0.0000000000,read,real,scaling,value,N/A
Fe_ReO3_2_1224752,0.0000000000,read,real,scaling,value,N/A
Fe_ReO3_2_1224752,0.0000000000,read,real,scaling,value,N/A
Fe_ReO3_2_1224752,0.0000000000,read,real,scaling,value,N/A
Fe_ReO3_2_1224752,0.0000000000,read,real,scaling,value,N/A
Fe_ReO3_2_1224752,0.0000000000,read,real,scaling,value,N/A
Fe_ReO3_2_1224752,0.0000000000,read,real,scaling,value,N/A
Fe_ReO3_2_1224752,0.0000000000,read,real,scaling,value,N/A
Fe_ReO3_2_1224752,0.0000000000,read,real,scaling,value,N/A
Fe_ReO3_2_1224752,0.0000000000,read,real,scaling,value,N/A
Fe_ReO3_2_1224752,0.0000000000,read,real,scaling,value,N/A
Fe_ReO3_2_1224752,0.0000000000,read,real,scaling,value,N/A
Fe_ReO3_2_1224752,0.0000000000,read,real,scaling,value,N/A
Fe_ReO3_2_1224752,0.0000000000,read,real,scaling,value,N/A
Fe_ReO3_2_1224752,0.0000000000,read,real,scaling,value,N/A
