source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
V2FeS4_1100962,0.0000000000,read,real,scaling,value,N/A
V2FeS4_1100962,0.0000000000,read,real,scaling,value,N/A
V2FeS4_1100962,0.0000000000,read,real,scaling,value,N/A
V2FeS4_1100962,0.0000000000,read,real,scaling,value,N/A
V2FeS4_1100962,0.0000000000,read,real,scaling,value,N/A
V2FeS4_1100962,0.0000000000,read,real,scaling,value,N/A
V2FeS4_1100962,0.0000000000,read,real,scaling,value,N/A
V2FeS4_1100962,0.0000000000,read,real,scaling,value,N/A
V2FeS4_1100962,0.0000000000,read,real,scaling,value,N/A
V2FeS4_1100962,0.0000000000,read,real,scaling,value,N/A
V2FeS4_1100962,0.0000000000,read,real,scaling,value,N/A
V2FeS4_1100962,0.0000000000,read,real,scaling,value,N/A
V2FeS4_1100962,0.0000000000,read,real,scaling,value,N/A
V2FeS4_1100962,0.0000000000,read,real,scaling,value,N/A
V2FeS4_1100962,0.0000000000,read,real,scaling,value,N/A
V2FeS4_1100962,0.0000000000,read,real,scaling,value,N/A
V2FeS4_1100962,0.0000000000,read,real,scaling,value,N/A
V2FeS4_1100962,0.0000000000,read,real,scaling,value,N/A
V2FeS4_1100962,0.0000000000,read,real,scaling,value,N/A
V2FeS4_1100962,0.0000000000,read,real,scaling,value,N/A
V2FeS4_1100962,0.0000000000,read,real,scaling,value,N/A
V2FeS4_1100962,0.0000000000,read,real,scaling,value,N/A
V2FeS4_1100962,0.0000000000,read,real,scaling,value,N/A
V2FeS4_1100962,0.0000000000,read,real,scaling,value,N/A
V2FeS4_1100962,0.0000000000,read,real,scaling,value,N/A
V2FeS4_1100962,0.0000000000,read,real,scaling,value,N/A
V2FeS4_1100962,0.0000000000,read,real,scaling,value,N/A
V2FeS4_1100962,0.0000000000,read,real,scaling,value,N/A
V2FeS4_1100962,0.0000000000,read,real,scaling,value,N/A
V2FeS4_1100962,0.0000000000,read,real,scaling,value,N/A
V2FeS4_1100962,0.0000000000,read,real,scaling,value,N/A
V2FeS4_1100962,0.0000000000,read,real,scaling,value,N/A
V2FeS4_1100962,0.0000000000,read,real,scaling,value,N/A
V2FeS4_1100962,0.0000000000,read,real,scaling,value,N/A
V2FeS4_1100962,0.0000000000,read,real,scaling,value,N/A
V2FeS4_1100962_POSCAR,9.9040899521,15.4435,13.7777,269.3349,125.8109,-5.2540548650203E-01
V2FeS4_1100962_POSCAR,9.2850843301,20.2307,17.3016,269.3349,125.8109,-6.4328365862781E-01
V2FeS4_1100962_POSCAR,10.5230955741,12.5352,10.5388,269.3349,125.8109,-4.3562999115107E-01
V2FeS4_1100962_POSCAR,11.1421011961,10.8426,8.1500,269.3349,125.8109,-3.6771615296650E-01
V2FeS4_1100962_POSCAR,12.9991180622,7.6474,4.8877,269.3349,125.8109,-2.4071867831172E-01
V2FeS4_1100962_POSCAR,11.7611068181,9.6490,6.6242,269.3349,125.8109,-3.1623003736809E-01
V2FeS4_1100962_POSCAR,13.6181236842,6.6607,4.1285,269.3349,125.8109,-2.1852328812360E-01
V2FeS4_1100962_POSCAR,12.3801124401,8.6200,5.6480,269.3349,125.8109,-2.7531904797492E-01
