source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
HfMnO3_754657,0.0000000000,read,real,scaling,value,N/A
HfMnO3_754657,0.0000000000,read,real,scaling,value,N/A
HfMnO3_754657,0.0000000000,read,real,scaling,value,N/A
HfMnO3_754657,0.0000000000,read,real,scaling,value,N/A
HfMnO3_754657,0.0000000000,read,real,scaling,value,N/A
HfMnO3_754657,0.0000000000,read,real,scaling,value,N/A
HfMnO3_754657,0.0000000000,read,real,scaling,value,N/A
HfMnO3_754657,0.0000000000,read,real,scaling,value,N/A
HfMnO3_754657,0.0000000000,read,real,scaling,value,N/A
HfMnO3_754657,0.0000000000,read,real,scaling,value,N/A
HfMnO3_754657,0.0000000000,read,real,scaling,value,N/A
HfMnO3_754657,0.0000000000,read,real,scaling,value,N/A
HfMnO3_754657,0.0000000000,read,real,scaling,value,N/A
HfMnO3_754657,0.0000000000,read,real,scaling,value,N/A
HfMnO3_754657,0.0000000000,read,real,scaling,value,N/A
HfMnO3_754657,0.0000000000,read,real,scaling,value,N/A
HfMnO3_754657,0.0000000000,read,real,scaling,value,N/A
HfMnO3_754657,0.0000000000,read,real,scaling,value,N/A
HfMnO3_754657,0.0000000000,read,real,scaling,value,N/A
HfMnO3_754657,0.0000000000,read,real,scaling,value,N/A
HfMnO3_754657,0.0000000000,read,real,scaling,value,N/A
HfMnO3_754657,0.0000000000,read,real,scaling,value,N/A
HfMnO3_754657,0.0000000000,read,real,scaling,value,N/A
HfMnO3_754657,0.0000000000,read,real,scaling,value,N/A
HfMnO3_754657,0.0000000000,read,real,scaling,value,N/A
HfMnO3_754657,0.0000000000,read,real,scaling,value,N/A
HfMnO3_754657,0.0000000000,read,real,scaling,value,N/A
HfMnO3_754657,0.0000000000,read,real,scaling,value,N/A
HfMnO3_754657,0.0000000000,read,real,scaling,value,N/A
HfMnO3_754657,0.0000000000,read,real,scaling,value,N/A
HfMnO3_754657,0.0000000000,read,real,scaling,value,N/A
HfMnO3_754657,0.0000000000,read,real,scaling,value,N/A
HfMnO3_754657,0.0000000000,read,real,scaling,value,N/A
HfMnO3_754657,0.0000000000,read,real,scaling,value,N/A
HfMnO3_754657,0.0000000000,read,real,scaling,value,N/A
HfMnO3_754657_POSCAR,4.5993670000,18.8008,4.2028,420.9766,10.3708,-1.8094420637321E-01
HfMnO3_754657_POSCAR,4.0582650000,23.9207,5.3344,420.9766,10.3708,-2.6949814748947E-01
HfMnO3_754657_POSCAR,4.3288160000,21.1096,4.5997,420.9766,10.3708,-2.1834888082016E-01
HfMnO3_754657_POSCAR,4.8699180000,16.1110,3.8869,420.9766,10.3708,-1.5215420089476E-01
