source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
HfNbO4_850283,0.0000000000,read,real,scaling,value,N/A
HfNbO4_850283,0.0000000000,read,real,scaling,value,N/A
HfNbO4_850283,0.0000000000,read,real,scaling,value,N/A
HfNbO4_850283,0.0000000000,read,real,scaling,value,N/A
HfNbO4_850283,0.0000000000,read,real,scaling,value,N/A
HfNbO4_850283,0.0000000000,read,real,scaling,value,N/A
HfNbO4_850283,0.0000000000,read,real,scaling,value,N/A
HfNbO4_850283,0.0000000000,read,real,scaling,value,N/A
HfNbO4_850283,0.0000000000,read,real,scaling,value,N/A
HfNbO4_850283,0.0000000000,read,real,scaling,value,N/A
HfNbO4_850283,0.0000000000,read,real,scaling,value,N/A
HfNbO4_850283,0.0000000000,read,real,scaling,value,N/A
HfNbO4_850283,0.0000000000,read,real,scaling,value,N/A
HfNbO4_850283,0.0000000000,read,real,scaling,value,N/A
HfNbO4_850283,0.0000000000,read,real,scaling,value,N/A
HfNbO4_850283,0.0000000000,read,real,scaling,value,N/A
HfNbO4_850283,0.0000000000,read,real,scaling,value,N/A
HfNbO4_850283,0.0000000000,read,real,scaling,value,N/A
HfNbO4_850283,0.0000000000,read,real,scaling,value,N/A
HfNbO4_850283,0.0000000000,read,real,scaling,value,N/A
HfNbO4_850283,0.0000000000,read,real,scaling,value,N/A
HfNbO4_850283,0.0000000000,read,real,scaling,value,N/A
HfNbO4_850283,0.0000000000,read,real,scaling,value,N/A
HfNbO4_850283,0.0000000000,read,real,scaling,value,N/A
HfNbO4_850283,0.0000000000,read,real,scaling,value,N/A
HfNbO4_850283,0.0000000000,read,real,scaling,value,N/A
HfNbO4_850283,0.0000000000,read,real,scaling,value,N/A
HfNbO4_850283,0.0000000000,read,real,scaling,value,N/A
HfNbO4_850283,0.0000000000,read,real,scaling,value,N/A
HfNbO4_850283,0.0000000000,read,real,scaling,value,N/A
HfNbO4_850283,0.0000000000,read,real,scaling,value,N/A
HfNbO4_850283,0.0000000000,read,real,scaling,value,N/A
HfNbO4_850283,0.0000000000,read,real,scaling,value,N/A
HfNbO4_850283,0.0000000000,read,real,scaling,value,N/A
HfNbO4_850283,0.0000000000,read,real,scaling,value,N/A
HfNbO4_850283_POSCAR,4.6741578379,21.7355,4.6523,420.9766,10.3708,-1.7825074118220E-01
HfNbO4_850283_POSCAR,4.3820229730,24.2682,5.4263,420.9766,10.3708,-2.1771536603357E-01
HfNbO4_850283_POSCAR,4.9662927028,20.0464,4.3107,420.9766,10.3708,-1.4705476036737E-01
HfNbO4_850283_POSCAR,5.2584275676,18.2272,4.1306,420.9766,10.3708,-1.2202922664084E-01
HfNbO4_850283_POSCAR,5.5505624325,15.8915,3.9818,420.9766,10.3708,-1.0266503533121E-01
HfNbO4_850283_POSCAR,6.4269670271,8.5795,2.9925,420.9766,10.3708,-7.2239679755127E-02
HfNbO4_850283_POSCAR,6.1348321622,10.7705,3.4527,420.9766,10.3708,-7.9085348471510E-02
HfNbO4_850283_POSCAR,5.8426972974,13.2662,3.7775,420.9766,10.3708,-8.8675039081262E-02
HfNbO4_850283_POSCAR,7.0112367568,4.9020,1.8864,420.9766,10.4636,-6.0543090113079E-02
HfNbO4_850283_POSCAR,6.7191018920,6.6385,2.4458,420.9766,10.3719,-6.6402871053198E-02
HfNbO4_850283_POSCAR,7.3033716217,3.4281,1.3748,421.0526,12.0851,-5.5815122178992E-02
HfNbO4_850283_POSCAR,7.5955064866,2.2917,0.9526,780.3574,12.8461,-6.7130071607964E-02
HfNbO4_850283_POSCAR,8.4719110812,0.6318,0.2735,1436.5410,15.0929,-8.9187704460330E-02
HfNbO4_850283_POSCAR,8.1797762163,0.9676,0.4176,1070.1017,14.5291,-6.5131520996497E-02
