source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Hf9Re4S_1192774,0.0000000000,read,real,scaling,value,N/A
Hf9Re4S_1192774,0.0000000000,read,real,scaling,value,N/A
Hf9Re4S_1192774,0.0000000000,read,real,scaling,value,N/A
Hf9Re4S_1192774,0.0000000000,read,real,scaling,value,N/A
Hf9Re4S_1192774,0.0000000000,read,real,scaling,value,N/A
Hf9Re4S_1192774,0.0000000000,read,real,scaling,value,N/A
Hf9Re4S_1192774,0.0000000000,read,real,scaling,value,N/A
Hf9Re4S_1192774,0.0000000000,read,real,scaling,value,N/A
Hf9Re4S_1192774,0.0000000000,read,real,scaling,value,N/A
Hf9Re4S_1192774,0.0000000000,read,real,scaling,value,N/A
Hf9Re4S_1192774,0.0000000000,read,real,scaling,value,N/A
Hf9Re4S_1192774,0.0000000000,read,real,scaling,value,N/A
Hf9Re4S_1192774,0.0000000000,read,real,scaling,value,N/A
Hf9Re4S_1192774,0.0000000000,read,real,scaling,value,N/A
Hf9Re4S_1192774,0.0000000000,read,real,scaling,value,N/A
Hf9Re4S_1192774,0.0000000000,read,real,scaling,value,N/A
Hf9Re4S_1192774,0.0000000000,read,real,scaling,value,N/A
Hf9Re4S_1192774,0.0000000000,read,real,scaling,value,N/A
Hf9Re4S_1192774,0.0000000000,read,real,scaling,value,N/A
Hf9Re4S_1192774,0.0000000000,read,real,scaling,value,N/A
Hf9Re4S_1192774,0.0000000000,read,real,scaling,value,N/A
Hf9Re4S_1192774,0.0000000000,read,real,scaling,value,N/A
Hf9Re4S_1192774,0.0000000000,read,real,scaling,value,N/A
Hf9Re4S_1192774,0.0000000000,read,real,scaling,value,N/A
Hf9Re4S_1192774,0.0000000000,read,real,scaling,value,N/A
Hf9Re4S_1192774,0.0000000000,read,real,scaling,value,N/A
Hf9Re4S_1192774,0.0000000000,read,real,scaling,value,N/A
Hf9Re4S_1192774,0.0000000000,read,real,scaling,value,N/A
Hf9Re4S_1192774,0.0000000000,read,real,scaling,value,N/A
Hf9Re4S_1192774,0.0000000000,read,real,scaling,value,N/A
Hf9Re4S_1192774,0.0000000000,read,real,scaling,value,N/A
Hf9Re4S_1192774,0.0000000000,read,real,scaling,value,N/A
Hf9Re4S_1192774,0.0000000000,read,real,scaling,value,N/A
Hf9Re4S_1192774,0.0000000000,read,real,scaling,value,N/A
Hf9Re4S_1192774,0.0000000000,read,real,scaling,value,N/A
Hf9Re4S_1192774_POSCAR,6.8474768000,18.4137,10.5223,420.9766,125.8109,-8.8130468009627E-01
Hf9Re4S_1192774_POSCAR,6.4195095000,22.5768,12.3846,420.9766,125.8109,-1.0481688310806E+00
Hf9Re4S_1192774_POSCAR,7.7034114000,14.7819,9.0771,420.9766,125.8109,-6.3696075976591E-01
Hf9Re4S_1192774_POSCAR,7.2754441000,16.1020,9.6416,420.9766,125.8109,-7.4769861094870E-01
Hf9Re4S_1192774_POSCAR,8.5593460000,12.4566,7.7134,420.9766,125.8109,-4.4504072506085E-01
Hf9Re4S_1192774_POSCAR,8.9873133000,10.7374,6.7766,420.9766,125.8109,-3.6336258397038E-01
Hf9Re4S_1192774_POSCAR,8.1313787000,13.7279,8.4836,420.9766,125.8109,-5.3777713902316E-01
Hf9Re4S_1192774_POSCAR,9.4152806000,8.6182,5.7134,420.9766,125.8109,-2.9789369637978E-01
Hf9Re4S_1192774_POSCAR,9.8432479000,6.3886,4.5384,420.9766,125.8109,-2.4958356962940E-01
Hf9Re4S_1192774_POSCAR,11.1271498000,1.8377,1.5008,780.3879,128.3060,-3.2839779646540E-01
