source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
HfV2O7_505679,0.0000000000,read,real,scaling,value,N/A
HfV2O7_505679,0.0000000000,read,real,scaling,value,N/A
HfV2O7_505679,0.0000000000,read,real,scaling,value,N/A
HfV2O7_505679,0.0000000000,read,real,scaling,value,N/A
HfV2O7_505679,0.0000000000,read,real,scaling,value,N/A
HfV2O7_505679,0.0000000000,read,real,scaling,value,N/A
HfV2O7_505679,0.0000000000,read,real,scaling,value,N/A
HfV2O7_505679,0.0000000000,read,real,scaling,value,N/A
HfV2O7_505679,0.0000000000,read,real,scaling,value,N/A
HfV2O7_505679,0.0000000000,read,real,scaling,value,N/A
HfV2O7_505679,0.0000000000,read,real,scaling,value,N/A
HfV2O7_505679,0.0000000000,read,real,scaling,value,N/A
HfV2O7_505679,0.0000000000,read,real,scaling,value,N/A
HfV2O7_505679,0.0000000000,read,real,scaling,value,N/A
HfV2O7_505679,0.0000000000,read,real,scaling,value,N/A
HfV2O7_505679,0.0000000000,read,real,scaling,value,N/A
HfV2O7_505679,0.0000000000,read,real,scaling,value,N/A
HfV2O7_505679,0.0000000000,read,real,scaling,value,N/A
HfV2O7_505679,0.0000000000,read,real,scaling,value,N/A
HfV2O7_505679,0.0000000000,read,real,scaling,value,N/A
HfV2O7_505679,0.0000000000,read,real,scaling,value,N/A
HfV2O7_505679,0.0000000000,read,real,scaling,value,N/A
HfV2O7_505679,0.0000000000,read,real,scaling,value,N/A
HfV2O7_505679,0.0000000000,read,real,scaling,value,N/A
HfV2O7_505679,0.0000000000,read,real,scaling,value,N/A
HfV2O7_505679,0.0000000000,read,real,scaling,value,N/A
HfV2O7_505679,0.0000000000,read,real,scaling,value,N/A
HfV2O7_505679,0.0000000000,read,real,scaling,value,N/A
HfV2O7_505679,0.0000000000,read,real,scaling,value,N/A
HfV2O7_505679,0.0000000000,read,real,scaling,value,N/A
HfV2O7_505679,0.0000000000,read,real,scaling,value,N/A
HfV2O7_505679,0.0000000000,read,real,scaling,value,N/A
HfV2O7_505679,0.0000000000,read,real,scaling,value,N/A
HfV2O7_505679,0.0000000000,read,real,scaling,value,N/A
HfV2O7_505679,0.0000000000,read,real,scaling,value,N/A
HfV2O7_505679_POSCAR,7.9805712420,9.9145,2.0672,420.9766,10.3934,-1.9977680224364E-01
HfV2O7_505679_POSCAR,7.5372061730,11.2054,2.1219,420.9766,10.3855,-2.4319690727516E-01
HfV2O7_505679_POSCAR,7.0938411040,12.2023,2.2378,420.9766,10.3766,-2.9027395420578E-01
HfV2O7_505679_POSCAR,6.6504760350,13.2013,2.5051,420.9766,10.3715,-3.3706881049221E-01
HfV2O7_505679_POSCAR,9.3106664490,6.7234,2.0051,420.9766,10.4077,-1.1566619929713E-01
HfV2O7_505679_POSCAR,8.8673013800,7.4629,2.0211,420.9766,10.4033,-1.3698972670522E-01
HfV2O7_505679_POSCAR,8.4239363110,8.5478,2.0389,420.9766,10.3991,-1.6445368932481E-01
HfV2O7_505679_POSCAR,9.7540315180,6.1703,1.9816,420.9766,10.4151,-9.9202100256649E-02
HfV2O7_505679_POSCAR,10.1973965870,5.6105,1.9380,420.9766,10.4331,-8.6223222176334E-02
HfV2O7_505679_POSCAR,11.0841267250,4.0129,1.7132,420.9766,10.7025,-6.5544033266476E-02
HfV2O7_505679_POSCAR,10.6407616560,4.9021,1.8556,420.9766,10.4882,-7.5203048217913E-02
HfV2O7_505679_POSCAR,11.5274917940,3.0452,1.4987,449.3834,11.5085,-5.8119194764427E-02
HfV2O7_505679_POSCAR,11.9708568630,2.1615,1.2255,780.3833,12.5421,-5.7106748814369E-02
HfV2O7_505679_POSCAR,13.3009520700,0.6443,0.4672,1435.5522,14.2731,-4.6118078713547E-02
HfV2O7_505679_POSCAR,12.4142219320,1.4667,0.9350,780.6201,12.8602,-4.9253320935018E-02
HfV2O7_505679_POSCAR,12.8575870010,0.9739,0.6736,1054.3763,13.3142,-4.7000932447756E-02
HfV2O7_505679_POSCAR,13.7443171390,0.4296,0.3181,1441.0292,14.9532,-5.6633837440367E-02
HfV2O7_505679_POSCAR,14.1876822080,0.2906,0.2158,1441.2147,15.2291,-6.2622292008634E-02
HfV2O7_505679_POSCAR,15.0744123460,0.1401,0.1017,1441.2370,15.3867,-5.2476509936842E-02
HfV2O7_505679_POSCAR,14.6310472770,0.2000,0.1473,1441.2333,15.3380,-5.6996985565853E-02
HfV2O7_505679_POSCAR,15.5177774150,0.1000,0.0713,1441.2381,15.4114,-4.8941378710410E-02
HfV2O7_505679_POSCAR,15.9611424840,0.0726,0.0507,1441.2385,15.4252,-4.6063223626943E-02
HfV2O7_505679_POSCAR,16.4045075530,0.0536,0.0367,1441.2388,15.4335,-4.3586906493992E-02
HfV2O7_505679_POSCAR,16.8478726220,0.0403,0.0270,1441.2389,15.4388,-4.1380238299071E-02
HfV2O7_505679_POSCAR,17.7346027600,0.0237,0.0152,1441.2390,15.4446,-3.7401479553542E-02
HfV2O7_505679_POSCAR,17.2912376910,0.0307,0.0201,1441.2389,15.4422,-3.9342000481048E-02
HfV2O7_505679_POSCAR,18.1779678290,0.0186,0.0117,1441.2390,15.4463,-3.5472612991852E-02
HfV2O7_505679_POSCAR,18.6213328980,0.0147,0.0090,1441.2390,15.4475,-3.3487244675697E-02
HfV2O7_505679_POSCAR,19.0646979670,0.0118,0.0071,1441.2391,15.4483,-3.1418340329951E-02
HfV2O7_505679_POSCAR,19.5080630360,0.0095,0.0057,1441.2391,15.4490,-2.9292043271559E-02
HfV2O7_505679_POSCAR,19.9514281050,0.0078,0.0046,1441.2391,15.4495,-2.7163482039180E-02
HfV2O7_505679_POSCAR,20.3947931740,0.0064,0.0037,1441.2391,15.4498,-2.5091680283774E-02
