source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Y2HfS5_16919,0.0000000000,read,real,scaling,value,N/A
Y2HfS5_16919,0.0000000000,read,real,scaling,value,N/A
Y2HfS5_16919,0.0000000000,read,real,scaling,value,N/A
Y2HfS5_16919,0.0000000000,read,real,scaling,value,N/A
Y2HfS5_16919,0.0000000000,read,real,scaling,value,N/A
Y2HfS5_16919,0.0000000000,read,real,scaling,value,N/A
Y2HfS5_16919,0.0000000000,read,real,scaling,value,N/A
Y2HfS5_16919,0.0000000000,read,real,scaling,value,N/A
Y2HfS5_16919,0.0000000000,read,real,scaling,value,N/A
Y2HfS5_16919,0.0000000000,read,real,scaling,value,N/A
Y2HfS5_16919,0.0000000000,read,real,scaling,value,N/A
Y2HfS5_16919,0.0000000000,read,real,scaling,value,N/A
Y2HfS5_16919,0.0000000000,read,real,scaling,value,N/A
Y2HfS5_16919,0.0000000000,read,real,scaling,value,N/A
Y2HfS5_16919,0.0000000000,read,real,scaling,value,N/A
Y2HfS5_16919,0.0000000000,read,real,scaling,value,N/A
Y2HfS5_16919,0.0000000000,read,real,scaling,value,N/A
Y2HfS5_16919,0.0000000000,read,real,scaling,value,N/A
Y2HfS5_16919,0.0000000000,read,real,scaling,value,N/A
Y2HfS5_16919,0.0000000000,read,real,scaling,value,N/A
Y2HfS5_16919,0.0000000000,read,real,scaling,value,N/A
Y2HfS5_16919,0.0000000000,read,real,scaling,value,N/A
Y2HfS5_16919,0.0000000000,read,real,scaling,value,N/A
Y2HfS5_16919,0.0000000000,read,real,scaling,value,N/A
Y2HfS5_16919,0.0000000000,read,real,scaling,value,N/A
Y2HfS5_16919,0.0000000000,read,real,scaling,value,N/A
Y2HfS5_16919,0.0000000000,read,real,scaling,value,N/A
Y2HfS5_16919,0.0000000000,read,real,scaling,value,N/A
Y2HfS5_16919,0.0000000000,read,real,scaling,value,N/A
Y2HfS5_16919,0.0000000000,read,real,scaling,value,N/A
Y2HfS5_16919,0.0000000000,read,real,scaling,value,N/A
Y2HfS5_16919,0.0000000000,read,real,scaling,value,N/A
