source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Hg_Mo3S4_2_35860,0.0000000000,read,real,scaling,value,N/A
Hg_Mo3S4_2_35860,0.0000000000,read,real,scaling,value,N/A
Hg_Mo3S4_2_35860,0.0000000000,read,real,scaling,value,N/A
Hg_Mo3S4_2_35860,0.0000000000,read,real,scaling,value,N/A
Hg_Mo3S4_2_35860,0.0000000000,read,real,scaling,value,N/A
Hg_Mo3S4_2_35860,0.0000000000,read,real,scaling,value,N/A
Hg_Mo3S4_2_35860,0.0000000000,read,real,scaling,value,N/A
Hg_Mo3S4_2_35860,0.0000000000,read,real,scaling,value,N/A
Hg_Mo3S4_2_35860,0.0000000000,read,real,scaling,value,N/A
Hg_Mo3S4_2_35860,0.0000000000,read,real,scaling,value,N/A
Hg_Mo3S4_2_35860,0.0000000000,read,real,scaling,value,N/A
Hg_Mo3S4_2_35860,0.0000000000,read,real,scaling,value,N/A
Hg_Mo3S4_2_35860,0.0000000000,read,real,scaling,value,N/A
Hg_Mo3S4_2_35860,0.0000000000,read,real,scaling,value,N/A
Hg_Mo3S4_2_35860,0.0000000000,read,real,scaling,value,N/A
Hg_Mo3S4_2_35860,0.0000000000,read,real,scaling,value,N/A
Hg_Mo3S4_2_35860,0.0000000000,read,real,scaling,value,N/A
Hg_Mo3S4_2_35860,0.0000000000,read,real,scaling,value,N/A
Hg_Mo3S4_2_35860,0.0000000000,read,real,scaling,value,N/A
Hg_Mo3S4_2_35860,0.0000000000,read,real,scaling,value,N/A
Hg_Mo3S4_2_35860,0.0000000000,read,real,scaling,value,N/A
Hg_Mo3S4_2_35860,0.0000000000,read,real,scaling,value,N/A
Hg_Mo3S4_2_35860,0.0000000000,read,real,scaling,value,N/A
Hg_Mo3S4_2_35860,0.0000000000,read,real,scaling,value,N/A
Hg_Mo3S4_2_35860,0.0000000000,read,real,scaling,value,N/A
Hg_Mo3S4_2_35860,0.0000000000,read,real,scaling,value,N/A
Hg_Mo3S4_2_35860,0.0000000000,read,real,scaling,value,N/A
Hg_Mo3S4_2_35860,0.0000000000,read,real,scaling,value,N/A
Hg_Mo3S4_2_35860,0.0000000000,read,real,scaling,value,N/A
Hg_Mo3S4_2_35860,0.0000000000,read,real,scaling,value,N/A
Hg_Mo3S4_2_35860,0.0000000000,read,real,scaling,value,N/A
Hg_Mo3S4_2_35860,0.0000000000,read,real,scaling,value,N/A
