source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Nb2Hg2O7_13803,0.0000000000,read,real,scaling,value,N/A
Nb2Hg2O7_13803,0.0000000000,read,real,scaling,value,N/A
Nb2Hg2O7_13803,0.0000000000,read,real,scaling,value,N/A
Nb2Hg2O7_13803,0.0000000000,read,real,scaling,value,N/A
Nb2Hg2O7_13803,0.0000000000,read,real,scaling,value,N/A
Nb2Hg2O7_13803,0.0000000000,read,real,scaling,value,N/A
Nb2Hg2O7_13803,0.0000000000,read,real,scaling,value,N/A
Nb2Hg2O7_13803,0.0000000000,read,real,scaling,value,N/A
Nb2Hg2O7_13803,0.0000000000,read,real,scaling,value,N/A
Nb2Hg2O7_13803,0.0000000000,read,real,scaling,value,N/A
Nb2Hg2O7_13803,0.0000000000,read,real,scaling,value,N/A
Nb2Hg2O7_13803,0.0000000000,read,real,scaling,value,N/A
Nb2Hg2O7_13803,0.0000000000,read,real,scaling,value,N/A
Nb2Hg2O7_13803,0.0000000000,read,real,scaling,value,N/A
Nb2Hg2O7_13803,0.0000000000,read,real,scaling,value,N/A
Nb2Hg2O7_13803,0.0000000000,read,real,scaling,value,N/A
Nb2Hg2O7_13803,0.0000000000,read,real,scaling,value,N/A
Nb2Hg2O7_13803,0.0000000000,read,real,scaling,value,N/A
Nb2Hg2O7_13803,0.0000000000,read,real,scaling,value,N/A
Nb2Hg2O7_13803,0.0000000000,read,real,scaling,value,N/A
Nb2Hg2O7_13803,0.0000000000,read,real,scaling,value,N/A
Nb2Hg2O7_13803,0.0000000000,read,real,scaling,value,N/A
Nb2Hg2O7_13803,0.0000000000,read,real,scaling,value,N/A
Nb2Hg2O7_13803,0.0000000000,read,real,scaling,value,N/A
Nb2Hg2O7_13803,0.0000000000,read,real,scaling,value,N/A
Nb2Hg2O7_13803,0.0000000000,read,real,scaling,value,N/A
Nb2Hg2O7_13803,0.0000000000,read,real,scaling,value,N/A
Nb2Hg2O7_13803,0.0000000000,read,real,scaling,value,N/A
Nb2Hg2O7_13803,0.0000000000,read,real,scaling,value,N/A
Nb2Hg2O7_13803,0.0000000000,read,real,scaling,value,N/A
Nb2Hg2O7_13803,0.0000000000,read,real,scaling,value,N/A
Nb2Hg2O7_13803,0.0000000000,read,real,scaling,value,N/A
Nb2Hg2O7_13803,0.0000000000,read,real,scaling,value,N/A
Nb2Hg2O7_13803,0.0000000000,read,real,scaling,value,N/A
Nb2Hg2O7_13803,0.0000000000,read,real,scaling,value,N/A
Nb2Hg2O7_13803_POSCAR,4.8507171460,20.6322,4.5124,428.8962,10.3708,-4.2832372521261E-01
Nb2Hg2O7_13803_POSCAR,5.1740982891,18.6592,4.2420,428.8962,10.3708,-3.4285160177385E-01
Nb2Hg2O7_13803_POSCAR,5.8208605752,14.5119,4.0150,428.8962,10.3708,-2.4601732913154E-01
Nb2Hg2O7_13803_POSCAR,5.4974794321,16.8621,4.1115,428.8962,10.3708,-2.8246437673620E-01
Nb2Hg2O7_13803_POSCAR,6.1442417183,11.8102,3.8800,428.8962,10.3708,-2.2380947872870E-01
Nb2Hg2O7_13803_POSCAR,6.7910040044,7.9103,3.1800,428.8962,10.3708,-1.8329329062840E-01
Nb2Hg2O7_13803_POSCAR,7.1143851475,6.8636,2.5393,428.8962,10.3713,-1.6021457271215E-01
Nb2Hg2O7_13803_POSCAR,6.4676228613,9.4984,3.6267,428.8962,10.3708,-2.0487291128332E-01
Nb2Hg2O7_13803_POSCAR,7.7611474336,5.2087,1.2137,428.8962,12.5654,-1.2079193755623E-01
Nb2Hg2O7_13803_POSCAR,7.4377662905,6.0442,1.8298,428.8962,10.5135,-1.3862532860625E-01
Nb2Hg2O7_13803_POSCAR,8.4079097197,3.2446,0.4787,429.1573,14.2118,-9.9468118871986E-02
Nb2Hg2O7_13803_POSCAR,8.0845285766,4.2562,0.7680,428.8963,13.0709,-1.1406881001234E-01
Nb2Hg2O7_13803_POSCAR,9.0546720058,1.5819,0.1915,580.4115,15.2736,-8.2688028005081E-02
Nb2Hg2O7_13803_POSCAR,8.7312908628,2.3178,0.3001,534.3224,15.0133,-9.2003635924519E-02
Nb2Hg2O7_13803_POSCAR,9.7014342920,0.7005,0.0835,1460.4562,15.4022,-8.9799911785558E-02
Nb2Hg2O7_13803_POSCAR,9.3780531489,1.0551,0.1249,742.0582,15.3639,-7.8851633617537E-02
Nb2Hg2O7_13803_POSCAR,10.9949588642,0.1538,0.0208,1475.2471,15.4419,-5.8302893565155E-02
Nb2Hg2O7_13803_POSCAR,10.6715777212,0.2190,0.0286,1475.2419,15.4379,-6.4610172194536E-02
Nb2Hg2O7_13803_POSCAR,10.0248154350,0.4685,0.0571,1474.8509,15.4212,-7.9982874694166E-02
Nb2Hg2O7_13803_POSCAR,10.3481965781,0.3176,0.0399,1475.2122,15.4317,-7.1658993808083E-02
Nb2Hg2O7_13803_POSCAR,11.3183400073,0.1100,0.0155,1475.2485,15.4445,-5.2358919168562E-02
Nb2Hg2O7_13803_POSCAR,11.6417211504,0.0801,0.0117,1475.2491,15.4462,-4.6688585665934E-02
Nb2Hg2O7_13803_POSCAR,12.2884834365,0.0447,0.0070,1475.2495,15.4484,-3.6566377809328E-02
Nb2Hg2O7_13803_POSCAR,11.9651022934,0.0594,0.0090,1475.2493,15.4475,-4.1380922056179E-02
Nb2Hg2O7_13803_POSCAR,12.6118645796,0.0341,0.0056,1475.2496,15.4490,-3.2325546236690E-02
Nb2Hg2O7_13803_POSCAR,13.5820080088,0.0165,0.0029,1475.2497,15.4502,-2.2727715630808E-02
Nb2Hg2O7_13803_POSCAR,12.9352457226,0.0264,0.0045,1475.2496,15.4495,-2.8650697982596E-02
Nb2Hg2O7_13803_POSCAR,13.2586268657,0.0208,0.0036,1475.2496,15.4499,-2.5483233425023E-02
Nb2Hg2O7_13803_POSCAR,13.9053891518,0.0132,0.0024,1475.2497,15.4504,-2.0300509093397E-02
Nb2Hg2O7_13803_POSCAR,14.5521514380,0.0088,0.0017,1475.2497,15.4507,-1.6174648530091E-02
Nb2Hg2O7_13803_POSCAR,14.2287702949,0.0107,0.0020,1475.2497,15.4506,-1.8128936067197E-02
Nb2Hg2O7_13803_POSCAR,14.8755325810,0.0073,0.0015,1475.2497,15.4508,-1.4407256045055E-02
Nb2Hg2O7_13803_POSCAR,15.1989137241,0.0061,0.0012,1475.2497,15.4509,-1.2811632614107E-02
Nb2Hg2O7_13803_POSCAR,15.8456760102,0.0043,0.0009,1475.2497,15.4510,-1.0093185750129E-02
Nb2Hg2O7_13803_POSCAR,15.5222948672,0.0051,0.0011,1475.2497,15.4510,-1.1373650209200E-02
