source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
ZrHgO3_1016871,0.0000000000,read,real,scaling,value,N/A
ZrHgO3_1016871,0.0000000000,read,real,scaling,value,N/A
ZrHgO3_1016871,0.0000000000,read,real,scaling,value,N/A
ZrHgO3_1016871,0.0000000000,read,real,scaling,value,N/A
ZrHgO3_1016871,0.0000000000,read,real,scaling,value,N/A
ZrHgO3_1016871,0.0000000000,read,real,scaling,value,N/A
ZrHgO3_1016871,0.0000000000,read,real,scaling,value,N/A
ZrHgO3_1016871,0.0000000000,read,real,scaling,value,N/A
ZrHgO3_1016871,0.0000000000,read,real,scaling,value,N/A
ZrHgO3_1016871,0.0000000000,read,real,scaling,value,N/A
ZrHgO3_1016871,0.0000000000,read,real,scaling,value,N/A
ZrHgO3_1016871,0.0000000000,read,real,scaling,value,N/A
ZrHgO3_1016871,0.0000000000,read,real,scaling,value,N/A
ZrHgO3_1016871,0.0000000000,read,real,scaling,value,N/A
ZrHgO3_1016871,0.0000000000,read,real,scaling,value,N/A
ZrHgO3_1016871,0.0000000000,read,real,scaling,value,N/A
ZrHgO3_1016871,0.0000000000,read,real,scaling,value,N/A
ZrHgO3_1016871,0.0000000000,read,real,scaling,value,N/A
ZrHgO3_1016871,0.0000000000,read,real,scaling,value,N/A
ZrHgO3_1016871,0.0000000000,read,real,scaling,value,N/A
ZrHgO3_1016871,0.0000000000,read,real,scaling,value,N/A
ZrHgO3_1016871,0.0000000000,read,real,scaling,value,N/A
ZrHgO3_1016871,0.0000000000,read,real,scaling,value,N/A
ZrHgO3_1016871,0.0000000000,read,real,scaling,value,N/A
ZrHgO3_1016871,0.0000000000,read,real,scaling,value,N/A
ZrHgO3_1016871,0.0000000000,read,real,scaling,value,N/A
ZrHgO3_1016871,0.0000000000,read,real,scaling,value,N/A
ZrHgO3_1016871,0.0000000000,read,real,scaling,value,N/A
ZrHgO3_1016871,0.0000000000,read,real,scaling,value,N/A
ZrHgO3_1016871,0.0000000000,read,real,scaling,value,N/A
ZrHgO3_1016871,0.0000000000,read,real,scaling,value,N/A
ZrHgO3_1016871,0.0000000000,read,real,scaling,value,N/A
ZrHgO3_1016871,0.0000000000,read,real,scaling,value,N/A
ZrHgO3_1016871,0.0000000000,read,real,scaling,value,N/A
ZrHgO3_1016871,0.0000000000,read,real,scaling,value,N/A
ZrHgO3_1016871_POSCAR,3.7665090000,15.6358,3.6865,458.6896,10.3708,-4.7192135098479E-02
ZrHgO3_1016871_POSCAR,3.1387575000,21.3508,6.1882,458.6896,10.3708,-8.2843865122541E-02
ZrHgO3_1016871_POSCAR,3.3480080000,19.7407,5.5224,458.6896,10.3708,-6.7183433977430E-02
