source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Nb15IrS32_1173016,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_1173016,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_1173016,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_1173016,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_1173016,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_1173016,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_1173016,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_1173016,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_1173016,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_1173016,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_1173016,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_1173016,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_1173016,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_1173016,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_1173016,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_1173016,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_1173016,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_1173016,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_1173016,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_1173016,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_1173016,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_1173016,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_1173016,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_1173016,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_1173016,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_1173016,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_1173016,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_1173016,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_1173016,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_1173016,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_1173016,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_1173016,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_1173016,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_1173016,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_1173016,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_1173016_POSCAR,7.3148211207,12.8096,5.8679,428.8962,125.8109,-7.1595820075172E-01
Nb15IrS32_1173016_POSCAR,6.4542539300,15.7724,11.8789,428.8962,125.8109,-1.1194904714850E+00
Nb15IrS32_1173016_POSCAR,7.7451047160,12.0518,4.4626,428.8962,125.8109,-5.9362885777848E-01
Nb15IrS32_1173016_POSCAR,6.8845375253,13.8976,8.3522,428.8962,125.8109,-8.8996965172714E-01
Nb15IrS32_1173016_POSCAR,8.1753883113,11.2193,3.7423,428.8962,125.8109,-5.0169273559287E-01
Nb15IrS32_1173016_POSCAR,9.0359555020,8.7640,3.0988,428.8962,125.8109,-3.6685040269329E-01
Nb15IrS32_1173016_POSCAR,8.6056719067,10.1046,3.3578,428.8962,125.8109,-4.2705371997412E-01
Nb15IrS32_1173016_POSCAR,9.4662390973,7.3744,2.8377,428.8962,125.8110,-3.1990148733918E-01
Nb15IrS32_1173016_POSCAR,9.8965226927,6.0133,2.4938,428.8962,125.8127,-2.8391312414639E-01
Nb15IrS32_1173016_POSCAR,10.7570898833,3.4268,1.5447,428.9600,127.8605,-2.3884909283470E-01
Nb15IrS32_1173016_POSCAR,11.1873734787,2.3698,1.0849,520.4338,130.8287,-2.4219098358546E-01
Nb15IrS32_1173016_POSCAR,10.3268062880,4.6788,2.0449,428.8962,125.8732,-2.5658862434879E-01
Nb15IrS32_1173016_POSCAR,12.0479406693,1.0288,0.4749,804.8175,132.6301,-2.6081591619242E-01
Nb15IrS32_1173016_POSCAR,11.6176570740,1.5753,0.7258,580.4279,131.4039,-2.4256285209743E-01
Nb15IrS32_1173016_POSCAR,12.4782242647,0.6716,0.3100,1465.7813,133.4507,-3.5120782993394E-01
Nb15IrS32_1173016_POSCAR,12.9085078600,0.4431,0.2043,1474.9814,133.7388,-3.3163868265051E-01
Nb15IrS32_1173016_POSCAR,13.3387914553,0.2973,0.1369,1475.2225,133.8440,-3.0871928066333E-01
Nb15IrS32_1173016_POSCAR,13.7690750507,0.2033,0.0935,1475.2437,133.8896,-2.8313317774109E-01
Nb15IrS32_1173016_POSCAR,14.1993586460,0.1418,0.0652,1475.2476,133.9125,-2.5549913987441E-01
Nb15IrS32_1173016_POSCAR,14.6296422413,0.1009,0.0464,1475.2487,133.9252,-2.2754508657146E-01
Nb15IrS32_1173016_POSCAR,15.0599258367,0.0731,0.0336,1475.2492,133.9329,-2.0105926749033E-01
Nb15IrS32_1173016_POSCAR,15.4902094320,0.0539,0.0248,1475.2494,133.9378,-1.7711259359579E-01
Nb15IrS32_1173016_POSCAR,15.9204930273,0.0404,0.0186,1475.2495,133.9410,-1.5603514928141E-01
Nb15IrS32_1173016_POSCAR,16.3507766226,0.0308,0.0142,1475.2496,133.9432,-1.3762218725276E-01
Nb15IrS32_1173016_POSCAR,16.7810602180,0.0238,0.0110,1475.2496,133.9448,-1.2145934935995E-01
Nb15IrS32_1173016_POSCAR,17.2113438133,0.0186,0.0086,1475.2496,133.9459,-1.0713467631778E-01
Nb15IrS32_1173016_POSCAR,17.6416274086,0.0148,0.0069,1475.2497,133.9467,-9.4362527473961E-02
Nb15IrS32_1173016_POSCAR,18.0719110040,0.0119,0.0055,1475.2497,133.9474,-8.2956492432421E-02
Nb15IrS32_1173016_POSCAR,18.5021945993,0.0096,0.0045,1475.2497,133.9478,-7.2793982424127E-02
Nb15IrS32_1173016_POSCAR,18.9324781946,0.0079,0.0037,1475.2497,133.9482,-6.3790189384610E-02
Nb15IrS32_1173016_POSCAR,19.3627617900,0.0064,0.0030,1475.2497,133.9485,-5.5856585312105E-02
Nb15IrS32_1173016_POSCAR,19.7930453853,0.0054,0.0025,1475.2497,133.9487,-4.8904693911837E-02
Nb15IrS32_1173016_POSCAR,20.6536125760,0.0038,0.0018,1475.2497,133.9491,-3.7571178025901E-02
Nb15IrS32_1173016_POSCAR,20.2233289806,0.0045,0.0021,1475.2497,133.9489,-4.2841173810256E-02
Nb15IrS32_1173016_POSCAR,21.0838961713,0.0032,0.0016,1475.2497,133.9492,-3.2995347014410E-02
Nb15IrS32_675380,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_675380,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_675380,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_675380,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_675380,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_675380,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_675380,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_675380,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_675380,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_675380,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_675380,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_675380,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_675380,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_675380,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_675380,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_675380,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_675380,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_675380,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_675380,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_675380,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_675380,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_675380,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_675380,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_675380,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_675380,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_675380,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_675380,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_675380,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_675380,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_675380,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_675380,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_675380,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_675380,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_675380,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_675380,0.0000000000,read,real,scaling,value,N/A
Nb15IrS32_675380_POSCAR,7.7681068307,11.5431,4.4670,428.8962,125.8109,-6.1181384728540E-01
Nb15IrS32_675380_POSCAR,6.9049838495,13.8672,8.3676,428.8962,125.8109,-9.1812356219938E-01
Nb15IrS32_675380_POSCAR,7.3365453401,12.5842,5.8741,428.8962,125.8109,-7.4061232723238E-01
Nb15IrS32_675380_POSCAR,6.4734223589,15.8445,11.9390,428.8962,125.8109,-1.1460734797528E+00
