source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Y2Ir2O7_1191749,0.0000000000,read,real,scaling,value,N/A
Y2Ir2O7_1191749,0.0000000000,read,real,scaling,value,N/A
Y2Ir2O7_1191749,0.0000000000,read,real,scaling,value,N/A
Y2Ir2O7_1191749,0.0000000000,read,real,scaling,value,N/A
Y2Ir2O7_1191749,0.0000000000,read,real,scaling,value,N/A
Y2Ir2O7_1191749,0.0000000000,read,real,scaling,value,N/A
Y2Ir2O7_1191749,0.0000000000,read,real,scaling,value,N/A
Y2Ir2O7_1191749,0.0000000000,read,real,scaling,value,N/A
Y2Ir2O7_1191749,0.0000000000,read,real,scaling,value,N/A
Y2Ir2O7_1191749,0.0000000000,read,real,scaling,value,N/A
Y2Ir2O7_1191749,0.0000000000,read,real,scaling,value,N/A
Y2Ir2O7_1191749,0.0000000000,read,real,scaling,value,N/A
Y2Ir2O7_1191749,0.0000000000,read,real,scaling,value,N/A
Y2Ir2O7_1191749,0.0000000000,read,real,scaling,value,N/A
Y2Ir2O7_1191749,0.0000000000,read,real,scaling,value,N/A
Y2Ir2O7_1191749,0.0000000000,read,real,scaling,value,N/A
Y2Ir2O7_1191749,0.0000000000,read,real,scaling,value,N/A
Y2Ir2O7_1191749,0.0000000000,read,real,scaling,value,N/A
Y2Ir2O7_1191749,0.0000000000,read,real,scaling,value,N/A
Y2Ir2O7_1191749,0.0000000000,read,real,scaling,value,N/A
Y2Ir2O7_1191749,0.0000000000,read,real,scaling,value,N/A
Y2Ir2O7_1191749,0.0000000000,read,real,scaling,value,N/A
Y2Ir2O7_1191749,0.0000000000,read,real,scaling,value,N/A
Y2Ir2O7_1191749,0.0000000000,read,real,scaling,value,N/A
Y2Ir2O7_1191749,0.0000000000,read,real,scaling,value,N/A
Y2Ir2O7_1191749,0.0000000000,read,real,scaling,value,N/A
Y2Ir2O7_1191749,0.0000000000,read,real,scaling,value,N/A
Y2Ir2O7_1191749,0.0000000000,read,real,scaling,value,N/A
Y2Ir2O7_1191749,0.0000000000,read,real,scaling,value,N/A
Y2Ir2O7_1191749,0.0000000000,read,real,scaling,value,N/A
Y2Ir2O7_1191749,0.0000000000,read,real,scaling,value,N/A
Y2Ir2O7_1191749,0.0000000000,read,real,scaling,value,N/A
Y2Ir2O7_1191749,0.0000000000,read,real,scaling,value,N/A
Y2Ir2O7_1191749,0.0000000000,read,real,scaling,value,N/A
Y2Ir2O7_1191749,0.0000000000,read,real,scaling,value,N/A
Y2Ir2O7_1191749_POSCAR,5.6136692221,18.6706,4.1307,451.0845,10.3708,-2.3194077704163E-01
Y2Ir2O7_1191749_POSCAR,4.6780576851,24.8903,5.4876,451.0845,10.3708,-4.1299625377794E-01
Y2Ir2O7_1191749_POSCAR,5.3017987097,20.3007,4.3223,451.0845,10.3708,-2.8035256885091E-01
Y2Ir2O7_1191749_POSCAR,4.9899281974,22.0081,4.6825,451.0845,10.3708,-3.4047410609525E-01
Y2Ir2O7_1191749_POSCAR,5.9255397344,16.7087,3.9665,451.0845,10.3708,-1.9623849322002E-01
Y2Ir2O7_1191749_POSCAR,6.2374102467,14.4402,3.7267,451.0845,10.3708,-1.7160954447959E-01
Y2Ir2O7_1191749_POSCAR,6.5492807591,11.9318,3.3213,451.0845,10.3708,-1.5433817409438E-01
Y2Ir2O7_1191749_POSCAR,6.8611512714,9.2985,2.7208,451.0845,10.3709,-1.4005936322051E-01
Y2Ir2O7_1191749_POSCAR,7.4848922961,4.7693,1.3690,451.0845,12.1088,-1.2078947027459E-01
Y2Ir2O7_1191749_POSCAR,7.1730217837,6.8228,2.0165,451.0845,10.4045,-1.2590217123862E-01
Y2Ir2O7_1191749_POSCAR,7.7967628084,3.2193,0.8792,451.8671,12.9114,-1.1106928373162E-01
Y2Ir2O7_1191749_POSCAR,8.1086333208,2.1210,0.5522,1044.0165,13.8255,-1.4262327725168E-01
Y2Ir2O7_1191749_POSCAR,8.4205038331,1.3793,0.3472,1133.5262,14.8449,-1.4427075120333E-01
Y2Ir2O7_1191749_POSCAR,8.7323743454,0.8962,0.2215,1969.4566,15.2177,-1.6460258113730E-01
Y2Ir2O7_1191749_POSCAR,9.0442448578,0.5879,0.1442,2360.7767,15.3418,-1.5985832981712E-01
Y2Ir2O7_1191749_POSCAR,9.3561153701,0.3918,0.0962,2365.6379,15.3917,-1.4208784713088E-01
Y2Ir2O7_1191749_POSCAR,9.9798563948,0.1849,0.0458,2365.8818,15.4282,-1.1291703017005E-01
Y2Ir2O7_1191749_POSCAR,9.6679858824,0.2664,0.0656,2365.8552,15.4154,-1.2661078895268E-01
Y2Ir2O7_1191749_POSCAR,10.2917269071,0.1311,0.0327,2365.8878,15.4357,-1.0042835941930E-01
Y2Ir2O7_1191749_POSCAR,10.6035974195,0.0946,0.0238,2365.8898,15.4404,-8.8837030618988E-02
Y2Ir2O7_1191749_POSCAR,10.9154679318,0.0696,0.0176,2365.8907,15.4434,-7.8180292036431E-02
Y2Ir2O7_1191749_POSCAR,11.2273384441,0.0522,0.0133,2365.8911,15.4455,-6.8558851552021E-02
Y2Ir2O7_1191749_POSCAR,11.5392089565,0.0397,0.0102,2365.8913,15.4469,-6.0077008737510E-02
Y2Ir2O7_1191749_POSCAR,11.8510794688,0.0307,0.0080,2365.8915,15.4480,-5.2716024014741E-02
Y2Ir2O7_1191749_POSCAR,12.1629499811,0.0241,0.0063,2365.8916,15.4487,-4.6363415792267E-02
Y2Ir2O7_1191749_POSCAR,12.4748204935,0.0191,0.0050,2365.8917,15.4493,-4.0870898863208E-02
Y2Ir2O7_1191749_POSCAR,12.7866910058,0.0153,0.0041,2365.8917,15.4497,-3.6077020938371E-02
Y2Ir2O7_1191749_POSCAR,13.4104320305,0.0102,0.0027,2365.8918,15.4503,-2.8130566615593E-02
Y2Ir2O7_1191749_POSCAR,13.0985615181,0.0125,0.0033,2365.8917,15.4500,-3.1864533351721E-02
Y2Ir2O7_1191749_POSCAR,13.7223025428,0.0085,0.0023,2365.8918,15.4505,-2.4818498676825E-02
Y2Ir2O7_1191749_POSCAR,14.0341730552,0.0070,0.0019,2365.8918,15.4506,-2.1876481756969E-02
Y2Ir2O7_1191749_POSCAR,14.3460435675,0.0059,0.0016,2365.8918,15.4507,-1.9267319694961E-02
Y2Ir2O7_1191749_POSCAR,14.6579140798,0.0050,0.0014,2365.8918,15.4508,-1.6970081623364E-02
Y2Ir2O7_1191749_POSCAR,14.9697845922,0.0043,0.0012,2365.8918,15.4509,-1.4949942318597E-02
Y2Ir2O7_1191749_POSCAR,15.2816551045,0.0037,0.0010,2365.8918,15.4510,-1.3170973068621E-02
