source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Mn_NbS2_2_1025312,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1025312,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1025312,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1025312,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1025312,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1025312,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1025312,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1025312,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1025312,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1025312,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1025312,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1025312,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1025312,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1025312,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1025312,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1025312,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1025312,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1025312,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1025312,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1025312,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1025312,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1025312,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1025312,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1025312,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1025312,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1025312,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1025312,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1025312,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1025312,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1025312,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1025312,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1025312,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1025312,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1025312,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1025312,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1025312_POSCAR,2.7957585025,10.7143,8.6926,113.8463,125.8109,-1.2314947908876E-01
Mn_NbS2_2_1025312_POSCAR,2.4668457375,16.4201,16.0692,113.8463,125.8109,-1.8255028174100E-01
Mn_NbS2_2_1025312_POSCAR,2.9602148850,8.7458,6.4820,113.8463,125.8109,-1.0371205345634E-01
Mn_NbS2_2_1025312_POSCAR,2.6313021200,13.2687,12.0750,113.8463,125.8109,-1.4852847141643E-01
Mn_NbS2_2_1025312_POSCAR,3.4535840325,5.8492,4.0565,114.1718,125.8109,-6.2647260375913E-02
Mn_NbS2_2_1025312_POSCAR,3.2891276500,6.5664,4.5564,113.8463,125.8109,-7.3948485694129E-02
Mn_NbS2_2_1025312_POSCAR,3.6180404150,5.0310,3.5456,239.5554,125.8109,-6.0228764316631E-02
Mn_NbS2_2_1025312_POSCAR,3.1246712675,7.4283,5.2517,113.8463,125.8109,-8.7673783632609E-02
Mn_NbS2_2_1025312_POSCAR,3.9469531800,2.9573,2.2689,239.5554,125.8215,-4.6267024389714E-02
Mn_NbS2_2_1025312_POSCAR,3.7824967975,4.0285,2.9380,239.5554,125.8110,-5.2466385866348E-02
Mn_NbS2_2_1025312_POSCAR,4.1114095625,2.0145,1.6374,239.5555,127.0448,-4.1326177380562E-02
Mn_NbS2_2_1025312_POSCAR,4.2758659450,1.3104,1.1212,240.1372,130.7592,-4.1848033580920E-02
Mn_NbS2_2_1025312_POSCAR,4.4403223275,0.8373,0.7429,440.0982,131.3556,-4.2240096968543E-02
Mn_NbS2_2_1025312_POSCAR,4.6047787100,0.5363,0.4856,784.8919,132.5661,-5.4363479208809E-02
Mn_NbS2_2_1025312_POSCAR,4.7692350925,0.3483,0.3180,801.1920,133.4213,-5.9716191017340E-02
Mn_NbS2_2_1025312_POSCAR,4.9336914750,0.2306,0.2107,802.4156,133.7261,-5.4342944176397E-02
Mn_NbS2_2_1025312_POSCAR,5.0981478575,0.1561,0.1421,802.6232,133.8375,-4.9617062858287E-02
Mn_NbS2_2_1025312_POSCAR,5.2626042400,0.1080,0.0977,802.6818,133.8858,-4.5294073766449E-02
Mn_NbS2_2_1025312_POSCAR,5.4270606225,0.0763,0.0685,802.7045,133.9100,-4.1105400287025E-02
Mn_NbS2_2_1025312_POSCAR,5.5915170050,0.0550,0.0491,802.7152,133.9235,-3.6968061499009E-02
Mn_NbS2_2_1025312_POSCAR,5.7559733875,0.0404,0.0358,802.7210,133.9316,-3.2950710741330E-02
Mn_NbS2_2_1025312_POSCAR,5.9204297700,0.0303,0.0266,802.7244,133.9368,-2.9179722347655E-02
Mn_NbS2_2_1025312_POSCAR,6.0848861525,0.0230,0.0201,802.7266,133.9402,-2.5750127640026E-02
Mn_NbS2_2_1025312_POSCAR,6.2493425350,0.0177,0.0154,802.7280,133.9426,-2.2706003995520E-02
Mn_NbS2_2_1025312_POSCAR,6.4137989175,0.0139,0.0120,802.7290,133.9443,-2.0039218042097E-02
Mn_NbS2_2_1025312_POSCAR,6.5782553000,0.0110,0.0095,802.7298,133.9455,-1.7712451353698E-02
Mn_NbS2_2_1025312_POSCAR,6.7427116825,0.0088,0.0076,802.7303,133.9464,-1.5673175641958E-02
Mn_NbS2_2_1025312_POSCAR,6.9071680650,0.0072,0.0061,802.7307,133.9471,-1.3873798296043E-02
Mn_NbS2_2_1025312_POSCAR,7.0716244475,0.0059,0.0050,802.7310,133.9476,-1.2277169104728E-02
Mn_NbS2_2_1025312_POSCAR,7.2360808300,0.0049,0.0042,802.7312,133.9480,-1.0857005527785E-02
Mn_NbS2_2_1025312_POSCAR,7.4005372125,0.0041,0.0035,802.7314,133.9483,-9.5912608612935E-03
Mn_NbS2_2_1025312_POSCAR,7.5649935950,0.0034,0.0029,802.7315,133.9486,-8.4674209089879E-03
Mn_NbS2_2_1025312_POSCAR,7.7294499775,0.0029,0.0025,802.7316,133.9488,-7.4719519154328E-03
Mn_NbS2_2_1025312_POSCAR,8.0583627425,0.0021,0.0018,802.7318,133.9491,-5.8184980204689E-03
Mn_NbS2_2_1025312_POSCAR,7.8939063600,0.0025,0.0021,802.7317,133.9489,-6.5928291527565E-03
Mn_NbS2_2_1193946,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1193946,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1193946,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1193946,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1193946,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1193946,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1193946,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1193946,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1193946,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1193946,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1193946,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1193946,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1193946,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1193946,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1193946,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1193946,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1193946,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1193946,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1193946,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1193946,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1193946,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1193946,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1193946,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1193946,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1193946,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1193946,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1193946,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1193946,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1193946,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1193946,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1193946,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1193946,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1193946,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1193946,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1193946,0.0000000000,read,real,scaling,value,N/A
Mn_NbS2_2_1193946_POSCAR,2.8567208000,11.2165,9.3717,113.8463,125.8109,-5.3540344550532E-01
Mn_NbS2_2_1193946_POSCAR,2.5206360000,16.9478,14.5315,113.8463,125.8109,-7.8014456023823E-01
Mn_NbS2_2_1193946_POSCAR,3.0247632000,8.9495,7.7087,113.8463,125.8109,-4.5480134228365E-01
Mn_NbS2_2_1193946_POSCAR,2.6886784000,13.9366,11.6431,113.8463,125.8109,-6.4054626020024E-01
Mn_NbS2_2_1193946_POSCAR,3.1928056000,7.0182,6.4968,113.8463,125.8109,-3.8731480742082E-01
Mn_NbS2_2_1193946_POSCAR,3.6969328000,2.4603,3.9157,239.5554,125.8109,-2.7293515042643E-01
Mn_NbS2_2_1193946_POSCAR,3.3608480000,5.2667,5.5320,239.5554,125.8109,-3.7568387769839E-01
Mn_NbS2_2_1193946_POSCAR,3.5288904000,3.7147,4.6949,239.5554,125.8109,-3.1962131943100E-01
