source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Mn3ReO6_1105243,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1105243,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1105243,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1105243,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1105243,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1105243,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1105243,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1105243,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1105243,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1105243,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1105243,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1105243,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1105243,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1105243,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1105243,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1105243,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1105243,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1105243,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1105243,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1105243,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1105243,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1105243,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1105243,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1105243,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1105243,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1105243,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1105243,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1105243,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1105243,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1105243,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1105243,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1105243,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1105243,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1105243,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1105243,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1105243_POSCAR,4.8229319150,8.9364,3.4601,113.8463,10.3708,-1.2791851996227E-01
Mn3ReO6_1105243_POSCAR,4.0191099291,17.5825,5.2847,113.8463,10.3708,-2.2997209213200E-01
Mn3ReO6_1105243_POSCAR,4.2870505911,14.4556,4.5800,113.8463,10.3708,-1.8644268239841E-01
Mn3ReO6_1105243_POSCAR,4.5549912530,11.4512,3.9831,113.8463,10.3708,-1.5294849773024E-01
Mn3ReO6_1105243_POSCAR,5.0908725769,6.8376,2.9785,113.8463,10.3708,-1.0922796161086E-01
Mn3ReO6_1105243_POSCAR,5.3588132388,4.9859,2.4906,239.5554,10.3716,-1.3177358865638E-01
Mn3ReO6_1105243_POSCAR,5.8946945627,2.1500,1.5680,239.5554,11.1860,-1.1121686217161E-01
Mn3ReO6_1105243_POSCAR,5.6267539008,3.3856,2.0037,239.5554,10.4081,-1.1759384872381E-01
Mn3ReO6_1105243_POSCAR,6.1626352247,1.3112,1.2034,240.1310,12.5845,-1.1275642427543E-01
Mn3ReO6_1105243_POSCAR,6.4305758866,0.7913,0.8958,525.4594,12.8949,-1.7944160558509E-01
Mn3ReO6_1105243_POSCAR,6.6985165485,0.4830,0.6369,793.7486,13.4454,-1.8517642887243E-01
Mn3ReO6_1105243_POSCAR,7.2343978724,0.1937,0.2851,802.5434,15.0595,-1.4831513501803E-01
Mn3ReO6_1105243_POSCAR,6.9664572105,0.3016,0.4325,801.9042,14.4541,-1.6733113938673E-01
Mn3ReO6_1105243_POSCAR,7.5023385344,0.1280,0.1861,802.6619,15.2825,-1.3694202035003E-01
Mn3ReO6_1105243_POSCAR,7.7702791963,0.0869,0.1220,802.6979,15.3670,-1.2264784615668E-01
Mn3ReO6_1105243_POSCAR,8.0382198583,0.0607,0.0812,802.7126,15.4040,-1.0774624092447E-01
Mn3ReO6_1105243_POSCAR,8.5741011821,0.0317,0.0381,802.7239,15.4327,-8.4292322466369E-02
Mn3ReO6_1105243_POSCAR,8.3061605202,0.0434,0.0551,802.7199,15.4225,-9.5123222790017E-02
Mn3ReO6_1105243_POSCAR,8.8420418441,0.0236,0.0270,802.7264,15.4387,-7.4771905884916E-02
Mn3ReO6_1105243_POSCAR,9.1099825060,0.0180,0.0195,802.7280,15.4425,-6.6283934398921E-02
Mn3ReO6_1105243_POSCAR,9.6458638299,0.0109,0.0108,802.7298,15.4467,-5.1944010875153E-02
Mn3ReO6_1105243_POSCAR,9.3779231680,0.0139,0.0143,802.7290,15.4450,-5.8700092420168E-02
Mn3ReO6_1105243_POSCAR,9.9138044918,0.0087,0.0082,802.7303,15.4478,-4.5947413832775E-02
Mn3ReO6_1105243_POSCAR,10.4496858157,0.0057,0.0050,802.7310,15.4493,-3.5935822964429E-02
Mn3ReO6_1105243_POSCAR,10.1817451538,0.0070,0.0064,802.7307,15.4487,-4.0636231468673E-02
Mn3ReO6_1105243_POSCAR,10.7176264777,0.0047,0.0040,802.7312,15.4497,-3.1784956611567E-02
Mn3ReO6_1105243_POSCAR,10.9855671396,0.0039,0.0032,802.7314,15.4500,-2.8125579413870E-02
Mn3ReO6_1105243_POSCAR,11.2535078016,0.0033,0.0026,802.7316,15.4503,-2.4905620518730E-02
Mn3ReO6_1105243_POSCAR,11.5214484635,0.0028,0.0022,802.7317,15.4505,-2.2069505273033E-02
Mn3ReO6_1105243_POSCAR,11.7893891254,0.0024,0.0018,802.7318,15.4507,-1.9570328068949E-02
Mn3ReO6_1105243_POSCAR,12.0573297874,0.0021,0.0015,802.7318,15.4508,-1.7366845736904E-02
Mn3ReO6_1105243_POSCAR,12.3252704493,0.0018,0.0013,802.7319,15.4509,-1.5417058638678E-02
Mn3ReO6_1105243_POSCAR,12.5932111113,0.0016,0.0011,802.7319,15.4510,-1.3690695569356E-02
Mn3ReO6_1105243_POSCAR,12.8611517732,0.0013,0.0010,802.7320,15.4510,-1.2159807857634E-02
Mn3ReO6_1105243_POSCAR,13.1290924351,0.0012,0.0008,802.7320,15.4511,-1.0802266894901E-02
Mn3ReO6_1278885,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1278885,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1278885,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1278885,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1278885,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1278885,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1278885,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1278885,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1278885,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1278885,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1278885,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1278885,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1278885,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1278885,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1278885,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1278885,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1278885,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1278885,0.0000000000,read,real,scaling,value,N/A
Mn3ReO6_1278885,0.0000000000,read,real,scaling,value,N/A
