source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Ta2MoS6_1218002,0.0000000000,read,real,scaling,value,N/A
Ta2MoS6_1218002,0.0000000000,read,real,scaling,value,N/A
Ta2MoS6_1218002,0.0000000000,read,real,scaling,value,N/A
Ta2MoS6_1218002,0.0000000000,read,real,scaling,value,N/A
Ta2MoS6_1218002,0.0000000000,read,real,scaling,value,N/A
Ta2MoS6_1218002,0.0000000000,read,real,scaling,value,N/A
Ta2MoS6_1218002,0.0000000000,read,real,scaling,value,N/A
Ta2MoS6_1218002,0.0000000000,read,real,scaling,value,N/A
Ta2MoS6_1218002,0.0000000000,read,real,scaling,value,N/A
Ta2MoS6_1218002,0.0000000000,read,real,scaling,value,N/A
Ta2MoS6_1218002,0.0000000000,read,real,scaling,value,N/A
Ta2MoS6_1218002,0.0000000000,read,real,scaling,value,N/A
Ta2MoS6_1218002,0.0000000000,read,real,scaling,value,N/A
Ta2MoS6_1218002,0.0000000000,read,real,scaling,value,N/A
Ta2MoS6_1218002,0.0000000000,read,real,scaling,value,N/A
Ta2MoS6_1218002,0.0000000000,read,real,scaling,value,N/A
Ta2MoS6_1218002,0.0000000000,read,real,scaling,value,N/A
Ta2MoS6_1218002,0.0000000000,read,real,scaling,value,N/A
Ta2MoS6_1218002,0.0000000000,read,real,scaling,value,N/A
Ta2MoS6_1218002,0.0000000000,read,real,scaling,value,N/A
Ta2MoS6_1218002,0.0000000000,read,real,scaling,value,N/A
Ta2MoS6_1218002,0.0000000000,read,real,scaling,value,N/A
Ta2MoS6_1218002,0.0000000000,read,real,scaling,value,N/A
Ta2MoS6_1218002,0.0000000000,read,real,scaling,value,N/A
Ta2MoS6_1218002,0.0000000000,read,real,scaling,value,N/A
Ta2MoS6_1218002,0.0000000000,read,real,scaling,value,N/A
Ta2MoS6_1218002,0.0000000000,read,real,scaling,value,N/A
Ta2MoS6_1218002,0.0000000000,read,real,scaling,value,N/A
Ta2MoS6_1218002,0.0000000000,read,real,scaling,value,N/A
Ta2MoS6_1218002,0.0000000000,read,real,scaling,value,N/A
Ta2MoS6_1218002,0.0000000000,read,real,scaling,value,N/A
Ta2MoS6_1218002,0.0000000000,read,real,scaling,value,N/A
Ta2MoS6_1218002,0.0000000000,read,real,scaling,value,N/A
Ta2MoS6_1218002,0.0000000000,read,real,scaling,value,N/A
Ta2MoS6_1218002,0.0000000000,read,real,scaling,value,N/A
Ta2MoS6_1218002_POSCAR,4.8076719018,13.0112,6.6718,458.7677,125.8109,-1.3369855325603E-01
Ta2MoS6_1218002_POSCAR,4.5248676723,14.2784,9.1006,458.7677,125.8109,-1.6460352966049E-01
Ta2MoS6_1218002_POSCAR,4.2420634428,16.3509,12.0122,458.7677,125.8109,-2.0205916563369E-01
Ta2MoS6_1218002_POSCAR,5.0904761313,12.1481,5.0124,458.7677,125.8109,-1.0956621598330E-01
Ta2MoS6_1218002_POSCAR,5.9388888199,8.7389,3.1835,458.7677,125.8109,-6.8622548547029E-02
Ta2MoS6_1218002_POSCAR,5.3732803608,11.2553,4.0529,458.7677,125.8109,-9.1860100896421E-02
Ta2MoS6_1218002_POSCAR,5.6560845903,10.0990,3.5221,458.7677,125.8109,-7.8762333909979E-02
Ta2MoS6_1218002_POSCAR,6.2216930494,7.3720,2.8784,458.7677,125.8110,-6.0580229598648E-02
Ta2MoS6_1218002_POSCAR,6.5044972789,6.0686,2.5090,458.7677,125.8125,-5.7595542149166E-02
Ta2MoS6_1218002_POSCAR,6.7873015084,4.7875,2.0463,458.7677,125.8725,-5.2330390430278E-02
Ta2MoS6_1218002_POSCAR,7.3529099674,2.4808,1.0808,530.9995,130.8356,-4.6603853965767E-02
Ta2MoS6_1218002_POSCAR,7.0701057379,3.5533,1.5410,458.7992,127.8975,-4.8197799131779E-02
Ta2MoS6_1218002_POSCAR,7.6357141970,1.6581,0.7230,659.0919,131.4123,-4.5924927761372E-02
Ta2MoS6_1218002_POSCAR,7.9185184265,1.0855,0.4733,724.0332,132.6401,-4.7855765564981E-02
Ta2MoS6_1218002_POSCAR,8.4841268855,0.4677,0.2040,1163.5996,133.7395,-4.9950669851170E-02
