source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
V2MoO8_1216790,0.0000000000,read,real,scaling,value,N/A
V2MoO8_1216790,0.0000000000,read,real,scaling,value,N/A
V2MoO8_1216790,0.0000000000,read,real,scaling,value,N/A
V2MoO8_1216790,0.0000000000,read,real,scaling,value,N/A
V2MoO8_1216790,0.0000000000,read,real,scaling,value,N/A
V2MoO8_1216790,0.0000000000,read,real,scaling,value,N/A
V2MoO8_1216790,0.0000000000,read,real,scaling,value,N/A
V2MoO8_1216790,0.0000000000,read,real,scaling,value,N/A
V2MoO8_1216790,0.0000000000,read,real,scaling,value,N/A
V2MoO8_1216790,0.0000000000,read,real,scaling,value,N/A
V2MoO8_1216790,0.0000000000,read,real,scaling,value,N/A
V2MoO8_1216790,0.0000000000,read,real,scaling,value,N/A
V2MoO8_1216790,0.0000000000,read,real,scaling,value,N/A
V2MoO8_1216790,0.0000000000,read,real,scaling,value,N/A
V2MoO8_1216790,0.0000000000,read,real,scaling,value,N/A
V2MoO8_1216790,0.0000000000,read,real,scaling,value,N/A
V2MoO8_1216790,0.0000000000,read,real,scaling,value,N/A
V2MoO8_1216790,0.0000000000,read,real,scaling,value,N/A
V2MoO8_1216790,0.0000000000,read,real,scaling,value,N/A
V2MoO8_1216790,0.0000000000,read,real,scaling,value,N/A
V2MoO8_1216790,0.0000000000,read,real,scaling,value,N/A
V2MoO8_1216790,0.0000000000,read,real,scaling,value,N/A
V2MoO8_1216790,0.0000000000,read,real,scaling,value,N/A
V2MoO8_1216790,0.0000000000,read,real,scaling,value,N/A
V2MoO8_1216790,0.0000000000,read,real,scaling,value,N/A
V2MoO8_1216790,0.0000000000,read,real,scaling,value,N/A
V2MoO8_1216790,0.0000000000,read,real,scaling,value,N/A
V2MoO8_1216790,0.0000000000,read,real,scaling,value,N/A
V2MoO8_1216790,0.0000000000,read,real,scaling,value,N/A
V2MoO8_1216790,0.0000000000,read,real,scaling,value,N/A
V2MoO8_1216790,0.0000000000,read,real,scaling,value,N/A
V2MoO8_1216790,0.0000000000,read,real,scaling,value,N/A
V2MoO8_1216790,0.0000000000,read,real,scaling,value,N/A
V2MoO8_1216790,0.0000000000,read,real,scaling,value,N/A
V2MoO8_1216790,0.0000000000,read,real,scaling,value,N/A
V2MoO8_1216790_POSCAR,8.2058697613,10.9697,3.2442,269.3349,10.3708,-8.3059717137560E-02
V2MoO8_1216790_POSCAR,7.7231715401,12.6530,3.4959,269.3349,10.3708,-1.0084673042096E-01
V2MoO8_1216790_POSCAR,7.2404733188,14.9169,4.0577,269.3349,10.3708,-1.2284293992642E-01
V2MoO8_1216790_POSCAR,8.6885679826,9.5538,3.1255,269.3349,10.3708,-6.9591718505536E-02
V2MoO8_1216790_POSCAR,9.1712662038,8.3378,3.0589,269.3349,10.3708,-5.9822930172639E-02
V2MoO8_1216790_POSCAR,10.1366626464,6.4449,2.9202,269.3349,10.3708,-5.0041109052509E-02
