source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Mo2WS6_1025911,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025911,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025911,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025911,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025911,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025911,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025911,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025911,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025911,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025911,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025911,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025911,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025911,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025911,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025911,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025911,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025911,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025911,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025911,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025911,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025911,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025911,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025911,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025911,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025911,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025911,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025911,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025911,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025911,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025911,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025911,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025911,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025911,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025911,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025911,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025911_POSCAR,2.7065069810,12.8921,7.4537,337.1075,125.8109,-1.1687881703530E-01
Mo2WS6_1025911_POSCAR,2.5473006880,14.0736,9.7804,337.1075,125.8109,-1.4191825068924E-01
Mo2WS6_1025911_POSCAR,2.8657132740,12.0548,5.5877,337.1075,125.8109,-9.7193206088686E-02
Mo2WS6_1025911_POSCAR,2.3880943950,15.9622,12.2814,337.1075,125.8109,-1.7173929312567E-01
Mo2WS6_1025911_POSCAR,3.0249195670,11.1452,4.3890,337.1075,125.8109,-8.2213441834759E-02
Mo2WS6_1025911_POSCAR,3.3433321530,8.5708,3.2731,337.1075,125.8109,-6.0955075551261E-02
Mo2WS6_1025911_POSCAR,3.5025384460,7.2126,2.9148,337.1075,125.8110,-5.3674683696075E-02
Mo2WS6_1025911_POSCAR,3.1841258600,9.9518,3.7010,337.1075,125.8109,-7.0394774865792E-02
Mo2WS6_1025911_POSCAR,3.9801573250,3.4456,1.5044,502.0073,128.2685,-4.7796577343426E-02
Mo2WS6_1025911_POSCAR,3.8209510320,4.6629,2.0216,502.0073,125.8857,-5.1045911828456E-02
Mo2WS6_1025911_POSCAR,3.6617447390,5.9281,2.5092,502.0073,125.8125,-5.5720937335858E-02
Mo2WS6_1025911_POSCAR,4.1393636180,2.3949,1.0449,502.0073,130.8909,-4.5380183379065E-02
Mo2WS6_1025911_POSCAR,4.2985699110,1.5953,0.6944,502.0247,131.5049,-4.2921708580262E-02
Mo2WS6_1025911_POSCAR,4.4577762040,1.0422,0.4530,576.1124,132.7595,-4.4424647469573E-02
Mo2WS6_1025911_POSCAR,4.6169824970,0.6801,0.2956,841.5434,133.5007,-5.0408523864492E-02
Mo2WS6_1025911_POSCAR,4.7761887900,0.4484,0.1952,845.7767,133.7560,-4.7971149382092E-02
Mo2WS6_1025911_POSCAR,4.9353950830,0.3005,0.1311,845.8851,133.8510,-4.5363286696658E-02
Mo2WS6_1025911_POSCAR,5.0946013760,0.2053,0.0898,845.8944,133.8929,-4.2520774867082E-02
Mo2WS6_1025911_POSCAR,5.2538076690,0.1430,0.0628,845.8962,133.9142,-3.9345616669332E-02
Mo2WS6_1025911_POSCAR,5.4130139620,0.1016,0.0448,845.8966,133.9262,-3.5907515328176E-02
Mo2WS6_1025911_POSCAR,5.5722202550,0.0736,0.0326,845.8968,133.9335,-3.2382733266773E-02
Mo2WS6_1025911_POSCAR,5.7314265480,0.0542,0.0242,845.8969,133.9381,-2.8958487869995E-02
Mo2WS6_1025911_POSCAR,5.8906328410,0.0406,0.0182,845.8970,133.9412,-2.5771656998283E-02
Mo2WS6_1025911_POSCAR,6.0498391340,0.0309,0.0139,845.8970,133.9433,-2.2893130942250E-02
Mo2WS6_1025911_POSCAR,6.2090454270,0.0238,0.0108,845.8970,133.9449,-2.0329341867674E-02
Mo2WS6_1025911_POSCAR,6.3682517200,0.0186,0.0085,845.8970,133.9460,-1.8053827501307E-02
Mo2WS6_1025911_POSCAR,6.6866643060,0.0118,0.0055,845.8971,133.9474,-1.4217856394933E-02
Mo2WS6_1025911_POSCAR,6.5274580130,0.0148,0.0068,845.8971,133.9468,-1.6028607606775E-02
Mo2WS6_1025911_POSCAR,6.8458705990,0.0096,0.0045,845.8971,133.9479,-1.2594637524253E-02
Mo2WS6_1025911_POSCAR,7.0050768920,0.0078,0.0037,845.8971,133.9482,-1.1138831676523E-02
Mo2WS6_1025911_POSCAR,7.1642831850,0.0065,0.0031,845.8971,133.9485,-9.8386027950159E-03
Mo2WS6_1025911_POSCAR,7.3234894780,0.0054,0.0026,845.8971,133.9487,-8.6800865747602E-03
Mo2WS6_1025911_POSCAR,7.4826957710,0.0045,0.0022,845.8971,133.9489,-7.6532959759526E-03
Mo2WS6_1025911_POSCAR,7.6419020640,0.0038,0.0018,845.8971,133.9490,-6.7472472477924E-03
Mo2WS6_1025911_POSCAR,7.8011083570,0.0032,0.0016,845.8971,133.9492,-5.9506132761784E-03
Mo2WS6_1025922,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025922,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025922,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025922,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025922,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025922,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025922,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025922,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025922,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025922,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025922,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025922,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025922,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025922,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025922,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025922,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025922,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025922,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025922,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025922,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025922,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025922,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025922,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025922,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025922,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025922,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025922,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025922,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025922,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025922,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025922,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025922,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025922,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025922,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025922,0.0000000000,read,real,scaling,value,N/A
Mo2WS6_1025922_POSCAR,2.5474014160,14.0806,9.9895,337.1075,125.8109,-1.4382794603253E-01
Mo2WS6_1025922_POSCAR,2.3881888275,15.9783,12.6321,337.1075,125.8109,-1.7406533047227E-01
Mo2WS6_1025922_POSCAR,2.8658265930,12.0564,5.6559,337.1075,125.8109,-9.8272450391713E-02
Mo2WS6_1025922_POSCAR,2.7066140045,12.8955,7.5720,337.1075,125.8109,-1.1833669883137E-01
Mo2WS6_1025922_POSCAR,3.0250391815,11.1456,4.4294,337.1075,125.8109,-8.3107764547680E-02
Mo2WS6_1025922_POSCAR,3.1842517700,9.9514,3.7291,337.1075,125.8109,-7.1202935187875E-02
Mo2WS6_1025922_POSCAR,3.5026769470,7.2112,2.9554,337.1075,125.8109,-5.4242529526536E-02
Mo2WS6_1025922_POSCAR,3.3434643585,8.5698,3.3016,337.1075,125.8109,-6.1655662428764E-02
Mo2WS6_1025922_POSCAR,3.6618895355,5.9262,2.5695,502.0073,125.8119,-5.6282397609997E-02
Mo2WS6_1025922_POSCAR,3.9803147125,3.4430,1.5861,502.0073,127.4687,-4.8184485611441E-02
Mo2WS6_1025922_POSCAR,3.8211021240,4.6605,2.0994,502.0073,125.8514,-5.1505340917055E-02
Mo2WS6_1025922_POSCAR,4.2987398895,1.5936,0.7478,502.0251,131.3426,-4.3211940608265E-02
Mo2WS6_1025922_POSCAR,4.1395273010,2.3927,1.1157,502.0073,130.7708,-4.5721480416927E-02
Mo2WS6_1025922_POSCAR,4.6171650665,0.6793,0.3203,841.5945,133.4125,-5.0658829373948E-02
Mo2WS6_1025922_POSCAR,4.7763776550,0.4479,0.2114,845.7776,133.7246,-4.8175937619953E-02
Mo2WS6_1025922_POSCAR,4.9355902435,0.3002,0.1418,845.8851,133.8378,-4.5530211161046E-02
Mo2WS6_1025922_POSCAR,4.4579524780,1.0410,0.4900,577.1756,132.5399,-4.4688599805090E-02
Mo2WS6_1025922_POSCAR,5.0948028320,0.2051,0.0970,845.8944,133.8864,-4.2654871405603E-02
Mo2WS6_1025922_POSCAR,5.2540154205,0.1429,0.0677,845.8962,133.9107,-3.9453677340674E-02
Mo2WS6_1025922_POSCAR,5.5724405975,0.0735,0.0350,845.8968,133.9321,-3.2454047700915E-02
Mo2WS6_1025922_POSCAR,5.4132280090,0.1015,0.0482,845.8966,133.9241,-3.5995274883673E-02
Mo2WS6_1025922_POSCAR,5.7316531860,0.0542,0.0259,845.8969,133.9372,-2.9017281964758E-02
Mo2WS6_1025922_POSCAR,5.8908657745,0.0406,0.0194,845.8970,133.9406,-2.5820730899592E-02
Mo2WS6_1025922_POSCAR,6.0500783630,0.0309,0.0149,845.8970,133.9429,-2.2934276917279E-02
Mo2WS6_1025922_POSCAR,6.2092909515,0.0238,0.0115,845.8970,133.9445,-2.0363818660696E-02
Mo2WS6_1025922_POSCAR,6.3685035400,0.0186,0.0090,845.8970,133.9457,-1.8082827384622E-02
Mo2WS6_1025922_POSCAR,6.5277161285,0.0147,0.0072,845.8971,133.9466,-1.6053409408959E-02
Mo2WS6_1025922_POSCAR,6.6869287170,0.0118,0.0058,845.8971,133.9472,-1.4238494327895E-02
Mo2WS6_1025922_POSCAR,6.8461413055,0.0096,0.0047,845.8971,133.9477,-1.2612370492489E-02
Mo2WS6_1025922_POSCAR,7.0053538940,0.0078,0.0039,845.8971,133.9481,-1.1154262884693E-02
Mo2WS6_1025922_POSCAR,7.1645664825,0.0065,0.0032,845.8971,133.9484,-9.8514441940488E-03
Mo2WS6_1025922_POSCAR,7.3237790710,0.0054,0.0027,845.8971,133.9487,-8.6910546516025E-03
Mo2WS6_1025922_POSCAR,7.4829916595,0.0045,0.0023,845.8971,133.9488,-7.6627762180567E-03
Mo2WS6_1025922_POSCAR,7.8014168365,0.0032,0.0017,845.8971,133.9491,-5.9579389078185E-03
Mo2WS6_1025922_POSCAR,7.6422042480,0.0038,0.0019,845.8971,133.9490,-6.7555928683055E-03
Mo3WS8_1027569,0.0000000000,read,real,scaling,value,N/A
Mo3WS8_1027569,0.0000000000,read,real,scaling,value,N/A
Mo3WS8_1027569,0.0000000000,read,real,scaling,value,N/A
Mo3WS8_1027569,0.0000000000,read,real,scaling,value,N/A
Mo3WS8_1027569,0.0000000000,read,real,scaling,value,N/A
Mo3WS8_1027569,0.0000000000,read,real,scaling,value,N/A
Mo3WS8_1027569,0.0000000000,read,real,scaling,value,N/A
Mo3WS8_1027569,0.0000000000,read,real,scaling,value,N/A
Mo3WS8_1027569,0.0000000000,read,real,scaling,value,N/A
Mo3WS8_1027569,0.0000000000,read,real,scaling,value,N/A
Mo3WS8_1027569,0.0000000000,read,real,scaling,value,N/A
Mo3WS8_1027569,0.0000000000,read,real,scaling,value,N/A
Mo3WS8_1027569,0.0000000000,read,real,scaling,value,N/A
Mo3WS8_1027569,0.0000000000,read,real,scaling,value,N/A
Mo3WS8_1027569,0.0000000000,read,real,scaling,value,N/A
Mo3WS8_1027569,0.0000000000,read,real,scaling,value,N/A
Mo3WS8_1027569,0.0000000000,read,real,scaling,value,N/A
Mo3WS8_1027569,0.0000000000,read,real,scaling,value,N/A
Mo3WS8_1027569,0.0000000000,read,real,scaling,value,N/A
Mo3WS8_1027569,0.0000000000,read,real,scaling,value,N/A
Mo3WS8_1027569,0.0000000000,read,real,scaling,value,N/A
Mo3WS8_1027569,0.0000000000,read,real,scaling,value,N/A
Mo3WS8_1027569,0.0000000000,read,real,scaling,value,N/A
Mo3WS8_1027569,0.0000000000,read,real,scaling,value,N/A
Mo3WS8_1027569,0.0000000000,read,real,scaling,value,N/A
Mo3WS8_1027569,0.0000000000,read,real,scaling,value,N/A
Mo3WS8_1027569,0.0000000000,read,real,scaling,value,N/A
Mo3WS8_1027569,0.0000000000,read,real,scaling,value,N/A
Mo3WS8_1027569,0.0000000000,read,real,scaling,value,N/A
Mo3WS8_1027569,0.0000000000,read,real,scaling,value,N/A
Mo3WS8_1027569,0.0000000000,read,real,scaling,value,N/A
Mo3WS8_1027569,0.0000000000,read,real,scaling,value,N/A
Mo3WS8_1027569,0.0000000000,read,real,scaling,value,N/A
Mo3WS8_1027569,0.0000000000,read,real,scaling,value,N/A
Mo3WS8_1027569,0.0000000000,read,real,scaling,value,N/A
Mo3WS8_1027569_POSCAR,2.5461905120,14.0840,9.8940,337.1075,125.8109,-1.9957186824175E-01
Mo3WS8_1027569_POSCAR,2.8644643260,12.0611,5.6401,337.1075,125.8109,-1.3560161275973E-01
Mo3WS8_1027569_POSCAR,2.7053274190,12.8988,7.5325,337.1075,125.8109,-1.6350942785856E-01
Mo3WS8_1027569_POSCAR,2.3870536050,15.9793,12.4396,337.1075,125.8109,-2.4305772896279E-01
Mo3WS8_1027569_POSCAR,3.0236012330,11.1535,4.4223,337.1075,125.8109,-1.1444539466901E-01
Mo3WS8_1027569_POSCAR,3.3418750470,8.5817,3.3000,337.1075,125.8109,-8.4089473279011E-02
Mo3WS8_1027569_POSCAR,3.1827381400,9.9626,3.7255,337.1075,125.8109,-9.7604765722563E-02
Mo3WS8_1027569_POSCAR,3.5010119540,7.2213,2.9550,337.1075,125.8109,-7.3745493837212E-02
Mo3WS8_1027569_POSCAR,3.6601488610,5.9342,2.5704,502.0073,125.8119,-7.6602759438191E-02
Mo3WS8_1027569_POSCAR,3.9784226750,3.4483,1.5882,502.0073,127.4500,-6.5578828437019E-02
Mo3WS8_1027569_POSCAR,3.8192857680,4.6670,2.1011,502.0073,125.8509,-7.0113518401529E-02
Mo3WS8_1027569_POSCAR,4.1375595820,2.3967,1.1176,502.0073,130.7668,-6.2210591158396E-02
Mo3WS8_1027569_POSCAR,4.2966964890,1.5965,0.7492,502.0243,131.3388,-5.8748943656508E-02
Mo3WS8_1027569_POSCAR,4.4558333960,1.0430,0.4910,575.4015,132.5339,-6.0391298385795E-02
Mo3WS8_1027569_POSCAR,4.6149703030,0.6806,0.3210,841.5086,133.4100,-6.9088881562245E-02
Mo3WS8_1027569_POSCAR,4.7741072100,0.4487,0.2118,845.7761,133.7238,-6.5774538108592E-02
Mo3WS8_1027569_POSCAR,5.2515179310,0.1431,0.0678,845.8961,133.9106,-5.3777311735142E-02
Mo3WS8_1027569_POSCAR,4.9332441170,0.3007,0.1421,845.8850,133.8375,-6.2205943629866E-02
Mo3WS8_1027569_POSCAR,5.4106548380,0.1017,0.0483,845.8966,133.9240,-4.8923766604429E-02
Mo3WS8_1027569_POSCAR,5.0923810240,0.2055,0.0972,845.8944,133.8863,-5.8250883735691E-02
Mo3WS8_1027569_POSCAR,5.5697917450,0.0736,0.0350,845.8968,133.9321,-4.3979906512503E-02
Mo3WS8_1027569_POSCAR,5.7289286520,0.0543,0.0259,845.8969,133.9372,-3.9228509979179E-02
Mo3WS8_1027569_POSCAR,5.8880655590,0.0407,0.0195,845.8970,133.9406,-3.4853626320547E-02
Mo3WS8_1027569_POSCAR,6.0472024660,0.0309,0.0149,845.8970,133.9429,-3.0933975915492E-02
