source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Zr9Mo4O3_1207427,0.0000000000,read,real,scaling,value,N/A
Zr9Mo4O3_1207427,0.0000000000,read,real,scaling,value,N/A
Zr9Mo4O3_1207427,0.0000000000,read,real,scaling,value,N/A
Zr9Mo4O3_1207427,0.0000000000,read,real,scaling,value,N/A
Zr9Mo4O3_1207427,0.0000000000,read,real,scaling,value,N/A
Zr9Mo4O3_1207427,0.0000000000,read,real,scaling,value,N/A
Zr9Mo4O3_1207427,0.0000000000,read,real,scaling,value,N/A
Zr9Mo4O3_1207427,0.0000000000,read,real,scaling,value,N/A
Zr9Mo4O3_1207427,0.0000000000,read,real,scaling,value,N/A
Zr9Mo4O3_1207427,0.0000000000,read,real,scaling,value,N/A
Zr9Mo4O3_1207427,0.0000000000,read,real,scaling,value,N/A
Zr9Mo4O3_1207427,0.0000000000,read,real,scaling,value,N/A
Zr9Mo4O3_1207427,0.0000000000,read,real,scaling,value,N/A
Zr9Mo4O3_1207427,0.0000000000,read,real,scaling,value,N/A
Zr9Mo4O3_1207427,0.0000000000,read,real,scaling,value,N/A
Zr9Mo4O3_1207427,0.0000000000,read,real,scaling,value,N/A
Zr9Mo4O3_1207427,0.0000000000,read,real,scaling,value,N/A
Zr9Mo4O3_1207427,0.0000000000,read,real,scaling,value,N/A
Zr9Mo4O3_1207427,0.0000000000,read,real,scaling,value,N/A
Zr9Mo4O3_1207427,0.0000000000,read,real,scaling,value,N/A
Zr9Mo4O3_1207427,0.0000000000,read,real,scaling,value,N/A
Zr9Mo4O3_1207427,0.0000000000,read,real,scaling,value,N/A
Zr9Mo4O3_1207427,0.0000000000,read,real,scaling,value,N/A
Zr9Mo4O3_1207427,0.0000000000,read,real,scaling,value,N/A
Zr9Mo4O3_1207427,0.0000000000,read,real,scaling,value,N/A
Zr9Mo4O3_1207427,0.0000000000,read,real,scaling,value,N/A
Zr9Mo4O3_1207427,0.0000000000,read,real,scaling,value,N/A
Zr9Mo4O3_1207427,0.0000000000,read,real,scaling,value,N/A
Zr9Mo4O3_1207427,0.0000000000,read,real,scaling,value,N/A
Zr9Mo4O3_1207427,0.0000000000,read,real,scaling,value,N/A
Zr9Mo4O3_1207427,0.0000000000,read,real,scaling,value,N/A
Zr9Mo4O3_1207427,0.0000000000,read,real,scaling,value,N/A
Zr9Mo4O3_1207427,0.0000000000,read,real,scaling,value,N/A
Zr9Mo4O3_1207427,0.0000000000,read,real,scaling,value,N/A
Zr9Mo4O3_1207427,0.0000000000,read,real,scaling,value,N/A
Zr9Mo4O3_1207427_POSCAR,6.9825571680,18.9660,6.5942,458.6896,10.3708,-1.1677453897589E+00
Zr9Mo4O3_1207427_POSCAR,7.8553768140,15.2468,6.1007,458.6896,10.3708,-7.6189116326790E-01
Zr9Mo4O3_1207427_POSCAR,6.5461473450,22.9035,7.2951,458.6896,10.3708,-1.4116922258329E+00
Zr9Mo4O3_1207427_POSCAR,7.4189669910,16.6192,6.2794,458.6896,10.3708,-9.4877448879337E-01
Zr9Mo4O3_1207427_POSCAR,8.2917866370,14.3211,5.9237,458.6896,10.3708,-6.1282468749192E-01
Zr9Mo4O3_1207427_POSCAR,9.1646062830,11.9718,5.1144,458.6896,10.3708,-4.1793435352891E-01
