source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Nb2NiS4_1194246,0.0000000000,read,real,scaling,value,N/A
Nb2NiS4_1194246,0.0000000000,read,real,scaling,value,N/A
Nb2NiS4_1194246,0.0000000000,read,real,scaling,value,N/A
Nb2NiS4_1194246,0.0000000000,read,real,scaling,value,N/A
Nb2NiS4_1194246,0.0000000000,read,real,scaling,value,N/A
Nb2NiS4_1194246,0.0000000000,read,real,scaling,value,N/A
Nb2NiS4_1194246,0.0000000000,read,real,scaling,value,N/A
Nb2NiS4_1194246,0.0000000000,read,real,scaling,value,N/A
Nb2NiS4_1194246,0.0000000000,read,real,scaling,value,N/A
Nb2NiS4_1194246,0.0000000000,read,real,scaling,value,N/A
Nb2NiS4_1194246,0.0000000000,read,real,scaling,value,N/A
Nb2NiS4_1194246,0.0000000000,read,real,scaling,value,N/A
Nb2NiS4_1194246,0.0000000000,read,real,scaling,value,N/A
Nb2NiS4_1194246,0.0000000000,read,real,scaling,value,N/A
Nb2NiS4_1194246,0.0000000000,read,real,scaling,value,N/A
Nb2NiS4_1194246,0.0000000000,read,real,scaling,value,N/A
Nb2NiS4_1194246,0.0000000000,read,real,scaling,value,N/A
Nb2NiS4_1194246,0.0000000000,read,real,scaling,value,N/A
Nb2NiS4_1194246,0.0000000000,read,real,scaling,value,N/A
Nb2NiS4_1194246,0.0000000000,read,real,scaling,value,N/A
Nb2NiS4_1194246,0.0000000000,read,real,scaling,value,N/A
Nb2NiS4_1194246,0.0000000000,read,real,scaling,value,N/A
Nb2NiS4_1194246,0.0000000000,read,real,scaling,value,N/A
Nb2NiS4_1194246,0.0000000000,read,real,scaling,value,N/A
Nb2NiS4_1194246,0.0000000000,read,real,scaling,value,N/A
Nb2NiS4_1194246,0.0000000000,read,real,scaling,value,N/A
Nb2NiS4_1194246,0.0000000000,read,real,scaling,value,N/A
Nb2NiS4_1194246,0.0000000000,read,real,scaling,value,N/A
Nb2NiS4_1194246,0.0000000000,read,real,scaling,value,N/A
Nb2NiS4_1194246,0.0000000000,read,real,scaling,value,N/A
Nb2NiS4_1194246,0.0000000000,read,real,scaling,value,N/A
Nb2NiS4_1194246,0.0000000000,read,real,scaling,value,N/A
Nb2NiS4_1194246,0.0000000000,read,real,scaling,value,N/A
Nb2NiS4_1194246,0.0000000000,read,real,scaling,value,N/A
Nb2NiS4_1194246,0.0000000000,read,real,scaling,value,N/A
Nb2NiS4_1194246_POSCAR,2.6983120000,14.8078,9.1037,428.8962,125.8109,-5.9629855158543E-01
Nb2NiS4_1194246_POSCAR,2.5296675000,17.5654,12.5478,428.8962,125.8109,-7.2816704953063E-01
Nb2NiS4_1194246_POSCAR,3.0356010000,12.0329,5.3942,428.8962,125.8109,-4.1863273182347E-01
Nb2NiS4_1194246_POSCAR,2.8669565000,13.1532,6.7306,428.8962,125.8109,-4.9975096557631E-01
Nb2NiS4_1194246_POSCAR,3.2042455000,10.9887,4.7018,428.8962,125.8109,-3.5011937212452E-01
Nb2NiS4_1194246_POSCAR,3.3728900000,9.8540,4.3171,428.8962,125.8109,-2.9638905335102E-01
Nb2NiS4_1194246_POSCAR,3.5415345000,8.6283,4.0303,428.8962,125.8109,-2.5996900718705E-01
Nb2NiS4_1194246_POSCAR,3.7101790000,7.3486,3.7051,428.8962,125.8109,-2.2427105061015E-01
Nb2NiS4_1194246_POSCAR,4.0474680000,4.7108,2.6659,428.8962,125.8113,-1.7431340324845E-01
Nb2NiS4_1194246_POSCAR,3.8788235000,6.0352,3.2547,428.8962,125.8109,-1.9644646840809E-01
