source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Nb2ReO8_1048542,0.0000000000,read,real,scaling,value,N/A
Nb2ReO8_1048542,0.0000000000,read,real,scaling,value,N/A
Nb2ReO8_1048542,0.0000000000,read,real,scaling,value,N/A
Nb2ReO8_1048542,0.0000000000,read,real,scaling,value,N/A
Nb2ReO8_1048542,0.0000000000,read,real,scaling,value,N/A
Nb2ReO8_1048542,0.0000000000,read,real,scaling,value,N/A
Nb2ReO8_1048542,0.0000000000,read,real,scaling,value,N/A
Nb2ReO8_1048542,0.0000000000,read,real,scaling,value,N/A
Nb2ReO8_1048542,0.0000000000,read,real,scaling,value,N/A
Nb2ReO8_1048542,0.0000000000,read,real,scaling,value,N/A
Nb2ReO8_1048542,0.0000000000,read,real,scaling,value,N/A
Nb2ReO8_1048542,0.0000000000,read,real,scaling,value,N/A
Nb2ReO8_1048542,0.0000000000,read,real,scaling,value,N/A
Nb2ReO8_1048542,0.0000000000,read,real,scaling,value,N/A
Nb2ReO8_1048542,0.0000000000,read,real,scaling,value,N/A
Nb2ReO8_1048542,0.0000000000,read,real,scaling,value,N/A
Nb2ReO8_1048542,0.0000000000,read,real,scaling,value,N/A
Nb2ReO8_1048542,0.0000000000,read,real,scaling,value,N/A
Nb2ReO8_1048542,0.0000000000,read,real,scaling,value,N/A
Nb2ReO8_1048542,0.0000000000,read,real,scaling,value,N/A
Nb2ReO8_1048542,0.0000000000,read,real,scaling,value,N/A
Nb2ReO8_1048542,0.0000000000,read,real,scaling,value,N/A
Nb2ReO8_1048542,0.0000000000,read,real,scaling,value,N/A
Nb2ReO8_1048542,0.0000000000,read,real,scaling,value,N/A
Nb2ReO8_1048542,0.0000000000,read,real,scaling,value,N/A
Nb2ReO8_1048542,0.0000000000,read,real,scaling,value,N/A
Nb2ReO8_1048542,0.0000000000,read,real,scaling,value,N/A
Nb2ReO8_1048542,0.0000000000,read,real,scaling,value,N/A
Nb2ReO8_1048542,0.0000000000,read,real,scaling,value,N/A
Nb2ReO8_1048542,0.0000000000,read,real,scaling,value,N/A
Nb2ReO8_1048542,0.0000000000,read,real,scaling,value,N/A
Nb2ReO8_1048542,0.0000000000,read,real,scaling,value,N/A
Nb2ReO8_1048542,0.0000000000,read,real,scaling,value,N/A
Nb2ReO8_1048542,0.0000000000,read,real,scaling,value,N/A
Nb2ReO8_1048542,0.0000000000,read,real,scaling,value,N/A
Nb2ReO8_1048542_POSCAR,7.8929754588,15.5187,3.9104,428.8962,10.3708,-2.4961319890736E-01
Nb2ReO8_1048542_POSCAR,8.9453721867,10.6275,3.0216,428.8962,10.3708,-1.7936697951750E-01
Nb2ReO8_1048542_POSCAR,8.4191738228,12.6947,3.3589,428.8962,10.3708,-2.1066243392684E-01
Nb2ReO8_1048542_POSCAR,9.4715705506,9.0375,2.7216,428.8962,10.3709,-1.5412767134240E-01
Nb2ReO8_1048542_POSCAR,11.0501656424,5.8345,1.9749,428.8962,10.4175,-1.0226059147129E-01
Nb2ReO8_1048542_POSCAR,10.5239672784,6.7463,2.1935,428.8962,10.3791,-1.1733370824777E-01
Nb2ReO8_1048542_POSCAR,11.5763640063,5.0226,1.7480,428.8962,10.6307,-9.9686868069615E-02
Nb2ReO8_1048542_POSCAR,9.9977689145,7.7867,2.4373,428.8962,10.3720,-1.3412878831451E-01
Nb2ReO8_1048542_POSCAR,13.1549590981,3.1145,1.0275,429.6090,12.7887,-6.6460850389499E-02
Nb2ReO8_1048542_POSCAR,12.1025623702,4.3037,1.5050,428.8963,11.4781,-8.6781079052769E-02
Nb2ReO8_1048542_POSCAR,12.6287607341,3.6750,1.2614,428.9055,12.4605,-7.6348214363589E-02
Nb2ReO8_1048542_POSCAR,13.6811574620,2.5903,0.8041,461.5568,13.0075,-6.0082681746510E-02
Nb2ReO8_1048542_POSCAR,14.2073558259,2.0923,0.5983,569.8265,13.6060,-5.7382117530398E-02
Nb2ReO8_1048542_POSCAR,14.7335541898,1.6341,0.4243,580.2725,14.4956,-5.1557921123434E-02
Nb2ReO8_1048542_POSCAR,15.7859509177,0.9036,0.1962,1215.9260,15.2654,-6.0198368485692E-02
Nb2ReO8_1048542_POSCAR,15.2597525537,1.2342,0.2909,592.1438,15.0421,-5.0450105533135E-02
Nb2ReO8_1048542_POSCAR,16.8383476455,0.4528,0.0897,1474.9376,15.3971,-5.2775183944673E-02
Nb2ReO8_1048542_POSCAR,16.3121492816,0.6449,0.1322,1468.9959,15.3560,-5.8486467296657E-02
Nb2ReO8_1048542_POSCAR,17.3645460094,0.3159,0.0618,1475.2132,15.4181,-4.7974018687583E-02
