source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Sc11Nb3O24_530728,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_530728,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_530728,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_530728,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_530728,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_530728,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_530728,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_530728,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_530728,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_530728,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_530728,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_530728,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_530728,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_530728,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_530728,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_530728,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_530728,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_530728,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_530728,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_530728,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_530728,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_530728,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_530728,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_530728,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_530728,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_530728,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_530728,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_530728,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_530728,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_530728,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_530728,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_530728,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_530728,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_530728,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_530728,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_530728_POSCAR,4.9043413045,20.4732,4.7519,313.9846,10.3708,-1.0708873637290E+00
Sc11Nb3O24_530728_POSCAR,5.2108626360,18.7483,4.2972,313.9846,10.3708,-8.9354562202027E-01
Sc11Nb3O24_530728_POSCAR,4.5978199729,22.9471,5.6622,313.9846,10.3708,-1.3053727274138E+00
Sc11Nb3O24_530728_POSCAR,5.5173839675,16.9761,3.9905,313.9846,10.3708,-7.5705719908081E-01
Sc11Nb3O24_530728_POSCAR,6.1304266306,12.5812,3.4037,313.9846,10.3708,-5.7582794811789E-01
Sc11Nb3O24_530728_POSCAR,5.8239052990,14.9004,3.6990,313.9846,10.3708,-6.5351731558186E-01
Sc11Nb3O24_530728_POSCAR,6.4369479621,10.2268,3.1119,313.9846,10.3708,-5.1487822687550E-01
Sc11Nb3O24_530728_POSCAR,6.7434692936,8.0572,2.7929,313.9846,10.3709,-4.6232846176424E-01
Sc11Nb3O24_530728_POSCAR,7.3565119567,4.5090,1.9568,313.9846,10.4246,-3.6480336442429E-01
Sc11Nb3O24_530728_POSCAR,7.0499906252,6.1539,2.4064,313.9846,10.3723,-4.1266289106496E-01
Sc11Nb3O24_530728_POSCAR,7.6630332882,3.1459,1.4960,314.0015,11.5217,-3.2564172549879E-01
Sc11Nb3O24_530728_POSCAR,7.9695546198,2.1045,1.0817,323.4712,12.7428,-2.9613514441881E-01
Sc11Nb3O24_530728_POSCAR,8.2760759513,1.3738,0.7481,325.4251,13.1120,-2.7608740211287E-01
Sc11Nb3O24_530728_POSCAR,8.8891186143,0.5827,0.3331,1512.9895,14.8992,-6.0891923308357E-01
Sc11Nb3O24_530728_POSCAR,9.1956399459,0.3868,0.2210,1521.9520,15.2187,-5.6291621873504E-01
Sc11Nb3O24_530728_POSCAR,8.5825972828,0.8913,0.5024,976.5898,14.0850,-4.8848214070050E-01
Sc11Nb3O24_530728_POSCAR,9.5021612774,0.2619,0.1481,1522.3875,15.3370,-4.9337728047491E-01
Sc11Nb3O24_530728_POSCAR,9.8086826089,0.1810,0.1008,1522.4436,15.3875,-4.3510911869470E-01
Sc11Nb3O24_530728_POSCAR,10.1152039405,0.1277,0.0699,1522.4567,15.4124,-3.8532890429924E-01
Sc11Nb3O24_530728_POSCAR,10.4217252720,0.0919,0.0494,1522.4612,15.4261,-3.4133297914361E-01
Sc11Nb3O24_530728_POSCAR,10.7282466035,0.0674,0.0355,1522.4632,15.4342,-3.0149188832698E-01
Sc11Nb3O24_530728_POSCAR,11.0347679350,0.0503,0.0260,1522.4642,15.4392,-2.6527721232719E-01
Sc11Nb3O24_530728_POSCAR,11.6478105981,0.0294,0.0147,1522.4651,15.4448,-2.0399660468214E-01
Sc11Nb3O24_530728_POSCAR,11.3412892666,0.0382,0.0194,1522.4647,15.4426,-2.3272780828078E-01
Sc11Nb3O24_530728_POSCAR,11.9543319296,0.0230,0.0113,1522.4653,15.4464,-1.7904377889238E-01
Sc11Nb3O24_530728_POSCAR,12.2608532612,0.0182,0.0088,1522.4655,15.4476,-1.5757411378623E-01
Sc11Nb3O24_530728_POSCAR,12.8738959242,0.0118,0.0056,1522.4657,15.4490,-1.2315506903842E-01
Sc11Nb3O24_530728_POSCAR,12.5673745927,0.0146,0.0070,1522.4656,15.4484,-1.3911779750531E-01
Sc11Nb3O24_530728_POSCAR,13.1804172557,0.0097,0.0045,1522.4657,15.4495,-1.0922542207525E-01
Sc11Nb3O24_530728_POSCAR,13.4869385873,0.0080,0.0037,1522.4658,15.4499,-9.6931760386493E-02
Sc11Nb3O24_530728_POSCAR,13.7934599188,0.0067,0.0030,1522.4658,15.4501,-8.6018458803637E-02
Sc11Nb3O24_530728_POSCAR,14.0999812503,0.0056,0.0025,1522.4658,15.4504,-7.6289120553967E-02
Sc11Nb3O24_530728_POSCAR,14.4065025819,0.0048,0.0021,1522.4659,15.4505,-6.7616010923964E-02
Sc11Nb3O24_530728_POSCAR,14.7130239134,0.0040,0.0018,1522.4659,15.4507,-5.9903471456375E-02
Sc11Nb3O24_530728_POSCAR,15.0195452449,0.0035,0.0015,1522.4659,15.4508,-5.3061410383552E-02
Sc11Nb3O24_676191,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_676191,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_676191,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_676191,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_676191,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_676191,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_676191,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_676191,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_676191,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_676191,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_676191,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_676191,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_676191,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_676191,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_676191,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_676191,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_676191,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_676191,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_676191,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_676191,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_676191,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_676191,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_676191,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_676191,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_676191,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_676191,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_676191,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_676191,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_676191,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_676191,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_676191,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_676191,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_676191,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_676191,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_676191,0.0000000000,read,real,scaling,value,N/A
Sc11Nb3O24_676191_POSCAR,6.0162434157,20.6316,4.7759,313.9846,10.3708,-5.4739974582005E-01
Sc11Nb3O24_676191_POSCAR,5.6402282022,23.1538,5.6851,313.9846,10.3708,-6.6583734489777E-01
Sc11Nb3O24_676191_POSCAR,6.3922586292,18.9448,4.3514,313.9846,10.3708,-4.5716977398387E-01
Sc11Nb3O24_676191_POSCAR,6.7682738426,17.2374,4.1058,313.9846,10.3708,-3.8672964815930E-01
Sc11Nb3O24_676191_POSCAR,7.1442890561,15.2018,3.8845,313.9846,10.3708,-3.3287609735836E-01
Sc11Nb3O24_676191_POSCAR,7.5203042696,12.8765,3.6166,313.9846,10.3708,-2.9230070454413E-01
Sc11Nb3O24_676191_POSCAR,7.8963194831,10.4781,3.2910,313.9846,10.3708,-2.6024164988781E-01
Sc11Nb3O24_676191_POSCAR,8.2723346966,8.2493,2.9097,313.9846,10.3708,-2.3259402071644E-01
Sc11Nb3O24_676191_POSCAR,8.6483499101,6.2852,2.4614,313.9846,10.3718,-2.0697823372038E-01
Sc11Nb3O24_676191_POSCAR,9.4003803370,3.1973,1.4556,313.9956,11.7183,-1.6300885119127E-01
Sc11Nb3O24_676191_POSCAR,9.0243651235,4.5902,1.9578,313.9846,10.4242,-1.8289325847951E-01
Sc11Nb3O24_676191_POSCAR,9.7763955505,2.1415,1.0201,323.1465,12.7944,-1.4860375530718E-01
Sc11Nb3O24_676191_POSCAR,10.1524107640,1.4018,0.6858,325.1097,13.2754,-1.3799520595434E-01
Sc11Nb3O24_676191_POSCAR,10.5284259775,0.9119,0.4512,881.0675,14.3573,-2.1141130180477E-01
Sc11Nb3O24_676191_POSCAR,11.2804564044,0.3968,0.1953,1521.8698,15.2670,-2.8523469696502E-01
Sc11Nb3O24_676191_POSCAR,10.9044411909,0.5971,0.2957,1510.7331,15.0274,-2.9631818744736E-01
Sc11Nb3O24_676191_POSCAR,11.6564716179,0.2686,0.1309,1522.3790,15.3574,-2.5027471600319E-01
Sc11Nb3O24_676191_POSCAR,12.0324868314,0.1857,0.0894,1522.4418,15.3974,-2.2093332643053E-01
Sc11Nb3O24_676191_POSCAR,12.7845172583,0.0942,0.0442,1522.4610,15.4292,-1.7403626766992E-01
Sc11Nb3O24_676191_POSCAR,12.4085020449,0.1310,0.0622,1522.4562,15.4178,-1.9600713229558E-01
Sc11Nb3O24_676191_POSCAR,13.1605324718,0.0691,0.0320,1522.4631,15.4361,-1.5408554323323E-01
Sc11Nb3O24_676191_POSCAR,13.5365476853,0.0515,0.0235,1522.4641,15.4405,-1.3584353990537E-01
Sc11Nb3O24_676191_POSCAR,14.2885781123,0.0301,0.0134,1522.4651,15.4454,-1.0469032232023E-01
Sc11Nb3O24_676191_POSCAR,13.9125628988,0.0391,0.0176,1522.4647,15.4434,-1.1933771864689E-01
Sc11Nb3O24_676191_POSCAR,15.0406085392,0.0186,0.0081,1522.4655,15.4479,-8.0919616914535E-02
Sc11Nb3O24_676191_POSCAR,14.6645933257,0.0235,0.0104,1522.4653,15.4469,-9.1922104064956E-02
Sc11Nb3O24_676191_POSCAR,15.7926389662,0.0121,0.0052,1522.4657,15.4492,-6.3289636646451E-02
Sc11Nb3O24_676191_POSCAR,15.4166237527,0.0149,0.0065,1522.4656,15.4486,-7.1462818283533E-02
Sc11Nb3O24_676191_POSCAR,16.1686541797,0.0099,0.0042,1522.4657,15.4496,-5.6165202355863E-02
Sc11Nb3O24_676191_POSCAR,16.5446693931,0.0082,0.0035,1522.4658,15.4499,-4.9880333196001E-02
Sc11Nb3O24_676191_POSCAR,17.2966998201,0.0057,0.0024,1522.4658,15.4504,-3.9319464624916E-02
Sc11Nb3O24_676191_POSCAR,16.9206846066,0.0068,0.0029,1522.4658,15.4502,-4.4298605361015E-02
Sc11Nb3O24_676191_POSCAR,18.0487302471,0.0041,0.0017,1522.4659,15.4507,-3.0916143414960E-02
Sc11Nb3O24_676191_POSCAR,17.6727150336,0.0049,0.0020,1522.4659,15.4506,-3.4874465977611E-02
