source,cell_length,CN_C,CN_A,C6_C,C6_A,Edis
Nb12WO33_1198790,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_1198790,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_1198790,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_1198790,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_1198790,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_1198790,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_1198790,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_1198790,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_1198790,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_1198790,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_1198790,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_1198790,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_1198790,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_1198790,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_1198790,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_1198790,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_1198790,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_1198790,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_1198790,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_1198790,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_1198790,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_1198790,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_1198790,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_1198790,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_1198790,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_1198790,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_1198790,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_1198790,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_1198790,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_1198790,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_1198790,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_1198790,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_1198790,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_1198790,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_1198790,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_1198790_POSCAR,8.2487118261,12.4441,2.1453,428.8962,10.3830,-4.0689393438492E-01
Nb12WO33_1198790_POSCAR,7.7634934834,14.0850,2.2835,428.8962,10.3749,-4.8913073001380E-01
Nb12WO33_1198790_POSCAR,7.2782751407,16.2941,2.6022,428.8962,10.3711,-5.7771857369006E-01
Nb12WO33_1198790_POSCAR,8.7339301688,10.8194,2.0800,428.8962,10.3912,-3.3729182051310E-01
Nb12WO33_1198790_POSCAR,9.2191485115,9.2573,2.0454,428.8962,10.3977,-2.8796393903202E-01
Nb12WO33_1198790_POSCAR,9.7043668543,7.9206,2.0225,428.8962,10.4030,-2.4610988347775E-01
Nb12WO33_1198790_POSCAR,10.1895851970,6.8323,1.9991,428.8962,10.4095,-2.1323084703723E-01
Nb12WO33_1198790_POSCAR,10.6748035397,5.9272,1.9618,428.8962,10.4226,-1.8598074304855E-01
Nb12WO33_1198790_POSCAR,11.1600218824,5.1219,1.8922,428.8962,10.4596,-1.6209167049563E-01
Nb12WO33_1198790_POSCAR,11.6452402251,4.3536,1.7670,428.8962,10.5976,-1.4136294031849E-01
Nb12WO33_1198790_POSCAR,12.1304585678,3.5950,1.5675,428.9135,11.1880,-1.2510155624175E-01
Nb12WO33_1198790_POSCAR,12.6156769105,2.8563,1.2990,434.0109,12.3568,-1.1052243128982E-01
Nb12WO33_1198790_POSCAR,13.1008952532,2.1726,0.9996,561.6911,12.8102,-1.1193942177334E-01
Nb12WO33_1198790_POSCAR,13.5861135960,1.5831,0.7212,580.4084,13.1759,-1.0228254091424E-01
Nb12WO33_1198790_POSCAR,14.0713319387,1.1133,0.4978,652.6651,14.1099,-1.0353351027788E-01
Nb12WO33_1198790_POSCAR,14.5565502814,0.7651,0.3359,1435.7488,14.8887,-1.5090750774696E-01
Nb12WO33_1198790_POSCAR,15.5269869668,0.3552,0.1521,1475.1821,15.3319,-1.2902506493904E-01
Nb12WO33_1198790_POSCAR,15.0417686241,0.5208,0.2254,1474.3455,15.2097,-1.3993835544726E-01
Nb12WO33_1198790_POSCAR,16.0122053095,0.2445,0.1039,1475.2380,15.3848,-1.1951067598005E-01
Nb12WO33_1198790_POSCAR,16.4974236522,0.1706,0.0720,1475.2462,15.4109,-1.1070582707219E-01
Nb12WO33_1198790_POSCAR,16.9826419950,0.1209,0.0508,1475.2483,15.4252,-1.0215557470137E-01
Nb12WO33_1198790_POSCAR,17.4678603377,0.0871,0.0364,1475.2490,15.4337,-9.3705786670789E-02
Nb12WO33_1198790_POSCAR,17.9530786804,0.0638,0.0266,1475.2493,15.4390,-8.5437918962705E-02
Nb12WO33_1198790_POSCAR,18.4382970231,0.0475,0.0197,1475.2494,15.4424,-7.7518373045668E-02
Nb12WO33_1198790_POSCAR,18.9235153658,0.0359,0.0148,1475.2495,15.4448,-7.0102755091611E-02
Nb12WO33_1198790_POSCAR,19.8939520512,0.0214,0.0088,1475.2496,15.4476,-5.7094811480886E-02
Nb12WO33_1198790_POSCAR,19.4087337085,0.0275,0.0113,1475.2496,15.4464,-6.3286507800684E-02
Nb12WO33_1198790_POSCAR,20.3791703939,0.0168,0.0069,1475.2497,15.4484,-5.1496550768194E-02
Nb12WO33_1198790_POSCAR,20.8643887367,0.0134,0.0054,1475.2497,15.4491,-4.6429291939525E-02
Nb12WO33_1198790_POSCAR,21.3496070794,0.0108,0.0044,1475.2497,15.4496,-4.1833303176996E-02
Nb12WO33_1198790_POSCAR,21.8348254221,0.0088,0.0035,1475.2497,15.4499,-3.7653158290183E-02
Nb12WO33_1198790_POSCAR,22.3200437648,0.0072,0.0029,1475.2497,15.4502,-3.3844690381025E-02
Nb12WO33_1198790_POSCAR,22.8052621075,0.0060,0.0024,1475.2497,15.4504,-3.0375371390063E-02
Nb12WO33_1198790_POSCAR,23.2904804502,0.0050,0.0020,1475.2497,15.4506,-2.7219984180520E-02
Nb12WO33_1198790_POSCAR,23.7756987929,0.0042,0.0017,1475.2497,15.4507,-2.4362685390510E-02
Nb12WO33_704637,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_704637,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_704637,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_704637,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_704637,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_704637,0.0000000000,read,real,scaling,value,N/A
Nb12WO33_704637,0.0000000000,read,real,scaling,value,N/A
